   śivopaniṣad	Siva-upanizad-
   kailāsa-śikharā3sīnam $ aśeṣā1mara-pūjitam &	kElAsa--SiKarA3-sInam $ aSezA1mara--pUjitam &
   kāla-ghnaṃ śrī-mahākālam % īśvaraṃ jñāna-pāragam // 1.1 //	kAla-Gnam SrI--mahAkAlam % ISvaram jQAna--pAragam // 1.1 //
   saṃpūjya vidhivad bhaktyā $ ṛṣy-ātreyaḥ susaṃyataḥ &	saMpUjya viDivat BaktyA $ Rzy-A-AtreyaH su-saMyataH &
   sarva-bhūta-hitā1rthāya % papracche7daṃ mahā-muniḥ // 1.2 //	sarva-BUta--hita-a1rTAya % papracCe7dam mahA--muniH // 1.2 //
   jñāna-yogaṃ na vindanti $ ye narā manda-buddhayaḥ &	jQAna--yogam na vindanti $ ye narAH manda-budDayaH &
   te mucyante kathaṃ ghorād % bhagavan bhava-sāgarāt // 1.3 //	te mucyante kaTam GorAt % Bagavan Bava--sAgarAt // 1.3 //
   evaṃ pṛṣṭaḥ prasannā3tmā $ ṛṣy ātreyeṇa dhīmatā &	evam pRzwaH prasanna-A3tmA $ Rzi AtreyeNa DImatA &
   manda-buddhi-vimukty-arthaṃ % mahā-kālaḥ prabhāṣate // 1.4 //	manda-budDi--vimukti--arTam % mahA-kAlaH praBAzate // 1.4 //
   mahādeva uvāca	mahAdevaH uvAca
   purā rudreṇa gaditāḥ $ śiva-dharmāḥ sanātanāḥ &	purA rudreNa gaditAH $ Siva--DarmAH sanAtanAH &
   devyāḥ sarva-gaṇānāṃ ca % saṃkṣepād grantha-koṭibhiḥ // 1.5 //	devyAH sarva--gaNAnAm ca % saMkzepAt granTa--kowiBiH // 1.5 //
   āyuḥ prajñāṃ tathā śaktiṃ $ prasamīkṣya nṝṇām iha &	AyuH prajQAm taTA Saktim $ prasamIkzya nLNAm iha &
   tāpa-traya-prapīḍāṃ ca % bhoga-tṛṣṇā-vimohinīm // 1.6 //	tApa--traya--prapIxAm ca % Boga-tRzNA--vimohinIm // 1.6 //
   te dharmāḥ skanda-nandibhyām $ anyaiś ca muni-sattamaiḥ &	te DarmAH skanda-nandiByAm $ anyEH ca muni--sattamEH &
   sāra-mādāya nirdiṣṭāḥ % samyak-prakaraṇā1ntaraiḥ // 1.7 //	sAra-m-AdAya nirdizwAH % samyak--prakaraNa-a1ntarEH // 1.7 //
   sārād api mahā-sāraṃ $ śivo1paniṣadaṃ param &	sArAt api mahA--sAram $ SivaH-1panizadam param &
   alpa-granthaṃ mahā2rthaṃ ca % pravakṣyāmi jagad-dhitam // 1.8 //	alpa-granTam mahA-2rTam ca % pravakzyAmi jagat--Ditam // 1.8 //
   śivaḥ śiva ime śānta- $ nāma cā8dyaṃ muhur-muhuḥ &	SivaH SivaH ime SAnta $ nAma ca-a8dyam muhur--muhur &
   uccārayanti tad bhaktyā % te śivā nā7tra saṃśayaḥ // 1.9 //	uccArayanti tat BaktyA % te SivAH na-a7tra saMSayaH // 1.9 //
   aśivāḥ pāśa-saṃyuktāḥ $ paśavaḥ sarva-cetanāḥ &	aSivAH pASa--saMyuktAH $ paSavaH sarva--cetanAH &
   yasmād vilakṣaṇās tebhyas % tasmād īśaḥ śivaḥ smṛtaḥ // 1.10 //	yasmAt vilakzaNAH teByaH % tasmAt ISaH SivaH smRtaH // 1.10 //
   guṇo buddhir ahaṃkāras $ tan-mātrāṇī7ndriyāni ca &	guNaH budDiH ahaMkAraH $ tan--mAtrANI7ndriyAni ca &
   bhūtāni ca catur-viṃśad % iti pāśāḥ prakīrtitāḥ // 1.11 //	BUtAni ca catur--viMSat % iti pASAH prakIrtitAH // 1.11 //
   pañcaviṃśakam ajñānaṃ $ sahajaṃ sarva-dehinām &	paQcaviMSakam ajQAnam $ sahajam sarva-dehinAm &
   pāśā-jālasya tan mūlaṃ % prakṛtiḥ kāraṇāya naḥ // 1.12 //	pASA--jAlasya tat mUlam % prakRtiH kAraNAya naH // 1.12 //
   satya-jñāne nibadhyante $ puruṣāḥ pāśa-bandhanaiḥ &	satya--jQAne nibaDyante $ puruzAH pASa-banDanEH &
   mad-bhāvāc ca vimucyante % jñāninaḥ pāśa-pañjarāt // 1.13 //	mad-BAvAt ca vimucyante % jQAninaH pASa--paQjarAt // 1.13 //
   ṣaḍviṃśakaś ca puruṣaḥ $ paśur ajñaḥ śivā3game &	zaxviMSakaH ca puruzaH $ paSuH ajQaH SivA3-game &
   saptaviṃśa iti proktaḥ % śivaḥ sarva-jagat-patiḥ // 1.14 //	saptaviMSaH iti proktaH % SivaH sarva-jagat--patiH // 1.14 //
   yasmāc chivaḥ susaṃpūrṇaḥ $ sarvajñaḥ sarvagaḥ prabhuḥ &	yasmAt SivaH su-saMpUrNaH $ sarvajQaH sarvagaH praBuH &
   tasmāt sa pāśa-haritaḥ % sa viśuddhaḥ sva-bhāvataḥ // 1.15 //	tasmAt sa pASa-haritaH % sa viSudDaH sva-BAvataH // 1.15 //
   paśu-pāśa-paraḥ śāntaḥ $ parama-jñāna-deśikaḥ &	paSu--pASa--paraH SAntaH $ parama---jQAna-deSikaH &
   śivaḥ śivāya bhūtānāṃ % taṃ vijñāya vimucyate // 1.16 //	SivaH SivAya BUtAnAm % tam vijQAya vimucyate // 1.16 //
   etad eva paraṃ jñānaṃ $ śiva ity akṣara-dvayam &	etat eva param jQAnam $ SivaH iti akzara--dvayam &
   vicārād yāti vistāraṃ % taila-bindur ivā7mbhasi // 1.17 //	vicArAt yAti vistAram % tEla--binduH iva-a7mBasi // 1.17 //
   sakṛd uccāritaṃ yena $ śiva ity akṣara-dvayam &	sakRt uccAritam yena $ SivaH iti akzara--dvayam &
   baddhaḥ parikaras tena % mokṣo1pagamanaṃ prati // 1.18 //	badDaH parikaraH tena % mokza-u1pagamanam prati // 1.18 //
   dvy-akṣaraḥ śiva-mantro 'yaṃ $ śivo1paniṣadi smṛtaḥ &	dvi--akzaraH Siva-mantraH ayam $ Siva-u1panizadi smRtaH &
   ekā1kṣaraḥ punaś cā7yam % om ity evaṃ vyavasthitaḥ // 1.19 //	eka-a1kzaraH punar ca-A7yam % om iti evam vyavasTitaH // 1.19 //
   nāma-saṃkīrtaṇād eva $ śivasyā7śeṣa-pātakaiḥ &	nAma--saMkIrtaNAt eva $ Sivasya-a7Seza--pAtakEH &
   yataḥ pramucyate kṣipraṃ % mantro 'yaṃ dvy-akṣaraḥ paraḥ // 1.20 //	yatas pramucyate kzipram % mantraH ayam dvi--akzaraH paraH // 1.20 //
   yaḥ śivaṃ śivam ity evaṃ $ dvy-akṣaraṃ mantram abhyaset &	yaH Sivam Sivam iti evam $ dvi--akzaram mantram aByaset &
   ekā1kṣaraṃ vā satataṃ % sa yāti paramaṃ padam // 1.21 //	eka-a1kzaram vA satatam % sa yAti paramam padam // 1.21 //
   mitra-svajana-bandhūnāṃ $ kuryān nāma śivā3tmakam &	mitra--sva-jana--banDUnAm $ kuryAt nAma SivA3tmakam &
   api tat kīrtanād yāti % pāpa-muktaḥ śivaṃ puram // 1.22 //	api tat kIrtanAt yAti % pApa-muktaH Sivam puram // 1.22 //
   vijñeyaḥ sa śivaḥ śānto $ naras tad-bhāva-bhāvitaḥ &	vijQeyaH sa SivaH SAntaH $ naraH tad--BAva--BAvitaH &
   āste sadā nirudvignaḥ % sa dehā1nte vimucyate // 1.23 //	Aste sadA nirudvignaH % sa dehA1nte vimucyate // 1.23 //
   hṛdy antaḥ-karaṇaṃ jñeyaṃ $ śivasya āyatanaṃ param &	hRdi antaH--karaNam jQeyam $ Sivasya Ayatanam param &
   hṛt-padmaṃ vedikā tatra % liṅgam oṃ-kāram iṣyate // 1.24 //	hRt--padmam vedikA tatra % liFgam oM--kAram izyate // 1.24 //
   puruṣaḥ sthāpako jñeyaḥ $ satyaṃ saṃmārjanaṃ smṛtam &	puruzaH sTApakaH jQeyaH $ satyam saMmArjanam smRtam &
