   śrīrāmajayam	SrI-rAma-jayam
   paribhāṣendu śekharaḥ//	pariBAzA-indu SeKaraH//
   / anubanda catuṣṭaya nirūpaṇam/	/ anubanda catuzwaya nirUpaNam/
   natvāsāmbaṃ śivaṃ bramha nāgeśaḥ kurute sudhīḥ/	natvAsa-ambam Sivam bramha nAgeSaH kurute suDIH/
   bālānāṃ sukhabodhāya paribhaṣendu śekharam//	bAlAnAm suKa-boDAya pariBaza-indu SeKaram//
   prācīna vyakaraṇa tantre vācanikānyatra pāṇinīyatantre jñapakanyāyasiddāni	prAcIna vyakaraNa tantre vAcanikAni-atra pANinIya-tantre jQapaka-nyAya-siddAni
   bhaṣyavārtikayorupanibaddāni yāni paribhaṣārūpaṇi tāni vyākhyāsyante/	Bazya-vArtikayoH-upanibaddAni yAni pariBazA-rUpaNi tAni vyAKyAsyante/
   / śāstratva sampādanoddeśaprakaraṇ /	/ SAstra-tva sampAdana-uddeSa-prakaraw /
   nanu laṇ-aiuṇ sūtrayorṇakāradvayasyaivopādānenāṇiṇgrahaṇeṣu	nanu laN-a-euz sUtraya-UrNakAra-dvayasya-eva-upAdAnena-aNiNgrahaNezu
   sandehādanirṇayo 'ta āha -	sandehAt-anirNayaH atas Aha -
   vyākhyānato viśeṣapratipattirnahi sandehādalakṣaṇam // Paribh_1 //	vyAKyAnataH viSeza-pratipattiH-nahi sandehAt-alakzaNam // PariB_1 //
   viśeṣasyānyatarādyartharūpasya vyākhyānāt śiṣṭakṛtāt pratipattiḥ niśchayo	viSezasya-anyatara-Adi-arTa-rUpasya vyAKyAnAt Sizwa-kRtAt pratipattiH niSCayaH-
   yataḥ sandehācchāstramalakṣaṇamananuṣṭāpakaṃ lakṣaṇamalakṣaṇaṃ tathā na,	yatas sandehAt-SAstram-alakzaNam-ananuzwApakam lakzaNam-alakzaNam taTA na,
   śāstrasya nirṇayajanakatvaucityādityarthaḥ/ asandigdhānuṣṭhānasidyarthe	SAstrasya nirNaya-janaka-tu-a-OcityAt-iti-arTaH/ asandigDa-anuzWAna-sidi-arTe
   'tra śāstre	atra SAstre
   sandigdhoccāraṇarūpācāryavyavahāreṇasandehanivṛttervyākhyānātiriktanimittānapekṣatvaṃ	sandigDa-uccAraNa-rUpa-AcArya-vyavahAreNa-sandeha-nivRtteH-vyAKyAna-atirikta-nimitta-anapekza-tvam
   bodyata iti yāvat // . tenāṇuditsavarṇasyetatparihārāya pūrveṇāṇ grahaṇam,	bodyate iti yAvat // . tena-aNu-ditsavarNasyetat-parihArAya pUrveNAN grahaNam,
   pareṇeṇ grahaṇamiti laṇ sūtre bhāṣye spaṣṭam // .1 //	pareNet grahaNam-iti law sUtre BAzye spazwam // .1 //
   tatra saṃjñā paribhāṣā viṣaye pakṣadvayamāha -	tatra saMjQA pariBAzA vizaye pakza-dvayam-Aha -
   yathoddeśaṃ saṃjñā paribhāṣam / kārya kālaṃ saṃjñā paribhāṣam // Paribh_2	yaToddeSam saMjQA pariBAzam / kArya kAlam saMjQA pariBAzam // PariB_2
   uddesamanatikramya yatoddeśam / uddeśa upadeśa deśaḥ / adhikaraṇa	uddesam-anatikramya yata-uddeSam / uddeSaH upadeSa deSaH / aDikaraNa
   sādhanaścāyam / yatra deśe upadiśyate taddeśa eva vākyārtabodhena gṛhīta	sADanaH-ca-ayam / yatra deSe upadiSyate tad-deSaH eva vAkya-Arta-boDena gRhIta
   śaktyā gṛhītaparibhāṣārthena ca sarvatra śāstre vyavahāraḥ/	SaktyA gRhIta-pariBAzA-arTena ca sarvatra SAstre vyavahAraH/
   deśaścoccāraṇakāla evātra vyavahriyate/ tattadvākyārthabodhe jāte '	deSaH-ca-uccAraNa-kAle eva-atra vyavahriyate/ tad-tad-vAkya-arTa-boDe jAte a
   bhaviṣyati kiñcidanena prayojanam ' iti jñānamātreṇa santuṣyad	Bavizyati kiQcid-anena prayojanam a iti jQAna-mAtreNa santuzya-d
   yathāśrutagrāhipratipatrapekṣo 'yaṃ pakṣa īdūdetsūtre kaiyaṭaḥ/	yaTA-aSruta-grAhi-pratipatra-pekzaH ayam pakzaH IdUdet-sUtre kEyawaH/
   kecittu - paribhaṣāviṣaye tasminnityādi vākyārthabodhe	kecid-tu  pariBazA-vizaye tasmin=-ityAdi vAkya-arTa-boDe
   saptamīnirdeśādikveti paryālocanāyāṃ sakalatattadvidyupasthitau	sapta-mI-nirdeSa-At-ikva-iti paryAlocanAyAm sakala-tad-tad-vidyupasTitO
   sakalatattasaṃskārāya guṇabhedaṃ parikalpyaikavākyatayaiva niyamaḥ/	sakala-tatta-saMskArAya guNa-Bedam parikalpya-eka-vAkya-tayA-eva niyamaH/
   kāryakālapakṣetu tripādyamapyupasthiriti viśeṣaḥ/ etadevābhipretya	kArya-kAla-pakzetu tripAdyam-api-upasTiH-iti viSezaH/ etat-eva-aBipretya
   'adhikāronāma triprakāraḥ, kaścidekadeśasthaḥ sarvaṃ śāsramabhijvalayati,	aaDikAraH-nAma tri-prakAraH, kaScid-eka-deSa-sTaH sarvam SAsram-aBijvalayati,
   yathā - 'pradīpaḥ suprajvalitaḥ sarvaṃ veśmābhijvalayati' iti	yaTA  apradIpaH su-prajvalitaH sarvam veSma-aBijvalayati-a iti
   'ṣaṣṭīsthane' iti sūtre bhāṣya uktam/ adhikāraśabdena	azazwI-sTane-a iti sUtre BAzya uktam/ aDikAra-Sabdena
