   Paṇḍitāśokaviracitā	PaNxita aSoka viracitA
   Sāmānyadūṣaṇadikprasāritā /	SAma anya dUzaNa diS prasAritA /
   vyāpakannityamekañca sāmānyaṃ yaiḥ prakalpitaṃ /	vyApakat nityam ekaQca sAmAnyam yEH prakalpitam /
   mohagranthicchide teṣāṃ tadabhāvaḥ prasādhyate //	moha granTi= Cide tezAm tad aBAvaH prasADyate //
   kathamidamavagamyate / parasparavilakṣaṇakṣaṇeṣu	kaTam idam avagamyate / paraspara vilakzaNa kzaNezu
   pratyakṣasamīkṣyamāṇeṣvabhinnadhīdhvaniprasavanibandhanamanuyāyirūpaṃ	pratyakza samIkzyamANezu aBinna DI Dvani prasava nibanDanam anuyAyi rUpam
   sāmānyaṃ na mānyaṃ mānīṣiṇāmiti / sādhakapramāṇavirahāt	sAmAnyam na mAnyam mAnIziNAm iti / sADaka pramANa virahAt
   bādhakapramāṇasambhavācceti brūmaḥ / tathāhi yadidaṃ	bADaka pramANa samBavAt ca iti brUmaH / taTA hi yat idam
   sāmānyasādhanamanumānamabhidhīyate paraiḥ / yadanugatākāraṃ jñānaṃ	sAmAnya sADanam anumAnam aBiDIyate parEH / yat anugata AkAram jQAnam
   tadanugatavastunibandhanaṃ yathā bahuṣu puṣpeṣu srak sragiti jñānaṃ / asti	tad anugata vastu nibanDanam yaTA bahuzu puzpezu sraj sraj iti jQAnam / asti
   ca parasparasamparkavikalakalāsu kāryyādivyaktiṣvanugatākāraṃ vijñānaṃ	ca paraspara samparka vikala kalAsu kAryyAdi vyaktizu anugata AkAram vijQAnam
   tadanaikāntikatādoṣākrāntaśarīratvānna tadbhāvasādhanāyālaṃ / yato bhavati	tad anEkAntika tA doza AkrAnta SarIra tvAt na tad BAva sADanAya alam / yatas Bavati
   bahuṣu pācakeṣu pācakaḥ pācaka iti ekākāraparāmarśapratyayaḥ / na ca	bahuzu pAcakezu pAcakaH pAcakaH iti eka AkAra parAmarSa pratyayaH / na ca
   teṣvanugatamekaṃ vastu samasti / tadbhāve hi prāgeva	tezu anugatam ekam vastu samasti / tad BAve hi prAk eva
