   // nyāyavārttikatātparyapariśuddhiḥ //	// nyAyavArttika tAtparya pariSudDiH //
   mātaḥ sarasvati punaḥ punaraṣa natvā	mAtar sarasvati punar punar aza natvA
   baddhāñjaliḥ kimapi vijñapayāmyavaihi /	badDAQjaliH kim api vijQapayAmi avEhi /
   vākcetasormama tathā bhava sāvadhānā	vAc cetasoH mama taTA Bava sAvaDAnA
   vācaspatervacasi na skhalato yathaite //	vAcaspateH vacasi na sKalataH yaTA ete //
   viśvārādhya ityatra viśvaśabdena saṃsāricetanavargo vivakṣitaḥ, tasyaiva	viSva ArADyaH iti atra viSva Sabdena saMsAri cetana vargaH vivakzitaH, tasya eva
   tadārādhakatvāt /	tad ArADaka tvAt /
   viśveśāna ityatra samīhitaphalasaṃdohaḥ, tasya bhagavadekādhīnatvāt /	viSveSAnaH iti atra samIhita Pala saMdohaH, tasya Bagavat eka aDIna tvAt /
   viśvakṛdityatropādānasamūhaḥ, tasyaiva tatkṛtivyāpyatvāt /	viSva kRt iti atra upAdAna samUhaH, tasya eva tad kRti vyApya tvAt /
   viśvasaṃhārakārītyatra yāvadanityanivahaḥ, tasyaiva tadvināśyatvāt /	viSva saMhAra kArI iti atra yAvat anitya nivahaH, tasya eva tad vinASya tvAt /
   viśvaśaktirityatra yāvatkāryāstomaḥ, tasyaiva tacchaktiviṣayatvāt /	viSva SaktiH iti atra yAvat kAryAstomaH, tasya eva tad Sakti vizaya tvAt /
   viśvajñātetyatra yāvañjñeyaprapañcaḥ, tasyaiva pajjñānaviṣayatvāt /	viSvajQAtA iti atra yAvan jQeya prapaQcaH, tasya eva pad jQAna vizaya tvAt /
   viśvavyāpīyatra yāvanmūrttimaddravyarāśiḥ, tasyaiva viśeṣatastadvyāpyatvāt	viSva vyApIyatra yAvat mUrttimat dravya rASiH, tasya eva viSezataH tat vyApya tvAt
   itarasya tu taddvārā /	itarasya tu tad dvArA /
   viśvamūrtirityatra yāvatkārakagrāmaḥ, tasyaiva sākṣāt	viSvamUrtiH iti atra yAvat kAraka grAmaH, tasya eva sAkzAt 
   tatprayatnādhiṣṭheyatayā asmadādiśarīrasamānatvāt /	tad prayatna aDizWeya tayA asmad Adi SarIra samAna tvAt /
   ata eva na tatra śarīrāntarāpekṣā, sākṣātprayantānadhiṣṭheyeṣu hi sā syāt	atas eva na tatra SarIra antara apekzA, sAkzAt prayantAn aDizWeyezu hi sA syAt 
   daṇḍādivat /	daNxa Adi vat /
   na tu sākṣātprayatnādhiṣṭheyeṣu śarīravat /	na tu sAkzAt prayatna aDizWeyezu SarIra vat /
   pinākīti tu viśiṣṭaśastradhāradhamittaka nāmasaṃkortanena	pinAkI iti tu viSizwa SastraDAraDam ittaka nAma saMkortanena
   prārabdhavighnasya protsāraṇameva samīhitamiti sūcayati /	prArabDa viGnasya protsAraNam eva samIhitam iti sUcayati /
   hetuhetumadbhāvena śaḍkottarābhyāṃ yojanā jyāyasī /	hetu hetumat BAvena Saxka uttarAByAm yojanA jyAyasI /
   yathāvasthitayojanāyāṃ tu arthapaunarūktyaprasarktā stutitvameva	yaTA avasTita yojanAyAm tu arTa pOna rUkti aprasarktA stuti tvam eva
   samādhānamadhyavaseyam iti //	samADAna maDyavaseyam iti //
   namāmītyādi /	namAmi ityAdi /
   dharmo nivartakaḥ /	DarmaH nivartakaH /
   vijñānaṃ śarīrādiviviktātmasākṣātkāraḥ /	vijQAnam SarIra Adi vivikta Atma sAkzAtkAraH /
   vairāgyaṃ rāgābhāvaḥ /	vErAgyam rAga aBAvaH /
   aiśvaryaṃ bhūtendriyajayaḥ /	ESvaryam BUta indriya jayaH /
   tacchānipe, ata eva nidhaye vāgviśaddhīnām /	tat SAnipe, atas eva niDaye vAc viSat hInAm /
   adharmahetuko hyavivekaḥ /	aDarma hetukaH hi avivekaH /
   avivekahetukamavairāgyam, avairāgyamūlamanaiśvaryam /	aviveka hetukam avErAgyam, avErAgya mUlam anESvaryam /
   tanmūlāśca vacasāmaviśuddhayaḥ /	tad mUlAH ca vacasAm aviSudDayaH /
   tisraḥ khalvetāḥ /	tisraH Kalu etAH /
   tatra prathamā nirabhidhayatā /	tatra praTamA niraBiDayatA /
   dvitīyā viparītāmidheyatā /	dvitIyA viparIta AmiDeya tA /
   tṛtīyā niṣprayojanāmigheyatā /	tRtIyA nizprayojanAmiGeya tA /
   tā etāḥ kathaṃ bhūtendriyajayino mahāmunerbhaviṣyanti? ajitabhūtasya hi	tAH etAH kaTam BUta indriya jayinaH mahA muneH Bavizyanti? ajita BUtasya hi
   vivakṣostathāvidhaprayatnāniṣpatternirabhidheyā vāk bhavati /	vivakzoH taTAviDa prayatna anizpatteH niraBiDeyA vAc Bavati /
   ajitendriyasya ca viparyāsavipralipsāhetuko viparītārtho vacanasandarbhaḥ	ajita indriyasya ca viparyAsa vipralipsA hetukaH viparIta arTaH vacana sandarBaH
