   dvitīya uddyotaḥ	dvitIyaH uddyotaH
   / śrīrastu /	/ SrIH astu /
   dvitīya uddyotaḥ evamavivakṣitavācyavivakṣitānyaparavācyatvena	dvitIyaH uddyotaH evam avivakzita vAcya vivakzitAni apara vAcya tvena
   dhvanirdviprakāraḥ prakāśitaḥ /	DvaniH dvi prakAraH prakASitaH /
   tatrāvivakṣitavācyasya prabhedapratipādanāyedamucyate  	tatra avivakzita vAcyasya praBeda pratipAdanAya idam ucyate  
   arthāntare saṅkramitam atyantaṃ vā tiraskṛtam /	arTa antare saFkramitam atyantam vA tiraskRtam /
   avivakṣita vācyasya dhvaner vācyaṃ dvidhā matam // DhvK_2.1 //	avivakzita vAcyasya DvaneH vAcyam dviDA matam // DhvK_2.1 //
   arthāntare saṅkramitamatyantaṃ vā tiraskṛtam /	arTa antare saFkramitam atyantam vA tiraskRtam /
   avivakṣitavācyasya dhvanervācyaṃ dvidā matam // 1 //	avivakzita vAcyasya DvaneH vAcyam dvidA matam // 1 //
   locanam dvitīya uddyotaḥ yā smaryamāṇā śreyāṃsi sūte dhvaṃsayate rujaḥ /	locanam dvitIyaH uddyotaH yA smaryamANA SreyAMsi sUte DvaMsayate rujaH /
   tāmabhīṣṭaphalodārakalpavallīṃ stube śivām //	tAm aBIzwa Pala udAra kalpavallIm stube SivAm //
   vṛttikāraḥ saṅgatimuddyetasya kurvaṇa upakramate  	vRtti kAraH saFgatim uddyetasya kurvaNaH upakramate  
   evamityādi /	evam ityAdi /
   prakāśita iti /	prakASitaH iti /
   mayā vṛttikāreṇa sateti bhāvaḥ /	mayA vRtti kAreNa satA iti BAvaH /
   na caitanmayotsūtramuktam, api tu kārikākārābhiprāyeṇetyāha  	na ca etat mayA utsUtramuktam, api tu kArika AkAra aBiprAyeNa iti Aha  
   tatreti /	tatra iti /
   tatra dviprakāraprakāśane vṛttikārakṛte yannimittaṃ bījabhūtamiti	tatra dvi prakAra prakASane vRtti kAra kRte yad nimittam bIja BUtam iti
   bālapriyā dvitīya uddyotaḥ locanasyottarasyāto na vyākhyā prapyate 'tra	bAla priyA dvitIyaH uddyotaH locanasya uttarasya atas na vyAKyA prapyate atra
   tat /	tat /
   yathāmatīṣadvyākhyāmi prasīdantvatra me budhāḥ //	yaTAm atIza dvyAKyAmi prasIdantu atra me buDAH //
   yeti /	yA iti /
   yā śivā /	yA SivAH /
   janaiḥ smaryamāṇā satī, teṣāṃ śreyāṃsi sūte janayati /	janEH smaryamANA satI, tezAm SreyAMsi sUte janayati /
   rujaḥ vyāpadaḥ /	rujaH vyApadaH /
