   (KpSū 1)	(KpSU 1)
   Karuṇāpuṇḍarīka sūtram	KaruNA puNxarIka sUtram
   dharma cakra pravartano nāma prathamaḥ parivartaḥ	Darma cakra pravartanaH nAma praTamaH parivartaH
   om namaḥ	om namaH
   śrīsarvabuddhabodhisattvebhyaḥ //	SrI sarva budDa boDisattveByaH //
   buddhaṃ praṇamya sarvajñaṃ dharmaṃ saṅghaṃ guṇākaraṃ /	budDam praNamya sarvajQam Darmam saFGam guNa akaram /
   karuṇāpuṇḍarīkākhyaṃ pravakṣye bodhisūtrakaṃ //	karuNA puNxarIka AKyam pravakzye boDisUtrakam //
   evaṃ mayā śrutam / ekasmin samaye bhagavān rājagṛhe viharati sma	evam mayA Srutam / ekasmin samaye BagavAn rAjagRhe viharati sma
   gṛdhrakūṭe parvate mahatā bhikṣusaṅghena sārdhaṃ dvādaśabhirbhikṣuśataiḥ	gRDrakUwe parvate mahatA Bikzu saFGena sArDam dvAdaSaBiH Bikzu SatEH
   sarvairarhadbhiḥ kṣīṇāsravairniḥkleśairvaśībhūtaiḥ suvimuktacittaiḥ	sarvEH arhadBiH kzINa AsravEH niHkleSEH vaSIBUtEH su vimukta cittEH
   suvimuktaprajñairājāneyairmahānāgaiḥ kṛtakṛtyaiḥ	su vimukta prajQEH AjAneyEH mahA nAgEH kRtakRtyEH
   kṛtakaraṇīyairapahṛtabhārairanuprāptasvakārthaiḥ parikṣīṇabhavasaṃyojanaiḥ	kRta karaNIyEH apahRta BArEH anuprApta svaka arTEH parikzINa Bava saMyojanEH
   samyagājñāsuvimuktacittaiḥ	samyak AjQA su vimukta cittEH
   sarvacetovaśiparamapāramitāprāptairabhijñānābhijñātairmahāśrāvakaiḥ /	sarva cetaH vaSi parama pAramitA prAptEH aBijQAna aBijQAtEH mahA SrAvakEH /
   (KpSū 2) tadyathā, āyuṣmatā cājñātakauṇḍinyena āyuṣmatā cāsvajitā āyuṣmatā	(KpSU 2) tat yaTA, AyuzmatA ca ajQAta kONxinyena AyuzmatA ca asvajitA AyuzmatA
   ca bāṣpeṇa āyuṣmatā ca mahāsthāmnā āyuṣmatā ca bhadrikeṇa āyuṣmatā ca	ca bAzpeNa AyuzmatA ca mahA sTAmnA AyuzmatA ca BadrikeNa AyuzmatA ca
   mahākāśyapena āyuṣmatā coruvilvākāśyapena āyuṣmatā ca gayākāśyepena	mahAkASyapena AyuzmatA ca uru vilvAkASyapena AyuzmatA ca gayA kASyepena
   āyuṣmatā ca śāriputreṇa āyuṣmatā ca mahāmaudgalyāyanena āyuṣmatā ca	AyuzmatA ca SAriputreNa AyuzmatA ca mahAmOdgalyAyanena AyuzmatA ca
   mahākātyāyanena āyuṣmatā cāniruddhena āyuṣmatā ca revatena āyuṣmatā ca	mahAkAtyAyanena AyuzmatA ca anirudDena AyuzmatA ca revatena AyuzmatA ca
   kaṃphillena āyuṣmatā ca gavāṃpatinā āyuṣmatā ca pilindavatsena āyuṣmatā ca	kaMPillena AyuzmatA ca gavAMpatinA AyuzmatA ca pilinda vatsena AyuzmatA ca
   bakulena āyuṣmatā ca mahākauṣṭhilena āyuṣmatā ca bharadvājena āyuṣmatā ca	bakulena AyuzmatA ca mahA kOzWilena AyuzmatA ca BaradvAjena AyuzmatA ca
   mahānandena āyuṣmatā copanandena āyuṣmatā ca sundaranandena āyuṣmatā ca	mahAnandena AyuzmatA ca upanandena AyuzmatA ca sundara nandena AyuzmatA ca
   pūrṇena āyuṣmatā ca subhūtinā āyuṣmatā ca rāhulena / evaṃ	pUrNena AyuzmatA ca suBUtinA AyuzmatA ca rAhulena / evam
   pramukhaiścānekairmahāśrākairāyuṣmatā cānandena śaikṣeṇa, anyābhyāṃ	pramuKEH ca anekEH mahA SrAkEH AyuzmatA ca Anandena SEkzeNa, anyAByAm
   bhikṣusahasrābhyāṃ śaikṣāśaikṣābhyāṃ / mahāprajāpatīpramukhaiśca	Bikzu sahasrAByAm SEkzA SEkzAByAm / mahA prajApatI pramuKEH ca
