   Āryatriskandha sūtram	Āryatri-skanDa sUtram
   tatreyaṃ(āpatti) deśanā -	tatra-iyaM(Apatti) deSanA -
   ahamevaṃnāmā buddhaṃ śaraṇaṃ gacchāmi / dharma śaraṇaṃ gacchāmi / saṃghaṃ	aham-evaMnAmA budDam SaraNam gacCAmi / Darma SaraNam gacCAmi / saMGam
   śaraṇaṃ gacchāmi /	SaraNam gacCAmi /
   namaḥ (bhagavate) śākyamunaye tathāgatāyārhate samyaksaṃbuddhāya / namo	namaH (Bagavate) SAkya-munaye taTAgatAya-arhate samyaksaMbudDAya / namaH-
   vajra(sāra)pramardine / namo ratnārciṣe / namo nāgeśvararājāya / namo	vajra(-sAra)-pramardine / namaH ratna-arcize / namaH nAgeSvara-rAjAya / namaH-
   vīrasenāya / namo vīranandine / namo ratnāgnaye / namo ratnacandraprabhāya	vIrasenAya / namaH vIra-nandine / namaH ratna-agnaye / namaH ratna-candra-praBAya
   / namo 'moghadarśine / namo ratnacandrāya / namo nirmalāya / namaḥ	/ namaH amoGa-darSine / namaH ratnacandrAya / namaH nirmalAya / namaH
   śūradattāya / namo brahmaṇe / namo brahmadattāya / namo varūṇāya / namo	SUradattAya / namaH brahmaNe / namaH brahmadattAya / namaH varUNAya / namaH-
   varuṇadevāya / namo bhadraśriye / namaścandanaśriye / namo 'nantaujase /	varuNa-devAya / namaH BadraSriye / namaH-candana-Sriye / namaH ananta-ojase /
   namaḥ prabhāsaśriye / namo 'śokaśriye / namo nārāyaṇāya / namaḥ	namaH praBAsa-Sriye / namaH aSoka-Sriye / namaH nArAyaNAya / namaH
   kusumaśriye / namo brahmajyotirvikrīḍitābhijñāya tathāgatāya / namaḥ	kusuma-Sriye / namaH brahmajyotiH-vikrIxita-aBijQAya taTAgatAya / namaH
   padmajyotirvikrīḍitābhijñāya tathāgatāya / namo ghanaśriye / namaḥ	padma-jyotiH-vikrIxita-aBijQAya taTAgatAya / namaH Gana-Sriye / namaH
   smṛtiśriye / namaḥ suparikīrtitanāmadheyaśriye / nama	smRti-Sriye / namaH su-parikIrtita-nAmaDeya-Sriye / nama
   indraketudhvajarājāya / namaḥ suvikrāntaśriye / namaḥ suvijitasaṃgrāmāya /	indra-ketu-Dvaja-rAjAya / namaH su-vikrAnta-Sriye / namaH su-vijita-saMgrAmAya /
   namo vikrāntagāmine / namaḥ samantāvabhāsavyūhaśriye / namo	namaH vikrAnta-gAmine / namaH samantA-ava-BAsa-vyUha-Sriye / namaH-
   ratnapadmavikrāmiṇe / namo ratnapadmasupratiṣṭhitaśailendrarājāya	ratna-padma-vikrAmiNe / namaH ratna-padma-su-pratizWita-SEla-indra-rAjAya
   tathāgatāyārhate samyaksaṃbuddhāya /	taTAgatAya-arhate samyaksaMbudDAya /
   evaṃpramukhā yāvantaḥ daśadikṣu sarvalokadhātuṣu tathāgatāarhantaḥ	evaMpramuKAH yAvantaH daSa-dikzu sarva-loka-DAtuzu taTAgatAarhantaH
   samyaksaṃbuddhāstiṣṭhanti dhriyante yāpayanti, te māṃ samanvāharantu	samyaksaMbudDAH-tizWanti Driyante yApayanti, te mAm samanvAharantu
   buddhā bhagavantaḥ / yanmayā asyāṃ jātau anyāsu vā jātiṣu anavarāgre	budDAH BagavantaH / yat-mayA asyAm jAtO anyAsu vA jAtizu anavara-agre
   jātisaṃsāre saṃsaratā pāpakaṃ karma kṛtaṃ syātkāritaṃ vā kriyamāṇaṃ vā	jAti-saMsAre saMsaratA pApakam karma kRtam syAt-kAritam vA kriyamANam vA
   anumoditaṃ bhavet, staupikaṃ vā sāṃghikaṃ vā dravyamapahṛtaṃ syāt, hāritaṃ	anumoditam Bavet, stOpikam vA sAMGikam vA dravyam-apahRtam syAt, hAritam
   vā hriyamāṇaṃ vā anumoditaṃ bhavet / pancānantaryāṇi kṛtāni syuḥ kāritāni	vA hriyamANam vA anumoditam Bavet / pancAnantaryANi kRtAni syuH kAritAni
   vā kriyamāṇāni vā anumoditāni bhaveyuḥ / daśākuśalān karmapathān samādāya	vA kriyamANAni vA anumoditAni BaveyuH / daSa-akuSalAn karma-paTAn samAdAya
   vartitaṃ syāt, pare vā samādāpitāḥ syurvartamānā vā anumoditā bhaveyuryena	vartitam syAt, pare vA samAdApitAH syuH-vartamAnAH vA anumoditAH BaveyuH-yena
   karmāvaraṇenāvṛto 'haṃ nirayaṃ vā gaccheyaṃ tiryagyoniṃ vā yamaviṣayaṃ vā	karma-AvaraNena-AvRtaH aham nirayam vA gacCeyam tiryagyonim vA yama-vizayam vA
   gaccheyaṃ pratyantajanapadeṣu mleccheṣu vā pratyājāyeyaṃ dīrghāyuṣkeṣu	gacCeyam pratyanta-janapadezu mlecCezu vA pratyAjAyeyam dIrGa-Ayuzkezu
   deveṣūpapadyeyamindriyavikalatāṃ vādhigaccheyaṃmithyādṛṣṭiṃ vopagṛhṇīyāṃ	devezu-upapadyeyam-indriya-vikala-tAm vA-aDigacCeyaMmiTyA-dRzwim vA-upagRhNIyAm
   buddhotpādaṃ vā virāgayeyam, tatsarvaṃkarmāvaraṇaṃ teṣāṃ buddhānāṃ	budDa-utpAdam vA virAgayeyam, tat-sarvaMkarma-AvaraNam tezAm budDAnAm
   bhagavatāṃ jñānabhūtānāṃ cakṣurbhūtānāṃ sākṣibhūtānāṃ pramāṇabhūtānāṃ	BagavatAm jQAna-BUtAnAm cakzuH-BUtAnAm sAkzi-BUtAnAm pramANa-BUtAnAm
   jānatāṃ paśyatamagrataḥ pratideśayāmi, āviṣkaromi na praticchādayāmi,	jAnatAm paSyatam-agratas pratideSayAmi, Avizkaromi na praticCAdayAmi,
   āyatyāṃ saṃvaramāpadye /	AyatyAm saMvaram-Apadye /
   samanvāharantu māṃ te buddhā bhagavanto yanmayā asyāṃ jātāvanyāsu vā	samanvAharantu mAm te budDAH BagavantaH yat-mayA asyAm jAtO=-anyAsu vA
   jātiṣvanavarāgre vā jātisaṃsāre saṃsaratā dānaṃ dattaṃ	jAtizu-anavara-agre vA jAti-saMsAre saMsaratA dAnam dattam
   bhavedantaśastiryagyonigatāyāpyālopaḥ, śīlaṃ vā rakṣitaṃ bhaved yacca me	Bavet-antaSas-tiryagyoni-gatAya-api-AlopaH, SIlam vA rakzitam Bavet yat-ca me
   brahmacaryavāsakuśalamūlam, yacca me sattvaparipākakuśalamūlam, yacca me	brahmacarya-vAsa-kuSala-mUlam, yat-ca me sattva-paripAka-kuSala-mUlam, yat-ca me
   bodhicittakuśalam, yacca me 'nuttarajñānakuśalamūlam, tatsarvamaikadhyaṃ	boDi-citta-kuSalam, yat-ca me anuttara-jQAna-kuSala-mUlam, tat-sarvam-EkaDyam
   piṇḍayitvā tulayitvā abhisaṃkṣipya anuttarāyāṃ samyaksaṃbodhau	piNxayitvA tulayitvA aBisaMkzipya anuttarAyAm samyaksaMboDO
   uttarottarayā (gurugurūṇā) pariṇāmanayā, yathā	uttarottarayA (guru-gurUNA) pariNAmanayA, yaTA
   pariṇāmitamatītairbuddhairbhagavabhdiryathā pariṇāmayiṣyantyanāgatā buddhā	pariNAmitam-atItEH-budDEH-BagavaBdiH-yaTA pariNAmayizyanti-anAgatA budDA
   bhagavantaḥ, yathā pariṇāmayanti etarhi daśasu dikṣu pratyutpannā buddhā	BagavantaH, yaTA pariNAmayanti etarhi daSasu dikzu pratyutpannA budDA
