   Mṛtyuvañcanopadeśatārāsādhana	MRtyu-vaQcana-upadeSa-tArA-sADana
   utthāya pūrvasaṃdhyāyāṃ bhūpradeśe manohare /	utTAya pUrva-saMDyAyAm BU-pradeSe manohare /
   mṛdvāsanopaviṣṭaḥ san svahṛdi candramaṇḍale // Mvupts_1 //	mRdu-Asana-upavizwaH san sva-hRdi candra-maNxale // MvuptH-_1 //
   pañcamasya prathamaṃ tu dvitīyasvarayojitam /	paQcamasya praTamam tu dvitIya-svara-yojitam /
   ardhendubindusaṃyuktaṃ sitaraśmivibhūṣitam // Mvupts_2 //	arDa-indu-bindu-saMyuktam sita-raSmi-viBUzitam // MvuptH-_2 //
   tasya śuklamayūkhais tu tārām ākṛṣya vyomani /	tasya SuklamayUKEH tu tArAm AkRzya vyomani /
   dvibhujāṃ sitadehāṃ tu varadotpaladhāriṇīm // Mvupts_3 //	dvi-BujAm sita-dehAm tu vara-da-utpala-DAriNIm // MvuptH-_3 //
   pañcopacārapūjābhiḥ pūjayitvā tu bhaktitaḥ /	paQca-upacAra-pUjABiH pUjayitvA tu BaktitaH /
   pāpānāṃ deśanāṃ paścāt tataḥ puṇyānumodanam // Mvupts_4 //	pApAnAm deSanAm paScAt tatas puNya-anumodanam // MvuptH-_4 //
   tatpariṇāmanāṃ caiva triśaraṇagamanaṃ tathā /	tad-pariNAmanAm ca-eva tri-SaraNa-gamanam taTA /
   oṃ śūnyatājñānavajrasvabhāvātmako 'ham iti paṭhet // Mvupts_5 //	om SUnyatA-jQAna-vajra-svaBAva-AtmakaH aham iti paWet // MvuptH-_5 //
   iti svaparaśūnyaṃ vai dhyātvā yogī vidhānavit /	iti sva-para-SUnyam vE DyAtvA yogI viDAna-vid /
   sitāravindamadhyasthacandrabimbāsanopari // Mvupts_6 //	sita-aravinda-maDya-sTa-candra-bimba-Asana-upari // MvuptH-_6 //
   pūrvoktabījaniṣpannāṃ tārādevīṃ manoramām /	pUrva-ukta-bIja-nizpannAm tArA-devIm manoramAm /
   ābaddhavajraparyaṅkāṃ varadotpaladhāriṇīm // Mvupts_7 //	AbadDa-vajra-paryaFkAm vara-da-utpala-DAriNIm // MvuptH-_7 //
   śaraccandrakarākārāṃ pṛṣṭhacandrasamāśritām /	Sarad-candra-kara-AkArAm pRzWa-candra-samASritAm /
   sarvālaṅkārasampūrṇāṃ ṣoḍaśābdavapuṣmatīm // Mvupts_8 //	sarva-alaFkAra-sampUrNAm zoxaSa-abda-vapuzmatIm // MvuptH-_8 //
   sarvasaṃbuddhatatputramātaraṃ kāmarūpadhām /	sarva-saMbudDa-tad-putra-mAtaram kAmarUpaDAm /
   dhyātvāryatārāṃ hṛdaye tasyāś cakraṃ sitadyuti // Mvupts_9 //	DyAtvA-arya-tArAm hRdaye tasyAH cakram sita-dyuti // MvuptH-_9 //
   aṣṭakoṣṭhakam aṣṭābhir akṣaraiḥ paripūritam /	azwa-kozWakam azwABiH akzarEH paripUritam /
   oṃhāvyañjanamadhyasthasādhyanāmādyanābhikam // Mvupts_10 //	oMha-avyaQjana-maDya-sTa-sADya-nAma-Adya-nABikam // MvuptH-_10 //
   dhyāyād ekāgracittaḥ san ṣaṇ māsān dṛḍhaniścayaḥ /	DyAyAt ekAgra-cittaH san zaw mAsAn dRXa-niScayaH /
   japed akhinnacittaḥ san mantram enaṃ daśākṣaram // Mvupts_11 //	japet aKinna-cittaH san mantram enam daSa-akzaram // MvuptH-_11 //
   oṅkāram ādito dattvā paścāt tāre prayojayet /	oFkAram Aditas dattvA paScAt tAre prayojayet /
   tuttāre syāt ture paścāt svāhāntaṃ sārvakarmikaḥ // Mvupts_12 //	tuttAre syAt ture paScAt svAhA-antam sArvakarmikaH // MvuptH-_12 //
   brahmendraviṣṇucandrārkarudradikpālamanmathaiḥ /	brahma-indra-vizNu-candra-arka-rudra-dikpAla-manmaTEH /
   apy akhaṇḍitaromāgro mṛtyuṃ jayati muktavat // Mvupts_13 //	api aKaNxita-roma-agraH mRtyum jayati mukta-vat // MvuptH-_13 //
   valīpalitadaurbhāgyavyādhidāridryasaṃkṣayaḥ /	valI-palita-dOrBAgya-vyADi-dAridrya-saMkzayaH /
   siṃhādyaṣṭamahābhītiduḥkhasaṃdohanāśanam // Mvupts_14 //	siMha-Adi-azwa-mahA-BIti-duHKa-saMdoha-nASanam // MvuptH-_14 //
   ayācitānnapānādiharmyavastrādisaṃgamaḥ /	ayAcita-anna-pAna-Adi-harmya-vastra-Adi-saMgamaH /
   khaḍgāñjanapādalepabhadrakumbhādisiddhayaḥ // Mvupts_15 //	Kaxga-aQjana-pAda-lepa-Badra-kumBa-Adi-sidDayaH // MvuptH-_15 //
   kavitā vaktṛtā medhā prajñā caikāntanirmalā /	kavi-tA vaktR-tA meDA prajQA ca-ekAnta-nirmalAH /
   anyā ca vāñchitā siddhiś cakrād asmāt prajāyate // Mvupts_16 //	anyA ca vAQCitA sidDiH cakrAt asmAt prajAyate // MvuptH-_16 //
   // mṛtyuvañcanopadeśatārāsādhanaṃ samāptam //	// mRtyu-vaQcana-upadeSa-tArA-sADanam samAptam //
