   Āpattideśanāvidhiḥ	Āpatti deSanA viDiH
   namo buddhāya	namaH budDAya
   "guravo mahāvajradharādajaḥ, daśadigavasthitāśca sarvabuddhabodhisattvāḥ	"guravaH mahA vajraDarAt ajaH, daSa diS avasTitAH ca sarva budDa boDisattvAH
   mām samanvāharantu / bhadanto māṃ samanvāharatu / ahamevaṃnāmā	mAm samanvAharantu / BadantaH mAm samanvAharatu / aham evaMnAmA
   anādisaṃsārāt prabhṛtipratyutpannaparyantaṃ rāga dveṣa mohavaśāt	anAdi saMsArAt praBRti pratyutpanna paryantam rAga  dveza  moha vaSAt 
   kāyavāṅmanasā daśākuśalāni kṛtavān, pañcānantaryāṇi, pañca tatsabhāgāni,	kAya vAc manasA daSa akuSalAni kRtavAn, paQca AnantaryANi, paQca tad saBAgAni,
   prātimokṣasaṃvaravirodhaḥ, bodhisattvaśikṣāvirodhaḥ,	prAtimokza saMvara viroDaH, boDisattva SikzA viroDaH,
   guhyamantra samayādi virodhaḥ, samāsato 'bhyudaya niḥśreyasavighnabhūtāḥ,	guhya mantra  samaya Adi viroDaH, samAsatas aByudaya  niHSreyasa viGna BUtAH,
   saṃsārāpāyahetubhūtāśca ye ke 'pi āpattidoṣarāśayaḥ (santi) tān sarvān	saMsAra apAya hetu BUtAH ca ye ke api Apatti doza rASayaH (santi) tAn sarvAn
   guruvajradharādīnāṃ, daśadigavasthitānāṃ sarvabuddhabodhisattvānāṃ,	guru vajra Dara AdInAn, daSa diS avasTitAnAm sarva budDa boDisattvAnAM,
   bhadantasya ca agrato deśayāmi, āviṣkaromi, na praticchādayāmi /	Badantasya ca agratas deSayAmi, Avizka romi, na praticCAdayAmi /
   āviṣkṛtena mama sparśavihāro bhavati,anāviṣkṛtena evanna bhavatī ti	AvizkRtena mama sparSa vihAraH Bavati,anAvizkRtena evat na BavatI ti
   trirvadet /	tris vadet /
   tato darśana saṃvara pṛcchānantaram "upāyaṃ", "sādhu" ceti vadet /	tatas darSana  saMvara  pRcCa anantaram "upAyaM", "sADu" ca iti vadet /
   prathamasaṃyojanavidhiḥ  evannāmāhaṃ anādisaṃsārāt prabhṛti kleśabāhulyāt	praTama saMyojana viDiH evannAma aham anAdi saMsArAt praBRti kleSa bAhulyAt 
   pramādādivaśād vā doṣāpattirāśibahulaḥ, tān saṃghasya agrataḥ	pramAda Adi vaSAt vA doza Apatti rASi bahulaH, tAn saMGasya agratas 
   pratideṣṭukāmaḥ, ato 'nugṛhyatām iti / ante āpattita uddhṛto 'smītyatīva	pratidezwu kAmaH, atas anugRhyatAm iti / ante ApattitaH udDRtaH asmi iti atIva
   kṛtajño 'smīti dharmānurupakāryam anumodaye iti vadet /	kRtajQaH asmi iti Darma anurupakAryam anumodaye iti vadet /
   "āpattideśanāvidhiḥ ācāryadīpaṅkaraśrījñānaviracitaḥ samāptaḥ /	"Apatti deSanA viDiH AcArya dIpaFkara SrI jQAna viracitaH samAptaH /
   tenaiva bhāratīyopādhyāyena bhoṭīyalokacakṣuṣā bhikṣu jayaśīlena ca anūdya	tena eva BAratIya upADyAyena BowIya loka cakzuzA Bikzu  jaya SIlena ca anUdya
   nirṇītaḥ /	nirNItaH /
