   śrīgaṇeśāya namaḥ	SrI gaNeSAya namaH
   śrīsarasvatyai namaḥ	SrI sarasvatyE namaH
   śrīrāmacandrāya namaḥ	SrI rAma candrAya namaH
   atha brahmāṇḍamahāpurāṇaṃ pūrvabhāgaprārambhaḥ /	aTa brahmANxa mahApurANam pUrva BAga prAramBaH /
   namonamaḥ kṣaye sṛṣṭau sthitau sattvamayāya vā /	namaH namaH kzaye sRzwO sTitO sattva mayAya vA /
   namo rajastamaḥsattvatrirūpāya svayaṃbhuve // BndP_1,1.1 //	namaH rajaH tamaH sattva trirUpAya svayaMBuve // Bndu _1,1.1 //
   jitaṃ bhagavatā tena hariṇā lokadhāriṇā /	jitam BagavatA tena hariNA loka DAriNA /
   ajena viśvarūpeṇa nirguṇena guṇātmanā // BndP_1,1.2 //	ajena viSva rUpeNa nirguNena guNa AtmanA // Bndu _1,1.2 //
   brahmāṇaṃ lokakarttāraṃ sarvajñamaparājitam /	brahmANam loka karttAram sarvajQam aparAjitam /
   prabhuṃbhūtabhaviṣyasya sāmpratasya ca satpatim // BndP_1,1.3 //	praBuMBUta Bavizyasya sAmpratasya ca sat patim // Bndu _1,1.3 //
   jñānamabratimaṃ tasya vairāgyaṃ ca jagatpateḥ /	jQAnam abratimam tasya vErAgyam ca jagatpateH /
   aiśvaryyaṃ caiva dharmaśca sadbhiḥ sevyaṃ catuṣṭayam // BndP_1,1.4 //	ESvaryyam ca eva DarmaH ca sadBiH sevyam catuzwayam // Bndu _1,1.4 //
   imānnarasya vai bhāvānnityaṃ sadasadātmakān /	imAn narasya vE BAvAn nityam sat asat AtmakAn /
   aviṃśakaḥ punastānvai kriyābhāvārthamīśvaraḥ // BndP_1,1.5 //	aviMSakaH punar tAn vE kriyA BAva arTam ISvaraH // Bndu _1,1.5 //
   lokakṛllokatattvajño yogamāsthāya yogavit /	loka kRt loka tattva jQaH yogam AsTAya yoga vid /
   asṛjatsarvabhūtāni sthāvarāṇi carāṇi ca // BndP_1,1.6 //	asRjat sarva BUtAni sTAvarANi carANi ca // Bndu _1,1.6 //
   tasahaṃ viśvakarmāṇaṃ satpatiṃ lokasākṣiṇam /	tasaham viSvakarmANam sat patim loka sAkziNam /
   purāṇākhyānajijñāsurgacchāmi śaraṇaṃ vibhum // BndP_1,1.7 //	purANa AKyAna jijQAsuH gacCAmi SaraNam viBum // Bndu _1,1.7 //
   purāṇaṃ lokatattvārthamaśilaṃ vedasaṃmitam /	purANam loka tattva arTam aSilam veda saMmitam /
   praśaśaṃsa sa bhagavān vasiṣṭhāya prajāpatiḥ // BndP_1,1.8 //	praSaSaMsa sa BagavAn vasizWAya prajApatiH // Bndu _1,1.8 //
   tattvajñānāmṛtaṃ puṇyaṃ vasiṣṭho bhagavānṛṣiḥ /	tattva jQAna amRtam puNyam vasizWaH BagavAn RziH /
   pautramadhyāpayāmāsa śakteḥ putraṃ parāśaram // BndP_1,1.9 //	pOtram aDyApayAmAsa SakteH putram parASaram // Bndu _1,1.9 //
   parāśaraśca bhagavān jātūkarṇyamṛṣiṃ purā /	parASaraH ca BagavAn jAtUkarNyam Rzim purA /
   tamadhyāpitavāndivyaṃ purāṇaṃ vedasaṃmitam // BndP_1,1.10 //	tam aDyA pitavAn divyam purANam veda saMmitam // Bndu _1,1.10 //
   adhigamya purāṇaṃ tu jātūkarṇyo viśeṣavit /	aDigamya purANam tu jAtUkarNyaH viSeza vid /
   dvaipāyanāya pradadau paraṃ brahma sanātanam // BndP_1,1.11 //	dvEpAyanAya pradadO param brahma sanAtanam // Bndu _1,1.11 //
   dvaipāyanastataḥ prītaḥśaṣyebhyaḥpradadauvaśī /	dvEpAyanaH tatas prItaHSazyeByaH pradadOvaSI /
   lokatattvavidhānārthaṃ pañcabhyaḥ paramādbhutam // BndP_1,1.12 //	loka tattva viDAna arTam paQcaByaH parama adButam // Bndu _1,1.12 //
   vikhyāpanārthaṃ lokeṣu bahvarthaṃ śrutisaṃmatam /	viKyApana arTam lokezu bahu arTam Sruti saMmatam /
   jaiminiñca sumantuṃ ca vaiśaṃpāyanamevaca // BndP_1,1.13 //	jEminiQca sumantum ca vESaMpAyanam eva ca // Bndu _1,1.13 //
   caturthaṃ pailavaṃ teṣāṃ pañcamaṃ lomaharṣaṇam /	caturTam pElavam tezAm paQcamam loma harzaNam /
   sūtamadbhutavṛttāntaṃ vinītaṃ dhārmikaṃ śrucim // BndP_1,1.14 //	sUtam adButa vRttAntam vinItam DArmikam Srucim // Bndu _1,1.14 //
   adhītya ca purāṇaṃ ca vinīto lomaharṣaṇaḥ /	aDItya ca purANam ca vinItaH loma harzaNaH /
   ṛṣiṇā ca tvayā pṛṣṭaḥ kṛtaprajñaḥ sudhārmikaḥ // BndP_1,1.15 //	RziNA ca tvayA pRzwaH kRta prajQaH su DArmikaH // Bndu _1,1.15 //
   vasiṣṭhaścāpi munibhiḥ praṇāmya śirasā munīn /	vasizWaH ca api muniBiH praNAmya SirasA munIn /
   bhaktyā paramayā yuktaḥ kṛtvā cāpi pradakṣiṇam // BndP_1,1.16 //	BaktyA paramayA yuktaH kRtvA ca api pradakziNam // Bndu _1,1.16 //
   avāptavidyaḥ sartuṣṭaḥ kurukṣetramupāgamat /	avApta vidyaH saRtuzwaH kurukzetram upAgamat /
   satre savitate yatra yajamānānṛṣīñśucīn // BndP_1,1.17 //	satre sa vitate yatra yajamAnAn RzIn SucIn // Bndu _1,1.17 //
   vinayenopasaṃgamya satrriṇo romaharṣaṇam /	vinayena upasaMgamya sa trriNaH roma harzaNam /
   vidhānato yathāśāstraṃ prajñayātijagāma ha // BndP_1,1.18 //	viDAnataH yaTASAstram prajQayA atijagAma ha // Bndu _1,1.18 //
   ṛṣayaścāpi te sarve tadānīṃ romaharṣaṇam /	RzayaH ca api te sarve tadAnIm roma harzaNam /
   dṛṣṭvā paramasaṃhṛṣṭāḥ prītāḥ sumanasastathā // BndP_1,1.19 //	dRzwvA parama saMhRzwAH prItAH sumanasaH taTA // Bndu _1,1.19 //
   satkārairarccayāmāsurarghyapādyādibhistataḥ /	satkArEH aRccayAmAsuH arGya pAdya AdiBiH tatas /
   abhivādya munīnsarvān rājājñāmabhigamya ca // BndP_1,1.20 //	aBivAdya munIn sarvAn rAja AjQAm aBigamya ca // Bndu _1,1.20 //
