   1. jñānādhikāraḥ //	1. jQAna-aDikAraH //
   kathaṃ cid āsādya maheśvarasya dāsyaṃ janasyāpy upakāram icchan /	kaTam cit AsAdya maheSvarasya dAsyam janasya-api upakAram icCan /
   samastasaṃpatsamavāptihetuṃ tatpratyabhijñām upapādayāmi // Ipk_1,1.1 //	samasta-saMpad-samavApti-hetum tad-pratyaBijQAm upapAdayAmi // IpS-_1,1.1 //
   Ipv: parameśvaraprasādād eva labdhātyantadurlabhataddāsyalakṣmīr aham	Ipv: parameSvara-prasAdAt eva labDa-atyanta-durlaBa-taddAsya-lakzmIH aham
   ekākisaṃpadā lajjamāno janam apīmam akhilaṃ svasvāminaṃ vakṣyamāṇopāyena	ekAki-saMpadA lajjamAnaH janam api-imam aKilam sva-svAminam vakzyamANa-upAyena
   pratyabhijñāpayāmi yena paramārthalābhena parituṣyeyam //	pratyaBijQApayAmi yena parama-arTa-lABena parituzyeyam //
   kartari jñātari svātmany ādisiddhe maheśvare /	kartari jQAtari sva-Atmani Adi-sidDe maheSvare /
   ajaḍātmā niṣedhaṃ vā siddhiṃ vā vidadhīta kaḥ // Ipk_1,1.2 //	ajaxa-AtmA nizeDam vA sidDim vA vidaDIta kaH // IpS-_1,1.2 //
   Ipv: sarveṣāṃ svātmanaḥ sarvārthasiddhisamāśrayasya	Ipv: sarvezAm sva-AtmanaH sarva-arTa-sidDi-samASrayasya
   tattatsarvārthasādhanānyathānupapattyā kroḍīkṛtasiddheḥ svaprakāśasya	tad-tad-sarva-arTa-sADanAni-aTa-anupapattyA kroxIkRta-sidDeH sva-prakASasya
   pramātrekavapuṣaḥ pūrvasiddhasya purāṇasya jñānaṃ kriyā ca /	pramAtR-eka-vapuzaH pUrva-sidDasya purANasya jQAnam kriyA ca /
   svasaṃvedanasiddham aiśvaryaṃ, teneśvarasya siddhau nirākaraṇe ca jaḍānām	sva-saMvedana-sidDam ESvaryaM, tena-ISvarasya sidDO nirAkaraNe ca jaxAnAm
   evodyamaḥ //	eva-udyamaH //
   kiṃ tu mohavaśād asmin dṛṣṭe 'py anupalakṣite /	kim tu moha-vaSAt asmin dRzwe api anupalakzite /
   śaktyāviṣkaraṇeneyaṃ pratyabhijñopadarśyate // Ipk_1,1.3 //	Sakti-AvizkaraNena-iyam pratyaBijQA-upadarSyate // IpS-_1,1.3 //
   Ipv: kevalam asya svasaṃvedanasiddhasyāpīśvarasya māyāvyāmohād	Ipv: kevalam asya sva-saMvedana-sidDasya-api-ISvarasya mAyAvyA-mohAt-
   ahṛdayaṃgamatvād asādhāraṇaprabhāvābhijñānakhyāpanena dṛḍhaniścayarūpaṃ	ahRdayaMgama-tvAt asADAraNa-praBAva-aBijQAna-KyApanena dRXa-niScaya-rUpam
   pratyabhijñānamātram upadarśyate //	pratyaBijQAna-mAtram upadarSyate //
   tathā hi jaḍabhūtānāṃ pratiṣṭhā jīvadāśrayā /	taTA hi jaxa-BUtAnAm pratizWA jIvat-ASrayA /
   jñānaṃ kriyā ca bhūtānāṃ jīvatāṃ jīvanaṃ matam // Ipk_1,1.4 //	jQAnam kriyA ca BUtAnAm jIvatAm jIvanam matam // Ipk-_1,1.4 //
   Ipv: vastūnāṃ jaḍājaḍabhedena dvaividhyam / tatra jaḍasvarūpasya	Ipv: vastUnAm jaxa-ajaxa-Bedena dvEviDyam / tatra jaxa-svarUpasya
   jīvanniṣṭhā siddhiḥ, jīvatāṃ puno jīvatvaṃ jīvanaṃ jñānakriye eva //	jIvannizWA sidDiH, jIvatAm punaH jIva-tvam jIvanam jQAna-kriye eva //
   tatra jñānaṃ svataḥsiddhaṃ kriyā kāyāśritā satī /	tatra jQAnam svatas-sidDam kriyA kAya-ASritA satI /
   parair apy upalakṣyeta tayānyajñānam ūhyate // Ipk_1,1.5 //	parEH api upalakzyeta tayA-anya-jQAnam Uhyate // IpS-_1,1.5 //
   Ipv: jīvatāṃ kriyā kāyaparispandaparyantībhūtānyatrāpi pratyakṣā, jñānam	Ipv: jIvatAm kriyA kAya-parispanda-paryantIBUtAni-atra-api pratyakzA, jQAnam
   ātmavedyaṃ paratrāpi kriyayaiva prasidhyatīti siddha eva	Atma-vedyam paratra-api kriyayA-eva prasiDyati-iti sidDaH eva
   svasaṃvedanasaṃvedyatayā svaparayor īśvaro 'haṃpratyeya ātmā, tasya	sva-saMvedana-saMvedya-tayA sva-parayoH ISvaraH ahaMpratyeyaH AtmA, tasya
   māyāśaktyā nisargatirodhānād evaṃ vimatiḥ //	mAyA-SaktyA nisarga-tiroDAnAt evam vimatiH //
   ity upodghātaḥ //	iti upodGAtaH //
   iti jñānādhikāre prathamam āhnikam //	iti jQAna-aDikAre praTamam Ahnikam //
   nanu svalakṣaṇābhāsaṃ jñānam ekaṃ paraṃ punaḥ /	nanu sva-lakzaNa-ABAsam jQAnam ekam param punar /
   sābhilāpaṃ vikalpākhyaṃ bahudhā nāpi tad dvayam // Ipk_1,2.1 //	sa-aBilApam vikalpa-AKyam bahuDA na-api tat dvayam // IpS-_1,2.1 //
   nityasya kasya cid draṣṭus tasyātrānavabhāsataḥ /	nityasya kasya cit drazwuH tasya-atra-anavaBAsataH /
   ahaṃpratītir apy eṣā śarīrādyavasāyinī // Ipk_1,2.2 //	ahaMpratItiH api ezA SarIra-Adi-avasAyinI // IpS-_1,2.2 //
   Ipv: jñānam ekaṃ sphuṭāvabhāsasvalakṣaṇānubhavasvarūpaṃ nirvikalpakaṃ te	Ipv: jQAnam ekam sPuwa-avaBAsa-sva-lakzaNa-anuBava-svarUpam nirvikalpakam te
   kathayanti / aparaṃ tu śabdāruṣaṇayā smṛtisaṃśayotprekṣādibahubhedaṃ	kaTayanti / aparam tu Sabda-aruzaNayA smRti-saMSaya-utprekzA-Adi-bahu-Bedam
   vikalpasaṃjñam / ubhayam apy etan na yujyate	vikalpa-saMjQam / uBayam api etat na yujyate
   bodharūpajñānātiriktasyānyasya saṃbandhitayā tasyānupalabdheḥ / ko 'sau	boDa-rUpa-jQAna-atiriktasya-anyasya saMbanDi-tayA tasya-anupalabDeH / kaH asO
   sthirarūpa ātmā ? sābhilāpāhaṃpratyayenāpi śarīrādikavedyavastūttīrṇo	sTira-rUpaH AtmA ? sa-aBilApa-ahaM-pratyayena-api SarIra-Adika-vedya-vaH-tu-uttIrNaH-
   vedayitā na kaś cid lokair avadhāryate //	vedayitA na kaH cit lokEH avaDAryate //
   athānubhavavidhvaṃse smṛtis tadanurodhinī /	aTa-anuBava-viDvaMse smRtiH tad-anuroDinI /
   kathaṃ bhaven na nityaḥ syād ātmā yady anubhāvakaḥ // Ipk_1,2.3 //	kaTam Bavet na nityaH syAt AtmA yadi anuBAvakaH // IpS-_1,2.3 //
   Ipv: smṛtikāle pūrvānubhavanāśāt kathaṃ pūrvārthānubhavāvaṣṭambhadharmā	Ipv: smRti-kAle pUrva-anuBava-nASAt kaTam pUrva-arTa-anuBava-avazwamBa-DarmA
   smṛtir jāyeta yadi tadāpi tadanubhavabodho nānuvarteta, yaś	smRtiH jAyeta yadi tadA-api tad-anuBava-boDaH na-anuvarteta, yaH-
   cānekakālasthāyī bodhaḥ sa evātmānubhāvitā //	ca-aneka-kAla-sTAyI boDaH saH eva-Atma-anuBAvitAH //
   satyāpy ātmani dṛṅnāśāt taddvārā dṛṣṭavastuṣu /	satyA-api Atmani dRS-nASAt tad-dvArAH dRzwa-vastuzu /
   smṛtiḥ kenātha yatraivānubhavas tatpadaiva sā // Ipk_1,2.4 //	smRtiH kena-aTa yatra-eva-anuBavaH tad-padA-eva sA // IpS-_1,2.4 //
   Ipv: arthābhāsanāśāt tanmukhāvalambanīyo viṣayo 'py atra nāsti smṛter ity	Ipv: arTa-ABAsa-nASAt tad-muKa-avalambanIyaH vizayaH api atra na-asti smRteH iti-
   ekabodhātmani saty api ātmani sā nirviṣayaivetivyavahārocchedaḥ / asato	eka-boDa-Atmani sati api Atmani sA nirvizaya-eva-iti-vyavahAra-ucCedaH / asataH-
   'py arthānubhavasya viṣayeṇa sā viṣayavatī yadi //	api arTa-anuBavasya vizayeNa sA vizayavatI yadi //
   yato hi pūrvānubhava- saṃskārāt smṛtisaṃbhavaḥ /	yatas hi pUrva-anuBava saMskArAt smRti-saMBavaH /
   yady evam antargaḍunā ko 'rthaḥ syāt sthāyinātmanā // Ipk_1,2.5 //	yadi evam antar-gaxunA kaH arTaH syAt sTAyina-AtmanA // IpS-_1,2.5 //
   Ipv: anubhavāt saṃskāraḥ saṃskārāc ca smṛtir jāyamānā taṃ pūrvānubhavam	Ipv: anuBavAt saMskAraH saMskArAt ca smRtiH jAyamAnA tam pUrva-anuBavam
   anukurvaty evāvagāhitaviṣayaṃ tam anubhavam ābhāsayati / evam	anukurvati eva-avagAhita-vizayam tam anuBavam ABAsayati / evam
   ātmasthairyeṇa kim anupayoginā saṃskārasyātmavāde 'py aṅgīkaraṇāt tenaiva	Atma-sTEryeNa kim anupayoginA saMskArasya-Atma-vAde api aFgIkaraNAt tena-eva
   ca siddheḥ //	ca sidDeH //
   tato bhinneṣu dharmeṣu tatsvarūpāviśeṣatah /	tatas Binnezu Darmezu tad-svarUpa-aviSezatah /
   saṃskārāt smṛitisiddhau syāt smartā draṣṭeva kalpitaḥ // Ipk_1,2.6 //	saMskArAt smRiti-sidDO syAt smartA drazwA-iva kalpitaH // IpS-_1,2.6 //
   Ipv: sukhaduḥkhajñānādibhinnadharmāśrayatvenāpy ātmano 'nupayogo bhinnair	Ipv: suKa-duHKa-jQAna-Adi-Binna-Darma-ASraya-tvena-api AtmanaH anupayogaH BinnEH-
   dharmair asaṃbhinnasyānupajātaviśeṣasya smṛtav avyāpṛteḥ / tad draṣṭṛvat	DarmEH asaMBinnasya-anupajAta-viSezasya smRtav avyApRteH / tat drazwR-vat-
   kalpanāmātram etad ātmā smṛteti //	kalpanA-mAtram etat AtmA smRtA-iti //
   jñānaṃ ca citsvarūpaṃ cet tad anityaṃ kim ātmavat /	jQAnam ca cit-svarUpam ced tat anityam kim Atma-vat /
   athāpi jaḍam etasya katham arthaprakāśatā // Ipk_1,2.7 //	aTa-api jaxam etasya kaTam arTa-prakASa-tA // IpS-_1,2.7 //
   Ipv: citsvābhāvye jñānasya cety adharmadeśakālāveśayogād ātmana iva	Ipv: cit-svABAvye jQAnasya ca-iti aDarma-deSa-kAla-AveSa-yogAt AtmanaH iva
   nityatādiprasaṅgaḥ / jaḍatve katham arthasyāsau prakāśaḥ //	nitya-tA-Adi-prasaFgaH / jaxa-tve kaTam arTasya-asO prakASaH //
   athārthasya yathā rūpaṃ dhatte buddhis tathātmanaḥ /	aTa-arTasya yaTA rUpam Datte budDiH taTA-AtmanaH /
   caitanyam ajaḍā saivaṃ jāḍye nārthaprakāsatā // Ipk_1,2.8 //	cEtanyam ajaxA sA-evam jAxye na-arTa-prakAsa-tA // IpS-_1,2.8 //
   Ipv: jñānaṃ buddhiḥ / sā jaḍāpi yathā viṣayarūpachāyāṃ dhatte tathātmano	Ipv: jQAnam budDiH / sA jaxA-api yaTA vizaya-rUpa-CAyAm Datte taTA-AtmanaH-
   'pi caitanyachāyām, ato 'sav arthaprakāśas tathā ca tasyāś citsvarūpatā	api cEtanya-CAyAm, atas asa arTa-prakASaH taTA ca tasyAH cit-svarUpa-tA
   syāt / evaṃ jñānaṃ sad api nānyasya saṃbandhi, anupapatteḥ / kriyā tu na	syAt / evam jQAnam sat api na-anyasya saMbanDi, anupapatteH / kriyA tu na
   svarūpeṇāsti nānyasaṃbandhitayā //	sva-rUpeNa-asti na-anya-saMbanDi-tayA //
   kriyāpy arthasya kāyādes tattaddeśādijātatā /	kriyA-api arTasya kAya-AdeH tad-tad-deSa-Adi-jAta-tA /
   nānyādṛṣṭer na sāpy ekā kramikaikasya cocitā // Ipk_1,2.9 //	na-anya-adRzweH na sA-api ekA kramikA-ekasya ca-ucitA // Ipk-_1,2.9 //
   Ipv: kriyāpi pūrvāparībhūtavayavaikā kārakavyāpārarūpā na yuktā	Ipv: kriyA-api pUrva-aparIBUta-vayava-ekA kAraka-vyApAra-rUpA na yuktA
   kramikasyānekakālaspṛśah svātmāikyāyogāt, nāpi kālakramavyāpī	kramikasya-aneka-kAla-spRSah sva-Atma-aikyA-yogAt, na-api kAla-krama-vyApI
   caikasvabhāvaś ca tasyā āśrayo yuktaḥ, kevalaṃ gamanapariṇāmādirūpā sā	ca-eka-svaBAvaH ca tasyAH ASrayaH yuktaH, kevalam gamana-pariNAma-Adi-rUpA sA
   kriyā / kāyādīnāṃ tu tattadbhinnadeśakālagatapūrvasattāmātram etad	kriyA / kAya-AdInAm tu tad-tad-Binna-deSa-kAla-gata-pUrva-sattA-mAtram etat-
   atiriktasyānyasyānupalambhāt //	atiriktasya-anyasya-anupalamBAt //
   tatra tatra sthite tat tad bhavatīty eva dṛśyate /	tatra tatra sTite tat tat Bavati-iti eva dRSyate /
   nānyan nānyo 'sti saṃbandhaḥ kāryakāraṇabhāvataḥ // Ipk_1,2.10 //	na-anyat na-anyaH asti saMbanDaH kArya-kAraNa-BAvataH // Ipk-_1,2.10 //
   Ipv: pūrvasmin sati parasya sattety etāvanmātre 'nubhavaḥ / kriyāvac ca na	Ipv: pUrvasmin sati parasya sattA-iti etAvat-mAtre anuBavaH / kriyAvat ca na
   kriyākārakasaṃbandhaḥ kaś cid bhinnasyāsyānupalambhāt / kāryakāraṇabhāvād	kriyA-kAraka-saMbanDaH kaH cit Binnasya-asya-anupalamBAt / kArya-kAraNa-BAvAt-
   ṛte nānyad vastūnāṃ jñāteyam //	Rte na-anyat vastUnAm jQAtA-iyam //
   dviṣṭhasyānekarūpatvāt siddhasyānyānapekṣaṇāt /	dvizWasya-aneka-rUpa-tvAt sidDasya-anya-anapekzaNAt /
   pāratantryādyayogāc ca tena kartāpi kalpitaḥ // Ipk_1,2.11 //	pAratantrI-a-AdyayogAt ca tena kartA-api kalpitaH // IpS-_1,2.11 //
   Ipv: sambandho dviṣṭho na caikenātmanobhayatrāvasthitir yuktā na ca dvayoḥ	Ipv: sambanDaH dvizWaH na ca-ekena-AtmanaH-Bayatra-avasTitiH yuktAH na ca dvayoH
   siddhayor anyonyāpekṣātmā nāpi svātmamātraniṣṭhayoḥ pāratantryarūpaḥ	sidDayoH anyonya-apekzA-AtmA na-api sva-Atma-mAtra-nizWayoH pAratantrya-rUpaH
   saṃbandhaḥ / tato yathā jñātṛtvaṃ kalpitaṃ tathā kartṛtvam apīti katham	saMbanDaH / tatas yaTA jQAtR-tvam kalpitam taTA kartR-tvam api-iti kaTam
   ātmā sarveśara iti ? //	AtmA sarveSaraH iti ? //
   satyaṃ kiṃ tu smṛtijñānaṃ pūrvānubhavasaṃskṛteḥ /	satyam kim tu smRti-jQAnam pUrva-anuBava-saMskRteH /
   jātam apy ātmaniṣṭhaṃ tan nādyānubhavavedakam // Ipk_1,3.1 //	jAtam api Atma-nizWam tat na-adya-anuBava-vedakam // IpS-_1,3.1 //
