   prathamaṃ kośasthānam	praTamam koSa sTAnam
   oṃ namo buddhāya	om namaH budDAya
        yaḥ sarvathāsarvahatāndhakāraḥ saṃsārapaṅkājjagadujjahāra /	yaH sarvaTA sarva hata anDakAraH saMsAra paFkAt jagat ujjahAraH /
        tasmai namaskṛtya yathārthaśāstre śāstraṃ pravakṣyāmyabhidharmakośam	tasmE namaskRtya yaTArTaSAstre SAstram pravakzyAmi aBiDarma koSam
   // VAkK_1.1 //	// VAkK_1.1 //
   śāstraṃ praṇetukāmaḥ svasya śāsturmāhātmyajñāpanārthaṃ guṇākhyānapūrvakaṃ	SAstram praNetu kAmaH svasya SAstuH mAhAtmya jQApana arTam guNa AKyAna pUrvakam
   tasmai namaskāramārabhate ya iti /	tasmE namaskAram AraBate yaH iti /
   buddhaṃ bhagavantamadhikṛtyāha hatamasyāndhakāramanena veti hatāndhakāraḥ	budDam Bagavantam aDikRtya Aha hatam asya anDakAram anena vA iti hata anDakAraH
   sarveṇa prakāreṇa sarvasmin hatāndhakāraḥ sarvathāsarvahatāndhakāraḥ /	sarveNa prakAreNa sarvasmin hata anDakAraH sarvaTA sarva hata anDakAraH /
   ajñānaṃ hi bhūtārthadarśanapratibandhādhakāram /	ajQAnam hi BUta arTa darSana pratibanDa aDakAram /
   tacca bhagavato buddhasya pratipakṣalābhenātyantaṃ sarvathā sarvatra jñeye	tat ca BagavataH budDasya pratipakza lABena atyantam sarvaTA sarvatra jQeye
   punaranutpattidharmatvāddhatam /	punar anutpatti Darma tvAt hatam /
   ato 'sau sarvathāsarvahatāndhakāraḥ /	atas asO sarvaTA sarva hata anDakAraH /
   pratyaikabuddhaśrāvakā api kāmaṃ sarvatra hatāndhakārāḥ /	pratyEkabudDa SrAvakAH api kAmam sarvatra hata anDakArAH /
   kliṣṭasaṃmohātyantavigamāt /	klizwa saMmoha atyanta vigamAt /
   na tu sarvathā /	na tu sarvaTA /
   tatha hyeṣāṃ buddhadharmeṣvativiprakṛṣṭadeśakāleṣu artheṣu	taTa hi ezAm budDa Darmezu ati viprakRzwa deSa kAlezu arTezu
   cānantaprabhedeṣu bhavatyevākliṣṭamajñānam /	ca ananta praBedezu Bavati eva aklizwam ajQAnam /
   ityātmahitapratipattisaṃpadā saṃstutya punastameva bhagavantaṃ	iti Atma hita pratipatti saMpadA saMstutya punar tam eva Bagavantam
   parahitapratipattisaṃpadā saṃstauti saṃsārapaṅkājjagadujjahāreti /	para hita pratipatti saMpadA saMstOti saMsAra paFkAt jagat ujjahAra iti /
   saṃsāro hi jagadāsaṅgasthānatvāt duruttaratvācca paṅkabhūtaḥ /	saMsAraH hi jagat AsaFga sTAna tvAt duruttara tvAt ca paFka BUtaH /
   tatrāvamagnaṃ jagadatrāṇamanukampamāno bhagavān	tatra avamagnam jagat atrANam anukampamAnaH BagavAn
   saddharmadeśanāhastapradānairyathābhavyamabhyuddhṛtavān iti ya	sadDarma deSanA hasta pradAnEH yaTABavyam aByudDRtavAn iti ya
   evamātmaparahitapratipattisaṃpadā yuktastasmai namaskṛtyeti śirasā	evam Atma para hita pratipatti saMpadA yuktaH tasmE namaskRtyA iti SirasA
   praṇipatya /	praNipatya /
   yathārthamaviparītaṃ śāstīti yathārthaśāstā /	yaTArTam aviparItam SAsti iti yaTArTa SAstA /
   anena parahitapratipattyupāyamasyāviṣkaroti /	anena para hita pratipatti upAyam asya Avizkaroti /
   yathābhūtaśāsanācchāstā bhavanntasau saṃsārapaṅkājjagadujjahāra na	yaTABUta SAsanAt SAstA Bavan= tasO saMsAra paFkAt jagat ujjahAra na
   tvṛddhivarapradānaprabhāveṇeti /	tvRdDi vara pradAna praBAveNa iti /
   tasmai namaskṛtya kiṃ kariṣyāmī tyāha śāstraṃ pravakṣyāmi /	tasmE namaskRtya kim karizyAmI tyAha SAstram pravakzyAmi /
   śiṣyaśāsanācchāstram /	Sizya SAsanAt SAstram /
   katamacchāstramityāha abhidharmakośam	katamat SAstram iti Aha aBiDarma koSam
   ko 'yamabhidharmo nāma /	kaH ayam aBiDarmaH nAma /
        prajñā 'malā sānucarā 'bhidharmaḥ (1 2a)	prajQA amalA sa anucarAH aBiDarmaH (1 2a)
   tatra prajñā dharmapravicayaḥ/	tatra prajQA Darma pravicayaH/
   amaleti anāsravā /	amala iti anAsravAH /
   sānucareti saparivārā /	sa anucara iti sa parivArAH /
   evamanāsravaḥ pañcaskandhako 'bhidharma ityuktaṃ bhavati /	evam anAsravaH paQca skanDakaH aBiDarmaH iti uktam Bavati /
   eṣa tāvat pāramārthiko 'bhidharmaḥ /	eza tAvat pAramArTikaH aBiDarmaH /
   sāṃketikastu	sAMketikaH tu
        tatprāptaye yāpi ca yacca śāstram / (1 2b)	tad prAptaye yA api ca yat ca SAstram / (1 2b)
   yāpi ca śrutacintābhāvanāmayī sāsravā prajñā upapattipratilambhikā ca	yA api ca Sruta cintA BAvanA mayI sa AsravA prajQA upapatti pratilamBikA ca
   sānucarā /	sa anucarAH /
   yacca śāstramasyāḥ prāptyarthamanāsravāyāḥ prajñāyāḥ tadapi	yat ca SAstram asyAH prApti arTam anAsravAyAH prajQAyAH tat api
   tatsaṃbhārabhāvādabhidharma ityucyate /	tad saMBAra BAvAt aBiDarmaH iti ucyate /
   nirvacanaṃ tu svalakṣaṇadhāraṇād dharmaḥ /	nirvacanam tu sva lakzaNa DAraNAt DarmaH /
   tadayaṃ paramārthadharmaṃ vā nirvāṇaṃ dharmalakṣaṇaṃ vā pratyabhimukho	tat ayam parama arTa Darmam vA nirvANam Darma lakzaNam vA pratyaBimuKaH 
   dharma ityabhidharmaḥ /	DarmaH iti aBiDarmaH /
   ukto 'bhidharmaḥ /	uktaH aBiDarmaH /
   idaṃ tu śāstraṃ kathamabhidharmakośam /	idam tu SAstram kaTam aBiDarma koSam /
        tasyārthato 'smin samanupraveśāt	tasya arTataH asmin samanupraveSAt 
        sa cāśrayo syetyabhidharmakośam (1 2c 2d) // VAkK_1.2 //	sa ca ASrayaH sya iti aBiDarma koSam (1 2c 2d) // VAkK_1.2 //
   sa hi śāstrasaṃjñako 'bhidharma etasminnarthato yathāpradhānamantarbhūta	sa hi SAstra saMjQakaH aBiDarme etasmin= arTataH yaTApraDAnam antarBUta
   ityetacchāstraṃ tasya kośasthānīyaṃ bhavati /	iti etat SAstram tasya koSa sTAnIyam Bavati /
   athavā so 'bhidharma etasyāśrayabhūtaḥ śāstrasya /	aTavA saH aBiDarme etasya ASraya BUtaH SAstrasya /
   tato hyetannirākṛṣṭam /	tatas hi etat nirAkRzwam /
   ataḥ sa evāsyābhidharmaḥ kośa ityetacchāstramabhidharvarmakośam /	atas saH eva asya aBiDarmaH koSaH iti etat SAstram aBiDarvarma koSam /
   kimarthaṃ punarabhidharmopadeśaḥ kena cāyaṃ prathamata upadiṣṭo yaṭa	kimarTam punar aBiDarma upadeSaH kena ca ayam praTamatas upadizwaH yawa
   ācāryo 'bhidharmakośaṃ vaktumādriyata iti //	AcAryaH aBiDarma koSam vaktum Adriyate iti //
   āha//	Aha//
        dharmāṇāṃ pravicayamantareṇa nāsti kleśānāṃ yata upaśāntaye	DarmANAm pravicayam antareNa na asti kleSAnAm yatas upaSAntaye
   'bhyupāyaḥ /	aByupAyaH /
        kleśaiśca bhramati bhavārṇave 'tra lokastaddhetorata uditaḥ kilaiṣa	kleSEH ca Bramati Bava arNave atra lokaH tad hetoH atas uditaH kila eza
   śāstrā // VAkK_1.3 //	SAstrA // VAkK_1.3 //
   yato na vinā dharmapravicayenāsti kleśopaśamābhyupāyaḥ /	yatas na vinA Darma pravicayena asti kleSa upaSama aByupAyaH /
   kleśāśca lokaṃ bhramayanti saṃsāramahārṇeve 'sminan /	kleSAH ca lokam Bramayanti saMsAra mahA rNeve asminan /
   atastaddhetostasya dharmapravicayasyārthe śāstrā kila buddhenābhidharma	atas tad hetoH tasya Darma pravicayasya arTe SAstrA kila budDena aBiDarma
   uktaḥ /	uktaH /
   nahi vinā 'bhidharmopadeśena śiṣyaḥ śakto dharmān pravicetumiti /	na hi vinA aBiDarma upadeSena SizyaH SaktaH DarmAn pravicetum iti /
   sa tu prakīrṇa ukto bhagavatā bhadantakātyāyanīputra prabhṛtibhiḥ	sa tu prakIrNaH uktaH BagavatA BadantakAtyAyanI putra  praBRtiBiH
   piṇḍīkṛtya sthapitobhadanta dharmatrāto	piNxIkRtya sTapitA uBadanta Darma trAtaH 
   dānavargīyakaraṇavadityāhurvaibhāṣikāḥ /	dAnavargIya karaNa vat iti AhuH vEBAzikAH /
