   Sātvatatantra, prathamaḥ paṭalaḥ	SAtvata-tantra, praTamaH pawalaH
   śrīsūta uvāca /	SrI-sUtaH uvAca /
   ya eko bahudhā kṛṣṇaḥ sṛṣṭyādau bahudheyate /	yaH ekaH bahuDA kRzNaH sRzwi-AdO bahu-Deyate /
   tam ahaṃ śaraṇaṃ yāmi paramānandavigraham // SatvT_1.1	tam aham SaraNam yAmi parama-Ananda-vigraham // SatvT_1.1
   kailāsaśikharāsīnaṃ śivaṃ śivakaraṃ param /	kElAsa-SiKara-AsInam Sivam Siva-karam param /
   nāradaḥ paripapraccha sarvabhūtahite rataḥ // SatvT_1.2	nAradaH paripapracCa sarva-BUta-hite rataH // SatvT_1.2
   bhagavan śrotum icchāmi harer adbhutakarmaṇaḥ /	Bagavan Srotum icCAmi hareH adButa-karmaNaH /
   śrīkṛṣṇasyāprameyasya nānā līlātanūr vibhoḥ // SatvT_1.3	SrI-kRzNasya-aprameyasya nAnA lIlA-tanUH viBoH // SatvT_1.3
   yadarthaṃ yatsvarūpaṃ ca yadyat kāle yathā rataḥ /	yad-arTam yat-svarUpam ca yat-yat kAle yaTA rataH /
   gṛhṇāti bhagavān svasthas tan mamākhyātum arhasi // SatvT_1.4	gRhNAti BagavAn svasTaH tat mama-AKyAtum arhasi // SatvT_1.4
   avatāranimittaṃ yac cirād vigrahasambhavam /	avatAra-nimittam yat cirAt vigraha-samBavam /
   prathamaṃ tattvato brūhi tvaṃ parāparavittamaḥ // SatvT_1.5	praTamam tattvataH brUhi tvam parApara-vittamaH // SatvT_1.5
   śrīśiva uvāca /	SrI-SivaH uvAca /
   pṛṣṭaṃ mahābhāga tvayā bhāgavatottama /	pRzwam mahABAga tvayA BAgavata-uttamaH /
   yad ahaṃ noditaḥ samyagbhagavadvīryavarṇane // SatvT_1.6	yat aham na-uditaH samyak-Bagavat-vIrya-varNane // SatvT_1.6
   śrīviṣṇor avatārāṇāṃ virājaś ca mahāmate /	SrI-vizNoH avatArANAm virAjaH ca mahAmate /
   kathane naiva paśyāmi pāraṃ varṣaśatair api /	kaTane na-eva paSyAmi pAram varza-SatEH api /
   tathāpi sāram uddhṛtya tantrarūpeṇa nārada // SatvT_1.7	taTA-api sAram udDRtya tantra-rUpeNa nArada // SatvT_1.7
   varṇayāmi yathaivoktam īśvareṇa dayālunā /	varNayAmi yaTA-eva-uktam ISvareNa dayAlunA /
   jayapūrvaṃ namaskṛtya goparūpiṇam īśvaram // SatvT_1.8	jaya-pUrvam namaskRtya gopa-rUpiNam ISvaram // SatvT_1.8
   vakṣye sātvatatantrākhyaṃ bhagavadbhaktivardhanam /	vakzye sAtvata-tantra-AKyam Bagavat-Bakti-varDanam /
