   BhP_11.01.001/0 śrī-śuka uvāca	BhP_11.01.001/0 SrI-SukaH uvAca
   BhP_11.01.001/1 kṛtvā daitya-vadhaṃ kṛṣṇaḥ sa-rāmo yadubhir vṛtaḥ	Bhu-_11.01.001/1 kRtvA dEtya-vaDam kRzNaH sa-rAmaH yaduBiH vRtaH
   BhP_11.01.001/3 bhuvo 'vatārayad bhāraṃ javiṣṭhaṃ janayan kalim	Bhu-_11.01.001/3 BuvaH avatArayat BAram javizWam janayan kalim
   BhP_11.01.002/1 ye kopitāḥ su-bahu pāṇḍu-sutāḥ sapatnair	Bhu-_11.01.002/1 ye kopitAH su-bahu pANxu--sutAH sapatnEH-
   BhP_11.01.002/2 durdyūta-helana-kaca-grahaṇādibhis tān	Bhu-_11.01.002/2 durdyUta--hela-na--kaca--grahaNa-AdiBiH tAn
   BhP_11.01.002/3 kṛtvā nimittam itaretarataḥ sametān	Bhu-_11.01.002/3 kRtvA nimittam itaretarataH sametAn
   BhP_11.01.002/4 hatvā nṛpān niraharat kṣiti-bhāram īśaḥ	Bhu-_11.01.002/4 hatvA nRpAt niraharat kziti-BAram ISaH
   BhP_11.01.003/1 bhū-bhāra-rāja-pṛtanā yadubhir nirasya	Bhu-_11.01.003/1 BU--BAra--rAja--pRtanA yaduBiH nirasya
   BhP_11.01.003/2 guptaiḥ sva-bāhubhir acintayad aprameyaḥ	Bhu-_11.01.003/2 guptEH sva-bAhuBiH acintayat aprameyaH
   BhP_11.01.003/3 manye 'vaner nanu gato 'py agataṃ hi bhāraṃ	Bhu-_11.01.003/3 manye avaneH nanu gataH api agatam hi BAram
   BhP_11.01.003/4 yad yādavaṃ kulam aho aviṣahyam āste	Bhu-_11.01.003/4 yat yAdavam kulam aho avizahyam Aste
   BhP_11.01.004/1 naivānyataḥ paribhavo 'sya bhavet kathañcin	Bhu-_11.01.004/1 na-eva-anyatas pariBavaH asya Bavet kaTaQcin
   BhP_11.01.004/2 mat-saṃśrayasya vibhavonnahanasya nityam	Bhu-_11.01.004/2 mat--saMSrayasya viBava-unnahanasya nityam
   BhP_11.01.004/3 antaḥ kaliṃ yadu-kulasya vidhāya veṇu-	Bhu-_11.01.004/3 antar kalim yadu-kulasya viDAya veNu-
   BhP_11.01.004/4 stambasya vahnim iva śāntim upaimi dhāma	Bhu-_11.01.004/4 stambasya vahnim iva SAntim upEmi DAma
   BhP_11.01.005/1 evaṃ vyavasito rājan satya-saṅkalpa īśvaraḥ	Bhu-_11.01.005/1 evam vyavasitaH rAjan satya--saFkalpaH ISvaraH
   BhP_11.01.005/3 śāpa-vyājena viprāṇāṃ sañjahre sva-kulaṃ vibhuḥ	Bhu-_11.01.005/3 SApa--vyAjena viprANAm saQjahre sva--kulam viBuH
   BhP_11.01.006/1 sva-mūrtyā loka-lāvaṇya- nirmuktyā locanaṃ nṛṇām	BhP_11.01.006/1 sva--mUrtyA loka-lAvaNya nirmuktyA locanam nRNAm
   BhP_11.01.006/3 gīrbhis tāḥ smaratāṃ cittaṃ padais tān īkṣatāṃ kriyāḥ	Bhu-_11.01.006/3 gIrBiH tAH smaratAm cittam padEH tAn IkzatAm kriyAH
   BhP_11.01.007/1 ācchidya kīrtiṃ su-ślokāṃ vitatya hy añjasā nu kau	Bhu-_11.01.007/1 AcCidya kIrtim su-SlokAm vitatya hi aQjasA nu kO
   BhP_11.01.007/3 tamo 'nayā tariṣyantīty agāt svaṃ padam īśvaraḥ	Bhu-_11.01.007/3 tamaH anayA tarizyanti-iti agAt svam padam ISvaraH
   BhP_11.01.008/0 śrī-rājovāca	Bhu-_11.01.008/0 SrI-rAjA-uvAca
   BhP_11.01.008/1 brahmaṇyānāṃ vadānyānāṃ nityaṃ vṛddhopasevinām	Bhu-_11.01.008/1 brahmaNyAnAm vadAnyAnAm nityam vRdDa-upasevinAm
   BhP_11.01.008/3 vipra-śāpaḥ katham abhūd vṛṣṇīnāṃ kṛṣṇa-cetasām	Bhu-_11.01.008/3 vipra-SApaH kaTam aBUt vRzNInAm kRzNa--cetasAm
   BhP_11.01.009/1 yan-nimittaḥ sa vai śāpo yādṛśo dvija-sattama	Bhu-_11.01.009/1 yan--nimittaH sa vE SApaH yAdRSaH dvija--sattama
   BhP_11.01.009/3 katham ekātmanāṃ bheda etat sarvaṃ vadasva me	Bhu-_11.01.009/3 kaTam eka-AtmanAm BedaH etat sarvam vadasva me
   BhP_11.01.010/0 śrī-bādarāyaṇir uvāca	BhP_11.01.010/0 SrI-bAdarAyaNiH uvAca
   BhP_11.01.010/1 bibhrad vapuḥ sakala-sundara-sanniveśaṃ	Bhu-_11.01.010/1 biBrat vapuH sakala--sundara--sanniveSam
   BhP_11.01.010/2 karmācaran bhuvi su-maṅgalam āpta-kāmaḥ	Bhu-_11.01.010/2 karma-Acaran Buvi su-maFgalam Apta-kAmaH
   BhP_11.01.010/3 āsthāya dhāma ramamāṇa udāra-kīṛtiḥ	Bhu-_11.01.010/3 AsTAya DAma ramamANaH udAra-kIRtiH
   BhP_11.01.010/4 saṃhartum aicchata kulaṃ sthita-kṛtya-śeṣaḥ	Bhu-_11.01.010/4 saMhartum EcCata kulam sTita-kRtya-SezaH
   BhP_11.01.011/1 karmāni puṇya-nivahāni su-maṅgalāni	Bhu-_11.01.011/1 karmAni puNya--nivahAni su-maFgalAni
   BhP_11.01.011/2 gāyaj-jagat-kali-malāpaharāṇi kṛtvā	Bhu-_11.01.011/2 gAyaj--jagat--kali--mala-apaharANi kRtvA
   BhP_11.01.011/3 kālātmanā nivasatā yadu-deva-gehe	Bhu-_11.01.011/3 kAla-AtmanA nivasatA yadu-deva--gehe
   BhP_11.01.011/4 piṇḍārakaṃ samagaman munayo nisṛṣṭāḥ	Bhu-_11.01.011/4 piNxArakam samagamat munayaH nisRzwAH
   BhP_11.01.012/1 viśvāmitro 'sitaḥ kaṇvo	Bhu-_11.01.012/1 viSvAmitraH asitaH kaNvaH-
   BhP_11.01.012/2 durvāsā bhṛgur aṅgirāḥ	Bhu-_11.01.012/2 durvAsAH BRguH aFgirAH
   BhP_11.01.012/3 kaśyapo vāmadevo 'trir	Bhu-_11.01.012/3 kaSyapaH vAmadevaH atriH-
   BhP_11.01.012/4 vasiṣṭho nāradādayaḥ	BhP_11.01.012/4 vasizWaH nArada-AdayaH
   BhP_11.01.013/1 krīḍantas tān upavrajya kumārā yadu-nandanāḥ	Bhu-_11.01.013/1 krIxantaH tAn upavrajya kumArAH yadu-nandanAH
