   1st kāṇḍa	1st kANxa
   anādinidhanam brahma śabdatattvaṃ yad akṣaram /	anAdiniDanam brahma Sabda tattvam yat akzaram /
   vivartate 'rthabhāvena prakriyā jagato yataḥ // BVaky_1.1 //	vivartate arTa BAvena prakriyA jagataH yatas // BVakI _1.1 //
   ekam eva yad āmnātaṃ bhinnaśaktivyapāśrayāt /	ekam eva yat AmnAtam Binna Sakti vyapASrayAt /
   apṛthaktve 'pi śaktibhyaḥ pṛthaktveneva vartate // BVaky_1.2 //	apRTaktve api SaktiByaH pRTaktvena iva vartate // BVakI _1.2 //
   adhyāhitakalāṃ yasya kālaśaktim upāśritāḥ /	aDyAhita kalAm yasya kAla Saktim upASritAH /
   janmādayo vikārāḥ ṣaḍ bhāvabhedasya yonayaḥ // BVaky_1.3 //	janma AdayaH vikArAH zaw BAva Bedasya yonayaH // BVakI _1.3 //
   ekasya sarvabījasya yasya ceyam anekadhā /	ekasya sarva bIjasya yasya ca iyam anekaDA /
   bhoktṛbhoktavyarūpeṇa bhogarūpeṇa ca sthitiḥ // BVaky_1.4 //	BoktR Boktavya rUpeNa Boga rUpeNa ca sTitiH // BVakI _1.4 //
   prāptyupāyo 'nukāraś ca tasya vedo maharṣibhiḥ /	prApti upAyaH anukAraH ca tasya vedaH mahA RziBiH /
   eko 'py anekavartmeva samāmnātaḥ pṛthak pṛthak // BVaky_1.5 //	ekaH api aneka vartmA iva samAmnAtaH pRTak pRTak // BVakI _1.5 //
   bhedānāṃ bahumārgatvaṃ karmaṇy ekatra cāṇgatā /	BedAnAm bahu mArga tvam karmaNi ekatra ca aNgatA /
   śabdānāṃ yataśaktitvaṃ tasya śākhāsu dṛṣyate // BVaky_1.6 //	SabdAnAm yata Sakti tvam tasya SAKAsu dRzyate // BVakI _1.6 //
   smṛtayo bahurūpās ca dṛṣṭādṛṣṭaprayojanāḥ /	smRtayaH bahu rUpAH ca dRzwa adRzwa prayojanAH /
   tam evāśritya liṅgebhyo vedavidbhiḥ prakalpitāḥ // BVaky_1.7 //	tam eva ASritya liFgeByaH veda vidBiH prakalpitAH // BVakI _1.7 //
   tasyārthavādarūpāṇi niśritāḥ svavikalpajāḥ /	tasya arTavAda rUpANi niSritAH sva vikalpa jAH /
   ekatvināṃ dvaitināṃ ca pravādā bahudhāgatā // BVaky_1.8 //	ekatvinAm dvEtinAm ca pravAdAH bahuDA AgatAH // BVakI _1.8 //
   satyā visuddhis tatroktā vidyaivekapadāgamā /	satyA visudDiH tatra uktA vidyA evekapada AgamA /
   yuktā praṇavarūpeṇa sarvavādāvirodhinā // BVaky_1.9 //	yuktA praNava rUpeNa sarva vAda aviroDinA // BVakI _1.9 //
   vidhātus tasya lokānām aṅgopāṅganibandhanāḥ /	viDAtuH tasya lokAnAm aFga upAFga nibanDanAH /
   vidyābhedāḥ pratāyante jnānasaṃskārahetavaḥ // BVaky_1.10 //	vidyA BedAH pratAyante jnAna saMskAra hetavaH // BVakI _1.10 //
   āsannaṃ brahmaṇas tasya tapasām uttamaṃ tapaḥ /	Asannam brahmaNaH tasya tapasAm uttamam tapaH /
   prathamaṃ chandasām aṅgam āhur vyākaraṇaṃ budhāḥ // BVaky_1.11 //	praTamam CandasAm aFgam AhuH vyAkaraNam buDAH // BVakI _1.11 //
   prāptarūpavibhāgāyā yo vācaḥ paramo rasaḥ /	prApta rUpa viBAgAyAH yaH vAcaH paramaH rasaH /
   yat tat puṇyatamaṃ jyotis tasya mārgo 'yam ānjasasḥ // BVaky_1.12 //	yat tat puNyatamam jyotiH tasya mArgaH ayam AnjasasH // BVakI _1.12 //
   arthapravṛttitattvānāṃ śabdā eva nibandhanam /	arTa pravRtti tattvAnAm SabdAH eva nibanDanam /
   tattvāvabodjaḥ śabdānaṃ nāsti vyākaraṇād ṛte // BVaky_1.13 //	tattva avabodjaH SabdAnam na asti vyAkaraNAt Rte // BVakI _1.13 //
   tad dvāram apavargasya vāṅmalānāṃ cikitsitam /	tat dvAram apavargasya vAc malAnAm cikitsitam /
   pavitraṃ sarvavidyānām adhividyaṃ prakāsate // BVaky_1.14 //	pavitram sarva vidyAnAm aDividyam prakAsate // BVakI _1.14 //
   yathārthajātayaḥ sarvāḥ sabākṛtinibandhanāḥ /	yaTArTa jAtayaH sarvAH sa bAkRti nibanDanAH /
   tathaiva loke vidyānām esā vidyā parāyanam // BVaky_1.15 //	taTA eva loke vidyAnAm esA vidyA parAyanam // BVakI _1.15 //
   idam ādyaṃ padasthānaṃ siddhisopānaparvaṇām /	idam Adyam pada sTAnam sidDi sopAna parvaNAm /
   iyaṃ sā mokṣamāṇānām ajihmā rājapaddhatiḥ // BVaky_1.16 //	iyam sA mokzamANAnAm ajihmA rAja padDatiH // BVakI _1.16 //
   atrātītaviparyāsaḥ kevalām anupasyati /	atra atIta viparyAsaH kevalAm anupasyati /
   chandasyas chandasāṃ yonim ātmā chandomayīṃ tanum // BVaky_1.17 //	CandasyaH CandasAm yonim AtmA CandaH mayIm tanum // BVakI _1.17 //
   pratyasthamitabhedāyā yad vāco rūpam uttamam /	pratyasTa mita BedAyAH yat vAcaH rUpam uttamam /
   yad asminn eva tamasi jyotiḥ suddhaṃ vivartate // BVaky_1.18 //	yat asmin eva tamasi jyotiH sudDam vivartate // BVakI _1.18 //
   vaikṛtaṃ samati krāntā mūrtivyāpāradarśanam /	vEkRtam samati krAntA mUrti vyApAra darSanam /
   vyatītyālokatamasī prakāśaṃ yam upāsate // BVaky_1.19 //	vyatItya AlokatamasI prakASam yam upAsate // BVakI _1.19 //
   yatra vāco nimettāni cihnānīvākṣarasmṛteḥ /	yatra vAcaH nimet tAni cihna Ani iva akzara smRteH /
   śabdapūrveṇa yogena bhāsante pratibimbavat // BVaky_1.20 //	Sabda pUrveNa yogena BAsante pratibimba vat // BVakI _1.20 //
   atharvaṇām aṅgirasāṃ sāṃnām ṛgyajuṣasya ca /	aTarvaNAm aFgirasAm sAMnAm Rc yajuzasya ca /
   yasminn uccāvacā varṇāḥ pṛthaksthitaparigrahāḥ // BVaky_1.21 //	yasmin uccAvacAH varNAH pRTak sTita parigrahAH // BVakI _1.21 //
   yad ekaṃ prakriyābhedair bahudhā pravibhajyate /	yat ekam prakriyA BedEH bahuDA praviBajyate /
   tad vyākaraṇaṃ āgamya paraṃ brahmādhigamyate // BVaky_1.22 //	tat vyAkaraNam Agamya param brahma aDigamyate // BVakI _1.22 //
   nityāḥ śabdārthasaṃbandhās tatrāmnātā maharṣibhiḥ /	nityAH Sabda arTa saMbanDAH tatra AmnAtA mahA RziBiH /
   sūtrāṇāṃ sānutantrāṇāṃ bhāṣyāṇāṃ ca praṇetṛbhiḥ // BVaky_1.23 //	sUtrANAm sa anutantrANAm BAzyANAm ca praNetRBiH // BVakI _1.23 //
   apoddhārapadārthāḥ ye ye cārthāḥ sthitalakṣaṇāḥ /	apa udDAra padArTAH ye ye ca arTAH sTita lakzaNAH /
   anvākhyeyāś ca ye śabdā ye cāpi pratipādakāḥ // BVaky_1.24 //	anvAKyeyAH ca ye SabdAH ye ca api pratipAdakAH // BVakI _1.24 //
   kāryakāraṇabhāvena yogyabhāvena ca sthitāḥ /	kArya kAraNa BAvena yogya BAvena ca sTitAH /
   dharme ye pratyaye cāṅgaṃ saṃbandhāḥ sādhvasādhuṣu // BVaky_1.25 //	Darme ye pratyaye ca aFgam saMbanDAH sADu asADuzu // BVakI _1.25 //
   te liṅgaiś ca svaśabdaiś ca śāstre 'sminn upavarṇitāḥ /	te liFgEH ca sva SabdEH ca SAstre asmin upavarNitAH /
   smṛtyartham anugamyante ke cid eva yathāgamam // BVaky_1.26 //	smRti arTam anugamyante ke cit eva yaTAgamam // BVakI _1.26 //
   śiṣṭebhya āgamāt siddhāḥ sādhavo dharmasādhanam /	SizweByaH AgamAt sidDAH sADavaH Darma sADanam /
   arthapratyāyanābhede viparītās tv asādhavaḥ // BVaky_1.27 //	arTa pratyAya na aBede viparItAH tu asADavaH // BVakI _1.27 //
   nityatve kṛtakatve vā teṣām ādir na vidyate /	nitya tve kRtaka tve vA tezAm AdiH na vidyate /
   prāṇinām iva sā caiṣā vyavasthānityatocyate // BVaky_1.28 //	prANinAm iva sA ca ezA vyavasTA aniti atA ucyate // BVakI _1.28 //
   nānarthikām imāṃ kaś cid vyavasthāṃ kartum arhati /	na anarTikAm imAm kaH cit vyavasTAm kartum arhati /
   tasmān nibadhyate śiṣṭaiḥ sādhutvaviṣayā smṛtiḥ // BVaky_1.29 //	tasmAt nibaDyate SizwEH sADu tva vizayA smRtiH // BVakI _1.29 //
   na cāgamād ṛte dharmas tarkeṇa vyavatiṣṭhate /	na ca AgamAt Rte DarmaH tarkeNa vyavatizWate /
   ṛṣīṇām api yaj jñānaṃ tad apy āgamapūrvakam // BVaky_1.30 //	RzINAm api yat jQAnam tat api Agama pUrvakam // BVakI _1.30 //
   dharmasya cāvyavacchinnāḥ panthāno ye vyavasthitāḥ /	Darmasya ca avyavacCinnAH panTAnaH ye vyavasTitAH /
   na tāṃl lokaprasiddhatvāt kaś cit tarkeṇa bādhate // BVaky_1.31 //	na tAn loka prasidDa tvAt kaH cit tarkeNa bADate // BVakI _1.31 //
   avasthādeśakālānāṃ bhedād bhinnāsu śaktiṣu /	avasTA deSa kAlAnAm BedAt BinnAsu Saktizu /
   bhāvānām anumānena prasiddhir atidurlabhā // BVaky_1.32 //	BAvAnAm anumAnena prasidDiH ati durlaBAH // BVakI _1.32 //
   nirjñātaśakter dravyasya tāṃ tān arthakriyāṃ prati /	nirjQAta SakteH dravyasya tAm tAn arTa kriyAm prati /
   viśiṣṭadravyasaṃbandhe sā śaktiḥ pratibadhyate // BVaky_1.33 //	viSizwa dravya saMbanDe sA SaktiH pratibaDyate // BVakI _1.33 //
   yatnenānumito 'py arthaḥ kuśalair anumātṛbhiḥ /	yatnena anumitaH api arTaH kuSalEH anumAtRBiH /
   abhiyuktatarair anyair anyathaivopapādyate // BVaky_1.34 //	aBiyuktatarEH anyEH anyaTA eva upapAdyate // BVakI _1.34 //
   pareṣām asamākhyeyam abhyāsād eva jāyate /	parezAm asamAKyeyam aByAsAt eva jAyate /
   maṇirūpyādivijñānaṃ tadvidāṃ nānumānikam // BVaky_1.35 //	maNi rUpya Adi vijQAnam tad vidAm na anumAnikam // BVakI _1.35 //
   pratyakṣam anumānaṃ ca vyatikramya vyavasthitāḥ /	pratyakzam anumAnam ca vyatikramya vyavasTitAH /
   pitṛrakṣaḥpiśācānāṃ karmajā eva siddhayaḥ // BVaky_1.36 //	pitR rakzaH piSAcAnAm karma jAH eva sidDayaH // BVakI _1.36 //
   āvirbhūtaprakāśānām anupaplutacetasām /	AvirBUta prakASAnAm anupapluta cetasAm /
   atītānāgatajñānaṃ pratyakṣān na viśiṣyate // BVaky_1.37 //	atIta anAgata jQAnam pratyakzAt na viSizyate // BVakI _1.37 //
   atīndriyān asaṃvedyān paśyanty ārṣeṇa cakṣuṣā /	atIndriyAn asaMvedyAn paSyanti ArzeNa cakzuzA /
   ye bhāvān vacanaṃ teṣāṃ nānumānena bādhate // BVaky_1.38 //	ye BAvAn vacanam tezAm na anumAnena bADate // BVakI _1.38 //
   yo yasya svam iva jñānaṃ darśanaṃ nātiśaṅkate /	yaH yasya svam iva jQAnam darSanam na atiSaFkate /
   sthitaṃ pratyakṣapakṣe taṃ katham anyo nivartayet // BVaky_1.39 //	sTitam pratyakza pakze tam kaTam anyaH nivartayet // BVakI _1.39 //
   idaṃ puṇyam idaṃ pāpam ity etasmin padadvaye /	idam puNyam idam pApam iti etasmin pada dvaye /
   ācaṇḍālamanuṣyāṇām alpaṃ śāstraprayojanam // BVaky_1.40 //	AcaNxAla manuzyANAm alpam SAstra prayojanam // BVakI _1.40 //
   caitanyam iva yaś cāyam avicchedena vartate /	cEtanyam iva yaH ca ayam avicCedena vartate /
   āgamas tam upāsīno hetuvādair na bādhyate // BVaky_1.41 //	AgamaH tam upAsInaH hetuvAdEH na bADyate // BVakI _1.41 //
   hastasparśād ivāndhena viṣame pathi dhāvatā /	hasta sparSAt iva anDena vizame paTi DAvatA /
   anumānapradhānena vinipāto na durlabhaḥ // BVaky_1.42 //	anumAna praDAnena vinipAtaH na durlaBaH // BVakI _1.42 //
   tasmād akṛtakaṃ śāstraṃ smṛtiṃ ca sanibandhanām /	tasmAt akRtakam SAstram smRtim ca sa nibanDanAm /
   āśrityārabhyate śiṣṭaiḥ sādhutvaviṣayā smṛtiḥ // BVaky_1.43 //	ASritya AraByate SizwEH sADu tva vizayA smRtiH // BVakI _1.43 //
   dvāv upādānaśabdeṣu śabdau śabdavido viduḥ /	dvO upAdAna Sabdezu SabdO Sabda vidaH viduH /
   eko nimittaṃ śabdānām aparo 'rthe prayujyate // BVaky_1.44 //	ekaH nimittam SabdAnAm aparaH arTe prayujyate // BVakI _1.44 //
   avibhakto vibhaktebhyo jāyate 'rthasya vācakaḥ /	aviBaktaH viBakteByaH jAyate arTasya vAcakaH /
   śabdas tatrārtharūpātmā saṃbandham upagacchati // BVaky_1.45 //	SabdaH tatra arTa rUpa AtmA saMbanDam upagacCati // BVakI _1.45 //
   ātmabhedaṃ tayoḥ ke cid astīty āhuḥ purāṇagāḥ /	Atma Bedam tayoH ke cit asti iti AhuH purANa gAH /
   buddhibhedād abhinnasya bhedam eke pracakṣate // BVaky_1.46 //	budDi BedAt aBinnasya Bedam eke pracakzate // BVakI _1.46 //
   araṇisthaṃ yathā jyotiḥ prakāśāntarakāraṇam /	araNi sTam yaTA jyotiH prakASa antara kAraNam /
   tadvac chabdo 'pi buddhisthaḥ śrutīnāṃ kāraṇaṃ pṛthak // BVaky_1.47 //	tadvat SabdaH api budDi sTaH SrutInAm kAraNam pRTak // BVakI _1.47 //
   vitarkitaḥ purā buddhyā kva cid arthe niveśitaḥ /	vitarkitaH purA budDyA kva cit arTe niveSitaH /
   karaṇebhyo vivṛttena dhvaninā so 'nugṛhyate // BVaky_1.48 //	karaNeByaH vivRttena DvaninA saH anugRhyate // BVakI _1.48 //
   nādasya kramajātatvān na pūrvo na paraś ca saḥ /	nAdasya krama jAta tvAt na pUrvaH na paraH ca saH /
   akramaḥ kramarūpeṇa bhedavān iva jāyate // BVaky_1.49 //	akramaH krama rUpeNa BedavAn iva jAyate // BVakI _1.49 //
   pratibimbaṃ yathānyatra sthitaṃ toyakriyāvaśāt /	pratibimbam yaTA anyatra sTitam toya kriyA vaSAt /
   tatpravṛttim ivānveti sa dharmaḥ sphoṭanādayoḥ // BVaky_1.50 //	tad pravRttim iva anveti sa DarmaH sPowa nAdayoH // BVakI _1.50 //
   ātmarūpaṃ yathā jñāne jñeyarūpaṃ ca dṛśyate /	Atma rUpam yaTA jQAne jQeya rUpam ca dRSyate /
   artharūpaṃ tathā śabde svarūpaṃ ca prakāśate // BVaky_1.51 //	arTa rUpam taTA Sabde svarUpam ca prakASate // BVakI _1.51 //
   āṇḍabhāvam ivāpanno yaḥ kratuḥ śabdasaṃjñakaḥ /	ANxa BAvam iva ApannaH yaH kratuH Sabda saMjQakaH /
   vṛttis tasya kriyārūpā bhāgaśo bhajate kramam // BVaky_1.52 //	vRttiH tasya kriyA rUpAH BAgaSas Bajate kramam // BVakI _1.52 //
   yathaikabuddhiviṣayā mūrtir ākriyate paṭe /	yaTA eka budDi vizayA mUrtiH Akriyate pawe /
   mūrtyantarasya tritayam evaṃ śabde 'pi dṛśyate // BVaky_1.53 //	mUrti antarasya tritayam evam Sabde api dRSyate // BVakI _1.53 //
   yathā prayoktuḥ prāg buddhiḥ śabdeṣv eva pravartate /	yaTA prayoktuH prAk budDiH Sabdezu eva pravartate /
   vyavasāyo grahītṝṇām evaṃ teṣv eva jāyate // BVaky_1.54 //	vyavasAyaH grahItLNAm evam tezu eva jAyate // BVakI _1.54 //
   arthopasarjanībhūtān abhidheyeṣu keṣu cit /	arTa upasarjanIBUtAn aBiDeyezu kezu cit /
   caritārthān parārthatvān na lokaḥ pratipadyate // BVaky_1.55 //	caritArTAn para arTa tvAt na lokaH pratipadyate // BVakI _1.55 //
   grāhyatvaṃ grāhakatvaṃ ca dve śaktī tejaso yathā /	grAhya tvam grAhaka tvam ca dve SaktI tejasaH yaTA /
   tathaiva sarvaśabdānām ete pṛthag avasthite // BVaky_1.56 //	taTA eva sarva SabdAnAm ete pRTak avasTite // BVakI _1.56 //
   viṣayatvam anāpannaiḥ śabdair nārthaḥ prakāśyate /	vizaya tvam anApannEH SabdEH na arTaH prakASyate /
   na sattayaiva te 'rthānām agṛhītāḥ prakāśakāḥ // BVaky_1.57 //	na sat tayA eva te arTAnAm agRhItAH prakASakAH // BVakI _1.57 //
   ato 'nirjñātarūpatvāt kim āhety abhidhīyate /	atas anirjQAta rUpa tvAt kim Aha iti aBiDIyate /
   nendriyāṇāṃ prakāśye 'rthe svarūpaṃ gṛhyate tathā // BVaky_1.58 //	na indriyANAm prakASye arTe svarUpam gRhyate taTA // BVakI _1.58 //
   bhedenāvagṛhītau dvau śabdadharmāv apoddhṛtau /	Bedena avagRhItO dvO Sabda DarmO apodDRtO /
   bhedakāreṣu hetutvam avirodhena gacchataḥ // BVaky_1.59 //	Beda kArezu hetu tvam aviroDena gacCataH // BVakI _1.59 //
   vṛddhyādayo yathā śabdāḥ svarūpopanibandhanāḥ /	vRdDi AdayaH yaTA SabdAH svarUpa upanibanDanAH /
   ādaicpratyāyitaiḥ śabdaiḥ saṃbandhaṃ yānti saṃjñibhiḥ // BVaky_1.60 //	AdEcpratyAyitEH SabdEH saMbanDam yAnti saMjQiBiH // BVakI _1.60 //
   agniśabdas tathaivāyam agniśabdanibandhanaḥ /	agni SabdaH taTA eva ayam agni Sabda nibanDanaH /
   agniśrutyaiti saṃbandham agniśabdābhidheyayā // BVaky_1.61 //	agniSrutyA eti saMbanDam agni Sabda aBiDeyayA // BVakI _1.61 //
   yo ya uccāryate śabdo niyataṃ na sa kāryabhāk /	yaH yaH uccAryate SabdaH niyatam na sa kArya BAj /
   anyapratyāyane śaktir na tasya pratibadhyate // BVaky_1.62 //	anya pratyAyane SaktiH na tasya pratibaDyate // BVakI _1.62 //
   uccaran paratantratvād guṇaḥ kāryair na yujyate /	uccaran paratantra tvAt guNaH kAryEH na yujyate /
   tasmāt tadarthaiḥ kāryāṇāṃ saṃbandhaḥ parikalpyate // BVaky_1.63 //	tasmAt tad arTEH kAryANAm saMbanDaH parikalpyate // BVakI _1.63 //
   sāmānyam āśritaṃ yad yad upamānopameyayoḥ /	sAmAnyam ASritam yat yat upamAna upameyayoH /
   tasya tasyopamāneṣu dharmo 'nyo vyatiricyate // BVaky_1.64 //	tasya tasya upamAnezu DarmaH anyaH vyatiricyate // BVakI _1.64 //
   guṇaḥ prakarṣahetur yaḥ svātantryeṇopadiśyate /	guNaH prakarza hetuH yaH svAtantryeNa upadiSyate /
   tasyāśritād guṇād eva prakṛṣṭatvaṃ pratīyate // BVaky_1.65 //	tasya ASritAt guNAt eva prakRzwa tvam pratIyate // BVakI _1.65 //
   tasyābhidheyabhāvena yaḥ śabdaḥ samavasthitaḥ /	tasya aBiDeya BAvena yaH SabdaH samavasTitaH /
   tasāpy uccāraṇe rūpam anyat tasmād vivicyate // BVaky_1.66 //	tasA api uccAraNe rUpam anyat tasmAt vivicyate // BVakI _1.66 //
   prāk samjñinābhisaṃbandhāt saṃjñā rūpapadārthikā /	prAk samjQina aBisaMbanDAt saMjQA rUpa padArTikA /
   ṣaṣṭyāś ca prathamāyāś ca nimittatvāya kalpate // BVaky_1.67 //	zazwyAH ca praTamAyAH ca nimitta tvAya kalpate // BVakI _1.67 //
   tatrārthavattvāt prathamā saṃjñāśabdād vidhīyate /	tatra arTavat tvAt praTamA saMjQA SabdAt viDIyate /
   asyete vyatirekaś ca tadarthād eva jāyate // BVaky_1.68 //	asyete vyatirekaH ca tad arTAt eva jAyate // BVakI _1.68 //
   svaṃ rūpam iti kaiś cit tu vyaktiḥ saṃjñopadiśyate /	svam rUpam iti kEH cit tu vyaktiH saMjQA upadiSyate /
   jāteḥ kāryāṇi saṃsṛṣṭā jātis tu pratipadyate // BVaky_1.69 //	jAteH kAryANi saMsRzwA jAtiH tu pratipadyate // BVakI _1.69 //
   saṃjñinīṃ vyaktim icchanti sūtre grāhyām athāpare /	saMjQinIm vyaktim icCanti sUtre grAhyAm aTa apare /
   jātipratyāyitā vyaktiḥ pradeśeṣūpatiṣṭhate // BVaky_1.70 //	jAti pratyAyitA vyaktiH pradeSezu upatizWate // BVakI _1.70 //
   kāryatve nityatāyāṃ vā ke cid ekatvavādinaḥ /	kAryatve nityatAyAm vA ke cit ekatva vAdinaH /
   kāryatve nityatāyāṃ vā ke cin nānātvavādinaḥ // BVaky_1.71 //	kAryatve nityatAyAm vA ke cit nAnAtva vAdinaH // BVakI _1.71 //
   padabhede 'pi varṇānām ekatvaṃ na nivartate /	pada Bede api varNAnAm eka tvam na nivartate /
   vākyeṣu padam ekaṃ ca bhinneṣv apy upalabhyate // BVaky_1.72 //	vAkyezu padam ekam ca Binnezu api upalaByate // BVakI _1.72 //
   na varṇavyatirekeṇa padam anyac ca vidyate /	na varNa vyatirekeNa padam anyat ca vidyate /
   vākyaṃ varṇapadābhyāṃ ca pravibhāgo na kaś cana // BVaky_1.73 //	vAkyam varNa padAByAm ca praviBAgaH na kaH cana // BVakI _1.73 //
   pade na varṇā vidyante varṇeṣv avayavā na ca /	pade na varNAH vidyante varNezu avayavAH na ca /
   vākyāt padānām atyantaṃ pravibhāgo na kaś cana // BVaky_1.74 //	vAkyAt padAnAm atyantam praviBAgaH na kaH cana // BVakI _1.74 //
