   PADA MARKERS	PADAH MARKERS
   For a four-pada verse:	FoH a fouH--pada verse:
   For a six-pada verse:	FoH a six-pada verse:
   || oṃ namaḥ sarvajñāya ||	|| om namaH sarvajQAya ||
   adhigataparamārthaḥ śrīghanavyūha eva $ prati tuṣitajanārthaṃ yo 'bhavac	aDigata-parama-arTaH SrIGana-vyUhaH eva $ prati tuzita-jana-arTam yaH aBavat-
   chvetaketuḥ &	CvetaketuH &
   tata iha jagadarthaṃ cābhavac chākyaketuḥ % sa jayatu jitamṛtyur	tatas iha jagat-arTam ca-aBavat SAkyaketuH % sa jayatu jita-mRtyuH-
   darśitānantamāyaḥ // VMv_1.1 //	darSita-ananta-mAyaH // VMu-_1.1 //
   ajarāmaratāṃ prāptam $ ajarāmarakārakam &	ajara-amara-tAm prAptam $ ajara-amara-kArakam &
   ajarāmaratāprāptyai % natvā saṃbuddham ādarāt // VMv_1.2 //	ajara-amara-tA-prAptyE % natvA saMbudDam AdarAt // VMu-_1.2 //
   durbodhaṃ mandabuddhīnāṃ $ duṣkaraṃ calacetasām &	durboDam manda-budDInAm $ duzkaram cala-cetasAm &
   sāriṣṭaṃ vañcanaṃ mṛtyor % ucyate śāstrasaṃgatam // VMv_1.3 //	sa-arizwam vaQcanam mRtyoH % ucyate SAstra-saMgatam // VMu-_1.3 //
   sarvathā vañcanaṃ mṛtyor $ muktānām eva yujyate &	sarvaTA vaQcanam mRtyoH $ muktAnAm eva yujyate &
   amuktānāṃ ca sarveṣāṃ % kiyatkālavilambanam // VMv_1.4 //	amuktAnAm ca sarvezAm % kiyat-kAla-vilambanam // VMu-_1.4 //
   āyurindriyacittānāṃ $ nirodho mṛtyulakṣaṇam &	AyuH-indriya-cittAnAm $ niroDaH mRtyu-lakzaNam &
   upāyair jīvitaṃ dīrghaṃ % mṛtyuvañcanam ucyate // VMv_1.5 //	upAyEH jIvitam dIrGam % mRtyu-vaQcanam ucyate // VMu-_1.5 //
   yāvaj jīvati saṃsāre $ dharmācārī jitendriyaḥ &	yAvat jIvati saMsAre $ Darma-AcArI jita-indriyaH &
   tāvat puṇyādisaṃbhāraṃ % prasūte bodhisādhakam // VMv_1.6 //	tAvat puNya-Adi-saMBAram % prasUte boDi-sADakam // VMu-_1.6 //
   na vinā jīvitāt sāraṃ $ saṃsāre kiṃ cid īkṣyate &	na vinA jIvitAt sAram $ saMsAre kim cit Ikzyate &
   nānopāyair atas tūrṇaṃ % mṛtyuvañcanam ārabhet // VMv_1.7 //	nAnA-upAyEH atas tUrNam % mRtyu-vaQcanam AraBet // VMu-_1.7 //
   na duṣkaraṃ yataḥ kiṃ cid $ upāyair yuktiyojitaiḥ &	na duzkaram yatas kim cit $ upAyEH yukti-yojitEH &
   maṇimantrauṣadhīnāṃ ca % prabhāvaḥ sarvasaṃmataḥ // VMv_1.8 //	maNi-mantra-ozaDInAm ca % praBAvaH sarva-saMmataH // VMu-_1.8 //
   lakṣaṇād dūrato mṛtyuṃ $ jñātvā yuktā pratikriyā &	lakzaNAt dUratas mRtyum $ jQAtvA yuktA pratikriyA &
   maste patati vajrāgnau % suprajño 'pi karoti kim // VMv_1.9 //	maste patati vajra-agnO % su-prajQaH api karoti kim // VMu-_1.9 //
   bāhyādhyātmikabhedena $ dvidhā maraṇalakṣaṇam &	bAhya-ADyAtmika-Bedena $ dviDA maraNa-lakzaNam &
   kathyate jñāyate yena % maraṇaṃ bhāvi tatparaiḥ // VMv_1.10 //	kaTyate jQAyate yena % maraNam BAvi tad-parEH // VMu-_1.10 //
   mṛtyor lakṣaṇam ājñātuṃ $ vāñchā cet kasya cid bhavet &	mRtyoH lakzaNam AjQAtum $ vAQCA ced kasya cit Bavet &
   tena svasthaśarīreṇa % jñātavyaṃ saṃśayo 'nyathā // VMv_1.11 //	tena svasTa-SarIreNa % jQAtavyam saMSayaH anyaTA // VMu-_1.11 //
   dhātuvaiṣamyato rogāt $ timirādiprabhāvataḥ &	DAtu-vEzamyataH rogAt $ timira-Adi-praBAvataH &
   bhayaśokādisāmarthyāt % pratibhāti yato 'nyathā // VMv_1.12 //	Baya-Soka-Adi-sAmarTyAt % pratiBAti yatas anyaTA // VMu-_1.12 //
   daivabhūtobhayakṣobhān $ mṛtyuṃ trividhalakṣaṇam &	dEva-BUta-uBaya-kzoBAn $ mRtyum triviDa-lakzaNam &
   prāpyāriṣṭasamudbhūtir % ato bhedena lakṣayet // VMv_1.13 //	prApya-arizwa-samudBUtiH % atas Bedena lakzayet // VMu-_1.13 //
   bāhyābhyantarabhedena $ daivakṣobho dvidheṣyate &	bAhya-aByantara-Bedena $ dEva-kzoBaH dviDA-izyate &
   bhūtakṣobho 'pi dvividhas % tathaiveti nirūpayet // VMv_1.14 //	BUta-kzoBaH api dviviDaH % taTA-eva-iti nirUpayet // VMu-_1.14 //
   daivasaṃkṣobhato mṛtyur $ ādhidaivika ucyate &	dEva-saMkzoBataH mRtyuH $ ADidEvikaH ucyate &
   daivakṣobho 'naśanādi- % vajrapātādilakṣaṇaḥ // VMv_1.15 //	dEva-kzoBaH anaSana-Adi % vajra-pAta-Adi-lakzaNaH // VMu-_1.15 //
   bhūtasaṃkṣobhato mṛtyur $ ādhibhautika ucyate &	BUta-saMkzoBataH mRtyuH $ ADiBOtikaH ucyate &
   bhūtakṣobhas tu pittādi- % vahnitoyādyupadravaḥ // VMv_1.16 //	BUta-kzoBaH tu pitta-Adi % vahni-toya-Adi-upadravaH // VMu-_1.16 //
   ubhayakṣobhato mṛtyur $ ubhayājjo nigadyate &	uBaya-kzoBatas mRtyuH $ uBayAt-jaH nigadyate &
   ubhayakṣobho vajrādi- % pittaśleṣmādyupadravaḥ // VMv_1.17 //	uBaya-kzoBaH vajra-Adi % pitta-Slezma-Adi-upadravaH // VMu-_1.17 //
   ariṣṭānām anantatvān $ notpattir yugapan matā &	arizwAnAm ananta-tvAt $ na-utpattiH yugapad matA &
   kramaśo 'pi na sarveṣām % api tv ekādisaṃkhyayā // VMv_1.18 //	kramaSas api na sarvezAm % api tu eka-Adi-saMKyayA // VMu-_1.18 //
   adṛṣṭvā lakṣaṇaṃ yatra $ mṛtyur dṛṣṭaḥ kva cid bhavet &	adRzwvA lakzaNam yatra $ mRtyuH dRzwaH kva cit Bavet &
   niścetur dūṣaṇaṃ tatra % na tu lakṣaṇanāstitā // VMv_1.19 //	niScetuH dUzaNam tatra % na tu lakzaNa-na-astitAH // VMu-_1.19 //
   dṛṣṭvāpi lakṣaṇaṃ yatra $ na mṛtyur dṛśyate kva cit &	dRzwvA-api lakzaNam yatra $ na mRtyuH dRSyate kva cit &
   abhrāntau tatra dharmādi- % bādhakāntarakalpanam // VMv_1.20 //	aBrAntO tatra Darma-Adi % bADaka-antara-kalpanam // VMu-_1.20 //
   niścite dūrato mṛtyau $ prasiddhir mahatī bhavet &	niScite dUratas mRtyO $ prasidDiH mahatI Bavet &
   yathāśakti parityāge % pratīkāre ca vartanam // VMv_1.21 //	yaTASakti parityAge % pratIkAre ca vartanam // VMu-_1.21 //
   sadā samāhito bhūtvā $ tadgataikāgramānasaḥ &	sadA samAhitaH BUtvA $ tad-gata-ekAgra-mAnasaH &
   bāhyāni prathamaṃ tāval % lakṣaṇāny upalakṣayet // VMv_1.22 //	bAhyAni praTamam tAvat % lakzaNAni upalakzayet // VMu-_1.22 //
   lakṣaṇānāṃ pariccheda- $ kālo dvividha iṣyate &	lakzaNAnAm paricCeda $ kAlaH dviviDaH izyate &
   niyato 'niyataś ceti % vijñeyaḥ sa tu yatnataḥ // VMv_1.23 //	niyataH aniyataH ca-iti % vijQeyaH sa tu yatnatas // VMu-_1.23 //
   saṃkrāntipūrṇamāsyādau $ prabhātādikṣaṇātmakaḥ &	saMkrAnti-pUrNamAsya-AdO $ praBAta-Adi-kzaNa-AtmakaH &
