   // śrīmate nigamāntamahādeśikāya namaḥ //	// SrImate nigama-anta-mahA-deSikAya namaH //
   nyā. pa. pra. 9 //	nyA. pa. pra. 9 //
   dvitīyamāhnikam //	dvitIyam-Ahnikam //
   tadihānyathākhyātipakṣe viparyayasya saṃśayasya ca vyavacchedārtham	tat-iha-anyaTA-AKyAti-pakze viparyayasya saMSayasya ca vyavacCeda-arTam
   "yathāvasthitavyavahārānuguṇaṃ jñānam" iti pramāṇalakṣaṇe	"yaTA-avasTita-vyavahAra-anuguNam jQAnam" iti pramANa-lakzaNe
   yathāvasthitādiviśeṣaṇam /	yaTA-avasTita-Adi-viSezaNam /
   akhyātipakṣe 'pi tatsāmagryanupraviṣṭaṃ jñānaṃ tacachabdena vyapadiśyate /	aKyAti-pakze api tad-sAmagrI-anupravizwam jQAnam tacaCabdena vyapadiSyate /
   tacca tatrāpramāṇamiti lokasiddhatvādvyavacchedyameva /	tat-ca tatra-apramANam-iti loka-sidDa-tvAt-vyavacCedyam-eva /
   tatrāpi pratyekāṃśe yāthārthyaṃ na vihanyate //	tatra-api pratyeka-aMSe yATArTyam na vihanyate //
   nyā. pa. pra. 10 //	nyA. pa. pra. 10 //
   viparyayanirūpaṇam //	viparyaya-nirUpaNam //
   tatrādye pakṣe anyasya anyathādhyavasāyo viparyayaḥ /	tatra-Adye pakze anyasya anyaTA-aDyavasAyaH viparyayaH /
   dvitīye tu pakṣe sāmānyato dharmisphuraṇe sati	dvitIye tu pakze sAmAnyatas Darmi-sPuraNe sati
   apratipannatadvirodhaviruddhaviśeṣādhyavasāya iti //	apratipanna-tad-viroDa-virudDa-viSeza-aDyavasAyaH iti //
   sa cāyamanekavidhaḥ---ekānekaviruddhaviśeṣasphuraṇāt /	sa ca-ayam-anekaviDaH---eka-aneka-virudDa-viSeza-sPuraNAt /
   tatra ekaviśeṣasphuraṇaṃ yathā--- pītaḥ śaṅkha ityādi /	tatra eka-viSeza-sPuraNam yaTA-- pItaH SaFKaH ityAdi /
   anekaviśeṣasphuraṇaṃ yathā---ekameva bhinnamabhinnaṃ	aneka-viSeza-sPuraNam yaTA---ekam-eva Binnam-aBinnam
   cetyādyanekāntavādinām, prapañcaḥ sadvilakṣaṇo	ca-ityAdi-anekAnta-vAdi-nAm, prapaQcaH sat-vilakzaNaH-
   'sadvilakṣaṇaścetyādyadvaitavādinām /	asat-vilakzaNaH-ca-ityAdya-dvEta-vAdinAm /
   parasparaviruddhānekaviśeṣavatar idṛśasya viparyayasya saṃśayādbhedo	paraspara-virudDa-aneka-viSezavatar idRSasya viparyayasya saMSayAt-BedaH-
   mithovirodhābhimānaviraheṇa samuccitādhyavasāyaḥ /	miTas-viroDa-aBimAna-viraheNa samuccita-aDyavasAyaH /
   dharmavirodhe parasparāviruddhānekaviśeṣasphuraṇaṃ yathā---	Darma-viroDe paraspara-avirudDa-aneka-viSeza-sPuraNam yaTA---
   vipulatvaikatvaviśiṣṭe candre alpatvadvitvādigrahaḥ /	vipula-tva-eka-tva-viSizwe candre alpa-tva-dvi-tva-Adi-grahaH /
   viparyayameva	viparyayam-eva
   dharmāntaradharmyantarabhedādanyathākhyātiviparītakhyātibhedena	Darma-antara-DarmI-antara-BedAt-anyaTA-KyAti-viparIta-KyAti-Bedena
   kvacidvyavaharanti /	kvacid-vyavaharanti /
   yathā pītaśaṅkharajjusarpabhramau /	yaTA pIta-SaFKa-rajju-sarpa-BramO /
   tayośca rajastamasī mūlamiti gīyate ---	tayoH-ca rajaH-tamasI mUlam-iti gIyate ---
   "yayā dharmamadharmaṃ ca kāryaṃ cākāryameva ca /	"yayA Darmam-aDarmam ca kAryam ca-akAryam-eva ca /
   ayathāvatprajānāti buddhiḥ sā pārtha rājasī //	ayaTAvat-prajAnAti budDiH sA pArTa rAjasI //
   adharmaṃ dharmamiti yā manyate tamasā vṛtā /	aDarmam Darmam-iti yA manyate tamasA vRtA /
   sarvārthānviparītāṃśca buddhiḥ sā pārtha tāmasī" //	sarva-arTAn-viparItAn=-ca budDiH sA pArTa tAmasI" //
   iti //	iti //
   yadyapi rajjusarpādibhrame rajjutvādidharmaviparītasarpatvādidharmādhyāsa	yadi-api rajju-sarpa-Adi-Brame rajju-tva-Adi-Darma-viparIta-sarpa-tva-Adi-Darma-aDyAsa
   eva, tathāpi svarūpanirūpakadharmatvenāntaraṅgatayā	eva, taTA-api svarUpa-nirUpaka-Darma-tvena-antaraFga-tayA
   dharmivaiparītyavyapadeśaḥ /	Darmi-vEparIti-avyapadeSaH /
   śvaityādestu nirūpitasvarūpaviśeṣakatvameva /	SvEtya-AdeH-tu nirUpita-svarUpa-viSezaka-tvam-eva /
   vivaraṇe tvevamuktam--- "trividhamajñānam---svarūpājñānam,	vivaraNe tu-evam-uktam-- "triviDam-ajQAnam-----svarUpa-ajQAnam,
   anyathājñānam,viparītajñānamiti /	anyaTA-jQAnam-,viparIta-jQAnam-iti /
   svarūpājñānaṃ nāma vastuno 'pratipattiḥ /	svarUpa-ajQAnam nAma vastunaH apratipattiH /
   anyathājñānaṃ vastuno vastvantaratayā bhānam; yathā---śukteḥ rūpyatayā /	anyaTAjQAnam vastunaH vastu-antaratayA BAnam; yaTA---SukteH rUpya-tayA /
   viparītajñānaṃ tu yathāvat vastuni bhāsamāne	viparIta-jQAnam tu yaTAvat vastuni BAsamAne
   yuktibhistasyānyathopapādanam; yathā---jñātṛtayā ahantvena ātmani	yuktiBiH-tasya-anyaTA-upapAdanam; yaTA---jQAtR-tayA ahantvena Atmani
   bhāsamāne 'pi kuyuktibhirasyabhrāntitopapādanaṃ kudṛśām" iti /	BAsamAne api kuyuktiBiH-asyaBrAnti-ta-upa-pAdanam kudRSAm" iti /
   adharmendriyadoṣadustarkābhyāsadurvyāptyanusaṃdhānavipralambhakavākyaśravaṇādibhistattvāgrahasahakṛtairviparyayasya	aDarma-indriya-doza-dustarka-aByAsa-durvyApti-anusaMDAna-vipralamBaka-vAkya-SravaNa-AdiBiH-tattva-Agraha-sahakRtEH-viparyayasya
   yathāsaṃbhavamudbhavaḥ //	yaTAsaMBavam-udBavaH //
   nyā. pa. pra. 11 //	nyA. pa. pra. 11 //
   saṃśayanirūpaṇam //	saMSaya-nirUpaNam //
   sāmānyadharmisphuraṇe sati	sAmAnya-Darmi-sPuraNe sati
   apratipannatadvirodhapratipannamithovirodhānekaviśeṣasphuraṇaṃ saṃśayaḥ /	apratipanna-tad-viroDa-pratipanna-miTas-viroDa-aneka-viSeza-sPuraNam saMSayaH /
   yathā---ūrdhvavastumātragrahaṇe sati	yaTA---UrDva-vastu-mAtra-grahaNe sati
   tadvirodhitayānanusaṃdhīyamānayormithaḥsphuṭavirodhayoḥ	tad-viroDitayA-ananusaMDIyamAnayoH-miTas-sPuwa-viroDayoH
   sthāṇutvapuruṣatvayoḥ sphuraṇam---ayaṃ sthāṇurvā puruṣo veti /	sTANu-tva-puruza-tvayoH sPuraNam----ayam sTANuH-vA puruzaH vA-iti /
   mitho virodhāgrahaṇe tayorvikalpo na syāt /	miTas viroDa-agrahaNe tayoH-vikalpaH na syAt /
   tata eva "ḍolāvegavadatra sphuraṇakramaḥ" ityeke, ekasmin	tatas eva "xolA-vegavat-atra sPuraNa-kramaH" iti-eke, ekasmin
   yugapadanyonyapratikṣepasya dhīviruddhatvāt /	yugapad-anyonya-pratikzepasya DI-virudDa-tvAt /
   atra "caitanyasya viṣayeṇa dṛḍhasaṃyogo hi niścayaḥ /	atra "cEtanyasya vizayeNa dRXa-saMyogaH hi niScayaH /
   tasyaiva bahubhiryugapadadṛḍhasaṃyogaḥ saṃśayaḥ" ityātmasiddhigrantho 'pi	tasya-eva bahuBiH-yuga-pada-dRXa-saMyogaH saMSayaH" iti-Atma-sidDi-granTaH api
   na viruddhaḥ; itarathā jñānārthayordṛḍhādṛḍhasaṃśleṣanirūpaṇānupapatteḥ /	na virudDaH; itaraTAH jQAna-arTayoH-dRXa-adRXa-saMSleza-nirUpaNa-anupapatteH /
   yugapaditi tu śaighṣamātraparam /	yugapad-iti tu SEGza-mAtra-param /
   yaugapadyābhyupagame 'pi adṛḍhatvaṃ parasparapratikṣepaprakāraviśeṣa eva;	yOgapadya-aByupagame api adRXa-tvam paraspara-pratikzepa-prakAra-viSezaH eva;
   anyathā ayamūrdhvo vā sthāṇurvetyādisaṃśayaprasaṅgaḥ /	anyaTA ayam-UrDvaH vA sTANuH-vA-ityAdi-saMSaya-prasaFgaH /
   yadyapyaviruddheṣvapi keṣucidadharmādimūlakavirodhagrahaṇāt keṣāñcidīdṛśo	yadi-api-avirudDezu-api kezucid-aDarma-Adi-mUlaka-viroDa-grahaNAt kezAQcid-IdRSaH-
   'pi saṃśayaḥ saṃbhavati; yathā--- ātmā jñānaṃ vā jñātā veti, jñānaṃ dharmo	api saMSayaH saMBavati; yaTA-- AtmA jQAnam vA jQAtA vA-iti, jQAnam DarmaH-
   dharmi vetyādi; tathāpyābhimānikaṃ parasparapratikṣepitvaṃ tatrāpyastyeva	Darmi vA-ityAdi; taTA-api-ABimAnikam paraspara-pratikzepitvam tatra-api-asti-eva
   asya ca	asya ca
   samānadharmavipratipattibhyāmevāsādhāraṇakāraṇābhyāmadharmādisahitābhyāṃ	samAna-Darma-vipratipattiByAm-eva-asADAraNa-kAraNAByAm-aDarma-Adi-sahitAByAm
   yathāsaṃbhavamudbhavaḥ /	yaTAsaMBavam-udBavaH /
   taduktaṃ tattvaratnākare--- "kaścaiṣa saṃśayaḥ katividhaśca? ekasmin	tat-uktam tattva-ratna-Akare-- "kaH-ca-eza saMSayaH kati-viDaH-ca? ekasmin
   dharmiṇi viruddhānekaviśeṣāvabhāsaḥ saṃśayaḥ /	DarmiNi virudDa-aneka-viSeza-avaBAsaH saMSayaH /
