   Samantabhadra: Āptamīmāṃsā	SamantaBadra: ĀptamImAMsA
   devāgamanabhoyānacāmarādivibhūtayaḥ /	deva-Agamana-BoyAn-acAmara-Adi-viBUtayaH /
   māyāviṣvapi dṛśyante nātastvamasi no mahān // SAm_1 //	mAyAvizu-api dRSyante na-atas-tvamasi naH mahAn // SAm_1 //
   adhyātmaṃ bahirapyeṣa vigrahādimahodayaḥ /	aDyAtmam bahis-api-eza vigraha-Adi-mahA-udayaH /
   divyaḥ satyo divaukassvapyasti rāgādimatsu saḥ // SAm_2 //	divyaH satyaH divOkassu-api-asti rAga-Adimatsu saH // SAm_2 //
   tīrthakṛtsamayānāṃ ca parasparavirodhataḥ /	tIrTakRt-samayAnAm ca paraspara-viroDataH /
   sarveṣāmāptatā nāsti kaścideva bhavedguruḥ // SAm_3 //	sarvezAm-Apta-tA na-asti kaScid-eva Bavet-guruH // SAm_3 //
   doṣāvaraṇayorhānirniḥśeṣāstyatiśāyanāt /	doza-AvaraNayoH-hAniH-niHSeza-asti-atiSAyanAt /
   kvacidyathā svahetubhyo bahirantarmalakṣayaḥ // SAm_4 //	kvacid-yaTA sva-hetuByaH bahis-antar-mala-kzayaH // SAm_4 //
   sūkṣmāntaritadūrārthāḥ pratyakṣāḥ kasyacidyathā /	sUkzma-antarita-dUra-arTAH pratyakzAH kasyacid-yaTA /
   anumeyatvato 'gnyādiriti sarvajñasaṃsthitiḥ // SAm_5 //	anumeya-tvataH agni-AdiH-iti sarvajQa-saMsTitiH // SAm_5 //
   sa tvamevāsi nirdoṣo yuktiśāstrāvirodhavāk /	sa tvam-eva-asi nirdozaH yukti-SAstra-aviroDa-vAc /
   avirodho yadiṣṭaṃ te prasiddhena na bādhyate // SAm_6 //	aviroDaH yat-izwam te prasidDena na bADyate // SAm_6 //
   tvanmatāmṛtabāhyānāṃ sarvathaikāntavādinām /	tvad-mata-amRta-bAhyAnAm sarvaTA-ekAnta-vAdinAm /
   āptābhimānadagdhānāṃ sveṣṭaṃ dṛṣṭena bādhyate // SAm_7 //	Apta-aBimAna-dagDAnAm sva-izwam dRzwena bADyate // SAm_7 //
   kuśalākuśalaṃ karma paralokaśca na kvacit /	kuSala-akuSalam karma para-lokaH-ca na kvacid /
   ekāntagraharakteṣu nātha svaparavairiṣu // SAm_8 //	ekAnta-graha-raktezu nATa sva-para-vErizu // SAm_8 //
   bhāvaikānte padārthānāmabhāvānāmapahnavāt /	BAva-ekAnte padArTAnAm-aBAvAnAm-apahnavAt /
   sarvātmakamanādyantamasvarūpamatāvakam // SAm_9 //	sarva-Atmakam-anAdi-antam-asva-rUpam-atAvakam // SAm_9 //
   kāryadravyamanādi syātprāgabhāvasya nihnave /	kArya-dravyam-anAdi syAt-prAgaBAvasya nihnave /
   pradhvaṃsasya ca dharmasya pracyave 'nantatāṃ vrajet // SAm_10 //	praDvaMsasya ca Darmasya pracyave ananta-tAm vrajet // SAm_10 //
   sarvātmakaṃ tadekaṃ syādanyāpohavyatikrame /	sarva-Atmakam tat-ekam syAt-anya-apoha-vyatikrame /
   anyatra samavāyena vyapadiśyeta sarvathā // SAm_11 //	anyatra samavAyena vyapadiSyeta sarvaTA // SAm_11 //
   abhāvaikāntapakṣe 'pi bhāvāpahnavavādinām /	aBAva-ekAnta-pakze api BAva-apahnava-vAdinAm /
   bodhavākyaṃ pramāṇaṃ na kena sādhanadūṣaṇam // SAm_12 //	boDa-vAkyam pramANam na kena sADana-dUzaNam // SAm_12 //
   virodhānnobhayaikātmyaṃ syādvādanyāyavidviṣām /	viroDAn-na-uBayA-EkAtmyam syAt-vAda-nyAya-vidvizAm /
   avācyataikānte 'pyuktirnāvācyamiti yujyate // SAm_13 //	avAcya-tA-ekAnte api-uktiH-na-avAcyam-iti yujyate // SAm_13 //
   kathaṃcitte sadeveṣṭaṃ kathañcidasadeva tat /	kaTaMcid-te sa-deva-izwam kaTaQcid-asat-eva tat /
