   Ḍhuṇḍhukanātha: Rasendracintāmaṇi	ḌhuNXuka-nATa: RasendracintAmaNi
   RCint, 1	RCint, 1
   he bhasmāṅgaviraktirūpaguṇadaṃ taṃ preraṇādaṃ śivaṃ gaṅgābhūṣitaśekharaṃ	he Basma-aFga-virakti-rUpa-guNa-dam tam preraNAdam Sivam gaFgA-BUzita-SeKaram
   smaraharaṃ śaktisvarūpaṃ prabho /	smara-haram Sakti-svarUpam praBo /
   tvāmīśaṃ karuṇārṇavaṃ śaraṇadaṃ vidyānidhiṃ nirguṇaṃ bhūteśaṃ girijāpatiṃ	tvAm-ISam karuNA-arNavam SaraNa-dam vidyA-niDim nirguNam BUteSam girijApatim
   śaśidharaṃ māṅgalyadevaṃ namaḥ /	SaSiDaram mAFgalya-devam namaH /
   namāmi devaṃ suravṛndapūjitaṃ gaṇādhipaṃ vighnavināśakārakam /	namAmi devam sura-vRnda-pUjitam gaNADipam viGna-vinASa-kArakam /
   smaranti ye nityam udāracetasaḥ kaṣṭāni te nānubhavanti satyam /	smaranti ye nityam udAra-cetasaH kazwAni te na-anuBavanti satyam /
   siddhinandanamiśreṇa śuddhāṃ ca sāragarbhitām /	sidDi-nandana-miSreNa SudDAm ca sAra-garBitAm /
   rasendracintāmaṇeśca ṭīkāṃ kurve śivājñayā /	rasendracintAmaNeH-ca wIkAm kurve Siva-AjQayA /
   idānīṃ kālanāthaśiṣyaḥ śrīḍhuṇḍhukanāthāhvayo rasendracintāmaṇigrantham	idAnIm kAlanATa-SizyaH SrIXuNXukanATa-AhvayaH rasendracintAmaNi-granTam
   ārabhamāṇas tanmūladevate śrīmadambikāmaheśvarau	AraBamANaH tad-mUla-devate SrImat-ambikA-maheSvarO
   sakalajagadutpattisthitipralayanidānaṃ viśeṣasiddhāntagarbhavācā	sakala-jagat-utpatti-sTiti-pralaya-nidAnam viSeza-sidDAnta-garBa-vAcA
   varīvasyati // RCint_1.1 //	varIvasyati // RCint-_1.1 //
   arthaprakāśakāsāravimarśāmbujinīmayam /	arTa-prakASa-kAsAra-vimarSa-ambujinI-mayam /
   saccidānandavibhavaṃ śivayorvapurāśraye // RCint_1.2 //	saccidAnanda-viBavam SivayoH-vapuH-ASraye // RCint-_1.2 //
   laghīyaḥ parimāṇatayā nikhilarasajñānadāyitvāccintāmaṇiriva cintāmaṇiḥ //	laGIyaH parimANa-tayA niKila-rasa-jQAna-dAyi-tvAt-cintAmaNiH-iva cintAmaNiH //
   RCint_1.3 //	RCint-_1.3 //
   aśrauṣaṃ bahuviduṣāṃ mukhād apaśyaṃ śāstreṣu sthitam akṛtaṃ na tallikhāmi	aSrOzam bahu-viduzAm muKAt apaSyam SAstrezu sTitam akRtam na tat-liKAmi
   yatkarma vyaracayamagrato gurūṇāṃ prauḍhānāṃ tadiha vadāmi vītaśaṅkaḥ //	yat-karma vyaracayam-agratas gurUNAm prOXAnAm tat-iha vadAmi vIta-SaFkaH //
   RCint_1.4 //	RCint-_1.4 //
   adhyāpayanti yad darśayituṃ kṣamante sūtendrakarma guravo guravasta eva /	aDyApayanti yat darSayitum kzamante sUtendra-karma guravaH guravaH-te eva /
   śiṣyāsta eva racayanti guroḥpuro ye śeṣāḥ punastadubhayābhinayaṃ bhajante	SizyAH-te eva racayanti guroH-puras ye SezAH punar-tad-uBaya-aBinayam Bajante
   // RCint_1.5 //	// RCint-_1.5 //
   saṃskārāḥ paratantreṣu ye gūḍhāḥ siddhisūcitāḥ /	saMskArAH paratantrezu ye gUXAH sidDi-sUcitAH /
   tāneva prakaṭīkartum udyamaṃ kila kurmahe // RCint_1.6 //	tAn-eva prakawIkartum udyamam kila kurmahe // RCint-_1.6 //
   granthād asmādāharanti prayogān svīyaṃ vāsminnāma ye nikṣipanti /	granTAt asmAt-Aharanti prayogAn svIyam vA-asmin-nAma ye nikzipanti /
   gotrāṇyeṣām asmadīyaśramoṣmā bhasmīkurvannāyugaṃ bobhavītu // RCint_1.7 //	gotrANi-ezAm asmadIya-Srama-UzmA BasmIkurvan=-Ayugam boBavItu // RCint-_1.7 //
   saṃskārāḥ śivajanuṣo bahuprakārās tulyā ye laghubahulaprayāsaṃsādhyāḥ /	saMskArAH Siva-januzaH bahu-prakArAH tulyAH ye laGu-bahula-prayAsaMsADyAH /
   yadyekaṃ sukaram udāharāmi teṣāṃ vyāhāraiḥ kimihaphalaṃ tataḥ pareṣām //	yadi-ekam sukaram udAharAmi tezAm vyAhArEH kim-iha-Palam tatas parezAm //
   RCint_1.8 //	RCint-_1.8 //
   iha khalu puruṣeṇa duḥkhasya nirupādhidveṣaviṣayatvāt	iha Kalu puruzeNa duHKasya nirupADi-dveza-vizaya-tvAt
   tadabhāvaścikīrṣitavyo bhavati sukhamapi nirupādhipremāspadatayā	tad-aBAvaH-cikIrzitavyaH Bavati suKam-api nirupADi-prema-Aspada-tayA
   gaveṣaṇīyam tadetatpuruṣārthadvayam /	gavezaNIyam tat-etat-puruza-arTa-dvayam /
   abhāvasyānyatvāt // RCint_1.9 //	aBAvasya-anya-tvAt // RCint-_1.9 //
   kiṃca srakcandanavanitādiviṣayāṇāṃ satyapi tatkāraṇatve	kiMca sraj-candana-vanitA-Adi-vizayANAm sati-api tad-kAraNa-tve
   nāntarīyakaduḥkhasambhedād anarthaparamparāparicitatvān mūrkhāṇāṃ	na-antarIyaka-duHKa-samBedAt anarTa-paramparA-paricita-tvAt mUrKANAm
   kośāṇḍakavad ābhāsamānatvād anaikāntikatvād virodhināṃ	koSANxaka-vat ABAsamAna-tvAt anEkAntika-tvAt viroDinAm
   yugapadadṛśyamānatvād atyantatāvirahitatvācca pariharaṇīyatvam //	yugapad-adRSyamAna-tvAt atyanta-tA-virahita-tvAt-ca pariharaNIya-tvam //
   RCint_1.10 //	RCint-_1.10 //
   ekāntātyantataśca punaste hyupāyāḥ khalu hariharabrahmāṇa iva tulyā eva	ekAnta-atyantataH-ca punar-te hi-upAyAH Kalu hari-hara-brahmANaH iva tulyAH eva
   sambhavanti /	samBavanti /
   jñānayogaḥ pavanayogo rasayogaśceti // RCint_1.11 //	jQAna-yogaH pavana-yogaH rasa-yogaH-ca-iti // RCint-_1.11 //
   nanu kathameṣāṃ tulyatetyapekṣāyāṃ brūmaḥ mokṣopāye bṛhadvāsiṣṭhādau	nanu kaTam-ezAm tulya-tA-iti-apekzAyAm brUmaH mokza-upAye bRhat-vAsizWa-AdO
