   atha trayoviṃśaṃ pūraṇam	aTa trayoviMSam pUraNam
   prathama saṅga raṅgaja 	praTama  saFga raFga ja 
   vākovākya bhaṅgī saṅgītam	vAkovAkya  BaFgI  saFgItam
   [1] atha rāsārambhe nija śapatha sambhedaṃ vedayaṃṣtadīdaṃ yācanam ācinomi	[1] aTa rAsa AramBe nija  SapaTa  samBedam vedayaM= tadi idam yAcanam Acinomi
   nije kāvye sarvaṃ rasa valanam astiti likhatā	nije kAvye sarvam rasa valanam astiti liKatA
   mayā dhārstyāt spaṣṭī kṛta mati rahasyaṃ tu yadīha |	mayA DArstyAt spazwI  kRta mati  rahasyam tu yadi iha |
   tad etad govinda vraja vijana kāntānucaraṇaṃ	tat etat govinda  vraja  vijana  kAnta anucaraNam
   dadhadbhir yogyasya śravasi param arpyaṃ na sadasi ||JGc_1,23.1|| iti |	daDadBiH yogyasya Sravasi param arpyam na sadasi ||JGc_1,23.1|| iti |
   [śikhariṇī]	[SiKariNI]
   [2] atha rātri kathāyām grathyamāna prathāyāṃ madhukaṇṭhaḥ snigdhakaṇṭhaṃ	[2] aTa rAtri  kaTAyAm graTyamAna praTAyAm maDukaNWaH snigDa kaNWam
   snigdhakaṇṭham apy ālambamānaḥ sambabhāṣe, yatra prathamamīdaṃ prāñjali	snigDa kaNWam api AlambamAnaH sambaBAze, yatra praTamam Idam prAQjali
   vyañjayāmāsa 	vyaQjayAmAsa 
   rāsa kelir ajaniṣṭa jāgaraṃ	rAsa keliH ajanizwa jAgaram
   sa sphuṭaṃ bhavatu tat kathā tathā |	sa sPuwam Bavatu tat kaTA taTA |
   kāraṇaṃ bhavati yasya yad vidhaṃ	kAraNam Bavati yasya yat  viDam
   tasya tad vidhatayā matā sthitiḥ ||JGc_1,23.2|| [rathoddhatā]	tasya tat  viDatayA matA sTitiH ||JGc_1,23.2|| [raTa udDatA]
   [3] tad etad ākarṇya sānandaṃ nirvarṇya ca sarve' pi procuḥ yukti yuktam	[3] tat etat AkarNya sa Anandam nirvarNya ca sarve a pi procuH yukti yuktam
   eva cedam uktam, yataḥ 	eva ca idam uktam, yatas  
   paramā yā rasa dhārā	paramA yA rasa DArA
   sā yadi madhye viyuktim āyāti |	sA yadi maDye viyuktim AyAti |
   pūrvāpara saṃvalanā 	pUrva apara  saMvalanA 
   bhāvān naiva svarūpam āyāti ||JGc_1,23.3|| [gīti]	BAvAt na eva svarUpam AyAti ||JGc_1,23.3|| [gIti]
