   // smṛtyadhyāyaḥ //	// smRti-aDyAyaH //
   // dvitīyamāhnikam //	// dvitIyam-Ahnikam //
   nyā. pa. śa. 51 evaṃ tāvadvivecitaṃ pramāṇam /	nyA. pa. Sa. 51 evam tAvat-vivecitam pramANam /
   cārvākāstu pratyakṣamekaṃ pramāṇamityāhuḥ /	cArvAkAH-tu pratyakzam-ekam pramANam-iti-AhuH /
   teṣveva kecit anumānasya pratyakṣentarbhāvamicchanti; kecittu aprāmāṇyam;	tezu-eva kecid anumAnasya pratyakzentarBAvam-icCanti; kecid-tu aprAmANyam;
   pratyakṣamanumānaṃ ca kāṇādāḥ saugatāśca /	pratyakzam-anumAnam ca kANAdAH sOgatAH-ca /
   tatra pūrve śabdasyānumānentarbhāvamāhuḥ; pare tu kecit antarbhāvam;	tatra pUrve Sabdasya-anumAnentarBAvam-AhuH; pare tu kecid antarBAvam;
   kecidaprāmāṇyam; te cāgamaṃ ca sāṃkhyāḥ, bhūṣaṇamatānuvartinaśca /	kecid-aprAmANyam; te ca-Agamam ca sAMKyAH, BUzaNa-mata-anuvartinaH-ca /
   tatra vedasyānāditvaṃ pūrve parijagṛhuḥ; uttare tvīśvarasṛṣṭatām; tāni ca	tatra vedasya-anAdi-tvam pUrve parijagRhuH; uttare tu-ISvara-sRzwa-tAm; tAni ca
   smṛtiṃ ca vaiśeṣikaikadeśinosmatsiddhāntaikadeśinaśca; tānyeva	smRtim ca vESezika-eka-deSina-usmad-sidDAnta-eka-deSinaH-ca; tAni-eva
   sārthāpattikāni prābhākarāḥ; anupalabdhiṣaṣṭhāni tānyeva tautātitāḥ,	sArTa-ApattikAni prABAkarAH; anupalabDi-zazWAni tAni-eva tOta-atitAH,
   tatpralobhanarucayo māyāvādinaśca; tānyeva saṃbhavatihyayuktāni	tad-praloBana-rucayaH mAyA-vAdinaH-ca; tAni-eva saMBavati-hi-a-yuktAni
   purāṇaśaraṇāḥ /	purANa-SaraNAH /
   adyatanapramāṇaparigrahopalambhaprakriyeyam /	adyatana-pramANa-parigraha-upalamBa-prakriyA-iyam /
   anante pūrvāparakāle kaḥ kimaṅgīkuryāt, kiṃ vā bahiṣkuryāt, iti ko	anante pUrva-apara-kAle kaH kim-aFgIkuryAt, kim vA bahizkuryAt, iti kaH-
   jānātyanyatra kalpasākṣātkāriṇastasmādekasmāddevāt /	jAnAti-anyatra kalpa-sAkzAt-kAriNaH-tasmAt-ekasmAt-devAt /
   iha ca nyūnavādinastadavasare nirastāḥ /	iha ca nyUna-vAdinaH-tad-avasare nirastAH /
   adhikatayā parābhimatānāṃ tu arntabhāvo vaktavyaḥ /	aDika-tayA para-aBimatAnAm tu arnta-BAvaH vaktavyaH /
   tatra yathā pratyabhijñādīnāṃ pratyakṣādiṣveva niveśa iṣyate,	tatra yaTA pratyaBijQA-AdInAm pratyakza-Adizu-eva niveSaH izyate,
