   mātṛkā 1	mAtRkA 1
   [vyavahāraḥ]	[vyavahAraH]
   dharmaikatānāḥ puruṣā yadāsan satyavādinaḥ /	Darma-ekatAnAH puruzAH yat-A-Asan satya-vAdinaH /
   tadā na vyavahāro 'bhūn na dveṣo nāpi matsaraḥ // Nar_M1.1 //	tadA na vyavahAraH aBUt na dvezaH na-api matsaraH // Nar_M1.1 //
   naṣṭe dharme manuṣyeṣu vyavahāraḥ pravartate /	nazwe Darme manuzyezu vyavahAraH pravartate /
   draṣṭā ca vyavahārāṇāṃ rājā daṇḍadharaḥ kṛtaḥ // Nar_M1.2 //	drazwA ca vyavahArANAm rAjA daNxa-DaraH kRtaH // Nar_M1.2 //
   likhitaṃ sākṣiṇaś cātra dvau vidhī saṃprakīrtitau /	liKitam sAkziNaH ca-atra dvO viDI saMprakIrtitO /
   saṃdigdhārthaviśuddhyarthaṃ dvayor vivadamānayoḥ // Nar_M1.3 //	saMdigDa-arTa-viSudDi-arTam dvayoH vivadamAnayoH // Nar_M1.3 //
   sottaro 'nuttaraś caiva sa vijñeyo dvilakṣaṇaḥ /	sa-uttaraH anuttaraH ca-eva sa vijQeyaH dvi-lakzaNaH /
   sottaro 'bhyadhiko yatra vilekhāpūrvakaḥ paṇaḥ // Nar_M1.4 //	sa-uttaraH aByaDikaH yatra vileKA-pUrvakaH paNaH // Nar_M1.4 //
   vivāde sottarapaṇe dvayor yas tatra hīyate /	vivAde sa-uttara-paNe dvayoH yaH tatra hIyate /
   sa paṇaṃ svakṛtaṃ dāpyo vinayaṃ ca parājaye // Nar_M1.5 //	sa paNam sva-kRtam dApyaH vinayam ca parAjaye // Nar_M1.5 //
   sāras tu vyavahārāṇāṃ pratijñā samudāhṛtā /	sAraH tu vyavahArANAm pratijQA samudAhRtA /
   taddhānau hīyate vādī taraṃs tām uttaro bhavet // Nar_M1.6 //	tad-hAnO hIyate vAdI taran tAm uttaraH Bavet // Nar_M1.6 //
   kulāni śreṇayaś caiva gaṇāś cādhikṛto nṛpaḥ /	kulAni SreNayaH ca-eva gaNAH ca-aDikRtaH nRpaH /
   pratiṣṭhā vyavahārāṇāṃ gurvebhyas tūttarottaram // Nar_M1.7 //	pratizWA vyavahArANAm guru-eByaH tu-uttarottaram // Nar_M1.7 //
   sa catuṣpāc catuḥsthānaś catuḥsādhana eva ca /	sa catuzpAd catur-sTAnaH catur-sADanaH eva ca /
   caturhitaś caturvyāpī catuṣkārī ca kīrtyate // Nar_M1.8 //	catur-hitaH catur-vyApI catuzkArI ca kIrtyate // Nar_M1.8 //
   aṣṭāṅgo 'ṣṭādaśapadaḥ śataśākhas tathaiva ca /	azwAFgaH azwAdaSa-padaH SataSAKaH taTA-eva ca /
   triyonir dvyabhiyogaś ca dvidvāro dvigatis tathā // Nar_M1.9 //	tri-yoniH dvi-aBiyogaH ca dvi-dvAraH dvi-gatiH taTA // Nar_M1.9 //
   dharmaś ca vyavahāraś ca caritraṃ rājaśāsanam /	DarmaH ca vyavahAraH ca caritram rAja-SAsanam /
   catuṣpād vyavahāro 'yam uttaraḥ pūrvabādhakaḥ // Nar_M1.10 //	catuzpAd vyavahAraH ayam uttaraH pUrva-bADakaH // Nar_M1.10 //
   tatra satye sthito dharmo vyavahāras tu sākṣiṣu /	tatra satye sTitaH DarmaH vyavahAraH tu sAkzizu /
   caritraṃ pustakaraṇe rājājñāyāṃ tu śāsanam // Nar_M1.11 //	caritram pusta-karaNe rAja-AjQAyAm tu SAsanam // Nar_M1.11 //
