   akasmānmṛtyurāyāto Bca_7.8c	akasmAt-mRtyuH-AyAtaH Bca_7.8c
   akāmasyāpi te sthitā Bca_9.136b	akAmasya-api te sTitA Bca_9.136b
   akāraṇenaiva ripukṣatāni Bca_4.39a	akAraNena-eva ripu-kzatAni Bca_4.39a
   akāle kiṃ kariṣyasi Bca_7.7d	akAle kim karizyasi Bca_7.7d
   akurvataśca kuśalaṃ Bca_4.19a	akurvataH-ca kuSalam Bca_4.19a
   akṛṣṭajātāni ca śasyajātāny Bca_2.5a	akRzwa-jAtAni ca Sasya-jAtAni Bca_2.5a
   akṣīṇe pāpasaṃcaye Bca_2.32d	akzINe pApa-saMcaye Bca_2.32d
   agaṇitaśaraśaktighātaduḥkhā Bca_4.37c	agaNita-Sara-Sakti-GAta-duHKAH Bca_4.37c
   agnirgatvā gṛhāntaram Bca_6.70b	agniH-gatvA gRha-antaram Bca_6.70b
   agrāhyaṃ kaḥ kariṣyati Bca_9.52d	agrAhyam kaH karizyati Bca_9.52d
   aṅkurādanyato jñānād Bca_9.116a	aFkurAt-anyatas jQAnAt Bca_9.116a
   aṅkuro jāyate bījād Bca_9.115a	aFkuraH jAyate bIjAt Bca_9.115a
   aṅgacchedārthamapyadya Bca_2.44a	aFga=-Ceda-arTam-api-adya Bca_2.44a
   aṅgārataptopalaśastravṛṣṭir Bca_10.9a	aFgAra-tapta-upala-Sastra-vRzwiH Bca_10.9a
   acittake kṛtā pūjā Bca_9.39a	acittake kRtA pUjA Bca_9.39a
   acintyabauddhasaukhyena Bca_10.48c	acintya-bOdDa-sOKyena Bca_10.48c
   acintyasya ca kartṛtvam Bca_9.121c	acintyasya ca kartR-tvam Bca_9.121c
   acintyāṃ karmaṇo gatiṃ Bca_4.7b	acintyAm karmaNaH gatim Bca_4.7b
   acetanaśca naivāham Bca_9.69a	acetanaH-ca na-eva-aham Bca_9.69a
   acetanaṃ svabhāvena Bca_8.54c	acetanam svaBAvena Bca_8.54c
   acetane ca vastrādau Bca_9.130c	acetane ca vastra-AdO Bca_9.130c
   acaitanyātpaṭādivat Bca_9.69b	acEtanyAt-pawa-Adi-vat Bca_9.69b
   acchaṭādi tu kartavyam Bca_5.95c	acCawA-Adi tu kartavyam Bca_5.95c
   ajarāmaralīlānām Bca_9.166a	ajara-amara-lIlAnAm Bca_9.166a
   ajātamaniruddhaṃ ca Bca_9.150c	ajAtam-anirudDam ca Bca_9.150c
   ajānānaṃ yadi jñānaṃ Bca_9.62a	ajAnAnam yadi jQAnam Bca_9.62a
   ajñasya niṣkriyasyaivam Bca_9.70c	ajQasya nizkriyasya-evam Bca_9.70c
   ajño naṣṭaḥ prasajyate Bca_9.69d	ajQaH nazwaH prasajyate Bca_9.69d
