   Paraśurāmakalpasūtra	ParaSurAma-kalpa-sUtra
   1. Khaṇḍa: Dīkṣāvidhi	1. KhaNxa: DIkzA-viDi
   athāto dīkṣāṃ vyākhyāsyāmaḥ || Parks_1.1 ||	aTa-atas dIkzAm vyAKyAsyAmaH || ParkH-_1.1 ||
   bhagavān paramaśivabhaṭṭārakaḥ śrutyādyaṣṭādaśavidyāḥ sarvāṇi darśanāni	BagavAn paramaSiva-BawwArakaH Sruti-Adi-azwAdaSa-vidyAH sarvANi darSanAni
   līlayā tattadavasthāpannaḥ praṇīya, saṃvinmayyā bhagavatyā bhairavyā	lIlayA tad-tad-avasTA-ApannaH praNIya, saMvid-mayyA BagavatyA BEravyA
   svātmābhinnayā pṛṣṭaḥ pañcabhiḥ mukhaiḥ pañcāmnāyān paramārthasārabhūtān	sva-Atma-aBinnayA pRzwaH paQcaBiH muKEH paQca-AmnAyAn parama-arTa-sAra-BUtAn
   praṇināya || Parks_1.2 ||	praNinAya || ParkH-_1.2 ||
   tatrāyaṃ siddhāntaḥ || Parks_1.3 ||	tatra-ayam sidDAntaH || ParkH-_1.3 ||
   ṣaṭtriṃśattattvāni viśvam || Parks_1.4 ||	zawtriMSat-tattvAni viSvam || ParkH-_1.4 ||
   śarīrakañcukitaḥ śivo jīvo niṣkañcukaḥ paraśivaḥ || Parks_1.5 ||	SarIra-kaQcukitaH SivaH jIvaH nizkaQcukaH paraSivaH || ParkH-_1.5 ||
   svavimarśaḥ purusārthaḥ || Parks_1.6 ||	sva-vimarSaH puru-sArTaH || ParkH-_1.6 ||
   varṇātmakā nityāḥ śabdāḥ || Parks_1.7 ||	varNa-AtmakAH nityAH SabdAH || ParkH-_1.7 ||
   mantrāṇām acintyaśaktitā || Parks_1.8 ||	mantrANAm acintya-Sakti-tAH || ParkH-_1.8 ||
   saṃpradāyaviśvāsābhyāṃ sarvasiddhiḥ || Parks_1.9 ||	saMpradAya-viSvAsAByAm sarva-sidDiH || ParkH-_1.9 ||
   viśvāsabhūyiṣṭhaṃ prāmāṇyam || Parks_1.10 ||	viSvAsa-BUyizWam prAmANyam || ParkH-_1.10 ||
   gurumantradevatātmamanaḥpavanānām	guru-mantra-devatA-Atma-manaH-pavanAnAm
   aikyaniṣphālanād antarātmavittiḥ || Parks_1.11 ||	Ekya-nizPAlanAt antarAtma-vittiH || ParkH-_1.11 ||
   ānandaṃ brahmaṇo rūpaṃ, tac ca dehe vyavasthitaṃ, tasyābhivyañjakāḥ pañca	Anandam brahmaNaH rUpaM, tat ca dehe vyavasTitaM, tasya-aBivyaQjakAH paQca
   makārāḥ, tair arcanaṃ guptyā, prākaṭyān nirayaḥ || Parks_1.12 ||	makArAH, tEH arcanam guptyA, prAkawyAt nirayaH || ParkH-_1.12 ||
   bhāvanādārḍhyād ājñāsiddhiḥ || Parks_1.13 ||	BAvanA-dArXyAt AjQA-sidDiH || ParkH-_1.13 ||
   sarvadarśanānindā || Parks_1.14 ||	sarva-darSana-anindA || ParkH-_1.14 ||
   agaṇanaṃ kasyāpi || Parks_1.15 ||	agaNanam kasya-api || ParkH-_1.15 ||
   sacchiṣye rahasyakathanam || Parks_1.16 ||	sat-Sizye rahasya-kaTanam || ParkH-_1.16 ||
   sadā vidyānusaṃhatiḥ || Parks_1.17 ||	sadA vidyA-anusaMhatiH || ParkH-_1.17 ||
   satataṃ śivatāsamāveśaḥ || Parks_1.18 ||	satatam Siva-tA-samAveSaH || ParkH-_1.18 ||
   kāmakrodhalobhamohamadamātsaryāvihitahiṃsāsteyalokavidviṣṭavarjanam ||	kAma-kroDa-loBa-moha-mada-mAtsaryA-vihita-hiMsA-steya-loka-vidvizwa-varjanam ||
   Parks_1.19 ||	ParkH-_1.19 ||
   ekagurūpāstir asaṃśayaḥ || Parks_1.20 ||	eka-guru-upAstiH asaMSayaH || ParkH-_1.20 ||
   sarvatra niṣparigrahatā || Parks_1.21 ||	sarvatra nizparigraha-tA || ParkH-_1.21 ||
   phalaṃ tyaktvā karmakaraṇam || Parks_1.22 ||	Palam tyaktvA karma-karaNam || ParkH-_1.22 ||
   anityakarmalopaḥ || Parks_1.23 ||	anitya-karma-lopaH || ParkH-_1.23 ||
   mapañcakālābhe 'pi nityakramapratyavamṛṣṭiḥ || Parks_1.24 ||	mapaQcaka-alABe api nitya-krama-pratyavamRzwiH || ParkH-_1.24 ||
   nirbhayatā sarvatra || Parks_1.25 ||	nirBaya-tA sarvatra || ParkH-_1.25 ||
   sarvaṃ vedyaṃ havyam indriyāṇi srucaḥ śaktayo jvālāḥ svātmā śivaḥ pāvakaḥ	sarvam vedyam havyam indriyANi srucaH SaktayaH jvAlAH sva-AtmA SivaH pAvakaH
   svayam eva hotā || Parks_1.26 ||	svayam eva hotA || ParkH-_1.26 ||
   nirviṣayacidvimṛṣṭiḥ phalam || Parks_1.27 ||	nirvizaya-cit-vimRzwiH Palam || ParkH-_1.27 ||
