   haṭha-yoga-pradīpikā	haWa-yoga--pradIpikA
   prathamopadeśaḥ	praTama-upadeSaH
   śrī-ādi-nāthāya namo'stu tasmai	SrI-Adi--nATAya namaH-astu tasmE
   yenopadiṣṭā haṭha-yoga-vidyā /	yena-upadizwA haWa-yoga-vidyA /
   vibhrājate pronnata-rāja-yogam	viBrAjate pronnata-rAja--yogam
   āroḍhum icchor adhirohiṇīva // HYP_1.1 //	AroXum icCoH aDirohiNI-iva // HYc-_1.1 //
   praṇamya śrī-guruṃ nāthaṃ svātmārāmeṇa yoginā /	praNamya SrI--gurum nATam sva-Atma-ArAmeNa yoginA /
   kevalaṃ rāja-yogāya haṭha-vidyopadiśyate // HYP_1.2 //	kevalam rAja-yogAya haWa-vidyA-upadiSyate // HYc-_1.2 //
   bhrāntyā bahumata-dhvānte rāja-yogam ajānatām /	BrAntyA bahumata--Dva-ante rAja--yogam ajAnatAm /
   haṭha-pradīpikāṃ dhatte svātmārāmaḥ kṛpākaraḥ // HYP_1.3 //	haWa-pradIpikAm Datte sva-Atma-ArAmaH kRpA-akaraH // HYc-_1.3 //
   haṭha-vidyāṃ hi matsyendra-gorakṣādyā vijānate /	haWa-vidyAm hi matsya-indra-gorakza-AdyAH vijAnate /
   svātmārāmo'thavā yogī jānīte tat-prasādataḥ // HYP_1.4 //	sva-Atma-ArAmaH-aTavA yogI jAnIte tat--prasAdataH // HYc-_1.4 //
   śrī-ādinātha-matsyendra-śāvarānanda-bhairavāḥ /	SrI--Adi-nATa--matsya-indra--SAvara-Ananda-BEravAH /
   cauraṅgī-mīna-gorakṣa-virūpākṣa-bileśayāḥ // HYP_1.5 //	cOraFgI--mIna--goH-akza-virUpAkza--bileSayAH // HYc-_1.5 //
   manthāno bhairavo yogī siddhir buddhaś ca kanthaḍiḥ /	manTAnaH BEravaH yogI sidDiH budDaH ca kanTaxiH /
   koraṃṭakaḥ surānandaḥ siddhapādaś ca carpaṭiḥ // HYP_1.6 //	koraMwakaH surAnandaH sidDapAdaH ca carpawiH // HYc-_1.6 //
   kānerī pūjyapādaś ca nitya-nātho nirañjanaḥ /	kAnerI pUjya-pAdaH ca nitya-nATaH niraQjanaH /
   kapālī bindunāthaś ca kākacaṇḍīśvarāhvayaḥ // HYP_1.7 //	kapAlI bindunATaH ca kAkacaNxI-ISvara-AhvayaH // HYc-_1.7 //
   allāmaḥ prabhudevaś ca ghoḍā colī ca ṭiṃṭiṇiḥ /	allAmaH praBudevaH ca GoxA colI ca wiMwiNiH /
   bhānukī nāradevaś ca khaṇḍaḥ kāpālikas tathā // HYP_1.8 //	BAnukI nAradevaH ca KaNxaH kApAlikaH taTA // HYc-_1.8 //
   ity ādayo mahāsiddhā haṭha-yoga-prabhāvataḥ /	iti AdayaH mahA-sidDAH haWa--yoga--praBAvataH /
   khaṇḍayitvā kāla-daṇḍaṃ brahmāṇḍe vicaranti te // HYP_1.9 //	KaNxayitvA kAla-daNxam brahmANxe vicaranti te // HYc-_1.9 //
   aśeṣa-tāpa-taptānāṃ samāśraya-maṭho haṭhaḥ /	aSeza-tApa--taptAnAm samASraya-maWaH haWaH /
   aśeṣa-yoga-yuktānām ādhāra-kamaṭho haṭhaḥ // HYP_1.10 //	aSeza---yoga---yuktAnAm ADAra-kamaWaH haWaH // HYc-_1.10 //
   haṭha-vidyā paraṃ gopyā yoginā siddhim icchatā /	haWa-vidyA param gopyA yoginA sidDim icCatA /
   bhaved vīryavatī guptā nirvīryā tu prakāśitā // HYP_1.11 //	Bavet vIryavatI guptA nirvIryA tu prakASitAH // HYc-_1.11 //
   surājye dhārmike deśe subhikṣe nirupadrave /	su-rAjye DArmike deSe suBikze nirupadrave /
   dhanuḥ pramāṇa-paryantaṃ śilāgni-jala-varjite /	DanuH pramANa--paryantam SilA-agni-jala--varjite /
   ekānte maṭhikā-madhye sthātavyaṃ haṭha-yoginā // HYP_1.12 //	ekAnte maWikA--maDye sTAtavyam haWa--yoginA // HYc-_1.12 //
