   śrīḥ //	SrIH //
   śrīmate śrīnivāsaparabrahmaṇe namaḥ //	SrImate SrI-nivAsa-para-brahmaNe namaH //
   nyāyakusumāñjalau caturthastabakaḥ /	nyAya-kusuma-aQjalO caturTa-stabakaH /
   nanu sadapīśvarajñānaṃ na pramāṇam, tallakṣaṇāyogāt;	nanu sat-api-ISvara-jQAnam na pramANam, tad-lakzaNa-ayogAt;
   anadhigatārthagantustathābhāvāt /	anaDigata-arTa-gantuH-taTA-aBAvAt /
   anyathā smṛterapi prāmāṇyaprasaṅgāt /	anyaTA smRteH-api prAmANya-prasaFgAt /
   na ca nityasya sarvaviṣasyacānadhigatārthatā, vyāghātāt- atrocyate-	na ca nityasya sarva-viza-sya-cAn-aDigata-arTa-tA, vyAGAta-at atra-ucyate-
   avyāpteradhikavyāpteralakṣaṇamapūrvadṛk /	avyApteH-aDika-vyApteH-alakzaNam-apUrva-dRS /
   yathārthānubhavomānamanapekṣatayeṣyate //1 //	yaTArTa-anuBavaH-mAnam-anapekzatayA-izyate //1 //
   [ku.4.502] nahyadhigater'the adhigatireva notpadyate,	[ku.4.502] na-hi-aDigater-aTe aDigatiH-eva na-utpadyate,
   kāraṇānāmapratibandhāt /	kAraNAnAm-apratibanDAt /
   na cotpadyamānāpi pramāturanapekṣiteti na pramā, prāmāṇyasyātadadhīnatvāt	na ca-utpadyamAnA-api pramAtuH-anapekzitA-iti na pramA, prAmANyasya-Atad-aDIna-tvAt-
   nāpi pūrvāviśiṣṭatāmātreṇāprāmāṇyam; uttarāviśiṣṭatayā	na-api pUrva-aviSizwa-tA-mAtreNa-aprAmANyam; uttara-aviSizwa-tayA
   pūrvasyāpyaprāmāṇyaprasaṅgāt /	pUrvasya-api-aprAmANya-prasaFgAt /
   tadanapekṣatvena tu tasya pramāṇye taduttarasyāpi tathaiva syāt, aviśeṣāt	tad-anapekza-tvena tu tasya pramANye tad-uttarasya-api taTA-eva syAt, aviSezAt-
   chinne kuṭhārādīnāmiva, paricchinne nayanādīnāṃ sādhakatamatvameva	Cinne kuWAra-AdInAm-iva, paricCinne nayana-AdInAm sADakatama-tvam-eva
   nāstītyapi nāsti, phalotpādānutpādābhyāṃ viśeṣāt /	na-asti-iti-api nAsti, Pala-utpAda-anutpAdAByAm viSezAt /
   [ku.4.503] tat phalaṃ pramaiva na bhavati gṛhītamātragocaratvāt	[ku.4.503] tat Palam pramA-eva na Bavati gRhIta-mAtra-gocara-tvAt
   smṛtivaditi cenna- yathārthānubhavatvaniṣedhe sādhye bādhitatvāt /	smRti-vat-iti ced-na yaTArTa-anuBava-tu-a-nizeDe sADye bADita-tvAt /
   anadhigatārthatva(213)niṣedhe siddhasādhanāt, sādhyasamatvācca /	anaDigata-arTa-tva(213)nizeDe sidDa-sADanAt, sADya-sama-tvAt-ca /
   vyavahāraniṣedhe tannimittavirahopādhikatvāt, bādhitatvācca /	vyavahAra-nizeDe tad-nimitta-viraha-upADika-tvAt, bADita-tvAt-ca /
   nacānadhigatārthatvameva tannimittam, viparyayepi pramāvyavahāraprasaṅgāt	nacAn-aDigata-arTa-tvam-eva tad-nimittam, viparyaya-ipi pramAvI-avahAra-prasaFgAt-
   nāpi yathārthatvaviśiṣṭametadeva; dhārāvahanabuddhyavyāpteḥ /	na-api yaTArTa-tva-viSizwam-etat-eva; DArA-vahana-budDi-avyApteH /
   [ku.4.504] na ca tattatkālakalāviśiṣṭatayā	[ku.4.504] na ca tad-tad-kAla-kalA-viSizwa-tayA
   tatrāpyanadhigatārthar(thagantṛ)tvamupapādanīyam; kṣaṇopādhīnāmanākalanāt	tatra-api-anaDigata-arTa-r(Ta-gantR)-tvam-upapAdanIyam; kzaNa-upADInAm-anAkalanAt
   nacājñāteṣvapi viśeṣaṇeṣu tajjanitaviśiṣṭatāprakāśata iti kalpanīyam;	naca-ajQAtezu-api viSezaNezu tad-janita-viSizwa-tA-prakASataH iti kalpanIyam;
   svarūpeṇa tajjanane 'nāgatādiviśiṣṭatānubhavavirodhāt; tajjñānena tu	sva-rUpeNa tad-janane anAgata-Adi-viSizwa-tA-anuBava-viroDAt; tad-jQAnena tu
   tajjanane sūryagatyādīnāmajñāne tadviśiṣṭatānutpādāt /	tat-janane sUrya-gati-AdInAm-ajQAne tad-viSizwa-tA-anutpAdAt /
   nacaitasyāṃ pramāṇamasti /	na-ca-etasyAm pramANam-asti /
