   Rmañj, 1	RmaQj, 1
   yadgaṇḍamaṇḍalagalanmadhuvāri binduḥ pānālasāti nibhṛtāṃ lalitālimālā /	yad-gaNxa-maNxala-galat-maDu-vAri binduH pAna-alasA-ati niBRtAm lalita-ali-mAlA /
   yadguñjitena vinihanti navendranīla śaṅkāṃ sa vo gaṇapatiḥ śivamātanotu //	yat-guQjitena vinihanti navendranIla SaFkAm sa vaH gaNapatiH Sivam-Atanotu //
   Rmañj_1.1 //	RmaQt-_1.1 //
   indīvarī bhavati yacca caraṇāravindadvandve purandarapuraḥsaradevatānām /	indIvarI Bavati yat-ca caraNa-aravinda-dvandve purandara-puraHsara-devatAnAm /
   vandārutā kalayatāṃ sukirīṭakoṭiḥ śrī śāradā bhavatu sā bhavapāradāya //	vandAru-tA kalayatAm su-kirIwa-kowiH SrI SAradA Bavatu sA Bava-pAradAya //
   Rmañj_1.2 //	RmaQt-_1.2 //
   he bhasmāṅgaviraktirūpaguṇadaṃ taṃ preraṇādaṃ śivaṃ gaṅgābhūṣitaśekharaṃ	he Basma-aFga-virakti-rUpa-guNa-dam tam preraNAdam Sivam gaFgA-BUzita-SeKaram
   smaraharaṃ śaktisvarūpaṃ prabho /	smara-haram Sakti-svarUpam praBo /
   tvāmīśaṃ karuṇārṇavaṃ śaraṇadaṃ vidyānidhiṃ nirguṇaṃ sūtendraṃ girijāpatiṃ	tvAm-ISam karuNA-arNavam SaraNa-dam vidyA-niDim nirguNam sUtendram girijApatim
   śaśidharaṃ māṅgalyadevaṃ namaḥ /	SaSiDaram mAFgalya-devam namaH /
   śrīvaidyanāthatanayaḥ sunayaḥ suśīlaḥ śrīśālinātha iti viśrutanāmadheyaḥ /	SrI-vEdyanATa-tanayaH su-nayaH su-SIlaH SrI-SAlinATaH iti viSruta-nAmaDeyaH /
   tenāvalokya vidhivad vividhaprabandhān ārambhate sukṛtinā rasamañjarīyam	tena-avalokya viDivat viviDa-prabanDAn AramBate sukRtinA rasamaQjarI-iyam
   // Rmañj_1.3 //	// RmaQt-_1.3 //
   sanmadhuvrataṃ vṛndānāṃ satataṃ cittahāriṇī /	sat-maDuvratam vRndAnAm satatam citta-hAriNI /
