   smṛtyupasthānaparicchedaḥ trayodaśaḥ |	smRti-upasTAna-paricCedaH trayodaSaH |
   evaṃ karmaṇyacittaḥ smṛtyupasthānāny avataret ||	evam karmaNi-acittaH smRti-upasTAnAni avataret ||
   tatrâśubhaprastāvena kāyasmṛtyupasthānam uktam ||	tatrâSuBa-prastAvena kAya-smRti-upasTAnam uktam ||
   tad eva ca bhedaleśena dharmasaṃgītisūtre 'bhihitaṃ |	tat eva ca Beda-leSena Darma-saMgIti-sUtre aBihitam |
   punar aparaṃ kulaputra bodhisatvâivaṃ kāye smṛtim upasthāpayati |	punar aparam kula-putra boDisatvâivam kAye smRtim upasTApayati |
   ayaṃ kāyaḥ	ayam kAyaH
   pādapādâṅgulijaṅghôrutrikôdaranābhipṛṣṭhavaṃśahṛdayapārśvapārśvakāhastakalācībāhvaṃśagrīvāhanulalāṭaśiraḥkapālamātrasamūhaḥ	pAdapAt-âFguli-jaFGôru-trikôdara-nABi-pRzWa-vaMSa-hRdaya-pArSva-pArSvakA-hasta-kalAcI-bAhu-aMSa-grIvA-hanu-lalAwa-SiraH-kapAla-mAtra-samUhaH
   karmabhavakārakôpacito-	karma-Bava-kArakôpacitaH--
   [ Bendall ed p229 ---> ]	[ Bet-dalt ed p229 ---> ]
   nānākleśasaṃkalpavikalpaśatasahasrāṇām āvāsabhūto |	nAnA-kleSa-saMkalpa-vikalpa-Sata-sahasrANAm AvAsa-BUtaH |
   bahūni câtra dravyāṇi samavahitāni |	bahUni câtra dravyANi samavahitAni |
   yad uta |	yat uta |
   keśaromanakhadantâsthicarmapiśitavapāsnāyumedovaśālasīkāyakṛnmūtrapurīṣâmâśayarudhirakheṭapittapūyasiṅghāṇakamastakaluṅgāni	keSa-roma-naKa-dantâ-sTi-carma-piSita-vapA-snAyu-medaH-vaSa-alasIkAyakRt-mUtra-purIzâ-mâSaya-ruDira-Kewa-pitta-pUya-siFGANaka-mastaka-luFgAni
   evam bahudravyasamūhaḥ |	evam bahu-dravya-samUhaH |
   tat ko 'tra kāyaḥ |	tat kaH atra kAyaH |
   tasya pratyavekṣamāṇasyâivaṃ bhavati |	tasya pratyavekzamANasyâivam Bavati |
   ākāśasamo 'yaṃ kāyaḥ |	AkASa-samaH ayam kAyaH |
   sâkāśavat kāye smṛtim upasthāpayati |	sâkASa-vat kAye smRtim upasTApayati |
   sarvam etad ākāśam iti paśyati |	sarvam etat AkASam iti paSyati |
   tasya kāyaparijñānahetor na bhūyaḥ kvacit smṛtiḥ prasarati |	tasya kAya-parijQAna-hetoH na BUyas kvacid smRtiH prasarati |
   na visarati |	na visarati |
   na pratisaratîti ||	na pratisaratîti ||
   punar uktaṃ |	punar uktam |
   ayaṃ kāyo na pūrvântād āgato |	ayam kAyaH na pUrvântAt AgataH |
