   Revākhaṇḍa of the Vāyupurāṇa	RevAKaNxaH of Te VAyupurANa
   RKV adhyāya 1	RKV aDyAya 1
   śrīgaṇeśāya namaḥ // RKV_1.1 //	SrI gaNeSAya namaH // RKV_1.1 //
   oṃ namaḥ śrīpuruṣottamāya /	om namaH SrI puruzottamAya /
   oṃ namaḥ śrīnarmadāyai /	om namaH SrI narmadAyE /
   oṃ namo hariharahiraṇyagarbhebhyo namo vyāsavālmīkiśukaparāśarebhyo namo	om namaH hari hara hiraNyagarBeByaH namaH vyAsa vAlmIki Suka parASareByaH namaH 
   gurugobrāhmaṇebhyaḥ /	guru go brAhmaNeByaH /
   oṃ majjanmātaṅgagaṇḍacyutamadamadirāmodamattālimālaṃ snānaiḥ	om majjat mAtaFga gaNxa cyuta mada madira Amoda matta ali mAlam snAnEH
   siddhāṅganānāṃ kucayugavigalat kuṅkumāsaṅgapiṅgam /	sidDa aFganAnAm kuca yuga vigalat kuFkuma AsaFga piFgam /
   sāyaṃ prātarmunīnāṃ kusumacayasamācchannatīrasthavṛkṣaṃ pāyādvo	sAyam prAtar munInAm kusuma caya samAcCanna tIra sTavRkzam pAyAt vaH 
   narmadāmbhaḥ karimakarakarākrāntarahaṃstaraṃgam // RKV_1.2 //	narmadA amBaH kari makara kara Akra anta rahan= taraMgam // RKV_1.2 //
   ubhayataṭapuṇyatīrthā prakṣālitasakalalalokaduritaughā /	uBaya tawa puNya tIrTA prakzAlita sa kalala loka durita oGAH /
   devamunimanujavandyā haratu sadā narmadā duritam // RKV_1.3 //	deva muni manuja vandyA haratu sadA narmadA duritam // RKV_1.3 //
   nāśayatu duritamakhilaṃ bhūtaṃ bhavyaṃ bhavacca bhuvi bhavinām /	nASayatu duritam aKilam BUtam Bavyam Bavat ca Buvi BavinAm /
   sakalapavitri tava sudhā puṇyajalā narmadā bhavati // RKV_1.4 //	sakala pavitri tava suDA puNya jalA narmadA Bavati // RKV_1.4 //
   taṭapulinaṃ śivadevā yasyā yatayo 'pi kāmayante vā /	tawa pulinam Siva devAH yasyAH yatayaH api kAmayante vA /
   muninivahavihitasevā śivāya mama jāyatāṃ revā // RKV_1.5 //	muni nivaha vihita sevA SivAya mama jAyatAm revA // RKV_1.5 //
   nārāyaṇaṃ namaskṛtvā naraṃ caiva narottamam /	nArAyaNam namaskRtvA naram ca eva narottamam /
   devīṃ sarasvatīṃ vyāsaṃ tato jayamudīrayet // RKV_1.6 //	devIm sarasvatIm vyAsam tatas jayam udIrayet // RKV_1.6 //
   naimiṣe puṇyanilaye nānāṛṣiniṣevite /	nEmize puNya nilaye nAnA Rzi nizevite /
   śaunakaḥ satramāsīnaḥ sūta papraccha vistarāt // RKV_1.7 //	SOnakaH satram AsInaH sUta papracCa vistarAt // RKV_1.7 //
   manye 'haṃ dharmanaipuṇyaṃ tvayi sūta sadārcitam /	manye aham Darma nEpuNyam tvayi sUta sadA arcitam /
   puṇyāmṛtakathāvaktā vyāsasaśiṣyastvameva hi // RKV_1.8 //	puNya amRta kaTA vaktAH vyAsa sa SizyaH tvam eva hi // RKV_1.8 //
   atastvāṃ paripṛcchāmi dharmatīrthāśrayaṃ kave /	atas tvAm paripRcCAmi Darma tIrTa ASrayam kave /
   bahūni santi tīrthāni bahuśo me śrutāni ca // RKV_1.9 //	bahUni santi tIrTAni bahuSas me SrutAni ca // RKV_1.9 //
   śrutā divyanadī brāhmī tathā viṣṇunadī mayā /	SrutA divya nadI brAhmI taTA vizNu nadI mayA /
   tṛtīyā na mayā kvāpi śrutā raudrī saridvarā // RKV_1.10 //	tRtIyA na mayA kvApi SrutA rOdrI sarit varAH // RKV_1.10 //
   tāṃ vedagarbhāṃ vikhyātāṃ vibudhaughābhivanditām /	tAm veda garBAm viKyAtAm vibuDa oGa aBivanditAm /
   vada me tvaṃ mahāprājña tīrthapūgapariṣkṛtām // RKV_1.11 //	vada me tvam mahA prAjQa tIrTa pUga parizkRtAm // RKV_1.11 //
   kaṃ deśam āśritā revā kathaṃ śrīrudrasaṃbhavā /	kam deSam ASritA revA kaTam SrI rudra saMBavAH /
   tatsaṃśritāni tīrthāni yāni tāni vadasva me // RKV_1.12 //	tad saMSritAni tIrTAni yAni tAni vadasva me // RKV_1.12 //
   sūta uvāca:	sUtaH uvAca:
   sādhu pṛṣṭaṃ kulapate caritraṃ narmadāśritam /	sADu pRzwam kula pate caritram narmadA ASritam /
   citraṃ pavitraṃ doṣaghnaṃ śrutamuktaṃ ca sattama // RKV_1.13 //	citram pavitram doza Gnam Srutam uktam ca sattamaH // RKV_1.13 //
   vedopavedavedāṅgādīnyabhivyasya pūritaḥ /	veda upaveda vedAFga AdIni aBivyasya pUritaH /
   aṣṭādaśapurāṇānāṃ vaktā satyavatīsutaḥ // RKV_1.14 //	azwAdaSa purANAnAm vaktA satyavatI sutaH // RKV_1.14 //
   taṃ namaskṛtya vakṣyāmi purāṇāni yathākramam /	tam namaskRtya vakzyAmi purANAni yaTAkramam /
   yeṣām abhivyāharaṇād abhivṛddhir vṛṣāyuṣoḥ // RKV_1.15 //	yezAm aBivyAharaNAt aBivRdDiH vRza AyuzoH // RKV_1.15 //
   śrutiḥ smṛtiśca viprāṇāṃ cakṣuṣī parikīrtite /	SrutiH smRtiH ca viprANAm cakzuzI parikIrtite /
   kāṇastatraikayā hīno dvābhyāmandhaḥ prakīrtitaḥ // RKV_1.16 //	kANaH tatra ekayA hInaH dvAByAm anDaH prakIrtitaH // RKV_1.16 //
   śrutismṛtipurāṇāni viduṣāṃ locanatrayam /	Sruti smRti purANAni viduzAm locana trayam /
   yastribhirnayanaiḥ paśyet so 'ṃśo māheśvaro mataḥ // RKV_1.17 //	yaH triBiH nayanEH paSyet saH aMSaH mAheSvaraH mataH // RKV_1.17 //
   ātmano vedavidyā ca īśvareṇa vinirmitā /	AtmanaH veda vidyA ca ISvareNa vinirmitA /
   śaunakīyā ca paurāṇī dharmaśāstrātmikā ca yā // RKV_1.18 //	SOnakIyA ca pOrANI Darma SAstra AtmikA ca yAH // RKV_1.18 //
   tisro vidyā imā mukhyāḥ sarvaśāstravinirṇaye /	tisraH vidyAH imAH muKyAH sarva SAstra vinirNaye /
   purāṇaṃ pañcamo veda iti brahmānuśāsanam // RKV_1.19 //	purANam paQcamaH vedaH iti brahma anuSAsanam // RKV_1.19 //
   yo na veda purāṇaṃ hi na sa vedātra kiṃcana /	yaH na veda purANam hi na sa veda atra kiMcana /
   katamaḥ sa hi dharmo 'sti kiṃ vā jñānaṃ tathāvidham // RKV_1.20 //	katamaH sa hi DarmaH asti kim vA jQAnam taTAviDam // RKV_1.20 //
   anyadvā tatkimatrāha purāṇe yanna dṛśyate /	anyat vA tat kim atra Aha purANe yat na dRSyate /
   vedāḥ pratiṣṭhitāḥ pūrvaṃ purāṇe nātra saṃśayaḥ // RKV_1.21 //	vedAH pratizWitAH pUrvam purANe na atra saMSayaH // RKV_1.21 //
   bibhetyalpaśrutādvedo māmayaṃ pratariṣyati /	biBeti alpa SrutAt vedaH mAm ayam pratarizyati /
   itihāsapurāṇaiśca kṛto'yaṃ niścayaḥ purā // RKV_1.22 //	itihAsa purANEH ca kRtaH ayam niScayaH purA // RKV_1.22 //
   ātmā purāṇaṃ vedānāṃ pṛthagaṃgāni tāni ṣaṭ /	AtmA purANam vedAnAm pRTak aMgAni tAni zaw /
   yacca dṛṣṭaṃ hi vedeṣu taddṛṣṭaṃ smṛtibhiḥ kila // RKV_1.23 //	yat ca dRzwam hi vedezu tat dRzwam smRtiBiH kila // RKV_1.23 //
   ubhābhyāṃ yattu dṛṣṭaṃ hi tatpurāṇeṣu gīyate /	uBAByAm yat tu dRzwam hi tad purANezu gIyate /
   purāṇaṃ sarvaśāstrāṇāṃ prathamaṃ brahmaṇaḥ smṛtam // RKV_1.24 //	purANam sarva SAstrANAm praTamam brahmaNaH smRtam // RKV_1.24 //
   anantaraṃ ca vaktrebhyo vedāstasya vinirgatāḥ /	anantaram ca vaktreByaH vedAH tasya vinirgatAH /
   purāṇamekamevāsīd asmin kalpāntare mune // RKV_1.25 //	purANam ekam eva AsIt asmin kalpa antare mune // RKV_1.25 //
   trivargasādhanaṃ puṇyaṃ śatakoṭipravistaram /	trivarga sADanam puNyam Sata kowi pravistaram /
   smṛtvā jagāda ca munīnprati devaścaturmukhaḥ // RKV_1.26 //	smRtvA jagAda ca munIn prati devaH caturmuKaH // RKV_1.26 //
   pravṛttiḥ sarvaśāstrāṇāṃ purāṇasyābhavattataḥ /	pravRttiH sarva SAstrANAm purANasya aBavat tatas /
   kālenāgrahaṇaṃ dṛṣṭvā purāṇasya tato muniḥ // RKV_1.27 //	kAlena agrahaNam dRzwvA purANasya tatas muniH // RKV_1.27 //
