   Padmagupta (alias Parimala):	Padmagupta (aliaH Parimala):
   Navasāhasāṅkacarita	Nava-sAhasa-aFka-carita
   prathamaḥ sargaḥ	praTamaH sargaH
   avyāt sa vo yasya nisargavakraḥ spṛśaty adhijyasmaracāpalīlām /	avyAt sa vaH yasya nisarga-vakraH spRSati aDijya-smara-cApa-lIlAm /
   jaṭāpinaddhoragarājaratna- marīcilīḍhobhayakoṭir induḥ // PNc_1.1 //	jawA-pinadDa-uraga-rAja-ratna marIci-lIXa-uBaya-kowiH induH // PNc_1.1 //
   jaṭāhiratnadyutipāṭalo 'vyāt sa vaḥ śaśī śaṅkaramauliratnam /	jawA-ahi-ratna-dyuti-pAwalaH avyAt sa vaH SaSI SaFkara-mOli-ratnam /
   śrutāv aśokāṅkurakautukena yaṃ kartum icchaty acalendrakanyā // PNc_1.2 //	SrutO aSoka-aFkura-kOtukena yam kartum icCati acala-indra-kanyAH // PNc_1.2 //
   kumbhasthalī rakṣatu vo vikīrṇa- sindūrareṇur dviradānanasya /	kumBa-sTalI rakzatu vaH vikIrNa sindUra-reNuH dvirada-Ananasya /
   praśāntaye vighnatamaśchaṭānāṃ niṣṭhyūtabālātapapallaveva // PNc_1.3 //	praSAntaye viGnatamaH-CawAnAm nizWyUta-bAla-Atapa-pallava-iva // PNc_1.3 //
   cakṣus tad unmeṣi sadā mukhe vaḥ sārasvataṃ śāśvatam āvir astu /	cakzuH tat unmezi sadA muKe vaH sArasvatam SASvatam Avis astu /
   paśyanti yenāvahitāḥ kavīndrās triviṣṭapābhyantaravarti vastu // PNc_1.4	paSyanti yena-avahitAH kavi-indrAH trivizwapa-aByantara-varti vastu // PNc_1.4
   prācīnakavivarṇanam	prAcInaka-vivarNanam
   tattvaspṛśas te kavayaḥ purāṇāḥ śrībhartṛmeṇṭhapramukhā jayanti /	tattva-spRSaH te kavayaH purANAH SrI-BartR-meNWa-pramuKAH jayanti /
   nistṛṃśadhārāsadṛśena yeṣāṃ vaidarbhamārgeṇa giraḥ pravṛttāḥ // PNc_1.5 //	nistRMSa-DArA-sadRSena yezAm vEdarBa-mArgeNa giraH pravRttAH // PNc_1.5 //
   pūrṇendubimbād api sundarāṇi teṣām adūre purato yaśāṃsi /	pUrNa-indu-bimbAt api sundarANi tezAm adUre puratas yaSAMsi /
   ye bhartṛmeṇṭhādikavīndrasūkti- vyaktopadiṣṭena pathā prayānti // PNc_1.6	ye BartR-meNWa-AdikavIndra-sUkti vyakta-upadizwena paTA prayAnti // PNc_1.6
