   Adhyardhaśatikā Prajñāpāramitā	ADyarDa-SatikA PrajQApAramitA
   namo namaḥ sarvabuddhabodhisattvebhyaḥ || namo bhagavatyā	namaH namaH sarva-budDa-boDisattveByaH || namaH BagavatyA
   āryaprajñāpāramitāyai ||	Arya-prajQApAramitAyE ||
   AśP 1. evam mayā śrutam ekasmin samaye bhagavān	ASP 1. evam mayA Srutam ekasmin samaye BagavAn
   sarvatathāgatavajrādhiṣṭhānasamayajñānavividhaviśeṣasamanvāgataḥ	sarva-taTAgata-vajra-aDizWAna-samaya-jQAna-viviDa-viSeza-samanvAgataH
   sarvatathāgataratnamukuṭatraidhātukābhiṣekaprāptaḥ	sarva-taTAgata-ratna-mukuwa-trEDAtuka-aBizeka-prAptaH
   sarvatathāgatasarvajñajñānamahāyogeśvaraḥ	sarva-taTAgata-sarvajQa-jQAna-mahA-yoga-ISvaraH
   sarvatathāgatasarvamudrāsamatādhigato	sarva-taTAgata-sarva-mudrA-samatA-aDigataH-
   viśvakāryakaraṇatayāśeṣānavaśeṣasattvadhātusarvāśāparipūrisarvakarmakṛn	viSva-kArya-karaNa-tayA-SezAn-avaSeza-sattva-DAtu-sarva-ASA-paripUri-sarva-karma-kRn
   mahāvairocanaḥ śāśvatas tryadhvasamatāsthitasarvakāyavākcittavajras	mahAvErocanaH SASvataH tri-aDva-samatA-sTita-sarva-kAya-vAc-citta-vajra-s
   tathāgataḥ sarvatathāgatādhyuṣitapraśastabhūṣite mahāmaṇiratnapratyupte	taTAgataH sarva-taTAgata-aDyuzita-praSasta-BUzite mahA-maNi-ratna-pratyupte
   vicitravarṇaghaṇṭāvasaktamārutoddhūtapaṭtapatākāsragdāmacāmarahārārdhahāracandropaśobhite	vicitra-varNa-GaNwA-avasakta-mAruta-udDUta-pawta-patAkA-sragdAma-cAmara-hAra-arDa-hAra-candra-upaSoBite
   sarvakāmadhātūpariparanirmitavaśavartino devarājasya bhavane vijahāra ||	sarva-kAma-DAtu-uparipara-nirmita-vaSavartinaH devarAjasya Bavane vijahAra ||
   AśP 2. aṣṭābhir bodhisattvakoṭībhiḥ sārdham | tadyathā vajrapāṇinā ca	ASP 2. azwABiH boDisattva-kowIBiH sArDam | tat-yaTA vajrapANinA ca
   bodhisattvena mahāsattvena | avalokiteśvareṇa ca bodhisattvena	boDisattvena mahAsattvena | avalokita-ISvareNa ca boDisattvena
   mahāsattvena | ākāśagarbheṇa ca bodhisattvena mahāsattvena | vajramuṣṭinā	mahAsattvena | AkASa-garBeNa ca boDisattvena mahAsattvena | vajra-muzwinA
   ca bodhisattvena mahāsattvena | mañjuśriyā ca bodhisattvena mahāsattvena |	ca boDisattvena mahAsattvena | maQju-SriyA ca boDisattvena mahAsattvena |
   sahacittotpāditadharmacakrapravartinā ca bodhisattvena mahāsattvena |	saha-citta-utpAdita-Darma-cakra-pravartinA ca boDisattvena mahAsattvena |
   gaganagañjena ca bodhisattvena mahāsattvena | sarvamārabalapramardinā ca	gagana-gaQjena ca boDisattvena mahAsattvena | sarvamAra-bala-pramardinA ca
   bodhisattvena mahāsattvena ||	boDisattvena mahAsattvena ||
   AśP 3. evaṃ pramukhābhir aṣṭābhir bodhisattvakoṭībhiḥ parivṛtaḥ puraskṛto	ASP 3. evam pramuKABiH azwABiH boDisattva-kowIBiH parivRtaH puraskRtaH-
   dharmaṃ deśayati sma | ādau kalyāṇaṃ madhye kalyāṇaṃ paryavasāne kalyāṇaṃ	Darmam deSayati sma | AdO kalyANam maDye kalyANam paryavasAne kalyANam
   svarthaṃ suvyañjanam kevalaṃ paripūrṇaṃ pariśuddhaṃ paryavadātaṃ	svarTam su-vyaQjanam kevalam paripUrNam pariSudDam paryavadAtam
   sarvadharmaviśuddhimukhaṃ brahmacaryam saṃprakāśayati sma ||	sarva-Darma-viSudDi-muKam brahmacaryam saMprakASayati sma ||
   AśP 4. yad uta sarvadharmasvabhāvaviśuddhimukhaṃ nama	ASP 4. yat uta sarva-Darma-svaBAva-viSudDi-muKam nama
   prajñāpāramitānayaṃ deśayati sma | tadyathā (1) surataviśuddhipadam etad	prajQApAramitA-anayam deSayati sma | tat-yaTA (1) surata-viSudDi-padam etat-
