   Ahorātravratakathā	AhorAtra-vrata-kaTA
   Avk_P_1. oṃ namo dharmadhātave /	Avc-_P_1. om namaH Darma-DAtave /
   ākāśanirmalo bhūto niṣprapañcaguṇāśrayaḥ /	AkASa-nirmalaH BUtaH nizprapaQca-guNa-ASrayaH /
   pañcaskandhātmakaḥ śāntas tasmai stūpātmane namaḥ // 1 //	paQca-skanDa-AtmakaH SAntaH tasmE stu-upa-Atmane namaH // 1 //
   ekasminn antare kāle bhagavān kapilavastuni mahānagare viharati sma	ekasmin antare kAle BagavAn kapila-vastuni mahA-nagare viharati sma
   sārdhaṃ pañcamātrair bhikṣuśataiḥ saṃbahulaiś ca kṛtakṛtyair jitendriyaiḥ	sArDam paQca-mAtrEH Bikzu-SatEH saMbahulEH ca kRtakRtyEH jita-indriyEH
   kṣīṇāsravair anyaiś ca bodhisattvaśataiḥ ṣaṭpāramitānirjātaiḥ	kzINa-AsravEH anyEH ca boDisattva-SatEH zaz-pAramitA-nirjAtEH
   pañcacakṣusamanvāgatair anekaiḥ śrāvakamukhyair anuttarapuṇyakṣetre	paQca-cakzu-samanvAgatEH anekEH SrAvaka-muKyEH anuttara-puNya-kzetre
   nivāsitair buddhaśāsanaratibhir anekair devanāgayakṣādibhiḥ parimaṇḍitaiḥ	nivAsitEH budDa-SAsana-ratiBiH anekEH deva-nAga-yakza-AdiBiH parimaNxitEH
   sapārṣadaparipūrṇaiḥ /	sa-pArzada-paripUrNEH /
   Avk_P_2. tatsabhāyāṃ subhūtir vajradharam evam āha / vajradhara śrīmān	Avc-_P_2. tad-saBAyAm suBUtiH vajraDaram evam Aha / vajraDara SrImAn
   muniśārdūlas tatsabhāyām anekadevanāgayakṣādisaṃmilite naikagiram ājñāṃ	muni-SArdUlaH tad-saBAyAm aneka-deva-nAga-yakza-Adi-saMmilite na-eka-giram AjQAm
   nāvabhāṣitaṃ kim / kimabhilāṣo bhavasi subhūte yathābhiprāyas tathā	na-avaBAzitam kim / kim-aBilAzaH Bavasi suBUte yaTA-aBiprAyaH taTA
   vijñāpaya śākyamunau / subhūtir āha / narāṇām uttamaṃ vrataṃ yad	vijQApaya SAkyamunO / suBUtiH Aha / narANAm uttamam vratam yat-
   ahorātravrataṃ vratarājaṃ mahodayaṃ mamābhilāṣaḥ / ity ukte mahānumataṃ	ahorAtra-vratam vrata-rAjam mahA-udayam mama-aBilAzaH / iti ukte mahA-anumatam
   sādaraṃ kṛtvā vajradharo bhagavantam evam āha / bhagavan muniśārdūla giram	sa-Adaram kRtvA vajraDaraH Bagavantam evam Aha / Bagavat muni-SArdUla giram
   ekam api nāvabhāṣitam / sarvasabhājanānām abhilaṣitaṃ subhūtir iti	ekam api na-avaBAzitam / sarva-saBAjanAnAm aBilazitam suBUtiH iti
   vratarājaṃ mahodayaṃ yad ahorātravratopāyikām abhilāṣiko 'ham ity āha /	vratarAjam mahA-udayam yat ahorAtra-vrata-upAyikAm aBilAzikaH aham iti Aha /
   tat sakalaṃ prabhāṣaya tvaṃ munīśvara /	tat sakalam praBAzaya tvam muni-ISvara /
   Avk_P_3. bhagavān āha / sādhu sādhu vajradhara lokānāṃ hitahetunā	Avc-_P_3. BagavAn Aha / sADu sADu vajraDara lokAnAm hita-hetunA
   pṛcchitaṃ saphalaṃ pūrayāmi / ity uktvā śrīdharmadhātusamādhau sthitavān /	pRcCitam saPalam pUrayAmi / iti uktvA SrI-Darma-DAtu-samADO sTitavAn /
   nāsikāgre mahāpadme dharmajvalaṃ samujjvalan /	nAsikA-agre mahApadme Darma-jvalam samujjvalan /
   avabhāsya diśān sarvāṃs tatsabhāyāṃ virājate // 2 //	avaBAsya diSAn sarvAn tad-saBAyAm virAjate // 2 //
   tadā sarvaparṣadajanāḥ ke cit paraṃ dharmasubhāṣitaṃ ke cid bhagavato	tadA sarva-parzada-janAH ke cit param Darma-su-BAzitam ke cit BagavataH-
   vaco'mṛtakaṃ pātum ... / tathaivānye kathāḥ parasparaṃ pravāditāḥ / te	vacaH-amRtakam pAtum ... / taTA-eva-anye kaTAH parasparam pravAditAH / te
   parṣadajanāḥ sādhu bhagavadraśmayaḥ prādurbhūtā avaśyaṃ dharmakathāṃ	parzada-janAH sADu Bagavat-raSmayaH prAdurBUtA avaSyam Darma-kaTAm
   pratibhāṣayiṣyati /	pratiBAzayizyati /
   Avk_P_4. tadā vajradharaḥ punar apy uvāca / sādhu bhagavan mahāprabha	Avc-_P_4. tadA vajraDaraH punar api uvAca / sADu Bagavat mahA-praBa
   kasmin bhagavan pṛthivyāṃ kena saṃcāritam ahorātravrataṃ brūhi me	kasmin Bagavan pRTivyAm kena saMcAritam ahorAtra-vratam brUhi me
   parameśvara / bhagavān āha / śṛṇu vajradhara mahātejaṃ vratānām uttamaṃ	parameSvara / BagavAn Aha / SRNu vajraDara mahA-tejam vratAnAm uttamam
   vrataṃ pṛthivyāṃ pāvanīkathām /	vratam pRTivyAm pAvanI-kaTAm /
   Avk_P_5. purātanīkāle uttaradigbhāge dharmapattano nāma mahānagarī āsīd	Avc-_P_5. purAtanI-kAle uttara-diS-BAge DarmapattanaH nAma mahA-nagarI AsIt-
   maghavatpattanasamā sujana-m-uttamaiḥ paripūritā / kathaṃ vistāritā nagarī	maGavat-pattana-samA su-jana-m-uttamEH paripUritA / kaTam vistAritA nagarI
   / saptayojanasaṃvṛtā vyāyāmavistīrṇā bhavati .... tālapaṅktibhiḥ	/ sapta-yojana-saMvRtA vyAyAma-vistIrNA Bavati .... tAla-paFktiBiH
   parikhābhiś ca parirundhyamānā mahotsavā / tadūrdhvaṃ trikūṭaparvato 'sti	pariKABiH ca parirunDyamAnA mahA-utsavAH / tad-UrDvam trikUwa-parvataH asti
   / nānāvṛkṣasamākīrṇaṃ nānāpakṣigaṇasadārataṃ nānākusumasugandhavāsitam	/ nAnA-vRkza-samAkIrNam nAnA-pakzi-gaNa-sadAratam nAnA-kusuma-suganDa-vAsitam
   anekarṣibhiḥ suvāsitaṃ trikūṭam eva / anekaśūrasamākīrṇānekavidvajjanāvṛtā	aneka-RziBiH su-vAsitam trikUwam eva / aneka-SUra-samAkIrNa-aneka-vidvat-jana-AvRtA
   nānāśilpajñasamāpannā bhiṣagvaraprabhṛtinānāsupuruṣaparipūrṇā bhavati	nAnA-Silpa-jQa-samApannA Bizaj-vara-praBRtinA-nAsu-puruza-paripUrNA Bavati
   nagarī kālavedīkālajñasamayajñacaittajñamantrīsamāpannā ca /	nagarI kAla-vedI-kAla-jQa-samaya-jQa-cEtta-jQa-mantrI-samApannA ca /
   Avk_P_6. tasyāṃ nagaryāṃ dharmadakṣo nāma rājā babhūva	Avk_P_6. tasyAm nagaryAm DarmadakzaH nAma rAjA baBUva
   nayavinayavivekavidhijñaḥ prajāvatsalasvabhāvaḥ paraduḥkhaṃ sukhaṃ vā	naya-vinaya-viveka-viDi-jQaH prajA-vatsala-svaBAvaH para-duHKam suKam vA
   svātmani vedanīyo dayāvān dharmatrāṇadharmaparāyaṇaḥ parakāryeṣu	sva-Atmani vedanIyaH dayAvAn Darma-trANa-Darma-parAyaNaH para-kAryezu
   mahotsavaḥ / tasya patnī suvratī sadā dharmacāriṇī vidyāguṇasaṃpannā /	mahA-utsavaH / tasya patnI suvratI sadA Darma-cAriNI vidyA-guNa-saMpannAH /
   Avk_P_7. atha tasmin samaye tatra trikūṭaparvate śāriputro nāma	Avc-_P_7. aTa tasmin samaye tatra trikUwa-parvate SAriputraH nAma
   mahātmāyuṣmān jainajño buddhajñānavidāṃ varo viharati / tadā śāriputro	mahAtmA-AyuzmAn jEna-jQaH budDa-jQAna-vidAm varaH viharati / tadA SAriputraH-
   'nuvicintayati / ko dharmavatsalo dharmaparāyaṇo dharmacaraṇo 'sti kasminn	anuvicintayati / kaH Darma-vatsalaH Darma-parAyaNaH Darma-caraNaH asti kasmin=-
   iti / tatkṣaṇāt smṛtya darśitam ity uktam / darśito dharmacaraṇo	iti / tad-kzaNAt smRtya darSitam iti uktam / darSitaH Darma-caraNaH-
   dharmavatsalo dharmaparāyaṇo dharmadakṣo nāma rājā asti / taṃ dharmaṃ	Darma-vatsalaH Darma-parAyaNaH DarmadakzaH nAma rAjA asti / tam Darmam
