   oṃ	om
   tarkasaṃgrahadīpikāprakāśikā	tarka saMgraha dIpikA aprakASikA
   nāvalpākkam śrīrāmānujatātācāryaviracitayā	nAvalpAkkam SrI rAma anujatAt AcArya viracitayA
   bālapriyākhyavyākhyayā	bAla priya AKya vyAKyayA
   tiruppukkuli śrīkṛṣṇatātācāryaviracitayā	tiruppukkuli SrI kRzNa tAta AcArya viracitayA
   prasāraṇākhyavyākhyayā ca samullasitā	prasAraNa AKya vyAKyayA ca samullasitA
   śrīḥ	SrIH
   prastāvanā	prastAvanA
   tatra bhavatā	tatra BavatA
   annambhaṭṭena viracitaḥ tarkasaṃgrahaḥ tatkṛtadīpikākhyavyākhyānasahitaḥ	annamBawwena viracitaH tarka saMgrahaH tad kRta dIpikA AKya vyAKyAna sahitaH
   nyāyaśāstramadhijigāṃsamānaiḥ sarvairapi ādau paṭhyata iti	nyAya SAstram aDijigAMsamAnEH sarvEH api AdO paWyate iti
   viśvaprasiddham/ tarkasaṃgrahasya dīpikāvyatiriktāni padakṛtyam,	viSva prasidDam/ tarka saMgrahasya dIpikA vyatiriktAni pada kRtyam,
   nyāyabodhinī, vākyavṛttiḥ, niruktiḥ, paṭṭābhirāmaṭippaṇī	nyAya boDinI, vAkya vRttiH, niruktiH, pawwABirAma wippaNI
   ityādīni bahūni vyākhyānāni mudritānyamudritāni ca upalabhyante/	ityAdIni bahUni vyAKyAnAni mudrita ani a mudritAni ca upalaByante/
   tathā dīpikāyāḥ rāmarudrī, nīlakaṇṭhakṛtā prakāśikā,	taTA dIpikAyAH rAmarudrI, nIlakaNWa kRtA prakASikA,
   nṛsiṃhaśāstrikṛtā prakāśikā, paṭṭābhirāmakṛtā prakāśikā,	nRsiMhaSAstri kRtA prakASikA, pawwa aBirAma kRtA prakASikA,
   ityādayaḥ anekā vyākhyāḥ mudritā amudritāśca vartante/	ityAdayaH anekAH vyAKyAH mudritAH amudritAH ca vartante/
   tarkasaṃgrahavyākhyāsu nyāyabodhinyāḥ dīpikāvyakhyāsu	tarka saMgraha vyAKyAsu nyAya boDinyAH dIpikA vyaKyAsu
   nīlakaṇṭhīyaprakāśikāyāśca paṭhanapāṭhanapracāro 'sti/ saṃkṣiptaśailyā	nIlakaNWIya prakASikAyAH ca paWana pAWana pracAraH asti/ saMkzipta SElyA
   apekṣitasakalārthapratipādakatvarūpo viśeṣa eva	apekzita sakala arTa pratipAdaka tva rUpaH viSezaH eva
   paṭhanapāṭhanagocaratāyāṃ mukhyo hetuḥ/ tatrāpi nīlakaṇṭhaprakāśikā	paWana pAWana gocara tAyAm muKyaH hetuH/ tatra api nIlakaNWa prakASikA
   laghugādādharīti vyapadeśayogyā chātrāṇāṃ viduṣāṃ ca	laGu gAda aDarI iti vyapadeSa yogyA CAtrANAm viduzAm ca
   cittarañjakatamā cakāsti/ yeṣāṃ gādādharyādiṣu grantheṣu gāḍhaḥ	citta raQjakatamA cakAsti/ yezAm gAdADarya Adizu granTezu gAXaH
   paricayo vartate ta eva prakāśikāyāḥ tātparyaṃ rasaṃ ca	paricayaH vartate te eva prakASikAyAH tAtparyam rasam ca
   jñātumanubhavituṃ ca śaknuvanti/	jQAtum anuBavitum ca Saknuvanti/
   tasyāḥ	tasyAH
   nīlakaṇṭhaprakāśikāyāḥ prativākyaṃ bhāvārthaspaṣṭīkaraṇacaṇā kācana	nIlakaNWa prakASikAyAH prativAkyam BAva arTa spazwI karaNa caNA kAcana
   vyākhyā cirāt nāvatīrṇā/ yadyapi nīlakaṇṭhaputreṇa kṛtā	vyAKyA cirAt na avatIrNA/ yadi api nIlakaNWa putreNa kRtA
   bhāskārodayanāmnī vyākhyā bahoḥ kālāt pūrvaṃ	BAskArodaya nAmnI vyAKyA bahoH kAlAt pUrvam
   nirṇayasāgarayantrālayena mudrāpitā upalabhyate, tathāpi apekṣitasthale	nirNaya sAgara yantra Alayena mudrA pitA upalaByate, taTA api apekzita sTale
   samucitarītyā avyākhyānāta anapekṣitavistarakaraṇācca	samucita rItyA avyAKyAnAta anapekzita vistara karaNAt ca
   bālatārkikāṇāṃ nopakāriṇī sā/ pratyuta bahuṣu sthaleṣu	bAla tArkikANAm na upakAriNI sA/ pratyuta bahuzu sTalezu
   prakāśikāyāḥ hṛdayamanavagacchantī viparītatayā vyākhyāntī	prakASikAyAH hRdayam anavagacCantI viparIta tayA vyAKyAntI
   vyāmohameva janayati/ iyaṃ nīlakaṇṭhaputreṇa na kṛtā syādityapi	vyAmoham eva janayati/ iyam nIlakaNWa putreNa na kRtA syAt iti api
   tādṛśasthalānāṃ darśanena matiḥ samupajāyate/ ata eva mādṛśānāṃ	tAdRSa sTalAnAm darSanena matiH samupajAyate/ atas eva mAdRSAnAm
   bālatārkikāṇāṃ viduṣāṃ copakārāya samīcīnā kācana vyākhyā	bAla tArkikANAm viduzAm ca upakArAya samIcInA kAcana vyAKyA
   kartavyeti bahoḥ kālāt pūrvaṃ nāvalpākābhijanān paṇḍitapravarān	kartavyA iti bahoH kAlAt pUrvam na avalpAka aBijanAn paNxita pravarAn
   en. es. rāmānujatātācāryān prārthayam/ teṣāṃ savidhe	en. es. rAma anuja tAt a AcAryAn prArTayam/ tezAm saviDe
   nyāyaśāstraṃ mayādhītamitīmaṃ sambandhaṃ puraskṛtya prārthanāmakaravam/	nyAya SAstram mayA aDItam iti imam sambanDam puraskRtya prArTa nAmakaravam/
   te 'pi sadyaḥ prārthanāṃ svīkṛtya ekavarṣābhyantare bālapriyānāmnīṃ	te api sadyas prArTanAm svIkRtya eka varza aByantare bAla priyA nAmnIm
   prakāśikāyāḥ vyākhyāṃ nirmāya aduḥ/ tasyāḥ prakāśanasamayo 'dhunā	prakASikAyAH vyAKyAm nirmAya aduH/ tasyAH prakASana samayaH aDunA
   samupanata iti nitarāṃ momudyate cetaḥ/ anayā vyākhyayā	samupanataH iti nitarAm momudyate cetaH/ anayA vyAKyayA
   bālatārkikāḥ sarve 'pi mahāntamupakāraṃ prāpyasyantīti niścapracam/	bAla tArkikAH sarve api mahAntam upakAram prApyasyanti iti niScapracam/
   athabhāskarodayāyāṃvidyamānānyasāṃgatyāni	aTa BAskara udayAyAMvidyamAnAni asAMgatyAni
   sthālīpulākanyāyena pradarśayāmaḥ   	sTAlI pulAka nyAyena pradarSa yAmaH   
   prakāśikāyāṃ'tarkasyāpādakābhāvasādhakaviparyayapratiyogyāpādyakatvarūpaviparyaye	prakASikAyAM atarkasya ApAdaka aBAva sADaka viparyaya pratiyogi ApAdyaka tva rUpa viparyaye
   tatkoṭiparyavasāyitvaṃ darśayati   darśanābhāvānnāstīti' iti	tad kowi paryavasAyi tvam darSayati  darSana aBAvAt na asti iti a iti
   paṅktiḥ (pṛ. 142) dṛśyate/ asyāḥ paṅktervāstavārthaḥ ayam   'yadyatra	paFktiH (pR. 142) dRSyate/ asyAH paFkteH vAstava arTaH ayam  ayat yatra
   ghaṭaḥ syāttarhi bhūtalamiva ghaṭo 'drakṣyata' ityākārake tarke āpādako	GawaH syAt tarhi BU talam iva GawaH adrakzyata a iti AkArake tarke ApAdakaH 
   ghaṭaḥ tasyābhāvaḥ ghaṭābhāvastasya sādhako viparyayadarśanābhāvaḥ tasya	GawaH tasya aBAvaH Gawa aBAvaH tasya sADakaH viparyaya darSana aBAvaH tasya
   pratiyogi darśanameva āpādyamiti āpādakābhāvaḥ	pratiyogi darSanam eva ApAdyam iti ApAdaka aBAvaH
   sādhakaviparyayapratiyogyāpādyakatvaṃ tarkasyeti/	sADaka viparyaya pratiyogi ApAdyaka tvam tarkasya iti/
   bhāskarodayākārastu imamāśayamagṛhītvā kimapi likhati/	BAskara udaya AkAraH tu imam ASayam agRhItvA kim api liKati/
   tathā hibhāskārodayāpaṅktiḥ  'āpādakasya	taTA hiBAskAra udaya apaFktiH aApAdakasya
   darśanāpattisaṃpādakaghaṭāstitvasya abhāvasādhako darśanābhāvo	darSana Apatti saMpAdaka Gawa astitvasya aBAva sADakaH darSana aBAvaH 
