   Table of the Contents	Table of Te Contents
   01.rāśi.prabheda 20	01.rASi.-praBeda 20
   02.graha.bheda 21	02.graha.-Beda 21
   03.viyoni.janma 8	03.-viyoni.janma 8
   04.niṣeka 22	04.nizekaH 22
   05.janma.vidhi 26	05.janma.viDi 26
   06.ariṣṭa 12	06.arizwaH 12
   07.āyur.dāya 14	07.AyuH-.dAya 14
   08.daśā.antardaśā 23	08.daSA.antardaSA 23
   09.aṣṭaka.varga 8	09.azwaka-.vargaH 8
   10.karma.ājīva 4	10.karma-.AjI-iva 4
   11.rāja.yoga 20	11.rAja.-yoga 20
   12.nābhasa.yoga 19	12.nABa-sa.yogaH 19
   13.candra.yoga 9	13.candra.yoga 9
   14.dvi.graha.yoga 5	14.-dvi-.graha.-yoga 5
   15.pravrajyā.yoga 4	15.-pravrajyA.yoga 4
   16.nakṣatra.phala 14	16.nakzatra.PalaH 14
   17.candra.rāśi.śīla 13	17.candra.rASi.-SIla 13
   18.rāśi.śīla 20	18.rASi.-SIla 20
   19.duṣṭi.phala 9	19.duzwi.Pala 9
   20.bhāva 11	20.BAva 11
   21.āśraya.yoga 10	21.ASraya.-yogaH 10
   22.prakīrṇaka 6	22.-prakIrNakaH 6
   23.aniṣṭa 17	23.anizwaH 17
   24.strī.jātaka 16	24.-strI.jAtakaH 16
   25.nairyāṇika 15	25.nEryANika 15
   26.naṣṭa.jātaka 17	26.nazwa.jAtakaH 17
   27.dreṣkāṇa.sva.rūpa 36	27.drezkANa.-sva.rUpaH 36
   28.upasaṃhāra 10	28.upasaMhAra 10
   BJ_01.rāśi.prabheda	BJ_01.rASi.-praBeda
   BJ_01.01a/.mūrtitve.parikalpitaḥ.śaśa.bhṛto.vartmā.apunar.janmanām.ātmā.ity.ātma.vidāṃ.kratuś.ca.yajatāṃ.bhartā.amara.jyotiṣām/	Bu-_01.01a/.mUrti-tve.-parikalpitaH.SaSa.BRtaH-.vartmA.apunar.janma-nAm.a-AtmA.iti-.Atma.-vidAM.-kratu-S.ca.yaja-tAM.BartA.-amara.-jyotizAm/
   BJ_01.01b/.lokānāṃ.pralaya.udbhava.sthiti.vibhuś.ca.anekadhā.yaḥ.śrutau.vācaṃ.naḥ.sa.dadātv.aneka.kiraṇas.trailokya.dīpo.raviḥ//(śā.vi)	BJ_01.01b/.lokAnAn.pralaya-.udBava.-sTiti.viBuS.ca.aneka-DA.yaH.SrutO.vAcaM.naH.-sa.da-dAtu-.aneka.kiraNa-s.trElokya-.dIpaH-.raviH//(SA.-v
   BJ_01.02a/.bhūyobhiḥ.paṭu.buddhibhiḥ.paṭu.dhiyāṃ.horā.phala.jñaptaye.śabda.nyāya.samanviteṣu.bahuśaḥ.śāstreṣu.dṛṣṭeṣv.api/	BJ_01.02a/.BUyoBiH.pawu.-budDiBiH.pawu.DiyAM.horA.-Pala.jQaptaye.-Sabda.nyAya.-samanvita-izu.-bahuSas-.-SAstra-izu.-dRzwezu-.api/
   BJ_01.02b/.horā.tantra.mahā.arṇava.prataraṇe.bhagna.udyamānām.ahaṃ.svalpaṃ.vṛtta.vicitram.artha.bahulaṃ.śāstra.plavaṃ.prārabhe//(śā.vi)	BJ_01.02b/.horA.tantra.-mahA.arNava.-prataraNe.-Bagna-.udyamAnAm-.ahaM.su-alpaM.vRtta.-vicitram-.arTa.-bahulan.SAstra-.plavan.prAraBe//(S
   BJ_01.03a/.horā.ity.aho.rātra.vikalpam.eke.vāñchanti.pūrva.apara.varṇa.lopāt/	BJ_01.03a/.horA.ity.aho.-rAtra.-vikalpam-.eke.vAQCanti.-pUrva.apara.-varNa-.lopAt/
   BJ_01.03b/.karma.ājitaṃ.pūrva.bhave.sad.ādi.yat.tasya.paṅktiṃ.samabhivyanakti//(indravajrā)	BJ_01.03b/.karma-.AjitaM.pUrva.-Bave.-sad.Adi.ya-t.tasya.paFktiM.samaBivyanakti-//(indra-vajrA)
   BJ_01.04a/.kāla.aṅgāni.vara.aṅgam.ānanam.uro.hṛt.kroḍa.vāso.bhṛto.bastir.vyañjanam.ūru.jānu.yugule.jaṅghe.tato.aṅghri.dvayam/	BJ_01.04a/.-kAla-.aFgA-ni.vara.aFgam.a-Ananam-.uro.-hRt.-kroxa.-vAsaH-.BRta-u.bastiH-.vyaQjanam-.Uru.-jAnu.-yugule.jaFGe.-tatas-.aFGri.-dvayam/
   BJ_01.04b/.meṣa.aśvi.prathamā.nava.ṛkṣa.caraṇāś.cakra.sthitā.rāśayo.rāśi.kṣetra.gṛha.ṛkṣa.bhāni.bhavanaṃ.ca.eka.artha.sampratyayāḥ//(śā.vi)	BJ_01.04b/.meza-.aSvi.-praTamA.-nava-.Rkza.-caraNa-AS.cakra.-sTita-A.rASayo.rASi.kzetra.-gRha-.Rkza.BAni.-BavanaM.ca.eka-.arTa.-sampratyayAH//
   BJ_01.05a/.matsyau.ghaṭī.nṛ.mithunaṃ.sa.gadaṃ.sa.vīṇaṃ.cāpī.naro.aśva.jaghano.makaro.mṛga.āsyaḥ/	BJ_01.05a/.-matsya-o.-GawI.-nR.miTunaM.sa.-gadaM.sa.vINaM.cApI.naro.aSva.-jaGana-u.makaro.-mRga.a-AsyaH/
   BJ_01.05b/.taulī.sa.sasya.dahanā.plavagā.ca.kanyā.śeṣāḥ.sva.nāma.sadṛśāḥ.sva.carāś.ca.sarve//(vasantatilakā)	BJ_01.05b/.tOlI.-sa.-sasya.-dahanA.-plava-gA.ca.-kanyA.SezAH.sva.nAma.-sadRSAH.sva-.cara-aS.ca.-sarve//(vasanta-tilakA)
