   akṣarā kuṭajā tathā YRps_9.7b	akzarA kuwajA taTA YRpH-_9.7b
   akhilakuṣṭhaharaḥ kathito mayā YRps_3.9f	aKila-kuzWa-haraH kaTitaH mayA YRpH-_3.9f
   akhilaśodhavareṇa ca vai yathā YRps_3.5a	aKila-SoDa-vareNa ca vE yaTA YRpH-_3.5a
   agnimāṃdyaṃ praśamayet YRps_6.21e	agni-mAMdyam praSamayet YRpH-_6.21e
   agnivarṇaprabhaṃ yāvat YRps_4.68c	agni-varNa-praBam yAvat YRpH-_4.68c
   agnivarṇasamaṃ yāvat YRps_5.31c	agni-varNa-samam yAvat YRpH-_5.31c
   agnisaṃdhukṣaṇaṃ kuryāt YRps_6.67c	agni-saMDukzaNam kuryAt YRpH-_6.67c
   agnisādakṣayakṛtān YRps_4.54c	agni-sAda-kzaya-kRtAn YRpH-_4.54c
   agniṃ kuryātprayatnena YRps_11.65c	agnim kuryAt-prayatnena YRpH-_11.65c
   agniṃ dadyāllāvakākhye puṭe ca YRps_11.34a	agnim dadyAt-lAvaka-AKye puwe ca YRpH-_11.34a
   agniṃ prajvālayedadhaḥ YRps_5.86d	agnim prajvAlayet-aDas YRpH-_5.86d
   agnau yajjāyate kṣiptaṃ YRps_5.108a	agnO yat-jAyate kziptam YRpH-_5.108a
   ajāśakṛt varā tulyā YRps_4.85a	ajA-SakRt varA tulyAH YRpH-_4.85a
   añjanānāṃ ca pātayet YRps_6.27f	aQjanAnAm ca pAtayet YRpH-_6.27f
   atasītilatailena YRps_11.102c	atasI-tila-tElena YRpH-_11.102c
   ataḥparaṃ pravakṣyāmi YRps_1.42a	atas-param pravakzyAmi YRpH-_1.42a
   ataḥparaṃ pravakṣyāmi YRps_1.65a	atas-param pravakzyAmi YRpH-_1.65a
   ataḥ paraṃ rasauṣadhyaḥ YRps_9.12a	atas param rasOzaDyaH YRpH-_9.12a
   atikuśāgniyute dravati svayaṃ YRps_3.15a	ati-kuSA-agni-yute dravati svayam YRpH-_3.15a
   atikṛśāgnikṛte dravati svayam YRps_3.39d	ati-kRSa-agni-kRte dravati svayam YRpH-_3.39d
   atisthūlātidīrghā ca YRps_10.26a	ati-sTUla-ati-dIrGA ca YRpH-_10.26a
   ato hi jalayaṃtrasya YRps_1.80a	atas hi jalayaMtrasya YRpH-_1.80a
   atyantaśoṇitaṃ snigdhaṃ YRps_6.80a	atyanta-SoNitam snigDam YRpH-_6.80a
   atyaṃtabuddhipravibodhanaṃ ca YRps_7.48d	atyaMta-budDi-praviboDanam ca YRpH-_7.48d
   atha krāmaṇakaṃ karma YRps_1.133a	aTa krAmaNakam karma YRpH-_1.133a
   atha khalvapramāṇaṃ hi YRps_1.37c	aTa KalvapramANam hi YRpH-_1.37c
   atha garbhadruteḥ karma YRps_1.93a	aTa garBadruteH karma YRpH-_1.93a
