   om namo ratnatrayāya ||	om namaH ratnatrayAya ||
   pūrvāvadānacariteṣu suduṣkareṣu gīteṣu yasya surakiṃnarasundarībhiḥ |	pUrva-avadAna-caritezu su-duzkarezu gItezu yasya sura-kiMnara-sundarIBiH |
   adyāpi candrakiraṇairiva saṃkucanti mārāṅganāvadanapaṅkajakānanāni || Śl_1	adya-api candra-kiraNEH-iva saMkucanti mAra-aFganA-vadana-paFkaja-kAnanAni || Śt-_1
   saubhāgyahṛdyavapuṣaḥ paramādbhutasya yasyālpapuṇyajanadurlabhadarśanasya	sOBAgya-hRdya-vapuzaH parama-adButasya yasya-alpa-puNya-jana-durlaBa-darSanasya
   saṃpāditābhimatalokamanorathasya cintāmaṇeriva parārtharasaikavṛttiḥ ||	saMpAdita-aBimata-loka-manoraTasya cintAmaNeH-iva para-arTa-rasa-eka-vRttiH ||
   Śl_2 ||	Śt-_2 ||
   yaḥ sarvadā parasukhaikaraso babhūva duḥkhena duḥkhamagamatparamaṃ pareṣām	yaH sarvadA para-suKa-ekarasaH baBUva duHKena duHKam-agamat-paramam parezAm
   atyarthamāhitamahākaruṇāguṇasya yasyātmaduḥkhasukhamantaritaṃ tadeva ||	atyarTam-Ahita-mahA-karuNA-guNasya yasya-Atma-duHKa-suKam-antaritam tat-eva ||
   Śl_3 ||	Śt-_3 ||
   vicchi x māvayasi yasya śiraḥ parārtha x x x sannayanapaṅkajatāmavāpa |	vicCi x mAvayasi yasya SiraH para-arTa x x x sannayana-paFkaja-tAm-avApa |
   svārthaṃ puna x x x x x sitātapatrā pṛthvī babhūva niśiteva kṛpāṇadhārā ||	sva-arTam puna x x x x x sita-AtapatrA pRTvI baBUva niSitA-iva kRpANa-DArA ||
   Śl_4 ||	Śt-_4 ||
   lokopakāranirataprakaṭodayena śulka x x x x x x guṇojjvalena |	loka-upakAra-nirata-prakawa-udayena SulkaH x x x x x x guNa-ujjvalena |
   doṣāndhakārabhidureṇa manorameṇa yenoditena śaśineva jagatprakāśam || Śl_5	doza-anDakAra-BidureNa manorameNa yena-uditena SaSinA-iva jagat-prakASam || Śt-_5
   cūḍāvibhūṣaṇamivottamaratnakalpamūḍhaṃ śirobhirurubhiḥ phaṇināṃ x x x |	cUxA-viBUzaNam-iva-uttama-ratna-kalpa-mUXam SiroBiH-uruBiH PaNinAm x x x |
   yacchāsanaṃ śubhamakhaṇḍaviśuddhavṛttaṃ pātālamūrdhani layatimiraṃ	yat-SAsanam SuBam-aKaNxa-viSudDa-vRttam pAtAla-mUrDani laya-timiram
   pramārṣṭi || Śl_6 ||	pramArzwi || Śt-_6 ||
   dharmāmbuvāha iva yo 'bhyudito hitāya dharmāmṛtaṃ jalamivaikarasaṃ vavarṣa	Darma-ambuvAhaH iva yaH aByuditaH hitAya Darma-amRtam jalam-iva-ekarasam vavarza
   tāpāpa x x x x x x x x x x x x yadanekarasa x x x x x x x x x x x x x x ||	tApApa x x x x x x x x x x x x yat-aneka-rasa x x x x x x x x x x x x x x ||
   Śl_7 ||	Śt-_7 ||
   vistīrṇanimnavimalaprakaṭāśrayeṣu pātreṣu sarvaparimardasaheṣu yeṣu |	vistIrNa-nimna-vimala-prakawa-ASrayezu pAtrezu sarva-parimarda-sahezu yezu |
   tatsaṃsthitaṃ bhavati sarvajanopakāraṃ x x x x x x x x x x x x x x || Śl_8	tad-saMsTitam Bavati sarva-jana-upakAram x x x x x x x x x x x x x x || Śt-_8
   tajjāgaraṃ maraṇajanmajarāpahāri ye nāpnuvanti na pibanti na dhārayanti |	tat-jAgaram maraNa-janma-jarA-apahAri ye na-Apnuvanti na pibanti na DArayanti |
   te māhitā bahulamohamahāmadena x x x x x x x x x dhamādriyante || Śl_9 ||	te mA-AhitAH bahula-moha-mahA-madena x x x x x x x x x Dama-Adriyante || Śt-_9 ||
   cakṣuryadekamamalaṃ jagato 'khilasya sādhāraṇaṃ tribhuvanasya yadekadīpaḥ	cakzuH-yat-ekam-amalam jagataH aKilasya sADAraNam triBuvanasya yat-eka-dIpaH
   tacchāsanaṃ samadhigamya yadutsṛjanti mohasya tadvilasitaṃ paramādbhutasya	tad-SAsanam samaDigamya yat-utsRjanti mohasya tat-vilasitam parama-adButasya
