   ācāryadaṇḍinaḥ kāvyādarśaḥ	AcArya-daNxinaH kAvyAdarSaH
   caturmukhamukhāmbhoja- vanahaṃsavadhūr mama &	caturmuKa-muKa-amBoja vana-haMsa-vaDUH mama &
   manase ramatāṃ nityaṃ sarvaśuklā sarasvatī // DKd_1.1 //	manase ramatAm nityam sarva-SuklA sarasvatI // DKd-_1.1 //
   pūrvaśāstrāṇi saṃhṛtya prayogān upalakṣya ca &	pUrva-SAstrANi saMhRtya prayogAn upalakzya ca &
   yathāsāmarthyam asmābhiḥ kriyate kāvyalakṣaṇam // DKd_1.2 //	yaTAsAmarTyam asmABiH kriyate kAvya-lakzaNam // DKd-_1.2 //
   iha śiṣṭānuśiṣṭānāṃ śiṣṭānām api sarvathā &	iha Sizwa-anuSizwAnAm SizwAnAm api sarvaTA &
   vācām eva prasādena lokayātrā pravartate // DKd_1.3 //	vAcAm eva prasAdena lokayAtrA pravartate // DKd-_1.3 //
   idam andhatamaḥ kṛtsnaṃ jāyeta bhuvanatrayam &	idam anDatamaH kRtsnam jAyeta Buvanatrayam &
   yadi śabdāhavayaṃ jyotir āsaṃsārān na dīpyate // DKd_1.4 //	yadi Sabda-Ahavayam jyotiH AsaMsArAt na dIpyate // DKd-_1.4 //
   ādirājayaśobimbam ādarśaṃ prāpya vāṅmayam &	AdirAja-yaSaH-bimbam AdarSam prApya vAc-mayam &
   teṣām asaṃnidhāne 'pi na svayaṃ paśya naśyati // DKd_1.5 //	tezAm asaMniDAne api na svayam paSya naSyati // DKd-_1.5 //
   gaur gauḥ kāmadughā samyak prayuktā smaryate budhaiḥ &	gOH gOH kAmaduGA samyak prayuktA smaryate buDEH &
   duṣprayuktā punār gotvaṃ prayoktuḥ saiva śaṃsati // DKd_1.6 //	duzprayuktA punAH go-tvam prayoktuH sA-eva SaMsati // DKd-_1.6 //
   tad alpam api nopekṣyaṃ kāvye duṣṭaṃ kathaṃ cana &	tat alpam api na-upekzyam kAvye duzwam kaTam cana &
   syād vapuḥ sundaram api śvitreṇaikena durbhagam // DKd_1.7 //	syAt vapuH sundaram api SvitreNa-ekena durBagam // DKd-_1.7 //
   guṇadoṣān aśāstrajñaḥ kathaṃ vibhajate janaḥ &	guNa-dozAn aSAstra-jQaH kaTam viBajate janaH &
   kim andhasyādhikāro 'sti rūpabhedopalabdhiṣu // DKd_1.8 //	kim anDasya-aDikAraH asti rUpa-Beda-upalabDizu // DKd-_1.8 //
   ataḥ prajānāṃ (vl. padānāṃ) vyutpattim abhisaṃdhāya sūrayaḥ &	atas prajAnAm (vl. padAnAM) vyutpattim aBisaMDAya sUrayaH &
   vācāṃ vicitramārgāṇāṃ nibabandhuḥ kriyāvidhiṃ // DKd_1.9 //	vAcAm vicitra-mArgANAm nibabanDuH kriyA-viDim // DKd-_1.9 //
   taiḥ śarīraṃ ca kāvyānām alaṃkārāś ca darśitāḥ &	tEH SarIram ca kAvyAnAm alaMkArAH ca darSitAH &
