   atha prathamo 'dhyāyaḥ	aTa praTamaH aDyAyaH
   śrīyainamaḥ	SrI yA enamaH
   śrīrāmacandrāyanamaḥ	SrI rAma candrAya namaH
   śrīmadvikhanasamahāguravenamaḥ	SrImat viKana sa mahA gura venamaH
   śrīmadbhyobhṛgumarīcyatrikaśyapebhyonamaḥ	SrImat ByoBRgu marIcya trikaSyapeByaH namaH
   prakīrṇādhikāraḥ.	prakIrNa aDikAraH.
   athaprathamo 'dhyāyaḥ.	aTapraTamaH aDyAyaH.
   śrautasmārtādikaṅkarma nikhilaṃyenasūtritam /	SrOta smArta Adi kaFkarma niKilaMyena sUtritam /
   tasmaisamastavedārthavide vikhanasenamaḥ // BhS_1.Mang1 //	tasmEsamasta veda arTa vide viKanasenamaH // BhH _1.Mang1 //
   śrutismṛtinadīpūrṇaṃ śāstrakallolasaṃkulam /	Sruti smRti nadI pUrNam SAstra kallola saMkulam /
   viṣṇubhaktyudakaṃśuddhaṃ vandevaikhānasārṇavam // BhS_1.Mang2 //	vizNu Bakti udakaMSudDam vandeva eKAnasa arNavam // BhH _1.Mang2 //
   ṛṣipraśyottaram.	Rzi praSya uttaram.
   ṛṣaya ūcuḥ 	RzayaH UcuH 
   brahmaputramuniśreṣṭha namastedehināṃvara /	brahma putra muni SrezWa namaH tedehina aMvara /
   tvamevasarvavettāsitvamevavadatāṃvaraḥ // BhS_1.1 //	tvam eva sarva vettAsi tvam eva vadata aMvaraH // BhH _1.1 //
   tatojñātuṃhiviṣṇorvai bhūparīkṣādiṣukramam /	tatas jQAtuM hi vizNoH vE BU parIkzA Adizu kramam /
   icchāmastvatprasādena dīnāśśiṣyajanāḥprabho // BhS_1.2 //	icCAmaH tvad prasAdena dInAH Sizya janAH praBaH // BhH _1.2 //
   vistārajñohisarveṣāṃ vistarādvaktumarhasi /	vistAra jQohi sarvezAm vistarAt vaktum arhasi /
   kenamārgeṇakairmantraiḥkaṃ devaṃpūjayannaraḥ // BhS_1.3 //	kena mArgeNakEH mantrEHkam devaMpUjayat naraH // BhH _1.3 //
   kānlokānsamavāpnoti tattvametadvadasvanaḥ /	kAn lokAn samavApnoti tattvam etat vada svanaH /
   bhṛguruvāca 	BRguH uvAca 
   praṇamyadevadeveśaṃ cakrapāṇiṃkhaḍgadhvajam // BhS_1.4 //	praNamya devadeveSam cakra pANiMKaxga Dvajam // BhH _1.4 //
   vistāreṇapravakṣyāmi śruṇudhvaṃsusamāhitāḥ /	vistAreNa pravakzyAmi SruNu DvaMsu samAhitAH /
   muhūrtavicāraḥ	muhUrta vicAraH
   sarvāraṃbhepraśastaṃsyād ādityecottarasthate // BhS_1.5 //	sarva AraMBepraSastaMsyAt Adityeca uttara sTate // BhH _1.5 //
   apraśastamitikhyāta mayanedakṣiṇetathā /	apraSastam iti KyAta mayanedakziNetaTA /
   puṣyamāsādiṣaṇmāsā devānāntudivāsmṛtāḥ // BhS_1.6 //	puzyam Asa Adizaz mAsAH devAn Antu divA smRtAH // BhH _1.6 //
   yasminmāsekṛtaṃsarvaṃ vivṛddhyarthamitismṛtam /	yasmin mAsekRtaMsarvam vivRdDi arTam iti smRtam /
   rātrirāṣāḍamāsādi rayuktassarvakarmasu // BhS_1.7 //	rAtriH AzAxam Asa Adi rayuktassarva karmasu // BhH _1.7 //
   prathamācadvitīyāca tṛtīyāpañcamītathā /	praTamAcadvitIya Aca tRtIyA paQcamI taTA /
   ṣaṣṭhīcasaptamīcāpi daśamyekādaśītathā // BhS_1.8 //	zazWI ca saptamIca api daSamI ekAdaSI taTA // BhH _1.8 //
   trayodaśīcatithayaḥ paurṇamāsīśubhāssmatāḥ /	trayodaSI catiTayaH pOrNamAsI SuBAssmatAH /
   prājāpatyāśvayukcaumya tiṣyapauṣṇatriruttarāḥ // BhS_1.9 //	prAjApatya aSva yuj cOmya tizyapa OzNa triH uttarAH // BhH _1.9 //
   maitrādityamaghāsvātī hastāścaśravaṇaṃśubhāḥ /	mEtra Adityam aGAsvAtI hastAH caSravaNaMSuBAH /
   rāśayaścaravarjyās syurubhītacchobhanaṃsthiram // BhS_1.10 //	rASayaH cara varjyAH syuH uBIta= SoBanaMsTiram // BhH _1.10 //
   gurubhārgavasaumyendu vārāśśreṣṭhatamāsmṛtā /	guru BArgava sOmya indu vArAH SrezWatamA asmRtA /
   eṣāmaṃśaścadrekkāṇahorādarśanamiṣyate // BhS_1.11 //	ezAm aMSaH cadrekkA aNa horA darSanam izyate // BhH _1.11 //
   eṣāmevodayaṃśastaṃ tatrasomodayaṃvinā /	ezAm eva udayaMSaH tam tatrasoma udayaMvinA /
   krūrecatuṣyanakṣatre vyādhipīḍāṃkarotihi // BhS_1.12 //	krUreca tuzya nakzatre vyADi pIxAMkaroti hi // BhH _1.12 //
   sūryasauriścasaumyaścatriṣaḍāyasthitāśśubhāḥ /	sUrya sOriH ca sOmyaH catrizaxAya sTitAH SuBAH /
   tadhaivalagnagāḥkuryur vyādhiśokabhayānitu.// BhS_1.13 //	taDA evalagna gAHkuryuH vyADi Soka BayAnitu.// BhH _1.13 //
   aṣṭamasthāgrahāssarve kartuḥkurvantidusthitim /	azwama sTa agrahAssarve kartuH kurvanti du sTitim /
   ekādaśagatāssarve kṣemārogyakarāsmṛtāḥ // BhS_1.14 //	ekAdaSa gatAssarve kzema Arogya kara asmRtAH // BhH _1.14 //
   bhayakṛdbhārgavaḥproktodvisaptadaśamasthitaḥ /	Baya kRt BArgavaH prokta udvisaptadaSam asTitaH /
   dvisaptapañcanavama sthitojīvassuśobhanaḥ // BhS_1.15 //	dvi sapta paQcanavama sTitojI vassu SoBanaH // BhH _1.15 //
   rāṣṭrasyayajamānasya mahatsaukhyaṅkarotihi /	rAzwrasyayajamAnasya mahat sOKyaFkaroti hi /
   sūryavāreśubhoviṣṇu hastapauṣṇatriruttarāḥ // BhS_1.16 //	sUrya vAreSuBaH vizNu hasta pOzNa triH uttarAH // BhH _1.16 //
   mandavāreśubhauproktā brāhmasvātyaucatattathā /	manda vAreSu BOproktA brAhmasvAtyOca tat taTA /
   varjayedbudhavāreṇa hastamāśvayujantathā // BhS_1.17 //	varjayet buDa vAreNa hastam ASvayu jan taTA // BhH _1.17 //
   guruvāreṇa varjyautu tathāsaumyottarā ubhau /	guru vAreNa varjyOtu taTA asOmya uttarAH uBO /
   śravaṇañcaivapuṣyañca śukravāreṇavarjayet // BhS_1.18 //	SravaNaQca evapuzyaQca Sukra vAreNa varjayet // BhH _1.18 //
   uttarāṣāḍhānakṣatraṃ somavāretu śobhanam /	uttara AzAXA nakzatram somavAretu SoBanam /
   dvitīyābudhayuktāca ṣaṣṭhījīvasamāyutā // BhS_1.19 //	dvitIya abuDa yukta Aca zazWI jIva samAyutAH // BhH _1.19 //
   soma ekāvaśīyuktaḥ karotiprāṇasaṃśayam /	somaH eka avaSI yuktaH karoti prANa saMSayam /
   pauṣṇastusaptamīyukto dahatyagnirivaprajāḥ // BhS_1.20 //	pOzNa stu saptamIyuktaH dahati agniH iva prajAH // BhH _1.20 //
   kāṇastūṇāndhanakṣatra guruviṣīrvivarjayet /	kANaH tUNA anDa nakzatra guru vizIH vivarjayet /
   bhūmikaṃpediśāndāhe durdinecaṇḍamārute // BhS_1.21 //	BUmi kaMpediSAndAhe durdinecaNxa mArute // BhH _1.21 //
   aśanidhvaniyogeca ninditandivasaṃsmṛtaṃ /	aSani Dvani yogeca ninditandiva saMsmRtam /
   ayaneviṣuvecaiva saṃtyājaṅgrahaṇītathā // BhS_1.22 //	ayanevizuveca eva saMtyAjaFgrahaNI taTA // BhH _1.22 //
   ṣaḍaśītimughevāpi kṛtaṃvāstuvinaśyati /	zaz aSIti muGA iva api kRtaMvAstu vinaSyati /
   evaṃparīkṣyakartavya miccheccecchreya ātmanaḥ // BhS_1.22:1 //	evaMparIkzya kartavya micCet ced SreyaH AtmanaH // BhH _1.22:1 //
   karṇādipratiṣṭhāntaṃ karmakuryādvicakṣaṇaḥ /	karNa Adi pratizWA antam karma kuryAt vicakzaNaH /
   athabhūmiṃparīkṣyaiva pūrvaṅkarṣaṇamārabhet // BhS_1.23 //	aTa BUmiMparIkzya eva pUrvaFkarzaNam AraBet // BhH _1.23 //
   bhūparīkṣā	BU parIkzA
   śvetātubrāhmaṇībhūmī daktātu kṣatriyātathā /	SvetAtu brAhmaNI BUmI daktAtu kzatriyA taTA /
   pītātuvaiśyākṛṣṇātu śūdrābhūmirudāhṛtā // BhS_1.24 //	pIta atu vESyA kRzNAtu SUdrA BUmiH udAhRtAH // BhH _1.24 //
   mokṣadābrāhmaṇīproktā kṣatriyāvijayapradā /	mokza dA brAhmaNI proktA kzatriyA vijaya pradA /
   vaiśyātudhanadābhūmi śśūdrāputrasamṛddhidā // BhS_1.25 //	vESyAtu DanadA BUmi SSUdrA putra samRdDi dA // BhH _1.25 //
   pratilomādibhirjuṣṭāṃ valmīkāḍhyañcavarjayet /	pratiloma AdiBiH juzwAm valmIkAXyaQca varjayet /
   hastamātraṅkhanitvātu pūrayet tattupāṃsunā // BhS_1.26 //	hasta mAtraFKanitvAtu pUrayet tat tupAMsunA // BhH _1.26 //
   adhikepuṣkalābhūmir nyūnevarjyāsamesamā /	aDikepuzkalA BUmiH nyUnevarjyA samesamA /
   guptantrirātreṃ'kurati grāhyabhūmistunānyathā // BhS_1.27 //	guptantri rAtreM akurati grAhya BUmiH tunA anyaTA // BhH _1.27 //
   padmaṅkuṃbhasthatoyena pūritetatkṛtāvale /	padmaFkuMBa sTa toyena pUritetad kRta Avale /
   mukhyaṃpradakṣiṇāvarta mudakaṃśāstabudbudaḥ // BhS_1.28 //	muKyaMpradakziNa Avarta muda kaMSAstabudbudaH // BhH _1.28 //
   savyāvartantathāneṣṭa mudakaṃbahubudbudaḥ /	savyAvartan taTAnezwa muda kaMbahu budbudaH /
   uttānapadmakaṅgrāhyaṃ natvadhomukhapadmakam // BhS_1.29 //	uttAna padma kaFgrAhyam natu aDomuKa padmakam // BhH _1.29 //
   evaṃparīkṣyagṛhṇīyātpuṇyāhamapivācayet /	evaMparIkzya gRhNIyAt puNya aham apivAcayet /
   evaṃparīkṣyabahudhā kuryātkarṣaṇamuttamam // BhS_1.30 //	evaMparIkzya bahuDA kuryAt karzaNam uttamam // BhH _1.30 //
   karṣaṇam	karzaNam
   śvetau vākapilau vātha nāṅgaṅaīnauvṛṣautathā /	SvetO vAkapilO vA aTa na aFgaFaInOvRzOtaTA /
   athavānānyavarṇau vā arogaubalaśālinau // BhS_1.31 //	aTavAnAnya varNO vA arogObala SAlinO // BhH _1.31 //
   kṣīravṛkṣayugaṃbaddhvā śamīvṛkṣayutantathā /	kzIravRkza yugaMbadDvA SamI vRkza yutan taTA /
   asanaṅkhadiraṃvātha halaṅkṛtvāsanehakaṃ // BhS_1.32 //	asanaFKadiraMvA aTa halaFkRtvAsa nehakam // BhH _1.32 //
   yantrayitvāyugenātha govālakṛtarajjunā /	yantrayitvA yugena aTa go vAla kRta rajjunA /
   tasyapaścimadeśetu prapāṅkṛtvāvidhānataḥ // BhS_1.33 //	tasya paScima deSetu prapAFkRtvA aviDAnataH // BhH _1.33 //
   dhānyapīṭhānikṛtvaiva trivedisahitaṅkramāt /	DAnya pIWAnikRtvA eva tri vedi sahitaFkramAt /
   purvandeveśamabhyarcya cakraṃpaścātsamarcayet // BhS_1.34 //	purvan deveSam aByarcya cakraMpaScAt samarcayet // BhH _1.34 //
   viṣvakcenañcagaruḍaṃ samabhyarcyanivedayet /	vizvak cenaQcagaruxam samaByarcya nivedayet /
   vāstuyajñañcahutvātu puṇyāhamapivācayet // BhS_1.35 //	vAstu yajQaQcahutvAtu puNya aham apivAcayet // BhH _1.35 //
   toyadhārāṃpuraskṛtya prādakṣiṇyavaśenatu /	toyaDArAMpuraskRtya prAdakziNya vaSena tu /
   acāryo 'hatavastreṇa cottarīyāṅgulīyakai // BhS_1.36 //	acAryaH ahata vastreNa ca uttarIya aFgulIyakEH // BhH _1.36 //
   alaṅkṛtyavidhānena śvetamālyānulepanaiḥ /	alaFkRtya viDAnena Sveta mAlya anulepanEH /
   samādāyavṛṣantatra "tvaṃvṛṣabha'' itibruvan.// BhS_1.37 //	samAdAya vRzan tatra "tvaMvRzaBa aa itibruvan.// BhH _1.37 //
   vṛṣabhandakṣiṇeyojya"saurabheya'' itibruvan /	vRzaBan dakziNeyojya" sOraBeya aa itibruvan /
   tatassaṃyojayetpaścād balīvardaibalānvitā // BhS_1.38 //	tatassaMyojayet paScAt balIvardEbala anvitA // BhH _1.38 //
   "yugaṃyugaśruṅgam'' itiyojayeccahalaṃpunaḥ /	"yugaMyuga SruFgam aa itiyojayet cahalaMpunar /
   "ṛṣiṅgṛhṇā'' mitimantreṇa ṛṣiṃsamyak pragṛhyaca // BhS_1.39 //	"RziFgRhNA aa miti mantreNa RziMsamyak pragRhya ca // BhH _1.39 //
   "viṣṇurmāṃrakṣa''tvitica svātmarakṣāṃsamācaret /	"vizNuH mAMrakza aatviti ca sva Atma rakzA aMsam Acaret /
   "ye 'smindeśejīvanta'' ityāśritāṃścavisarjayet // BhS_1.40 //	"ye asmin deSejIvanta aa iti ASritAn= ca visarjayet // BhH _1.40 //
   "halakṛṣṭe''timantreṇa dārayettāmilāṃśubhām /	"hala kRzwe aati mantreNa dArayet tAmila aMSuBAm /
   karṣayedvaiṣṇavairmantraiḥ prāgudakpṛvaṇāṃmahīm // BhS_1.41 //	karzayet vEzNavEH mantrEH prAc udak pRvaNAMmahIm // BhH _1.41 //
   tataḥkarṣakamāhūya sarvatraivatukarṣayet /	tatas karzakam AhUya sarvatra evatukarzayet /
   ayāryaṃpūjayitvātu tathaivasahalauvṛṣau // BhS_1.42 //	ayAri aMpUjayitvA atu taTA evasahalOvRzO // BhH _1.42 //
   prathamaṅkarṣaṇaṃ kṛtvā dvitīyaṃ karṣaṇañcaret /	praTam aFkarzaNam kRtvA dvitIyam karzaNaQcaret /
