   kūrmapurāṇam 1	kUrmapurANam 1
   atha śrīkūrmapurāṇam	aTa SrI kUrmapurANam
   pūrvavibhāgaḥ	pUrva viBAgaH
   nārāyaṇaṃ namaskṛtya naraṃ caiva narottamam /	nArAyaNam namaskRtya naram ca eva narottamam /
   devīṃ sarasvatīṃ caiva tato jayamudīrayet // KūrmP_1,Mang.1 //	devIm sarasvatIm ca eva tatas jayam udIrayet // KUrmP_1,Mang.1 //
   namaskṛtvāprameyāya viṣṇave kūrmarūpiṇe /	namaskRtvA aprameyAya vizNave kUrma rUpiNe /
   purāṇaṃ saṃpravakṣyāmi yaduktaṃ viśvayoninā // KūrmP_1,1.1 //	purANam saMpravakzyAmi yat uktam viSvayoninA // KUrmP_1,1.1 //
   satrānte sūtamanaghaṃ naimiṣīyā maharṣayaḥ /	satra ante sUtam anaGam nEmizIyAH mahA RzayaH /
   purāṇasaṃhitāṃ puṇyāṃ papracchū romaharṣaṇam // KūrmP_1,1.2 //	purANa saMhitAm puNyAm papracCuH roma harzaNam // KUrmP_1,1.2 //
   tvayā sūta mahābuddhe bhagavān brahmavittamaḥ /	tvayA sUta mahAbudDe BagavAn brahma vittamaH /
   itihāsapurāṇārthaṃ vyāsaḥ samyagupāsitaḥ // KūrmP_1,1.3 //	itihAsa purANa arTam vyAsaH samyak upAsitaH // KUrmP_1,1.3 //
   tasya te sarvaromāṇi vacasā hṛṣitāni yat /	tasya te sarva romANi vacasA hRzitAni yat /
   dvaipāyanasya bhagavāṃstato vai romaharṣaṇaḥ // KūrmP_1,1.4 //	dvEpAyanasya BagavAn= tatas vE romaharzaNaH // KUrmP_1,1.4 //
   bhavantameva bhagavān vyājahāra svayaṃ prabhuḥ /	Bavantam eva BagavAn vyAjahAra svayam praBuH /
   munīnāṃ saṃhitāṃ vaktuṃ vyāsaḥ paurāṇikīṃ purā // KūrmP_1,1.5 //	munInAm saMhitAm vaktum vyAsaH pOrANikIm purA // KUrmP_1,1.5 //
