   Kāśyapaparivarta Sūtra	KASyapa-parivarta SUtra
   siddham evaṃ mayā śrutamekasmin samaye bhagavān rājagṛhe viharati sma /	sidDam evam mayA Srutam-ekasmin samaye BagavAn rAjagRhe viharati sma /
   gṛddhakūṭe parvate mahatā bhikṣusaṅghena sārddham aṣṭābhirbhikṣusahasraiḥ	gRdDakUwe parvate mahatA Bikzu-saFGena sArdDam azwABiH-Bikzu-sahasrEH
   ṣodaśabhiśca bodhisattvasahasraiḥ	zodaSaBiH-ca boDisattva-sahasrEH
   nānābuddhakṣetrasannipatitairekajātiprabaddhairyadutānutarasyāṃ	nAnA-budDa-kzetra-sannipatitEH-eka-jAti-prabadDEH-yat-uta-anutarasyAm
   samyaksambodhau /	samyaksamboDO /
   KP.1 tatra bhagavān āyuṣmantaṃ mahākāśyapam āmantrayati sma / katame	KP.1 tatra BagavAn Ayuzmantam mahAkASyapam Amantrayati sma / katame
   catvāraḥ yaduta agauravau bhavati dharme ca dharmabhāṇake ca / dharma	catvAraH yat-uta agOravO Bavati Darme ca Darma-BANake ca / Darma
   ...... ca bhavanti / dharmācāryamuṣṭiñca karoti dharmakāmānañca pudgalānāṃ	...... ca Bavanti / Darma-AcArya-muzwin-ca karoti Darma-kAma-AnaQca pudgalAnAm
   dharmāntarāyaṃ karauti vicchanda ..... vikṣipati / na deśayati /	Darma-antarAyam karOti vicCanda ..... vikzipati / na deSayati /
   praticchādayati / ābhimāntikaśca bhavatyātmotkarṣī parapaṃsakaḥ / ime	praticCAdayati / ABimAntikaH-ca Bavati-Atma-utkarzI parapaMsakaH / ime
   kāśyapa catvāro dharma bodhisattvasya prajñāpārihāṇāya saṃvartate /	kASyapa catvAraH Darma boDisattvasya prajQApArihANAya saMvartate /
   tatredam ucyate //	tatra-idam ucyate //
   agauravo bhavati ca dharmabhāṇake /	agOravaH Bavati ca Darma-BANake /
   dharmeṣu mātsaryarato ca bhoti /	Darmezu mAtsarya-rataH ca Boti /
   ācāryamuṣṭiñccha karoti dharme	AcArya-muzwiQcCa karoti Darme
   dharmārthi kānā ca karoti vighnam	Darma-arTi kAnA ca karoti viGnam
   vicchadayanto vividhaṃ kṣipanto	vicCadayantaH viviDam kzipantaH-
   dharmaṃ na deśayati jinapraśastān	Darmam na deSayati jina-praSastAn
   so ātmotkarṣaṇi nittyayukto	saH AtmA-utkarzaNi nittya-yuktaH-
   parapaṃsane cābhirataḥ kusidau /	para-paMsane ca-aBirataH kusidO /
   caturo ime dharmā jinena proktā	caturaH ime DarmA jinena proktA
   prajñāprahāṇāya jinorsānām	prajQA-prahANAya jinorsAnAm
   etāṃ hi catvāri jahitvā dharmāś	etAm hi catvAri jahitvA DarmAS
   caturau parāṃ dharma jinokta bhāvayet	caturO parAm Darma jina-ukta BAvayet-
   KP.2 catvārā ime kāśyapa dharmā bodhisattvasya mahāprajñātāyaiḥ	KP.2 catvArAH ime kASyapa DarmAH boDisattvasya mahA-prajQAtAyEH
   saṃvartante / katame catvāraḥ yadu sagauravo bhavati dharme ca	saMvartante / katame catvAraH yadu sa-gOravaH Bavati Darme ca
   dharmabhāṇake ca / yathāśrutāṃśca dharmān yathāparyāptān parebhyo	Darma-BANake ca / yaTASrutAn=-ca DarmAn yaTA-paryAptAn pareByaH-
   vistareṇa samprakāśayati / nirāmiṣeṇa cittenāpratikāṅkṣayati ..........	vistareNa samprakASayati / nirAmizeNa cittena-apratikAFkzayati ..........
   KP.3 .................... ca sattvānām avarṇāyaśaṃ	KP.3 .................... ca sattvAnAm avarNa-ayaSam
   kīrrtiśabdaślokaniścāraṇatayā / māyāśāṭṭhyena ca param upacarati	kIrrti-Sabda-Sloka-niScAraNa-tayA / mAyA-SAwWyena ca param upacarati
   nādhyāśaye na / ebhiḥ kāśyapa caturbhiḥ dharmaiḥ samanvāgatasya	na-aDyASaye na / eBiH kASyapa caturBiH DarmEH samanvAgatasya
   bodhicittaṃ muhyati / vāṃ tatredamucyate //	boDi-cittam muhyati / vAm tatra-idam-ucyate //
   gurudākṣiṇīye na karoti proktum	guru-dAkziNIye na karoti proktum
   pareṣu kaukṛtyupasaṃharanti /	parezu kOkRti-upasaMharanti /
   bodhā ..... sthita ye ca sattvās	boDA ..... sTitaH ye ca sattvAs
   teṣām avarṇam ayaśaṃ bhaṇanti /	tezAm avarNam ayaSam BaNanti /
   māyāya śāṭhyena ca ketavena	mAyAya SAWyena ca ketavena
   par......ti ca nāśayena /	par......ti ca nASayena /
   ime dharmā niṣe.... mā . A	ime DarmAH nize.... mA . A
   mohe . i cittaṃ vara buddhabodhayeḥ	mohe . i cittam vara budDa-boDayeH
   X smād imā XXXX vamāṇo	X smAt imAH XXXX vamANaH-
   varāgrab . dh . y . sudūr . v . t . t . /	vara-agraB . D . y . su-dUH . v . t . t . /
   XXXXX niṣevamāṇ .	XXhXX nizevamAN .
   varāgrab . dh . spṛś . t . ḥ praśā X	vara-agraB . D . spRH . t . H praSA X
   KP.4 caturbhiḥ kāśyapa dharmaiḥ samanvāgatasya bodhisattvasya / sarvāsu	KP.4 caturBiH kASyapa DarmEH samanvAgatasya boDisattvasya / sarvAsu
   jātiṣu jatamātrasya bodhicittam āmukhī bhavati na cāntarā ..... hyati	jAtizu jata-mAtrasya boDi-cittam AmuKI Bavati na ca-antarA ..... hi-ati
   yāvad bodhimaṇḍaniṣadanāt / katamaiścaturbhiḥ yaduta jīvitahetorapi	yAvat boDimaNxa-nizadanAt / katamEH-caturBiH yat-uta jIvita-hetoH-api
   samprajāna mṛṣāvādaṃ na bhāṣate / antamaśa hāsyaprekṣyam api / adhyāśayena	samprajAna mRzAvAdam na BAzate / antam-aSa hAsya-prekzyam api / aDyASayena
   sarvasattvānām antike tiṣṭhatyapagatamāyāśāṭṭhyatayā / sarvabodhisattveṣu	sarva-sattvAnAm antike tizWati-apagata-mAyA-SAwWya-tayA / sarva-boDisattvezu
   ca śāstṛsañjñām utpādayati / caturdiśāṃ ....... cārayati / yāśca sattvān	ca SAstR-saQjQAm utpAdayati / caturdiSAm ....... cArayati / yAH-ca sattvAn
   paripācayati tān , sarvān uttarasyāṃ samyaksambodhau samādāpaya .......	paripAcayati tAn , sarvAn uttarasyAm samyaksamboDO samAdApaya .......
   kayānaspṛhaṇatayā / ebhiḥ kāśyapa caturbhiḥ dharmaiḥ samanvāgatasya	kayAna-spRhaNa-tayA / eBiH kASyapa caturBiH DarmEH samanvAgatasya
   bodhisattvasya sarvāsu jātiṣu jātamātrasya bodhicittam āmukhibhavati na	boDisattvasya sarvAsu jAtizu jAta-mAtrasya boDi-cittam AmuKiBavati na
   cāntarā muhyati yāvad bodhimaṇḍaniṣadanāt / tatredamucyate // 4 //	ca-antarA muhyati yAvat boDimaNxa-nizadanAt / tatra-idam-ucyate // 4 //
   na jivitārthe anṛtaṃ vadanti	na jivita-arTe anRtam vadanti
   bhāṣanti vācaṃ sadā arthayuktaṃ /	BAzanti vAcam sadA arTa-yuktam /
   māyāya śaṭṭhye ..... tya varjitā	mAyAya SawWye ..... tya varjitA
   adhyāśayena sadā sattva paśyati /	aDyASayena sadA sattva paSyati /
   bodhāya ye prasthita śuddhasattvā	boDAya ye prasTita SudDa-sattvA
   śāsteti tān manyati bodhisa(ttva) ....	SAstA-iti tAn manyati boDisa(ttva) ....
   varṇaṃ ca teṣāṃ bhaṇate caturdiśaṃ	varNam ca tezAm BaNate caturdiSam
   śāstāra sañjñāṃ sadupasthapitvā 2	SAstAra saQjQAm sat-upasTa-pitvA 2
   yāṃścāpi sattvān paripācayati	yAn=-ca-api sattvAn paripAcayati
   annuttare jñāne samādapeti	annuttare jQAne samAdapa-iti
   eteṣu dharmeṣu pratiṣṭhitānāṃ	etezu Darmezu pratizWitAnAm
   cittaṃ na bodhāya kadāci muhyatiḥ 3 //	cittam na boDAya kadAci muhyatiH 3 //
   KP.5 caturbhiḥ kāśyapa dharmaiḥ samanvāgatasya	KP.5 caturBiH kASyapa DarmEH samanvAgatasya
   bodhisattvasyotpannotpannāma kuśalā dharmāḥ paryādīyante yairna	boDisattvasya-utpanna-utpad-nAma kuSalAH DarmAH paryAdIyante yEH-na
   vivardhanti ... rdharmaiḥ katamaiścaturbhiḥ yaduta abhimānikasya	vivarDanti ... rDarmEH katamEH-caturBiH yat-uta aBimAnikasya
   lokāyatanamantraparyeṣṭyā / aśrutānām anuddiṣṭānām ca sū ....... ṇa ebhiḥ	loka-Ayatana-mantra-paryezwyAH / aSrutAnAm anuddizwAnAm ca sU ....... NaH eBiH
   kāśyapa caturbhirdharmaiḥ samanvāgatasya bodhisattvasyotpannotpannā	kASyapa caturBiH-DarmEH samanvAgatasya boDisattvasya-utpanna-utpannA
   kuśalān dha ..... vivardhate kuśalairdharmaiḥ tatredamucyate // 5 //	kuSalAn Da ..... vivarDate kuSalEH-DarmEH tatra-idam-ucyate // 5 //
   lokāyikam eṣati ābhimāniko	lokAyikam ezati ABimAnikaH-
   kulāni ........	kulAni ........
   buddhaurasā dviṣate ca bodhisattvāṃs	budDa-OrasAH dvizate ca boDisattvAn=-
   teṣām avarṇaṃ bhaṇate samantāt /	tezAm avarNam BaNate samantAt /
   noddiṣṭato cāpi śrutā ...	na-uddizwataH ca-api SrutAH ...
   ... kṣipitā imi jinena proktāt /	... kzipitAH imi jinena proktAt /
   tamehi dharmehi samanvitasya	tam-ehi Darma-ihi samanvitasya
   kuśaleṣu dharmeṣu na vṛddhirasti /	kuSalezu Darmezu na vRdDiH-asti /
   tasmād ..... ta bodhisattvo	tasmAt ..... te boDisattvaH-
   durān vijahyāccaturo pi dharmān /	durAn vijahyAt-caturaH pi DarmAn /
   imā niṣevanta sudūri bodhaye	imAH nizevanta su-dUri boDaye
   nabhaṃ va bhūmīya sudūradūraṃ .....	naBam va BUmIya su-dUra-dUram .....
   KP.6 caturbhiḥ kāśyapa dharmaiḥ samanvāgato bodhisattvaḥ aparihāṇadharmā	KP.6 caturBiH kASyapa DarmEH samanvAgataH boDisattvaH aparihANa-DarmA
   bhavati viśeṣagāmitayai katamaiścaturbhiḥ suśrutaṃ paryeṣṭi na duśrutaṃ /	Bavati viSeza-gAmitayE katamEH-caturBiH suSrutam paryezwi na duSrutam /
   yaduta ṣaṭpāramitābodhisattvapiṭakaparyeṣt śvasadṛśaśca bhavati	yat-uta zaz-pAramitA-boDisattva-piwaka-paryezt Sva-sadRSaH-ca Bavati
   nirmāṇatayā sarvasattveṣu dharmalābhasantuṣṭa ca bhavati /	nirmANa-tayA sarva-sattvezu Darma-lABa-santuzwa ca Bavati /
   sarvamithyājīvaparivarjitaḥ āryavaṃśasantuṣṭ..... tāya cāpatyā na	sarva-miTyA-jIva-parivarjitaH Arya-vaMSa-santuzw..... tAya ca-apatyAH na
   parāṃścodayati / na ca dośāntaraskhalitagaveṣī bhavati / yeṣcāsya	parAn=-codayati / na ca doSAntara-sKalita-gavezI Bavati / yeH-ca-asya
   buddhirna gāhate tatra tathāgatam eva sākṣīti kṛtvā na pratikṣipati //	budDiH-na gAhate tatra taTAgatam eva sAkzI-iti kRtvA na pratikzipati //
   tathāgata eva jānāti nāhaṃ ........dhirnānādhimuktikānāṃ sattvānāṃ	taTAgataH eva jAnAti na-aham ........DiH-nAnA-aDimuktikAnAm sattvAnAm
   yathādhimuktikatayā dharmadeśanā pravartate / ebhiḥ kāśyapa	yaTA-aDimuktika-tayA Darma-deSanA pravartate / eBiH kASyapa
   caturbhirdharmaiḥ samanvāgato bodhisattvaḥ aparihāṇadharma bhavati	caturBiH-DarmEH samanvAgataH boDisattvaH aparihANa-Darma Bavati
   viśeṣagamitāyai / tatredamucyate // 6 //	viSeza-gamitAyE / tatra-idam-ucyate // 6 //
   nityaṃ ca so.. yukto	nityam ca saH-.. yuktaH-
   upāyakauśalyatha bodhipīṭake //	upAya-kOSalI-aTa boDi-pIwake //
   nirmānatāyāśca śvacittasādṛśo	nirmAna-tAyAH-ca Sva-citta-sAdRSaH-
   sarve ca sattveṣu ni ......	sarve ca sattvezu ni ......
   tuṣṭaśca lābhena saddhārmikena	tuzwaH-ca lABena sat-DArmikena
   ājivaśuddho sthita āryavaṃśe /	Aji-vaSudDaH sTitaH Arya-vaMSe /
   paraṃ ca nāpattiṣu codayanto	param ca na-Apattizu codayantaH-
   skhalita....... na gaveṣamāno 2	sKalita-....... na gavezamAnaH 2
   na gāhate yatra ca buddhirasya	na gAhate yatra ca budDiH-asya
   tathāgataṃ sākṣikaroti tatra /	taTAgatam sAkzikaroti tatra /
   nāhaṃ prajānāmi jino prajā......	na-aham prajAnAmi jinaH prajA......
   ananta bodhi sugatena bhāṣitā 3	ananta boDi sugatena BAzitA 3
   imā tu dharmāścaturo viditvā	imA tu DarmAH-caturaH viditvA
   na hāpaye jātu viśeṣam uttamam /	na hApaye jAtu viSezam uttamam /
   imeṣu dharmeṣu pratiṣṭhitasya	imezu Darmezu pratizWitasya
   na durlabhā bodhi jinapraśastān //	na durlaBAH boDi jina-praSastAn //
   KP.7 catvāra ime kāśyapa kuṭilāścittotpādāstena bodhisattvena	KP.7 catvAraH ime kASyapa kuwilAH-citta-utpAdAH-tena boDisattvena
   parivarjitavyāḥ katameścatvāraryaduta kāṅkṣā vimatirvicikitsā	parivarjitavyAH katameH-catvAraryat-uta kAFkzA vimatiH-vicikitsA
   sarvabuddhadharmeṣu / mānamadamrakṣakrodhavyāpādāḥ sarvasattveṣu	sarva-budDa-Darmezu / mAnam-adamrakza-kroDa-vyApAdAH sarva-sattvezu
   irṣyāmātsaryaṃ paralābheṣu avarṇāyaśokīrtiśabdaślokaniścāraṇatayā......	irzyA-mAtsaryam para-lABezu avarNAyaSaH-kIrti-Sabda-Sloka-niScAraNa-tayA......
   ime kāśyapa catvāraḥ kuṭilāścittotpādāste bodhisattvena parivarjitavyāḥ	ime kASyapa catvAraH kuwilAH-citta-utpAdAH-te boDisattvena parivarjitavyAH
   tatredamucyate // 7 //	tatra-idam-ucyate // 7 //
   dharmeṣu kāṅkṣāṃ vimatiṃ ca kurvati	Darmezu kAFkzAm vimatim ca kurvati
   sattveṣu mānam atha krodhaṃ sevati /	sattvezu mAnam aTa kroDam sevati /
   mātsaryam irṣyā paralābha kurvate	mAtsaryam irzyA para-lABa kurvate
   jine prasādaṃ ca na ........	jine prasAdam ca na ........
   akīrtyavarṇam ayaśaṃ ca cārayī	akIrti-avarNam ayaSam ca cArayI
   so bodhisattveṣu sadā avidvāt /	saH boDisattvezu sadA avidvAt /
   catvāri cittā kuṭilā vivarjaye ......	catvAri cittA kuwilAH vivarjaye ......
   ...... pakṣaṃ sadā bodhisattvaḥ 2 //	...... pakzam sadA boDisattvaH 2 //
   KP.8 catvāra ime kāśyapa ṛjukasya bodhisattvasya ṛjukalakṣaṇāni bhavanti	KP.8 catvAraH ime kASyapaH Rjukasya boDisattvasya Rjuka-lakzaNAni Bavanti
   katamāni catvāriryaduta āpattiāpanno na pracchādāyatācaṣṭe vivṛṇoti	katamAni catvAriH-yat-uta Apatti-ApannaH na pracCAda-Ayata-Acazwe vivRNoti
   niṣparyutthāno bhavati / yena satyavacanena rājapārihāṇirvā	nizparyutTAnaH Bavati / yena satya-vacanena rAjapArihANiH-vA
   dhanāpārihāṇirvā kāyajīvitāntarāyo bhavet tat satyavacanaṃ na vigūhati	Dana-apArihANiH-vA kAya-jIvita-antarAyaH Bavet tat satya-vacanam na vigUhati
   nānyenānyaṃ prati nisṛtya vācā bhāṣate / sarvaparopakrameṣu	na-anyena-anyam prati nisRtya vAcA BAzate / sarva-para-upakramezu
   cākrośaparibhāṣaṇakuṃsanapaṃsantāḍana	ca-AkroSa-pariBAzaNa-kuMsana-paMsantAxana
   tarjanavadhabandhanāparādheṣvātmāparādhī bhavati / karmavipākapratisaraṇo	tarjana-vaDa-banDana-aparADezu-Atma-aparADI Bavati / karma-vipAka-pratisaraNaH-
   na pareṣāṃ kupyati nā nuśayaṃ vahati / sa śraddhāpratiṣṭhitaśca bhavati /	na parezAm kupyati nA nuSayam vahati / sa SradDA-pratizWitaH-ca Bavati /
   sarvāśraddheyānapi buddhadharmā śraddadhāti āśayaśuddhatām upādāya / ime	sarva-aSradDeyAn-api budDa-DarmA SraddaDAti ASaya-SudDa-tAm upAdAya / ime
   kāśyapa catvāro ṛjukasya bodhisattvasya ṛjukalakṣaṇāni bhavanti /	kASyapa catvAraH Rjukasya boDisattvasya Rjuka-lakzaNAni Bavanti /
   tatredamucyate // 8 //	tatra-idam-ucyate // 8 //
   āpattim āpanna na cchādayanti	Apattim Apan-na na cCAdayanti
   kathenti vivaranti ca eti doṣāt /	kaTenti vivaranti ca eti dozAt /
   dhanarājyaheto na ca jīvi XX	Dana-rAjya-hetaH na ca jIvi XX
   XX vadante vidadīyasañjñām /	XX vadante vidadIya-saQjQAm /
   ākrośanākunsanapaṃsanāsu	AkroSana-akunsana-paMsanAsu
   vadheṣu bandheṣvavarodhaneṣu /	vaDezu banDezu-avaroDanezu /
   ātmāparādhī na pare X kupyate	Atma-aparADI na pare X kupyate
   karmasvako nānuśayaṃ vahantoḥ 2	karma-svakaH na-anuSayam vahantoH 2
   sa śraddadhāti sugātāna bodhiṃ	sa SraddaDAti sugAtAna boDim
   śraddhāsthito āśayiśuddhiyukto	SradDA-sTitaH ASayi-SudDi-yuktaH-
   ṛjukalakṣaṇā hyeti jinena proktā	Rjuka-lakzaNA hi-eti jinena proktA
   varāgrasattvena niṣevitavyāḥ 3 //	vara-agra-sattvena nizevitavyAH 3 //
   KP.9 catvāra ime kāśyapa bodhisattva khaḍuṅkāḥ katame catvāraḥ	KP.9 catvAraH ime kASyapa boDisattva KaxuFkAH katame catvAraH
   śrutoddhatadharmavihārī ca bhavati na ca pratipadyate /	Sruta-udData-Darma-vihArI ca Bavati na ca pratipadyate /
   dharmānudharmapratipattim anuśāsane nuddhatadharmavihārī ca bhavati / na	Darma-anuDarma-pratipattim anuSAsane nudData-Darma-vihArI ca Bavati / na
   ca śuśrūṣatyācāryopādhyāyānāṃ / śraddhādeyaṃ vinipātayati cyuta	ca SuSrUzati-AcArya-upADyAyAnAm / SradDA-deyam vinipAtayati cyuta
   pratijñaśca śraddhādeyāṃ paribhuṅkte / dāntājāneyaprāpitāṃśca bodhisattvāṃ	pratijQaH-ca SradDA-deyAm pariBuFkte / dAnta-ajAneya-prApitAn=-ca boDisattvAm
   dṛṣṭvā agoravo bhavati mānagrāhī / ime kāśyapa catvāro	dRzwvA agoravaH Bavati mAna-grAhI / ime kASyapa catvAraH-
   bodhisattvākhaḍuṅkāḥ tatredamucyate // 9 //	boDisattva-AKaxuFkAH tatra-idam-ucyate // 9 //
   śrutena oddhatyavihāri bhoti na coddhato gacchati ānuśāsaniṃ /	Srutena odDatya-vihAri Boti na ca-udDataH gacCati AnuSAsanim /
   so uddhato sevati sarvadharmān śuśrūṣate na ca āryāṃ kathañcit /	saH udDataH sevati sarva-DarmAn SuSrUzate na ca AryAm kaTaQcid /
   cyutapratijño paribhuñjate sadā śraddhāya dinnāni subhojanāni /	cyuta-pratijQaH pariBuQjate sadA SradDAya dinnAni su-BojanAni /
   ājanyaprāptānapi bodhisattvān paśyitvā no gauravatā karoti / 2	Ajanya-prAptAn-api boDisattvAn paSyitvA naH gOrava-tA karoti / 2
   mānaṃ ca so bṛṃhayate khaḍuṅko nirmāṇa to sevati bodhisattvān	mAnam ca saH bRMhayate KaxuFkaH nirmANa taH sevati boDisattvAn
   ete khaḍuṅkā sugatena proktā jīnātmajāste parivarjanīyāt 3 //	ete KaxuFkA sugatena proktAH jIna-AtmajAH-te parivarjanIyAt 3 //
   KP.10 catvāra ime kāśyapa ājāneyā bodhisattvāḥ katame catvāraḥ suśrutaṃ	KP.10 catvAraH ime kASyapaH AjAneyAH boDisattvAH katame catvAraH suSrutam
   śruṇoti tatra ca pratipadyate / arthapratisaraṇaśca bhavati na	SruNoti tatra ca pratipadyate / arTa-pratisaraNaH-ca Bavati na
   vyañjanapratisaraṇaḥ pradakṣiṇagrāhī bhavatyavavādānuśāsane / suvacaḥ	vyaQjana-pratisaraNaH pradakziNa-grAhI Bavati-avavAda-anuSAsane / su-vacaH
