   akaṇṭakaṃ bhoktumanā Ram_2,84.13c	akaNwakam Boktu manAH Ram_2,84.13c
   akarot svāstaraṃ śubham Ram_2,81.19b	akarot su Astaram SuBam Ram_2,81.19b
   akarṇadhārā pṛthivī Ram_2,82.19a	akarNaDArA pRTivI Ram_2,82.19a
   akasmān nāgaraḥ sarvo Ram_2,36.12a	akasmAt nAgaraH sarvaH Ram_2,36.12a
   akāmayata medinī Ram_2,1.28d	akAmayata medinI Ram_2,1.28d
   akāryavaśam āpannāḥ Ram_2,109.27c	akArya vaSam ApannAH Ram_2,109.27c
   akāryaṃ kāryasaṃkāśam Ram_2,101.2c	akAryam kArya saMkASam Ram_2,101.2c
   akāle cāpi mukhyāni Ram_2,42.11c	akAle ca api muKyAni Ram_2,42.11c
   akīrtir atulā loke Ram_2,11.6c	akIrtiH atulA loke Ram_2,11.6c
   akurvanto 'pi pāpāni Ram_3,36.22a	akurvantaH api pApAni Ram_3,36.22a
   akurvan vā pitur vacaḥ Ram_2,16.14b	akurvan vA pituH vacaH Ram_2,16.14b
   akuhaḥ śraddadhānaḥ san Ram_2,101.27c	akuhaH SraddaDAnaH san Ram_2,101.27c
   akṛtāstraś ca rāghavaḥ Ram_3,36.6b	akRta astraH ca rAGavaH Ram_3,36.6b
   akṛtāstreṇa rāmeṇa Ram_3,36.18c	akRta astreNa rAmeNa Ram_3,36.18c
   akṛtvā na hi te siddhim Ram_3,68.10c	akRtvA na hi te sidDim Ram_3,68.10c
   akṛśān ekakaṇṭakān Ram_3,69.10b	akRSAn eka kaNwakAn Ram_3,69.10b
   akṣayā tu bhavet prītiḥ Ram_3,8.25a	akzayA tu Bavet prItiH Ram_3,8.25a
   akṣayā naraśārdūla Ram_3,4. 26c	akzayAH nara SArdUlaH Ram_3,4. 26c
   akṣayāṃs tvaṃ gamiṣyasi Ram_3,70.12d	akzayAn tvam gamizyasi Ram_3,70.12d
   akṣayyaṃ bhavatīty āhur Ram_2,95.7c	akzayyam Bavati iti AhuH Ram_2,95.7c
   akṣisūcyā pramṛjasi Ram_3,45.36a	akzi sUcyA pramRjasi Ram_3,45.36a
   akṣemaṃ sumahad devi Ram_2,7.16a	akzemam su mahat devi Ram_2,7.16a
   akṣobhyāṇāṃ samudrāṇāṃ Ram_3,30.11a	akzoByANAm samudrANAm Ram_3,30.11a
   agacchat tvām upādāya Ram_2,9.9c	agacCat tvAm upAdAya Ram_2,9.9c
   agarūṇāṃ ca mukhyānāṃ Ram_3,33.22a	agarUNAm ca muKyAnAm Ram_3,33.22a
   agastya iti vikhyāto Ram_3,10.77a	agastyaH iti viKyAtaH Ram_3,10.77a
   agastyabhrātur āśramaḥ Ram_3,10.36d	agastya BrAtuH ASramaH Ram_3,10.36d
   agastyam abhigaccheti Ram_3,10.34c	agastyam aBigacCa iti Ram_3,10.34c
   agastyam abhigaccheyam Ram_3,10.31c	agastyam aBigacCeyam Ram_3,10.31c
   agastyavacanaṃ bruvan Ram_3,11.15b	agastya vacanam bruvan Ram_3,11.15b
   agastyaśiṣyam āsādya Ram_3,11.1c	agastya Sizyam AsAdya Ram_3,11.1c
   agastyasya muner bhrātur Ram_3,10.45c	agastyasya muneH BrAtuH Ram_3,10.45c
   agastyasyāśramaḥ śrīmān Ram_3,10.84c	agastyasya ASramaH SrImAn Ram_3,10.84c
   agastyasyāśramo bhrātur Ram_3,10.51c	agastyasya ASramaH BrAtuH Ram_3,10.51c
   agastyaṃ kauśikaṃ caiva Ram_2,29.12a	agastyam kOSikam ca eva Ram_2,29.12a
   agastyaṃ taṃ mahāmunim Ram_3,10.41d	agastyam tam mahA munim Ram_3,10.41d
   agastyaṃ taṃ mahāmunim Ram_3,10.86b	agastyam tam mahA munim Ram_3,10.86b
   agastyaṃ tejasā yuktaṃ Ram_3,41.40c	agastyam tejasA yuktam Ram_3,41.40c
   agastyaṃ niyatāhāraṃ Ram_3,10.87c	agastyam niyata AhAram Ram_3,10.87c
   agastyaṃ sūryavarcasam Ram_3,11.21b	agastyam sUrya varcasam Ram_3,11.21b
   agastyaḥ punar abravīt Ram_3,11.34d	agastyaH punar abravIt Ram_3,11.34d
   agastyādhyuṣitāṃ diśam Ram_2,43.8d	agastya aDyuzitAm diSam Ram_2,43.8d
   agastyena tadā devaiḥ Ram_3,10.59a	agastyena tadA devEH Ram_3,10.59a
   agastyeneva māṃ gatiḥ Ram_3,41.44b	agastyena iva mAm gatiH Ram_3,41.44b
