   śrī bhakti sandarbhaḥ	SrI  Bakti sandarBaH
   tau santoṣayatā santau śrīla rūpa sanātanau |	tO santozayatA santO SrIla  rUpa sanAtanO |
   dākṣiṇātyena bhaṭṭena punar etad vivicyate ||o||	dAkziNAtyena Bawwena punar etat vivicyate ||o||
   tasyādyaṃ granthanālekhaṃ krāntam utkrānta khaṇḍitam |	tasya Adyam granTanAleKam krAntam utkrAnta   KaNxitam |
   paryālocyātha paryāyaṃ kṛtvā likhati jīvakaḥ ||o||	paryAlocya aTa paryAyam kRtvA liKati jIvakaH ||o||
   tatra pūrva sandarbha catuṣṭayena sambandho vyākhyātaḥ | tatra pūrṇa 	tatra pUrva sandarBa  catuzwayena sambanDaH vyAKyAtaH | tatra pUrNa 
   sanātana paramānanda lakṣaṇa para tattva rūpaṃ sambandhi ca brahma	sanAtana  parama Ananda lakzaNa  para  tattva rUpam sambanDi ca brahma
   paramātmā bhagavān iti tridhāvirbhāvatayā śabditam iti nirūpitam | tatra	paramAtmA BagavAn iti triDA AvirBAva tayA Sabditam iti nirUpitam | tatra
   ca	ca
   bhagavattvenaivāvirbhāvasya paramotkarṣaḥ pratipāditaḥ | prasaṅgena viṣṇv 	Bagavat tvena eva AvirBAvasya parama utkarzaH pratipAditaH | prasaFgena vizNu  
   ādyāś catuḥ sanādyāś ca tad avatārā darśitāḥ | sa ca bhagavān svayaṃ śrī 	AdyAH catuH sana AdyAH ca tad  avatArAH darSitAH | sa ca BagavAn svayam SrI 
   kṛṣṇa eva iti nirdhāritam |	kRzNaH eva iti nirDAritam |
   paramātma vaibhava gaṇane ca taṭastha śakti rūpāṇāṃ cid eka rasānām api	paramAtma  vEBava  gaNane ca tawa sTa  Sakti  rUpANAm cit  eka rasAnAm api
   anādi para tattva jñāna saṃsargābhāvamaya tad vaimukhya labdha cchidrayā	anAdi para  tattva  jQAna  saMsarga aBAvam aya  tad  vEmuKya labDa  = CidrayA
