   śāstrasaṃgrahaḥ prathamo 'dhyāyaḥ 1	SAstra-saMgrahaH praTamaH aDyAyaH 1
   kāvyamīmāṃsā 'prakāśa' atha kavirahasyam prathamo 'dhyāyaḥ 1	kAvya-mImAMsA aprakASa-a aTa kavi-rahasyam praTamaH aDyAyaH 1
   śāstrasaṃgrahaḥ	SAstra-saMgrahaH
   athātaḥ kāvyaṃ mīmāṃsiṣyāmahe, yathopadideśa śrīkaṇṭhaḥ	aTa-atas kAvyam mImAMsizyAmahe, yaTA-upadideSa SrIkaNWaH
   parameṣṭhivaikuṇṭhādibhyaśtuḥṣaṣṭayoḥ /	paramezWi-vEkuNWa-AdiByaStuHzazwayoH /
   so 'pi bhagavānsvayambhūricchājanmabhyaḥ svāntevāsibhyaḥ /	saH api BagavAn-svayamBUri=-CA-janmaByaH sva-antevAsiByaH /
   teṣu sāgasvateyo vṛndīyasāmapi vandyaḥ kāvyapuruṣa āsīt /	tezu sAgasvateyaH vRndIyasAm-api vandyaH kAvya-puruzaH AsIt /
   taṃ ca sarvasamayavidaṃ divyena cakṣuṣā bhaviṣyadarthadaśinaṃ	tam ca sarva-samaya-vidam divyena cakzuzA Bavizyat-arTa-daSinam
   bhūrbhuvaḥsvastritayavarttinīṣu prajāsu hatikāmyayā prajāpatiḥ	BUrBuvaH-svaH-tritaya-varttinIzu prajAsu hati-kAmyayA prajApatiH
   kāvyavidyāpravarttanāyai prāyuṅkta /	kAvya-vidyA-pravarttanAyE prAyuFktaH /
   so 'ṣṭādaśādhikaraṇīṃ divyebhyaḥ kāvyavidyāsnātakebhyaḥ saprapañcaṃ	saH azwAdaSa-aDikaraNIm divyeByaH kAvya-vidyA-snAtakeByaH sa-prapaQcam
   provāca /	provAca /
   tatra kavirahasyaṃ sahasrākṣaḥ samāmnāsīt, auktikamuktigarbhaḥ,	tatra kavi-rahasyam sahasrAkzaH samAmnA-AsIt, Oktika-mukti-garBaH,
   rītinirṇayaṃ suvarṇanābhaḥ, ānuprāsikaṃ pracetā, yamakaṃ yamaḥ, citraṃ	rIti-nirNayam suvarNanABaH, AnuprAsikam pracetA, yamakam yamaH, citram
   citrāṅgadaḥ, śabdaśleṣaṃ śeṣaḥ, vāstuvaṃ pulastyaḥ, aupabhyamaupakāyanaḥ,	citrAFgadaH, Sabda-Slezam SezaH, vAstuvam pulastyaH, OpaByam-OpakAyanaH,
