   Hetutattvopadeśaḥ	Hetu-tattva-upadeSaH
   mañjuśrīkumārabhūtāya namaḥ	maQjuSrI-kumAra-BUtAya namaH
   1. sādhanaṃ dūṣaṇaṃ caiva sābhāsaṃ parasaṃvide /	1. sADanam dUzaNam ca-eva sa-ABAsam para-saMvide /
   pratyakṣamanumānaṃ ca sābhāsaṃ tvātmasaṃvide //	pratyakzam-anumAnam ca sa-ABAsam tu-Atma-saMvide //
   ayaṃ śāstrārtharāṃgrahaḥ //	ayam SAstra-arTa-rAMgrahaH //
   2. vādinā svayaṃ sādhayitumiṣṭo 'rthaḥ sādhyaḥ / yena sādhyate tatsādhanam	2. vAdinA svayam sADayitum-izwaH arTaH sADyaH / yena sADyate tad-sADanam
   3. hetostrairūpyamucyate / kiṃ punastattrairūpyam / pakṣe sattvameva	3. hetoH-trErUpyam-ucyate / kim punar-tad-trErUpyam / pakze sattvam-eva
   prathamaṃ rūpam / sapakṣa eva sattvamiti dvitīyaṃ rūpam / vipakṣe ca	praTamam rUpam / sa-pakzaH eva sattvam-iti dvitIyam rUpam / vipakze ca
   asattvameva niścitamiti tṛtīyaṃ rūpam //	asattvam-eva niScitam-iti tRtIyam rUpam //
   4. tatra pakṣaḥ prasiddho dharmī prasiddhaviśeṣaṇena viśiṣṭaḥ svayaṃ	4. tatra pakzaH prasidDaH DarmI prasidDa-viSezaNena viSizwaH svayam
   sādhayitumiṣṭaḥ pratyakṣādyaviruddhaḥ / yathā dharmī śabdo 'nitya iti	sADayitum-izwaH pratyakza-Adi-avirudDaH / yaTA DarmI SabdaH anityaH iti
   viśeṣaṇena viśiṣṭaḥ sādhyaḥ / kṛtakatvāditi heturbhavatīti //	viSezaNena viSizwaH sADyaH / kRtaka-tvAt-iti hetuH-Bavati-iti //
   5. kaḥ punaḥ sapakṣaḥ / sādhyadharmasāmānyena samānaḥ sapakṣaḥ / yathā	5. kaH punar sa-pakzaH / sADya-Darma-sAmAnyena samAnaH sa-pakzaH / yaTA
   ghaṭādiriti //	GawAdiH-iti //
   6. ko hetorvipakṣaḥ / yatra sādhyābhāvāddhetvabhāvo niścayena pradarśyate	6. kaH hetoH-vipakzaH / yatra sADya-aBAvAt-hetu-aBAvaH niScayena pradarSyate
   / yathākāśādiḥ //	/ yaTA-AkASa-AdiH //
   7. trirūpahetupradarśanena parāvagamanimittaṃ kṛtaḥ prayogaḥ	7. tri-rUpa-hetu-pradarSanena para-avagama-nimittam kRtaH prayogaH
   parārthānumānabhityucyate / yathā śabdo 'nitya iti pakṣavacanam /	para-arTa-anumAn-aBityucyate / yaTA SabdaH anityaH iti pakza-vacanam /
   kṛtakatvāditi hetuvacanam / ghaṭādivaditi sapakṣavacanam / ākāśādivaditi	kRtaka-tvAt-iti hetu-vacanam / Gawa-Adi-vat-iti sa-pakza-vacanam / AkASa-Adi-vat-iti
   vipakṣavacanam //	vipakza-vacanam //
   8. sa punardvividho dṛśyate / sādharmyeṇa vaidharmyeṇa ca //	8. sa punar-dviviDaH dRSyate / sADarmyeNa vEDarmyeNa ca //
   9. tatra sādharmyeṇa tāvat / yatkṛtakaṃ tatsarvamanityaṃ dṛṣṭam / yatha	9. tatra sADarmyeNa tAvat / yat-kRtakam tat-sarvam-anityam dRzwam / yaTa
   ghaṭādiḥ / śabdo 'pi kṛtaka iti //	Gawa-AdiH / SabdaH api kRtakaH iti //
   10. vaidharmyeṇāpyanityatvābhāve kṛtakatvābhāvaḥ / yathākāśādiḥ / śabdastu	10. vEDarmyeNa-api-anitya-tva-aBAve kRtaka-tva-aBAvaH / yaTA-AkASa-AdiH / SabdaH-tu
   kṛtaka iti //	kRtakaH iti //
   11. kaḥ punaḥ pakṣābhāsaḥ / pakṣābhāso vastuto na pakṣaḥ /	11. kaH punar pakza-ABAsaH / pakza-ABAsaH vastutas na pakzaH /
   pratyakṣādivirodhādayaṃ pakṣābhāsaḥ //	pratyakza-Adi-viroDAt-ayam pakza-ABAsaH //
   12. yathā dhūmādirdharmī buddhimaddhetūtpannaḥ sādhya iti	12. yaTA DUma-AdiH-DarmI budDimat-hetu-utpannaH sADyaH iti
   pratyakṣaviruddhaḥ pakṣābhāsaḥ / pratyakṣato vahnerdhūmotpattidarśanāt //	pratyakza-virudDaH pakza-ABAsaH / pratyakzatas vahneH-DUma-utpatti-darSanAt //
