   // śrīmate nigamāntamahādeśikāya namaḥ //	// SrImate nigama-anta-mahA-deSikAya namaH //
   dvitīyamāhnikakam /	dvitIyam-Ahnikakam /
   nyā. pa. śa. 20 atha pauruṣeyāpauruṣeyavibhāga evānupapannaḥ, sarvasyāpi	nyA. pa. Sa. 20 aTa pOruzeya-apOruzeya-viBAgaH eva-anupapannaH, sarvasya-api
   vākyasya pauruṣeyatve vākyatvādiliṅgasadbhāvāt---sarvajñapraṇītā vedāḥ,	vAkyasya pOruzeya-tve vAkya-tva-Adi-liFga-sadBAva-at----sarvajQa-praNItAH vedAH,
   vedatvāt, iti vyatirekisaṃbhavāt; "mantrakṛdbhyaḥ" "tasya ha vā etasya	veda-tva-at, iti vyatireki-saMBavAt; "mantra-kRdByaH" "tasya ha vE etasya
   mahato bhūtasya niśvasitametadyadṛgvedaḥ" "ṛcaḥ sāmāni jajñire /	mahataH BUtasya niSvasitam-etat-yat-RgvedaH" "RcaH sAmAni jajQire /
   chandāṃsi jajñire tasmāt /	CandAMsi jajQire tasmAt /
   yajustasmādajāyata" ityādiśravaṇāt, "pratimanvantaraṃ caiṣā śrutiranyā	yajuH-tasmAt-ajAyata" ityAdi-SravaNa-at, "pratimanvantaram ca-ezA SrutiH-anyA
   vidhīyate" ityādismṛteśca;"adhikṛtya kṛte granthe" iti	viDIyate" ityAdi-smRteH-ca;"aDikRtya kRte granTe" iti
   pāṇinismṛtisiddhārthakāṭhakakālāpakādisamākhyāviśeṣayogāt;	pANinismRti-sidDArTa-kAWaka-kAlApaka-Adi-samAKyA-viSeza-yogAt;
   kādācitkakathāviśeṣasaṃdṛṣṭeḥ, anityayogāt,	kAdAcid-ka-kaTA-viSeza-saMdRzweH, anitya-yogAt,
   tatpūrvottarakālayostadananvayāpatteḥ, śabdasya bhūtaguṇasya naśvaratvāt,	tad-pUrva-uttara-kAlayoH-tad-ananvaya-ApatteH, Sabdasya BUta-guNasya naSvara-tvAt,
   iti cet, tanna, vākyatvānumānasya vipakṣe bādhakābhāvāt /	iti cet, tat-na, vAkya-tva-anumAnasya vipakze bADaka-aBAvAt /
   akāraṇakāryotpattiprasaṅgaḥ, iti cenna, kāryatvasyaiva sādhyamānatvāt,	akAraNa-kArya-utpatti-prasaFgaH, iti ced-na, kAryatvasya-eva sADyamAna-tvAt,
   akāraṇatvamātrasyāpādyamāna syeṣṭatvāt /	akAraNa-tva-mAtrasya-ApAdyamAnaH sya-izwa-tvAt /
   kramaviśeṣeṇānuccāryamāṇānāṃ varṇānāṃ kathaṃ padatvaṃ vākyatvaṃ veti	krama-viSezeNa-anuccAryamANAnAm varNAnAm kaTam padatvam vAkya-tvam vA-iti
