   agnau vahnir ivārpitaḥ GorS(1)_100b	agnO vahniH iva-arpitaH GorS(1)_100b
   aṅgānāṃ mardanaṃ kuryāc GorS(2)_53 (=1|50)a	aFgAnAm mardanam kuryAt GorS(2)_53 (=1|50)a
   aṅgānāṃ mardanaṃ śastaṃ GorS(1)_50a	aFgAnAm mardanam Sastam GorS(1)_50a
   aṅguṣṭhau hṛdaye nidhāya cibukaṃ nāsāgram ālokayed GorS(1)_9c	aFguzWO hRdaye niDAya cibukam nAsA-agram Alokayet GorS(1)_9c
   aṅguṣṭhau hṛdaye nidhāya cibukaṃ nāsāgram ālokayed GorS(2)_12 (=1|9)c	aFguzWO hRdaye niDAya cibukam nAsA-agram Alokayet GorS(2)_12 (=1|9)c
   ajapā nāma gāyatrī GorS(2)_44a	ajapA nAma gAyatrI GorS(2)_44a
   aṇimādi-guṇodayaḥ GorS(1)_65d	aNima-Adi--guNa-udayaH GorS(1)_65d
   ataḥ kaṇṭhe viśuddhākhye GorS(1)_62c	atas kaNWe viSudDa-AKye GorS(1)_62c
   ataḥ kāla-bhayād brahmā GorS(2)_93a	atas kAla-BayAt brahmA GorS(2)_93a
   advayatvaṃ vrajen nityaṃ GorS(1)_100c	advaya-tvam vrajet nityam GorS(1)_100c
   advayatvaṃ vrajen nityaṃ GorS(1)_101c	advaya-tvam vrajet nityam GorS(1)_101c
   adhame ca ghano gharmaḥ GorS(1)_49a	aDame ca GanaH GarmaH GorS(1)_49a
   adhaś cordhvaṃ ca dhāvati GorS(1)_26b	aDas ca-UrDvam ca DAvati GorS(1)_26b
   adhaś cordhvaṃ ca dhāvati GorS(2)_39 (=1|26)b	aDas ca-UrDvam ca DAvati GorS(2)_39 (=1|26)b
   adho-gāmi śiro-jalam GorS(2)_79 (=HYP 3.71)b	aDas--gAmi Siro--jalam GorS(2)_79 (=HYc 3.71)b
   adho nābher nigadyate GorS(2)_78b	aDas nABeH nigadyate GorS(2)_78b
   adho-meḍhram evābhidhīyate GorS(1)_13d	aDo-meXram eva-aBiDIyate GorS(1)_13d
   adho-meḍhrāt pratiṣṭhitam GorS(2)_20 (=1|13)d	aDo-meXrAt pratizWitam GorS(2)_20 (=1|13)d
   anantaṃ viśvato-mukham GorS(2)_21b	anantam viSvato-muKam GorS(2)_21b
   anayā sadṛśaṃ jñānaṃ GorS(2)_45c	anayA sadRSam jQAnam GorS(2)_45c
   anayā sadṛśī vidyā GorS(2)_45a	anayA sadRSI vidyA GorS(2)_45a
   anayā sadṛśo japaḥ GorS(2)_45b	anayA sadRSaH japaH GorS(2)_45b
   analasya pradīpanam GorS(2)_101b	analasya pradIpanam GorS(2)_101b
   anāhatam atikramya GorS(1)_61a	anAhatam atikramya GorS(1)_61a
   anāhataṃ ca tac cakraṃ GorS(1)_60c	anAhatam ca tat cakram GorS(1)_60c
   antar-niścalitātma-dīpa-kalikā-svādhāra-bandhādibhiḥ GorS(2)_2a	antar-niScalita-Atma---dIpa-kalikA--su-ADAra-banDa-AdiBiH GorS(2)_2a
   apāna-prāṇayor aikyāt GorS(2)_82 (=1|38, HYP 3.65)a	apAna--prANayoH EkyAt GorS(2)_82 (=1|38, HYc 3.65)a
   apānam ūrdhvam ākṛṣya GorS(1)_37c	apAnam UrDvam AkRzya GorS(1)_37c
   apānam ūrdhvam ākṛṣya GorS(2)_81 (=1|37, HYP 3.61)c	apAnam UrDvam AkRzya GorS(2)_81 (=1|37, HYc 3.61)c
   apānaḥ karṣati prāṇaḥ GorS(1)_29a	apAnaH karzati prANaH GorS(1)_29a
   apānaḥ karṣati prāṇaḥ GorS(2)_41 (=1|29)a	apAnaH karzati prANaH GorS(2)_41 (=1|29)a
   apāno guda-maṇḍale GorS(2)_34b	apAnaH guda--maNxale GorS(2)_34b
   api muktaṃ viṣaṃ ghoraṃ GorS(2)_61 (=HYP 3.16)c	api muktam vizam Goram GorS(2)_61 (=HYc 3.16)c
   abdād ūrdhvaṃ bhavet siddho GorS(2)_54 (=HYP 1.59)c	abdAt UrDvam Bavet sidDaH GorS(2)_54 (=HYc 1.59)c
   abhīṣṭaṃ yogināṃ brūte GorS(2)_3c	aBIzwam yoginAm brUte GorS(2)_3c
   amṛtaṃ dadhi-saṅkāśaṃ GorS(2)_97 (=1|44)a	amRtam daDi-saFkASam GorS(2)_97 (=1|44)a
   amṛtātmā sthito nityaṃ GorS(1)_57c	amRta-AtmA sTitaH nityam GorS(1)_57c
   amṛtāpūrṇa-dehasya GorS(1)_65a	amRta-ApUrNa-dehasya GorS(1)_65a
   amṛtodadhi-saṅkāśaṃ GorS(1)_44a	amRta-udaDi--saFkASam GorS(1)_44a
   ardhendu-pratimaṃ ca kunda-dhavalaṃ kaṇṭhe'mbu-tattavṃ sthitaṃ GorS(1)_70a	arDa-indu-pratimam ca kunda--Davalam kaNWe-ambu--tattavm sTitam GorS(1)_70a
   alambuṣā kuhūś caiva GorS(1)_19a	alambuzA kuhUH ca-eva GorS(1)_19a
   alambuṣā kuhūś caiva GorS(2)_28 (=1|19)a	alambuzA kuhUH ca-eva GorS(2)_28 (=1|19)a
   aviśrāntaṃ mahā-khagaḥ GorS(2)_77 (=HYP 3.56)b	aviSrAntam mahA-KagaH GorS(2)_77 (=HYc 3.56)b
   aṣṭadhā kuṇḍalākṛti GorS(2)_47 (=1|30)b	azwaDA kuNxala-AkRti GorS(2)_47 (=1|30)b
   aṣṭadhā kuṇḍalākṛtiḥ GorS(2)_56 (=HYP 3.107)b	azwaDA kuNxala-AkRtiH GorS(2)_56 (=HYc 3.107)b
   aṣṭadhā kuṇḍalī-kṛtā GorS(1)_30b	azwaDA kuNxalI-kRtA GorS(1)_30b
   asyāḥ saṅkalpa-mātreṇa GorS(2)_44c	asyAH saFkalpa--mAtreNa GorS(2)_44c
   ākārāś ca tatho-kāro GorS(2)_87a	AkArAH ca taTA-u-kAraH GorS(2)_87a
   ākāśaṃ suviśuddha-vāri-sadṛśaṃ yad brahma-randhre sthitaṃ GorS(1)_73a	AkASam su-viSudDa--vAri--sadRSam yat brahma-ranDre sTitam GorS(1)_73a
