   namo buddhāya	namaH budDAya
   nānākavīndravacanāni manoharāṇi saṃkhyāvatāṃ paramakaṇṭhavibhūṣaṇāni /	nAnA kavIndra vacanAni manoharANi saMKyAvatAm parama kaNWa viBUzaNAni /
   ākampakāni śirasaś ca mahākavīnāṃ teṣāṃ samuccayam anargham ahaṃ vidhāsye	AkampakAni SirasaH ca mahA kavInAm tezAm samuccayam anarGam aham viDAsye
   // VidSrk_0.1 *(1) //	// Vit Srj _0.1 *(1) //
   sugatavrajyā	sugata vrajyA
   ābāhūdgatamaṇḍalāgrarucayaḥ saṃnaddhavakṣaḥsthalāḥ soṣmāṇo vraṇino	AbAhu udgata maNxala agra rucayaH saMnadDa vakzaH sTalAH sa UzmANaH vraNinaH 
   vipakṣahṛdayapronmāthinaḥ karkaśāḥ /	vipakza hRdaya pronmATinaH karkaSAH /
   utsṛṣṭāmbaradṛṣṭavigrahabharā yasya smarāgresarā mārā māravadhūstanāś ca	utsRzwa ambara dRzwa vigraha BarAH yasya smara agresarAH mArAH mAra vaDU stanAH ca
   na dadhuḥ kṣobhaṃ sa vo 'vyāj jinaḥ // VidSrk_1.1 *(2) //.	na daDuH kzoBam sa vaH avyAt jinaH // Vit Srj _1.1 *(2) //.
   aśvaghoṣasya	aSva Gozasya
   namrāḥ pādanakheṣu yasya daśasu brahmeśakṛṣṇās trayas te devāḥ	namrAH pAda naKezu yasya daSasu brahma ISa kRzNAH trayaH te devAH
   pratibimbanāt tridaśatāṃ suvyaktam āpedire /	pratibimbanAt tridaSatAm su vyaktam Apedire /
   sa trailokyaguruḥ sudustarabhavākūpārapāraṃgato	sa trElokya guruH su dustara Bava akUpAra pAraMgataH 
   māravyūhajayapragalbhasubhaṭaḥ śāstā tava stān mude // VidSrk_1.2 *(3) //.	mAra vyUha jaya pragalBa su BawaH SAstA tava stAn mude // Vit Srj _1.2 *(3) //.
   vasukalpasya	vasu kalpasya
   kāmakrodhau dvayam api padaṃ pratyanīkaṃ vaśitve hatvānaṅgaṃ kim iva hi	kAma kroDO dvayam api padam pratyanIkam vaSi tve hatvA anaFgam kim iva hi
   ruṣā sādhitaṃ tryambakeṇa /	ruzA sADitam tryambakeNa /
   yas tu kṣāntyā śamayati śataṃ manmathādyān arātīn kalyāṇaṃ vo diśatu sa	yaH tu kzAntyA Samayati Satam manmaTa AdyAn arAtIn kalyANam vaH diSatu sa
   munigrāmaṇīr arkabandhuḥ // VidSrk_1.3 *(4) //.	muni grAmaNIH arka banDuH // Vit Srj _1.3 *(4) //.
   saṃghaśriyaḥ	saMGa SriyaH
   śreyāṃsi vaḥ sa sugataḥ kurutād apāra  saṃsārasāgarasamuttaraṇaikasetuḥ /	SreyAMsi vaH sa sugataH kurutAt apAra saMsAra sAgara samuttaraNa eka setuH /
   durvāramāraparivārabalāvalepa  kalpāntasaṃtatapayaḥprasarair ahāryaḥ //	durvAra mAra parivAra bala avalepa kalpa anta saMtata payaH prasarEH ahAryaH //
   VidSrk_1.4 *(5) //	Vit Srj _1.4 *(5) //
   aparājitarakṣitasya	aparAjita rakzitasya
   śāstā samastabhuvanaṃ bhagavān apāyāt pāyād apāstatimiro mihiropameyaḥ /	SAstA samasta Buvanam BagavAn apAyAt pAyAt apAsta timiraH mihira upameyaH /
   saṃsārabhittibhiduro bhavakandakandu  kandarpadarpadalanavyasanī munīndraḥ	saMsAra Bitti BiduraH Bava kanda kandu kandarpa darpa dalana vyasanI muni indraH
   // VidSrk_1.5 *(6) //	// Vit Srj _1.5 *(6) //
   vasukalpasya	vasu kalpasya
   kāruṇyāmṛtakandalīsumanasaḥ prajñānvadhūmauktika  grīvālaṃkaraṇaśriyaḥ	kAruNya amRtakandalI sumanasaH prajQA an vaDU mOktika grIvA alaMkaraNa SriyaH
   śamasaritpūrotsalacchīkarāḥ /	Sama sarit pUra utsalat SIkarAH /
   te maulau bhavatāṃ milantu jagatīrājyābhiṣekocita  sragbhedā	te mOlO BavatAm milantu jagatI rAjya aBizeka ucita sraj BedA
   abhayapradānacaraṇapreṅkhannakhāgrāṃśavaḥ // VidSrk_1.6 *(7) //	aBaya pradAna caraNa preFKat naKa agra aMSavaH // Vit Srj _1.6 *(7) //
   śīlāmbhaḥpariṣekaśītaladṛḍhadhyānālavālasphurad  dānaskandhamahonnatiḥ	SIla amBaH parizeka SItala dRXa DyAna AlavAla sPurad dAna skanDa mahA unnatiH
   pṛthutaraprajñollasatpallavaḥ /	pRTutara prajQA ullasat pallavaH /
   deyāt tubhyam avāryavīryaviṭapaḥ kṣāntiprasūnodayaḥ succhāyaḥ	deyAt tuByam avArya vIrya viwapaH kzAnti prasUna udayaH sucCAyaH
   ṣaḍabhijñakalpaviṭapī sambodhibījaṃ phalam // VidSrk_1.7 *(8) //.	zaz aBijQa kalpa viwapI samboDi bIjam Palam // Vit Srj _1.7 *(8) //.
   etau śrīdharanandinaḥ	etO SrIDara nandinaH
   ekasyāpi manobhuvas tadabalāpāṅgair jagannirjaye kāmaṃ	ekasya api manoBuvaH tad abala apAFgEH jagat nirjaye kAmam
   nihnutasarvavismayarasavyaktiprakārā vayam /	nihnuta sarva vismaya rasa vyakti prakArAH vayam /
   yas tv enaṃ sabalaṃ ca jetum abhitas tatkampamātraṃ bhruvor nārebhe	yaH tu enam sa balam ca jetum aBitas tad kampa mAtram BruvoH nAreBe
   sugatas tu tadguṇakathā stambhāya naḥ kevalam // VidSrk_1.8 *(9) //.	sugataH tu tad guNa kaTA stamBAya naH kevalam // Vit Srj _1.8 *(9) //.
   kumudākaramateḥ	kumuda Akara mateH
   pratyekānantajātiprativapur amitāvṛttijambhārjitaino 	pratyeka ananta jAti prativapuH amita avRtti jamBa arjita eno 
   bhoktṛvrātojjihīrṣāphalanilayamahāpauruṣasyāpi śāstuḥ /	BoktR vrAta ujjihIrzA Pala nilaya mahA pOruzasya api SAstuH /
   ke 'py utkarṣaṃ stuvanti smaram api jayatas tad vadāmaḥ kim asmin yo	ke api utkarzam stuvanti smaram api jayataH tat vadAmaH kim asmin yaH 
   bhasmāsītkaṭākṣajvalanakaṇikayā drāg umākāmukasya // VidSrk_1.9 *(10) //.	Basma AsIt kawAkza jvalana kaNikayA drAk umA kAmukasya // Vit Srj _1.9 *(10) //.
   vallaṇasya	vallaNasya
   pāyād vaḥ samayaḥ sa mārajayino vandhyāyitāstrotkaraḥ krodhād yatra	pAyAt vaH samayaH sa mAra jayinaH vanDyAyita astra utkaraH kroDAt yatra
   taduttamāṅgakavalonmīlanmahāvikramaḥ /	tad uttamAFga kavala unmIlan mahA vikramaH /
   āsīd adbhutamauliratnamilitāṃ vyāttānanacchāyikām ālokyātmana eva	AsIt adButa mOli ratna militAm vyAtta Anana= CAyikAm Alokya AtmanaH eva
   mārasubhaṭaḥ paryastadhairyodayaḥ // VidSrk_1.10 *(11) //.	mArasu BawaH paryasta DErya udayaH // Vit Srj _1.10 *(11) //.
   /var{@subhaṭaḥ/lem	/var{@ su BawaH/lem
   /emend/ /Ingalls, @sumaṭaḥ /edKG}	/ema ind/ /Ingalls, @sumawaH /edKG}
   śrīpārśvavarmaṇaḥ	SrI pArSvavarmaNaH
   khelācañcalasaṃcarannijapadapreṅkholalīlāmilat 	KelA caQcala saMcarat nija pada preFKola lIlA amilat 
   sadyaḥsāndraparāgarāgaracitāpūrvaprasūnaśriyaḥ /	sadyas sAndra parAga rAga ra citA pUrva prasUna SriyaH /
   āśliṣyanmadhulampaṭālinivahasyoccair mithaś cumbanair vyākoṣaḥ	ASlizyat maDu lampawAli nivahasya uccEs miTas cumbanEH vyAkozaH
   kusumāñjalir diśatu vaḥ śreyo jināyārpitaḥ // VidSrk_1.11 *(12) //.	kusumAQjaliH diSatu vaH SreyaH jinAya arpitaH // Vit Srj _1.11 *(12) //.
   jitārinandinaḥ	jita ari nandinaH
   daronmuktāraktasphuradadharavīthīkramavaman 	dara unmuktA rakta sPurat aDara vITIkrama vaman 
   mayūkhāntarmūrcchaddyutidaśanam uddeśavaśinaḥ /	mayUKa antar mUrcCat dyuti daSanam uddeSa vaSinaH /
   sukhaṃ tad vaḥ śāstur diśatu śivam ajñānarajanī 	suKam tat vaH SAstuH diSatu Sivam ajQAna rajanI 
   vyavacchedodgacchanmahimaghanasaṃdhyātapa iva // VidSrk_1.12 *(13) //	vyavacCeda udgacCat mahima Gana saMDyA AtapaH iva // Vit Srj _1.12 *(13) //
   /var{@dhara@/lem	/var{@Dara @/lem
   /emend/ /Ingalls, @ghara@ /edKG}	/ema ind/ /Ingalls, @Gara@ /edKG}
   trilocanasya	trilocanasya
