   Samyaksambuddhabhāṣitaṃ pratimālakṣaṇam	SamyaksambudDa-BAzitam pratimA-lakzaNam
   namo buddhāya /	namaH budDAya /
   (p. 126)	(p. 126)
   evaṃ mayā śrutamekasmin samaye buddho bhagavān jetavane viharati sma /	evam mayA Srutam-ekasmin samaye budDaH BagavAn jetavane viharati sma /
   tuṣitavarabhavanāt māturdharmadeśanāgamanakālasamaye śāriputro	tuzita-vara-BavanAt mAtuH-Darma-deSana-Agamana-kAla-samaye SAriputraH-
   bhagavantametadavocat / bhagavan bhagavatā gate parinirvṛte vā śrāddhaiḥ	Bagavantam-etat-avocat / Bagavan BagavatA gate parinirvRte vA SrAdDEH
   kulaputraiḥkuladuhitṛbhiśca kathaṃ pratipattavyam / bhagavānāha -	kula-putrEHkula-duhitRBiH-ca kaTam pratipattavyam / BagavAn-Aha -
   śāriputra! mayi gate parinirvṛte vā nyagrodhaparimaṇḍalaṃ kāyaṃ kartavyam	SAriputra! mayi gate parinirvRte vA nyagroDa-parimaNxalam kAyam kartavyam
   / yāvatkāyaṃ tāvadvyāmaṃ yāvadvyāmaṃ tāvatkāyaṃ pūjāsatkārārthaṃ pratimā	/ yAvat-kAyam tAvat-vyAmam yAvat-vyAmam tAvat-kAyam pUjA-satkAra-arTam pratimA
   kartavyā / sarvāṅgopāṅgāvayavasthaulyalāvaṇyalālityasalīlatvaṃ chatrākāraṃ	kartavyA / sarva-aFga-upAFga-avayava-sTOlya-lAvaNya-lAlitya-sa-lIla-tvam Catra-AkAram
   śiraḥskandhāṃ(dhasu)saṃsthitoṣṇīṣatvādisusaṃsthānāt /	SiraH-skanDa-aM(Dasu)-saMsTita-uzNIza-tva-Adi-su-saMsTAnAt /
   tatrāyāmavistāroccheda(tsedha)sandhibandhanirgamaiḥ pramāṇaṃ	tatra-AyAma-vistAra-ucCeda(tseDa)-sanDi-banDa-nirgamEH pramANam
   bodhisattvānāṃ sugatānāñca pravakṣyāmi tacchṛṇu / tatra tāvat pramāṇaṃ	boDisattvAnAm sugata-anAQca pravakzyAmi tat-SRNu / tatra tAvat pramANam
   bodhisattvānāṃ svenāṅgulīpramāṇenaśataṃ viṃśatyuttaram, buddhānāṃ	boDisattvAnAm svena-aFgulI-pramANena-Satam viMSati-uttaram, budDAnAm
   pañcaviṃśatyuttaram /	paQcaviMSati-uttaram /
   caturaṅgulamuṣṇīṣaṃ keśasthānaṃ tathaiva ca /	catur-aFgulam-uzNIzam keSa-sTAnam taTA-eva ca /
   sārddhatrayodasī(śī) mātrā mukhabhāgañca tattrayam // 1 //	sArdDa-trayA-udasI(-SI) mAtrA muKa-BAgaQca tat-trayam // 1 //
   lalāṭaṃ nāsikāñcādhaścibukāntaṃ tṛtīyakam /	lalAwam nAsikAQcA-aDas-cibuka-antam tRtIyakam /
   caturaṅgulaṃ lalāṭaṃ ca tulyaṃ nāsikayā bhavet // 2 //	catur-aFgulam lalAwam ca tulyam nAsikayA Bavet // 2 //
   sādhikaṃ cibukāntaṃ tu cibukaṃ dvayaṅgulaṃ bhavet /	sa-aDikam cibuka-antam tu cibukam dvayaFgulam Bavet /
   āyāmaṃ nirgamāccaiva caturaṅgulamiṣyate // 3 //	AyAmam nirgamAt-ca-eva catur-aFgulam-izyate // 3 //
   caturaṅgulau kapolau tu karṇamūlādviniḥśri(sṛ)tau /	catur-aFgulO kapolO tu karNa-mUlAt-viniHSri(sR)tO /
   hanuḥ syāttryaṅgulocchedo(tsedho)vistāre dvayaṅgulaśca saḥ // 4 //	hanuH syAt-tri-aFgula-ucCedo(t-seDo)vistAre dvayaFgulaH-ca saH // 4 //
   sā 'dhikaḥ paripūrṇṇaḥ syānmahāsiṃhahanuryathā /	sA aDikaH paripUrNNaH syAt-mahA-siMha-hanuH-yaTA /
   adharo dvayaṅgulāyāmo nirgamoccheda(tsedha)mātrikaḥ // 5 //	aDaraH dvayaFgula-AyAmaH nirgama-ucCeda(t-seDa)-mAtrikaH // 5 //
   (p. 127)	(p. 127)
