   Caryāsaṅgrahapradīpaḥ (Csp)	CaryA saFgraha pradIpaH (Ssp)
   namo lokeśvarāya	namaH loka ISvarAya
   madādyaśeṣamūḍhānāṃ yasya vacanaraśmibhiḥ /	mad Adi aSeza mUXAnAm yasya vacana raSmiBiH /
   phullatāmeti hṛtpadmaṃ taṃ vande puruṣottamam // Csp_1 //	Pulla tAm eti hRd padmam tam vande puruzottamam // CsB _1 //
   pāramiṃ guhyamantraṃ ca śritvā bodhiḥ prasidhyati /	pAramim guhya mantram ca SritvA boDiH prasiDyati /
   gurubuddhoktitastvevaṃ tadartho likhyate mayā // Csp_2 //	guru budDa uktitaH tu evam tad arTaH liKyate mayA // CsB _2 //
   guhyamantro 'tra no vācyaḥ pāramīnayacārikāḥ /	guhya mantraH atra naH vAcyaH pAramInaya cArikAH /
   bodhisattvasya caryāstu samāsena likhāmyaham // Csp_3 //	boDisattvasya caryAH tu samAsena liKAmi aham // CsB _3 //
   dhīmataḥ saṃvaro grāhyo bodhicittapuraḥ saraḥ /	DImataH saMvaraH grAhyaH boDi citta puras saraH /
   ālokyāśeṣasūtrāṇi śāstraṃ śravyaṃ samastakam // Csp_4 //	Alokya aSeza sUtrANi SAstram Sravyam samastakam // CsB _4 //
   kāyena manasā vācā yathoktān saṃvarān tribhiḥ /	kAyena manasA vAcA yaTA uktAn saMvarAn triBiH /
   rakṣedakṣuṇṇaśuddhāṃśca śīlāṃśca pariśodhayet // Csp_5 //	rakzet a kzuNNa SudDAn= ca SIlAn= ca pariSoDayet // CsB _5 //
   bhaktamātrāṃ vijānīyād indriyadvāramāvaret /	Bakta mAtrAm vijAnIyAt indriya dvAram Avaret /
   rātreḥ pūrve 'pare bhāge na suptvā yogamācaret // Csp_6 //	rAtreH pUrve apare BAge na suptvA yogam Acaret // CsB _6 //
   aṇumātreṣvavadyeṣu hyatimātraṃ bibheti ca /	aNu mAtrezu avadyezu hi atimAtram biBeti ca /
   rātrerbhāgatrayaṃ kṛtvā hyantye bhāge tu jāgṛyāt // Csp_7 //	rAtreH BAga trayam kRtvA hi antye BAge tu jAgRyAt // CsB _7 //
   prakṣālayenmukhādīn vākṣālanaṃ vāpi yujyate /	prakzAlayet muKa AdIn vA AkzAlanam vA api yujyate /
   sukhāsanaṃ samāśritya dharmāṇāṃ dharmatāṃ smaret // Csp_8 //	suKa Asanam samASritya DarmANAm Darma tAm smaret // CsB _8 //
   nimittaiḥ kṣobhato 'śakye tūttthāyābhāsavastuṣu /	nimittEH kzoBataH aSakye tu uttTAya ABAsa vastuzu /
   māyāvattvena samprekṣya puṇyayogāṃstadantare // Csp_9 //	mAyAvat tvena samprekzya puNya yogAn= tad antare // CsB _9 //
   pūrayeccāpi saptāṅgān vipulāṃ praṇidhiṃ caret /	pUrayet ca api sapta aFgAn vipulAm praNiDim caret /
   bhāvayed bhāvanāṃ pūrvā kāle 'tha bhojanasya ca // Csp_10 //	BAvayet BAvanAm pUrvA kAle aTa Bojanasya ca // CsB _10 //
   etanniḥ sārakāyena paraṃ sāraṃ gaveṣayan /	etat niH sArakAyena param sAram gavezayan /
   kāyaṃ naukādhiyā rakṣed na bhuṅktāṃ sthūlatākṛte // Csp_11 //	kAyam nOkADiyAH rakzet na BuFktAm sTUla tA kRte // CsB _11 //
   rasāsaktyā na bhuñjīta caturdhānnaṃ vibhajya ca /	rasa AsaktyA na BuQjIta caturDA annam viBajya ca /
   devebhyo vinivedyādiṃ dharmapālāya tatparam // Csp_12 //	deveByaH vinivedya Adim DarmapAlAya tad param // CsB _12 //
   baliṃ suvipulāṃ dadyāt śeṣaṃ svabhuktapītataḥ /	balim su vipulAm dadyAt Sezam sva Bukta pItataH /
   dadyācca sarvabhūtebhyaḥ kathātantraṃ tadantare // Csp_13 //	dadyAt ca sarva BUteByaH kaTA tantram tad antare // CsB _13 //
   kuryādadbhutavārttā ca kiñcidutthāya sañcaret /	kuryAt adButa vArttA ca kiQcid utTAya saQcaret /
   parikrāmedadhiṣṭhānaṃ japaṃ vā granthavācanam // Csp_14 //	parikrAmet aDizWAnam japam vA granTa vAcanam // CsB _14 //
   sugatapratimāṃ kuryād yāvat svedo na jāyate /	sugata pratimAm kuryAt yAvat svedaH na jAyate /
   kuryāt, pradakṣiṇāṃ tāvad akṣubdhaḥ praṇidhiṃ bahum // Csp_15 //	kuryAt, pradakziNAm tAvat akzubDaH praNiDim bahum // CsB _15 //
   dharmacaryā daśaproktāḥ maitreyeṇa, samāsataḥ /	Darma caryAH daSa proktAH mEtreyeNa, samAsatas /
   caredakṣiptacittena māyaupamyaṃ ca saṃsmaran // Csp_16 //	caret akzipta cittena mAyA Opamyam ca saMsmaran // CsB _16 //
   yadi syāt pūjayet saṅghaṃ kuryād vā bālakotsavam /	yadi syAt pUjayet saFGam kuryAt vA bAlaka utsavam /
   anāthebhyaḥ sudānaṃ tu yogine puṇyasañcayaḥ // Csp_17 //	anATeByaH sudAnam tu yogine puNya saQcayaH // CsB _17 //
   pūrṇeṣu dinakṛtyeṣu bhāge ca prathame niśaḥ /	pUrNezu dina kRtyezu BAge ca praTame niSaH /
   dharmatā niṣprapañcāpi tathā cittaṃ ca yojayet // Csp_18 //	DarmatA nizprapaQca api taTA cittam ca yojayet // CsB _18 //
   prāptāyāṃ madhyarātrau ca utthānābhāsasañjñayā /	prAptAyAm maDyarAtrO ca utTAna ABAsa saQjQayA /
   siṃhanidrā yathā tadvat śubhanidrāṃ samāśrayet // Csp_19 //	siMha nidrA yaTA tadvat SuBa nidrAm samASrayet // CsB _19 //
   prāyo dhyānadṛḍhe citte kāyavākpuṇyagauṇatā /	prAyas DyAna dRXe citte kAya vAc puNya gONa tA /
   asaṃspṛṣṭe samādhau vā lokakalpapravṛttaye // Csp_20 //	asaMspRzwe samADO vA loka kalpa pravRttaye // CsB _20 //
   kāyapuṇyaṃ yathāśakti, lokacitte 'same sati /	kAya puNyam yaTASakti, loka citte asame sati /
   dharmo nāyaṃ mamaiveti susadāśayapūrvakam // Csp_21	DarmaH na ayam mama eva iti su sadASaya pUrvakam // CsB _21
   dharmāśca laukikān pṛcched, nijamitrasamīritaḥ /	DarmAH ca lOkikAn pRcCed, nija mitra samIritaH /
   nepālaviṣaye kṛtavān, ratirmantranaye na ced // Csp_22 //	nepAla vizaye kRtavAn, ratiH mantra naye na ced // CsB _22 //
   evaṃ sthavira ! karttavyam /23, a /	evam sTavira ! karttavyam /23, a /
   caryāsaṅgrahapradīpo mahāpaṇḍitācārya   dīpaṅkara   śrījñānakṛtaḥ samāptaḥ	caryA saFgraha pradIpaH mahA paNxita AcArya  dIpaFkara  SrI jQAna kRtaH samAptaH
