   uttarabhāgaḥ	uttara BAgaH
   śrīgaṇeśāya namaḥ	SrI gaNeSAya namaH
   śrīkṛṣṇāya namaḥ	SrI kRzNAya namaH
   pāntu vo jaladaśyāmāḥ śārṅgajyāghātakarkaśāḥ /	pAntu vaH jalada SyAmAH SArFgajyA GAta karkaSAH /
   trailokyamaṇḍapastaṃbhāścatvāro haribāhavaḥ // NarP_2,1.1 //	trElokya maNxapa staMBAH catvAraH hari bAhavaH // NA rP_2,1.1 //
   surada suraśiroratnanighṛṣṭamaṇirañjitam /	surada sura SiraH ratna niGRzwa maNi raQjitam /
   haripādāṃbujadvandvamabhīṣṭaptadamastu naḥ // NarP_2,1.2 //	hari pAda aMbuja dvandvam aBIzwaptadamaH tu naH // NA rP_2,1.2 //
   māndhātovāca	mAnDAtA uvAca
   pāpendhanasya ghorasya śuṣkārdrasya dvijottama /	pApa inDanasya Gorasya Suzka Ardrasya dvijottamaH /
   kovahnirdahate tasya tadbhavānvaktumarhati // NarP_2,1.3 //	kovahniH dahate tasya tat BavAn vaktum arhati // NA rP_2,1.3 //
   nājñātaṃ triṣu lokeṣu caturmukhasamudbhava /	na ajQAtam trizu lokezu caturmuKa samudBava /
   vidyate tava viprendra trividhasya suniścitam // NarP_2,1.4 //	vidyate tava vipra indra triviDasya su niScitam // NA rP_2,1.4 //
   ajñātaṃ pātakaṃ śuṣkaṃ jñātaṃ cārdramudāhṛtam /	ajQAtam pAtakam Suzkam jQAtam ca Ardram udAhRtam /
   bhāvyaṃ vāpyathavātītaṃ vartamāna vadasva naḥ // NarP_2,1.5 //	BAvyam vA api aTavA atItam vartamAna vadasva naH // NA rP_2,1.5 //
   vahnino kena tadbhasma bhavedetanmataṃ mama /	vahninaH kena tat Basma Bavet etat matam mama /
   vasiṣṭaṃ uvāca	vasizwam uvAca
   śrūyatāṃ nṛpaśārdūla vahninā yena tadbhavet // NarP_2,1.6 //	SrUyatAm nRpa SArdUla vahninA yena tat Bavet // NA rP_2,1.6 //
   bhasma śuṣkaṃ tathārdraṃ ca pāpamasya hyeśeṣataḥ // NarP_2,1.7 //	Basma Suzkam taTA Ardram ca pApam asya hi eSezataH // NA rP_2,1.7 //
   avāpya vāsaraṃ viṣṇoryo naraḥ saṃyatendriyaḥ /	avApya vAsaram vizNoH yaH naraH saMyata indriyaH /
   upavāsaparo bhūtvā pūjayenmadhusūdanam // NarP_2,1.8 //	upavAsa paraH BUtvA pUjayet maDusUdanam // NA rP_2,1.8 //
   sa dhātrīsnānasahito rātrau jāgaraṇānvitaḥ /	sa DAtrI snAna sahitaH rAtrO jAgaraNa anvitaH /
   viśodhayati pāpāni kitavo hi yathā dhanam // NarP_2,1.9 //	viSoDayati pApAni kitavaH hi yaTA Danam // NA rP_2,1.9 //
   ekadāśīsamākhyena vahninā pātakendhanam /	ekadA ASIsam AKyena vahninA pAtaka inDanam /
   bhasmatāṃ yāti rājendra api janmaśatodbhavam // NarP_2,1.10 //	Basma tAm yAti rAja indra api janma Sata udBavam // NA rP_2,1.10 //
   nedṛśa pāvanaṃ kiñcinnārāṇāṃ bhūpa vidyate /	na IdRSa pAvanam kiQcid nArANAm BUpa vidyate /
   yādṛśaṃ padmanābhasya dinaṃ pātakahānidam // NarP_2,1.11 //	yAdRSam padmanABasya dinam pAtaka hAni dam // NA rP_2,1.11 //
   tāvatpāpāni dehe 'smiṃstiṣṭhanti manujādhipa /	tAvat pApAni dehe asmin= tizWanti manuja aDipa /
   yāvannopavasejjantuḥ padmanābhadimaṃ śubham // NarP_2,1.12 //	yAvat na upavaset jantuH padma nABa dimam SuBam // NA rP_2,1.12 //
   aśvamedhasahasrāṇi rājasūyaśatāni ca /	aSvameDa sahasrANi rAjasUya SatAni ca /
   ekādaśyupavāsasya kalāṃ nārhanti ṣoḍaśīm // NarP_2,1.13 //	ekAdaSI upavAsasya kalAm na arhanti zoxaSIm // NA rP_2,1.13 //
   ekādaśendriyaiḥ pāpaṃ yatkṛtaṃ bhavati prabho /	ekAdaSa indriyEH pApam yat kRtam Bavati praBo /
   ekādaśyupavāsena tatsarvaṃ vilayaṃ vrajet // NarP_2,1.14 //	ekAdaSI upavAsena tat sarvam vilayam vrajet // NA rP_2,1.14 //
   ekādaśīsamaṃ kiñcitpāpanāśaṃ na vidyate /	ekAdaSI samam kiQcid pApa nASam na vidyate /
   vyājenāpi kṛtā rājanna darśayati bhāskarim // NarP_2,1.15 //	vyAjena api kRtA rAjan na darSayati BAskarim // NA rP_2,1.15 //
   svargamokṣapradā hyeṣā rājyaputrapradāyinī /	svarga mokza pradA hi ezA rAjya putra pradAyinI /
   sukalatrapradā hyeṣā śarīrārogyadāyinī // NarP_2,1.16 //	su kalatra pradA hi ezA SarIra Arogya dAyinI // NA rP_2,1.16 //
   na gaṅgā na gayā bhūpa na kāśī na ca puṣkaram /	na gaFgA na gayA BUpa na kASI na ca puzkaram /
   na cāpi kairavaṃ kṣetraṃ na revā na ca devikā // NarP_2,1.17 //	na ca api kEravam kzetram na revA na ca devikAH // NA rP_2,1.17 //
   yamunā candrabhāgā ca puṇyā bhūpa harerdināt /	yamunA candraBAgA ca puNyAH BUpa hareH dinAt /
   anāyāsena rājendra prāpyate harimandiram // NarP_2,1.18 //	anAyAsena rAja indra prApyate hari mandiram // NA rP_2,1.18 //
   rātrau jāmaraṇa kṛtvā samupoṣya harerdinam /	rAtrO jAmaraNa kRtvA samupozya hareH dinam /
   sarvapāpavinirmukto viṣṇuloke vrajennaraḥ // NarP_2,1.19 //	sarva pApa vinirmuktaH vizNu loke vrajet naraH // NA rP_2,1.19 //
   daśaiva mātṛke pakṣe daśa rājendra paitṛke /	daSa eva mAtRke pakze daSa rAja indra pEtRke /
   bhāryāyā daśa pakṣe ca puruṣānuddharettathā // NarP_2,1.20 //	BAryAyAH daSa pakze ca puruza an udDaret taTA // NA rP_2,1.20 //
   ātmānamapi rājendra sa nayedvaiṣṇavaṃ puram /	AtmAnam api rAja indra sa nayet vEzNavam puram /
   cintāmaṇisamā hyeṣā athavāpi nidheḥ samā // NarP_2,1.21 //	cintAmaNi samAH hi ezA aTavA api niDeH samAH // NA rP_2,1.21 //
   saṃkalpapādapaprakhyā vedavākyopamāthavā /	saMkalpa pAdapa praKyA veda vAkya upamA aTavA /
   dvādaśīṃ ye prapannā hi narā naravarottama // NarP_2,1.22 //	dvAdaSIm ye prapannAH hi narAH nara vara uttamaH // NA rP_2,1.22 //
   te dvandvabāhavo jātā nāgārikṛtavāhanāḥ /	te dvandva bAhavaH jAtAH nAga ari kRta vAhanAH /
   sragviṇaḥ pītavastrāśca prayānti harimandiram // NarP_2,1.23 //	sragviNaH pIta vastrAH ca prayAnti hari mandiram // NA rP_2,1.23 //
   eṣa prabhāvo hi mayā dvādaśyāḥ parikīrtitaḥ /	eza praBAvaH hi mayA dvAdaSyAH parikIrtitaH /
   pāpendhanasya ghorasya pāvakākhyo mahīpate // NarP_2,1.24 //	pApa inDanasya Gorasya pAvaka AKyaH mahIpate // NA rP_2,1.24 //
   harerddinaṃ sadopoṣyaṃ narairdharmaparāyaṇaiḥ /	hareH ddinam sadA upozyam narEH Darma parAyaNEH /
   icchadbhirvipulānyogānputrapautrādikāṃstathā // NarP_2,1.25 //	icCadBiH vipulAn yogAn putra pOtra AdikAn= taTA // NA rP_2,1.25 //
   haridinamiha martyo yaḥ karotyādareṇa naravara sa tu kukṣiṃ māturāpnoti	haridinam iha martyaH yaH karoti AdareNa nara vara sa tu kukzim mAtuH Apnoti
   naiva /	na eva /
   bahuvṛjinasameto 'kāmataḥ kāmato vā vrajati padamanantaṃ lokanāthasya	bahu vRjina sametaH akAmatas kAmataH vA vrajati padam anantam lokanATasya
   viṣṇoḥ // NarP_2,1.26 //	vizNoH // NA rP_2,1.26 //
   iti śrībṛhannāradīyapurāṇottarabhāge dvādaśīmāhātmyavarṇanaṃ nāma prathamo	iti SrI bRhat nAradIyapurANa uttara BAge dvAdaSImAhAtmyavarNanam nAma praTamaH 
   'dhyāyaḥ	aDyAyaH
   vasiṣṭa uvāca	vasizwaH uvAca
   imamevārthamuddiśya naimiṣāraṇyavāsinaḥ /	imam eva arTam uddiSya nEmiza araNya vAsinaH /
   papracchurmunayaḥ sūtaṃ vyāsaśiṣyaṃ mahāmatim // NarP_2,2.1 //	papracCuH munayaH sUtam vyAsa Sizyam mahAmatim // NA rP_2,2.1 //
   sa tu pṛṣṭo mahābhāga ekādaśyāḥ suvistaram /	sa tu pRzwaH mahABAgaH ekAdaSyAH su vistaram /
   māhātmyaṃ kathayāmāsa upavāsavidhiṃ tathā // NarP_2,2.2 //	mAhAtmyam kaTayAmAse upavAsa viDim taTA // NA rP_2,2.2 //
   tadvākyaṃ sūtaputrasya śrutvā dvijavarottamāḥ /	tat vAkyam sUtaputrasya SrutvA dvija vara uttamAH /
   māhātmyaṃ cakriṇaścāpi sarvapāpaugha śāntidam // NarP_2,2.3 //	mAhAtmyam cakriNaH ca api sarva pApa oGa SAnti dam // NA rP_2,2.3 //
   punaḥ papracchuramalaṃ sūtaṃ paurāṇikaṃ nṛpa /	punar papracCuH amalam sUtam pOrANikam nRpa /
   aṣṭādaśa purāṇāni bhavān jānāti mānada // NarP_2,2.4 //	azwAdaSa purANAni BavAn jAnAti mAnada // NA rP_2,2.4 //
   kānīnasya prasādenaḥ mahābhāratamapyuta /	kAnInasya prasAdenaH mahABAratam api uta /
   tannāsti yanna vetsi tvaṃ purāṇeṣu smṛtiṣvapi // NarP_2,2.5 //	tat na asti yat na vetsi tvam purANezu smRtizu api // NA rP_2,2.5 //
   carite raghunāthasya śatakoṭipravistare /	carite raGunATasya Sata kowi pravistare /
   asmākaṃ saṃśayaḥ kaściddhṛdaye saṃpravartate // NarP_2,2.6 //	asmAkam saMSayaH kaScid hRdaye saMpravartate // NA rP_2,2.6 //
   taṃ bhavānarhati cchettuṃ yāthārthyena suvistarāt /	tam BavAn arhati cCettum yATArTyena su vistarAt /
   titheḥ prāntamupoṣyaṃ syādāhosvinmūlameva ca // NarP_2,2.7 //	tiTeH prAntam upozyam syAt Ahosvid mUlam eva ca // NA rP_2,2.7 //
   daive paitrye samākhyāhi nāvedyaṃ vidyate tavala /	dEve pEtrye samAKyAhi na Avedyam vidyate tavalaH /
   sautiruvāca	sOtiH uvAca
   titheḥ prāntaṃ surāṇāṃ hi upoṣyaṃ prītivarddhanam // NarP_2,2.8 //	tiTeH prAntam surANAm hi upozyam prIti vardDanam // NA rP_2,2.8 //
   mūlaṃ titheḥ pitṝṇāṃ tu kālajñaiḥ priyamīritam /	mUlam tiTeH pitLNAm tu kAla jQEH priyam Iritam /
