   Stage director	Stage directoH-
   Chamberlain:	ChambeH-la-en:
   Badarayana, a servant of Duryodhana	Badarayana, a servant of DuryoDana
   Duryodhana: eldest son of Dhrtarastra	DuryoDana: eldest son of Dhrtarastra
   Vasudeva: Krsna, incarnation of Visnu	Vasudeva: Krsna, incarnation of Visnu
   Sudarsana: Vasudeva's discus	Sudarsana: Vasudeva-as discuH-
   Dhrtarastra: king of Hastinapura	Dhrtarastra: king of Hastinapura
   dūtavākyam|	dUta-vAkyam|
   nāndyante tataḥ praviśati sūtradhāraḥ|	nAndyante tatas praviSati sUtraDAraH|
   sūtradhāraḥ	sUtra-DAraH
   pādaḥ pāyādupendrasya sarvalokotsavaḥ sa vaḥ|	pAdaH pAyAt-upendrasya sarva-loka-utsavaH sa vaH|
   vyāviddho namuciryena tanutāmranakhena khe|| 1||	vyAvidDaH namuciH-yena tanu-tAmra-naKena Ke|| 1||
   evamāryamiśrān vijñāpayāmi| aye kiṃ nu khalu mayi vijñāpanavyagre śabda	evam-Arya-miSrAn vijQApayAmi| aye kim nu Kalu mayi vijQApana-vyagre Sabda
   iva	iva
   śrūyate| aṅga	SrUyate| aFga
   paśyāmi|	paSyAmi|
   nepathye|	nepaTye|
   bho bhoḥ pratihārādhikṛtāḥ mahārājo duryodhanaḥ samājñāpayati|	Bo BoH pratihAra-aDikRtAH mahA-rAjaH duryoDanaH samAjQApayati|
   sūtradhāraḥ	sUtra-DAraH
   bhavatu vijñātam|	Bavatu vijQAtam|
   utpanne dhārtarāṣṭrāṇāṃ virodhe pāṇḍavaiḥ saha|	utpanne DArtarAzwrANAm viroDe pANxavEH saha|
   mantraśālāṃ racayati bhṛtyo duryodhanājñayā|| 2||	mantra-SAlAm racayati BRtyaH duryoDana-AjQayA|| 2||
   niṣkrāntaḥ| sthāpanā| tataḥ praviśati kāñcukīyaḥ| kāñcukīyaḥ	nizkrAntaH| sTApanA| tatas praviSati kAQcukIyaH| kAQcukIyaH
   bho bhoḥ pratihārādhikṛtāḥ mahārājo duryodhanaḥ samājñāpayati| adya	Bo BoH pratihAra-aDikRtAH mahA-rAjaH duryoDanaH samAjQApayati| adya
   sarvapārthivaiḥ saha	sarva-pArTivEH saha
   mantrayitumicchāmi| tadāhūyantāṃ sarve rājāna iti|parikramyāvalokya|aye	mantrayitum-icCAmi| tadA-AhUyantAm sarve rAjAnaH iti|-parikramya-avalokya-|aye
   ayaṃ	ayam
   mahārājo	mahA-rAjaH-
   duryodhana ita evābhivartate| ya eṣaḥ	duryoDanaH itas eva-aBivartate| yaH ezaH
   śyāmo yuvā sitadukūlakṛtottarīyaḥ sacchattracāmaravaro racitāṅgarāgaḥ|	SyAmaH yuvA sita-dukUla-kRta-uttarIyaH sat-Cattra-cAmara-varaH racita-aFgarAgaH|
   śrīmānvibhūṣaṇamaṇidyutirañjitāṅgo nakṣatramadhya iva parvagataḥ	SrImAn-viBUzaNa-maNi-dyuti-raQjita-aFgaH nakzatra-maDye iva parva-gataH
   śaśāṅkaḥ|| 3||	SaSAFkaH|| 3||
   tataḥ praviśati yathānirdiṣṭo duryodhanaḥ| duryodhanaḥ uddhūtaroṣamiva me	tatas praviSati yaTA-nirdizwaH duryoDanaH| duryoDanaH udDUta-rozam-iva me
   hṛdayaṃ saharṣaṃ prāptaṃ	hRdayam sa-harzam prAptam
   raṇotsavamimaṃ sahasā vicintya| icchāmi pāṇḍavabale varavāraṇānā-	raNa-utsavam-imam sahasA vicintya| icCAmi pANxava-bale vara-vAraNAnA-
   mutkṛttadantamusalāni	mutkRtta-danta-musalAni
   mukhāni kartum|| 4|| kāñcukīyaḥ	muKAni kartum|| 4|| kAQcukIyaH
   jayatu mahārājaḥ| mahārājaśāsanātsamānītaṃ sarvarājamaṇḍalam|	jayatu mahA-rAjaH| mahA-rAja-SAsanAt-samAnItam sarva-rAja-maNxalam|
   duryodhanaḥ	duryoDanaH
   samyakkṛtam| praviśa tvamavarodhanam|	samyak-kRtam| praviSa tvam-avaroDanam|
   kāñcukīyaḥ	kAQcukIyaH
   yadājñāpayati mahārājaḥ|	yat-AjQApayati mahA-rAjaH|
   niṣkrāntaḥ| duryodhanaḥ	nizkrAntaH| duryoDanaH
   āryau vaikarṇavarṣadevau ucyatām| asti mamaikādaśākṣauhiṇībalasamudayaḥ|	AryO vEkarNa-varza-devO ucya-tAm| asti mama-ekAdaSa-akzOhiNI-bala-samudayaH|
   asya	asya
   kaḥ	kaH
   senāpatirbhavitumarhatīti| kimāhaturbhavantau| mahānkhalvayamarthaḥ|	senApatiH-Bavitum-arhati-iti| kim-AhatuH-BavantO| mahAn-Kalu-ayam-arTaH|
   mantrayitvā vaktavyamiti|	mantrayitvA vaktavyam-iti|
   sadṛśametat| tadāgamyatāṃ mantraśālāmeva praviśāmaḥ|	sadRSam-etat| tad-AgamyatAm mantra-SAlAm-eva praviSAmaH|
   ācārya abhivādaye| praviśatu bhavānmantraśālām| pitāmaha abhivādaye|	AcArya aBivAdaye| praviSatu BavAn-mantra-SAlAm| pitAmaha aBivAdaye|
   praviśatu	praviSatu
   bhavānmantraśālām| mātula abhivādaye| praviśatu bhavānmantraśālām| āryau	BavAn-mantra-SAlAm| mAtula aBivAdaye| praviSatu BavAn-mantra-SAlAm| AryO
   vaikarṇavarṣadevau praviśatāṃ bhavantau| bho bhoḥ sarvakṣatriyāḥ svairaṃ	vEkarNa-varza-devO praviSatAm BavantO| Bo BoH sarva-kzatriyAH svEram
   praviśantu bhavantaḥ|	praviSantu BavantaH|
   vayasya karṇa praviśāvastāvat|	vayasya karNa praviSAvasta-avat|
