   (Vaidya 258)	(VEdyaH 258)
   Avalokiteśvaraguṇa-Kāraṇḍavyūhaḥ /	Avalokita-ISvara-guNa--KAraNxa-vyUhaH /
   oṃ namo ratnatrayāya //	om namaH ratnatrayAya //
   śrīāryāvalokiteśvarāya bodhisattvāya mahāsattvāya mahākāruṇikāya //	SrIArya-avalokita-ISvarAya boDisattvAya mahAsattvAya mahA-kAruNikAya //
   START Kvyu 1,1:	START Kvyu 1,1:
   1. Jetavanavihāravarṇanaṃ prathamaṃ prakaraṇam /	1. Jetavana-vihAra-varNanam praTamam prakaraNam /
   evaṃ mayā śrutam / ekasmin samaye bhagavān śrāvastyāṃ viharati sma	evam mayA Srutam / ekasmin samaye BagavAn SrAvastyAm viharati sma
   jetavane 'nāthapiṇḍadasyārāme mahatā bhikṣusaṃghena	jetavane anATapiNxadasya-ArAme mahatA Bikzu-saMGena
   sārdhamardhatrayodaśabhirbhikṣuśataiḥ saṃbahulaiśca	sArDam-arDa-trayodaSaBiH-Bikzu-SatEH saMbahulEH-ca
   bodhisattvaśatasahasraiḥ / tadyathā - vajrapāṇinā ca bodhisattvena	boDisattva-Sata-sahasrEH / tat-yaTA  vajrapANinA ca boDisattvena
   mahāsattvena / jñānardaśanena ca bodhisattvena mahāsattvena / vajrasenena	mahAsattvena / jQAnardaSanena ca boDisattvena mahAsattvena / vajrasenena
   ca bodhisattvena mahāsattvena / guhaguptena ca bodhisattvena mahāsattvena	ca boDisattvena mahAsattvena / guhaguptena ca boDisattvena mahAsattvena
   / ākāśagarbheṇa ca bodhisattvena mahāsattvena / sūryagarbheṇa ca	/ AkASa-garBeNa ca boDisattvena mahAsattvena / sUrya-garBeNa ca
   bodhisattvena mahāsattvena / anikṣiptaghureṇa ca bodhisattvena	boDisattvena mahAsattvena / anikzipta-GureNa ca boDisattvena
   mahāsattvena / ratnapāṇinā ca bodhisattvena mahāsattvena / samantabhadreṇa	mahAsattvena / ratna-pANinA ca boDisattvena mahAsattvena / samantaBadreNa
   ca bodhisattvena mahāsattvena / mahāsthāmaprāptena ca bodhisattvena	ca boDisattvena mahAsattvena / mahA-sTAma-prAptena ca boDisattvena
   mahāsattvena / sarvanīvaraṇaviṣkambhinā ca bodhisattvena mahāsattvena /	mahAsattvena / sarva-nIvaraNa-vizkamBinA ca boDisattvena mahAsattvena /
   sarvaśūreṇa ca bodhisattvena mahāsattvena / bhaiṣajyasenena ca	sarva-SUreNa ca boDisattvena mahAsattvena / BEzajyasenena ca
   bodhisattvena mahāsattvena / avalokiteśvareṇa ca bodhisattvena	boDisattvena mahAsattvena / avalokita-ISvareNa ca boDisattvena
   mahāsattvena / vajramatinā ca bodhisattvena mahāsattvena / sāgaramatinā ca	mahAsattvena / vajramatinA ca boDisattvena mahAsattvena / sAgara-matinA ca
   bodhisattvena mahāsattvena / dharmadhareṇa ca bodhisattvena mahāsattvena /	boDisattvena mahAsattvena / Darma-DareNa ca boDisattvena mahAsattvena /
   pṛthivīvaralocanena ca bodhisattvena mahāsattvena / āśvāsahastena ca	pRTivI-vara-locanena ca boDisattvena mahAsattvena / ASvAsa-hastena ca
   bodhisattvena mahāsattvena / maitreyeṇa ca bodhisattvena mahāsattvena /	boDisattvena mahAsattvena / mEtreyeNa ca boDisattvena mahAsattvena /
   evaṃpramukhairaśītikoṭyo bodhisattvāḥ saṃniṣaṇṇāḥ / anye ca	evaMpramuKEH-aSIti-kowyaH boDisattvAH saMnizaNNAH / anye ca
   dvātriṃśaddevanikāyā devaputrāḥ saṃnipatitā	dvAtriMSat-devanikAyAH deva-putrAH saMnipatitA
   maheśvaranārāyaṇadevaputrapūrvaṃgamāḥ / śakro devānāmindro brahmā ca	maheSvara-nArAyaNa-deva-putra-pUrvaMgamAH / SakraH devAnAm-indraH brahmA ca
   sahāṃpatiścandrādityavāyuvaruṇādayo devaputrāḥ saṃnipatitāstasmin parṣadi	sahAMpatiH-candra-Aditya-vAyu-varuNa-AdayaH deva-putrAH saMnipatitAH-tasmin parzadi
   / anekāni ca nāgarājaśatasahasrāṇi saṃnipatitāni / tadyathāùupalālaśca	/ anekAni ca nAga-rAja-Sata-sahasrANi saMnipatitAni / tat-yaTAùupalAlaH-ca
