   (Dhs, Vaidya 329)	(Dhs, VEdyaH 329)
   Dharmasaṃgrahaḥ / (Dhs)	Dharma saMgrahaH / (Dhs)
   // namo ratnatrayāya //	// namaH ratnatrayAya //
   ratnatrayaṃ namaskṛtya sarvasattvahitodayam /	ratna trayam namaskRtya sarva sattva hita udayam /
   kathyate mohanāśāya dharmasārasamuccayaḥ //	kaTyate moha nASAya DarmasAra samuccayaH //
   1. tatra prathamaṃ tāvat trīṇi ratnāni / tathadyā   buddho dharmaḥ	1. tatra praTamam tAvat trINi ratnAni / taTadyAH  budDaH DarmaH
   saṃghaśceti //	saMGaH ca iti //
   2. trīṇi yānāni /[tadyathā  ] śrāvakayānam, pratyekabuddhayānam, mahāyānaṃ	2. trINi yAnAni /[tat yaTA  ] SrAvaka yAnam, pratyekabudDa yAnam, mahAyAnam
   ceti //	ca iti //
   3. pañca buddhāḥ / tadyathā   vairocanaḥ, akṣobhyaḥ, ratnasaṃbhavaḥ,	3. paQca budDAH / tat yaTA  vErocanaH, akzoByaH, ratna saMBavaH,
   amitābhaḥ, amoghasiddhiśceti //	amita ABaH, amoGa sidDiH ca iti //
   4. catasro devyaḥ / tadyathā   rocanī, māmakī, pāṇḍurā, tārā ceti //	4. catasraH devyaH / tat yaTA  rocanI, mAmakI, pANxurA, tArA ca iti //
   5. pañca rakṣā / tadyathā   pratisarā, sāhasrapramardanī, mārīcī,	5. paQca rakzA / tat yaTA  pratisarA, sAhasra pramardanI, mArIcI,
   mantrānusāriṇī, śīlavatī ceti //	mantra anusAriNI, SIlavatI ca iti //
   6. sapta tathāgatāḥ / tadyathā   vipaśyī, śikhī, viśvabhūḥ, krakucchandaḥ,	6. sapta taTAgatAH / tat yaTA  vipaSyI, SiKI, viSvaBUH, krakucCandaH,
   kanakamuniḥ, kāśyapaḥ, śākyamuniśceti //	kanaka muniH, kASyapaH, SAkya muniH ca iti //
   7. catvāro lokapālāḥ / tadyathā   dhṛtarāṣṭraḥ, virūpākṣaḥ, virūḍhakaḥ,	7. catvAraH lokapAlAH / tat yaTA  DRtarAzwraH, virUpAkzaH, virUXakaH,
   kuberaśceti //	kuberaH ca iti //
   8. aṣṭau lokapālāḥ / tadyathā   indraḥ, yamaḥ, varaṇaḥ, kuberaḥ, īśānaḥ,	8. azwO lokapAlAH / tat yaTA  indraH, yamaH, varaNaH, kuberaH, ISAnaH,
   agniḥ, nairṛtaḥ, vāyuriti //	agniH, nErRtaH, vAyuH iti //
   9. daśa lokapālāḥ / aṣṭalokapālādhikamūrdhvaṃ brahmā adhaḥ kṛṣṇaḥ //	9. daSa lokapAlAH / azwa lokapAla aDikam UrDvam brahmA aDas kRzNaH //
   10. caturdaśa lokapālāḥ / tadyathā   daśalokapālasakalam, candraḥ, sūryaḥ,	10. caturdaSa lokapAlAH / tat yaTA  daSa lokapAla sakalam, candraH, sUryaH,
   pṛthvī, asuraḥ //	pRTvI, asuraH //
   11. daśa krodhāḥ / tadyathā   yamāntakaḥ, prajñāntakaḥ, padmāntakaḥ,	11. daSa kroDAH / tat yaTA  yamAntakaH, prajQA antakaH, padmAntakaH,
   vighnāntakaḥ, acaraṭarkirājaḥ, nīladaṇḍaḥ, mahābalaḥ, uṣṇīṣaḥ, cakravartī,	viGnAntakaH, acarawarki rAjaH, nIladaNxaH, mahA balaH, uzNIzaH, cakravartI,
   sambharājaśceti //	samBarA jaH ca iti //
   12. aṣṭau bodhisattvāḥ / tadyathā   maitreyaḥ, gaganagañjaḥ,	12. azwO boDisattvAH / tat yaTA  mEtreyaH, gagana gaQjaH,
   samantabhadraḥ, vajrapāṇiḥ, mañjuśrīḥ, sarvanivaraṇaviṣkambhī,	samantaBadraH, vajrapANiH, maQjuSrIH, sarva nivaraNa vizkamBI,
   kṣitigarbhaḥ, khagarbhaśceti //	kzitigarBaH, KagarBaH ca iti //
   13. ṣaḍyoginyaḥ / tadyathā   vajravārāhī, yāminī, saṃcāraṇī, saṃtrāsanī,	13. zaz yoginyaH / tat yaTA  vajra vArAhI, yAminI, saMcAraNI, saMtrAsanI,
   cāṇḍikā ceti //	cANxikA ca iti //
   (Dhs, Vaidya 330)	(Dhs, VEdyaH 330)
   14. saptavidhā anuttarapūjā / tadyathā   vandanā, pūjanā, pāpadeśanā,	14. saptaviDA anuttara pUjA / tat yaTA  vandanA, pUjanA, pApa deSanA,
   anumodanā, adhyeṣaṇā, bodhicittotpādaḥ, pariṇāmanā ceti //	anumodanA, aDyezaNA, boDi citta utpAdaH, pariNAmanA ca iti //
   15. trīṇi kuśalamūlāni / bodhicittotpādaḥ, āśayaviśuddhiḥ,	15. trINi kuSala mUlAni / boDi citta utpAdaH, ASaya viSudDiH,
   ahaṃkāramamakāraparityāgaśceti //	ahaMkAra mamakAra parityAgaH ca iti //
   16. catvāro brahmavihārāḥ / maitrī, karuṇā, muditā, upekṣā ceti //	16. catvAraH brahma vihArAH / mEtrI, karuNA, muditA, upekzA ca iti //
   17. ṣaṭ pāramitāḥ / dānapāramitā, śīlapāramitā, kṣāntipāramitā,	17. zaw pAramitAH / dAna pAramitA, SIla pAramitA, kzAnti pAramitA,
   vīryapāramitā, dhyānapāramitā, prajñāpāramitā ceti //	vIrya pAramitA, DyAna pAramitA, prajQApAramitA ca iti //
   18. daśa pāramitāḥ / ṣaṭpāramitāsakalam, upāyam, praṇidhiḥ, balam, jñānaṃ	18. daSa pAramitAH / zaz pAra mitA sakalam, upAyam, praNiDiH, balam, jQAnam
   ceti //	ca iti //
   19. catvāri saṃgrahavastūnī / dānam, priyavacanam, arthacaryā,	19. catvAri saMgraha vastUnI / dAnam, priya vacanam, arTa caryA,
   samānārthatā ceti //	samAna arTa tA ca iti //
   20. pañcābhijñāḥ / divyacakṣuḥ, divyaśrotram, paracittajñānam,	20. paQca aBijQAH / divya cakzuH, divya Srotram, para citta jQAnam,
   pūrvanivāsānusmṛtiḥ, ṛddhiśceti //	pUrva nivAsa anusmRtiH, RdDiH ca iti //
   21. catvāryāryasatyāni / tadyathā   duḥkham, samudayaḥ, nirodhaḥ	21. catvAri Arya satyAni / tat yaTA  duHKam, samudayaH, niroDaH
   mārgaśceti //	mArgaH ca iti //
   22. pañca skandhāḥ / rūpam, vedanā, saṃjñā, saṃskārā, vijñānaṃ ceti //	22. paQca skanDAH / rUpam, vedanA, saMjQA, saMskArA, vijQAnam ca iti //
   23. lokottarapañcaskandhāḥ /	23. loka uttara paQca skanDAH /
   śīlasamādhiprajñāvimuktivimuktijñānadarśanaskandhā iti //	SIla samADi prajQA vimukti vimukti jQAna darSana skanDAH iti //
   24. dvādaśāyatanāni / cakṣuḥśrotraghrāṇajihvākāyamanaāyatanāni	24. dvAdaSa AyatanAni / cakzuH Srotra GrANa jihvA kAya manaA AyatanAni
   rūpagandhaśabdarasasparśadharmāyatanāni ceti //	rUpa ganDa Sabda rasa sparSa Darma AyatanAni ca iti //
   25. aṣṭādaśa dhātavaḥ //	25. azwAdaSa DAtavaH //
   cakṣuḥśrotraghrāṇajihvākāyamanorūpagandhaśabdarasasparśadharmadhātavaḥ	cakzuH Srotra GrANa jihvA kAya manaH rUpa ganDa Sabda rasa sparSa Darma DAtavaH
