   mālinīvijayottaratantram	mAlinIvijaya-uttaratantram
   sṛṣṭyadhikāraḥ prathamaḥ	sRzwi-aDikAraH praTamaH
   1.1ab: jayanti jagadānandavipakṣakṣapaṇakṣamāḥ	1.1ab: jayanti jagat-Ananda-vipakza-kzapaNa-kzamAH
   1.1cd: parameśamukhodbhūtajñānacandramarīcayaḥ	1.1cd: parameSa-muKa-udBUta-jQAna-candra-marIcayaH
   1.2ab: jagadarṇavamagnānāṃ tārakaṃ tārakāntakam	1.2ab: jagat-arNava-magnAnAm tArakam tArakAntakam
   1.2cd: sanatkumārasanakasanātanasanandanāḥ	1.2cd: sanatkumAra-sanaka-sanAtanasanandanAH
   1.3ab: nāradāgastyasaṃvartavasiṣṭhādyā maharṣayaḥ	1.3ab: nArada-agastya-saMvarta-vasizWa-AdyAH mahA-RzayaH
   1.3cd: jijñāsavaḥ paraṃ tattvaṃ śivaśaktyunmukhīkṛtāḥ	1.3cd: jijQAsavaH param tattvam Siva-Sakti-unmuKIkRtAH
   1.4ab: samabhyarcya vidhānena te tam ūcuḥ praharṣitāḥ	1.4ab: samaByarcya viDAnena te tam UcuH praharzitAH
   1.4cd: bhagavadyogasaṃsiddhikāṅkṣiṇo vayam āgatāḥ	1.4cd: Bagavat-yoga-saMsidDi-kAFkziNaH vayam AgatAH
   1.5ab: sā ca yogaṃ vinā yasmān na bhavet tam ato vada	1.5ab: sA ca yogam vinA yasmAt na Bavet tam atas vada
   1.5cd: ṛṣibhir yogam icchadbhiḥ sa tair evam udāhṛtaḥ	1.5cd: RziBiH yogam icCadBiH sa tEH evam udAhRtaH
   1.6ab: pratyuvāca prahṛṣṭātmā namaskṛtya maheśvaram	1.6ab: pratyuvAca prahRzwa-AtmA namaskRtya maheSvaram
   1.6cd: śṛṇudhvaṃ saṃpravakṣyāmi sarvasiddhiphalapradam	1.6cd: SRNuDvam saMpravakzyAmi sarva-sidDi-Pala-pradam
   1.7ab: mālinīvijayaṃ tantraṃ parameśamukhodgatam	1.7ab: mAlinIvijayam tantram parameSa-muKa-udgatam
   1.7cd: bhuktimuktipradātāram umeśam amarārcitam	1.7cd: Bukti-mukti-pradAtAram umA-ISam amara-arcitam
   1.8ab: svasthānastham umā devī praṇipatyedam abravīt	1.8ab: sva-sTAna-sTam umA devI praNipatya-idam abravIt-
   1.8cd: siddhayogeśvarītantraṃ navakoṭipravistaram	1.8cd: sidDa-yogeSvarI-tantram nava-kowi-pravistaram
   1.9ab: yat tvayā kathitaṃ pūrvaṃ bhedatrayavisarpitam	1.9ab: yat tvayA kaTitam pUrvam Beda-traya-visarpitam
   1.9cd: mālinīvijaye tantre koṭitritayalakṣite	1.9cd: mAlinI-vijaye tantre kowi-tritaya-lakzite
   1.10ab: yogamārgas tvayā proktaḥ suvistīrṇo maheśvara	1.10ab: yoga-mArgaH tvayA proktaH su-vistIrNaH maheSvara
   1.10cd: bhūyas tasyopasaṃhāraḥ prokto dvādaśabhis tathā	1.10cd: BUyas tasya-upasaMhAraH proktaH dvAdaSaBiH taTA
   1.11ab: sahasraiḥ so 'pi vistīrṇo gṛhyate nālpabuddhibhiḥ	1.11ab: sahasrEH saH api vistIrNaH gRhyate na-alpa-budDiBiH
   1.11cd: atas tam upasaṃhṛtya samāsād alpadhīhitam	1.11cd: atas tam upasaMhRtya samAsAt alpaDI-hitam
   1.12ab: sarvasiddhikaraṃ brūhi prasādāt parameśvara	1.12ab: sarva-sidDi-karam brUhi prasAdAt parameSvara
   1.12cd: evam uktas tadā devyā prahasyovāca viśvarāṭ	1.12cd: evam uktaH tadA devyA prahasya-uvAca viSvarAj-
   1.13ab: śṛṇu devi pravakṣyāmi siddhayogeśvarīmatam	1.13ab: SRNu devi pravakzyAmi sidDa-yogeSvarI-matam
   1.13cd: yan na kasya cid ākhyātaṃ mālinīvijayottaram	1.13cd: yat na kasya cit AKyAtam mAlinIvijaya-uttaram
   1.14ab: mayāpy etat purā prāptam aghorāt paramātmanaḥ	1.14ab: mayA-api etat purA prAptam aGorAt paramAtmanaH
   1.14cd: upādeyaṃ ca heyaṃ ca vijñeyaṃ paramārthataḥ	1.14cd: upAdeyam ca heyam ca vijQeyam paramArTataH
   1.15ab: śivaḥ śaktiḥ savidyeśā mantrā mantreśvarāṇavaḥ	1.15ab: SivaH SaktiH sa-vidyA-ISAH mantrAH mantreSvara-aNavaH
   1.15cd: upādeyam iti proktam etat ṣaṭkaṃ phalārthinām	1.15cd: upAdeyam iti proktam etat zawkam Pala-arTinAm
   1.16ab: malaḥ karma ca māyā ca māyīyam akhilaṃ jagat	1.16ab: malaH karma ca mAyA ca mAyIyam aKilam jagat-
   1.16cd: sarvaṃ heyam iti proktaṃ vijñeyaṃ vastu niścitam	1.16cd: sarvam heyam iti proktam vijQeyam vastu niScitam
   1.17ab: etaj jñātvā parityajya sarvasiddhiphalaṃ labhet	1.17ab: etat jQAtvA parityajya sarva-sidDi-Palam laBet-
   1.17cd: tatreśaḥ sarvakṛc chāntaḥ sarvajñaḥ sarvakṛt prabhuḥ	1.17cd: tatra-ISaH sarva-kRt SAntaH sarvajQaH sarva-kRt praBuH
   1.18ab: sakalo niṣkalo 'nantaḥ śaktir apy asya tadvidhā	1.18ab: sakalaH nizkalaH anantaH SaktiH api asya tadviDA
   1.18cd: sa sisṛkṣur jagat sṛṣṭer ādāv eva nijecchayā	1.18cd: sa sisRkzuH jagat sRzweH AdO eva nija-icCayA
   1.19ab: vijñānakevalān aṣṭau bodhayām āsa pudgalān	1.19ab: vijQAna-kevalAn azwO boDayAm Asa pudgalAn
   1.19cd: aghoraḥ paramo ghoro ghorarūpas tadānanaḥ	1.19cd: aGoraH paramaH GoraH Gora-rUpaH tad-AnanaH
   1.20ab: bhīmaś ca bhīṣaṇaś caiva vamanaḥ pivanas tathā	1.20ab: BImaH ca BIzaNaH ca-eva vamanaH pivanaH taTA
   1.20cd: etān aṣṭau sthitidhvaṃsarakṣānugrahakāriṇaḥ	1.20cd: etAn azwO sTiti-DvaMsa-rakzA-anugraha-kAriNaH
   1.21ab: mantramantreśvare śuddhe saṃniyojya tataḥ punaḥ	1.21ab: mantra-mantreSvare SudDe saMniyojya tatas punar-
   1.21cd: mantrāṇām asṛjat tadvat saptakoṭīḥ samaṇḍalāḥ	1.21cd: mantrANAm asRjat tadvat sapta-kowIH sa-maNxalAH
   1.22ab: sarve 'py ete mahātmāno mantrāḥ sarvaphalapradāḥ	1.22ab: sarve api ete mahAtmAnaH mantrAH sarva-Pala-pradAH
   1.22cd: ātmā caturvidho jñeyas tatra vijñānakevalaḥ	1.22cd: AtmA caturviDaH jQeyaH tatra vijQAna-kevalaH
   1.23ab: malaikayuktas tatkarmayuktaḥ pralayakevalaḥ	1.23ab: mala-eka-yuktaH tad-karma-yuktaH pralaya-kevalaH
   1.23cd: malam ajñānam icchanti saṃsārāṅkurakāraṇam	1.23cd: malam ajQAnam icCanti saMsAra-aFkura-kAraNam
   1.24ab: dharmādharmātmakaṃ karma sukhaduḥkhādilakṣaṇam	1.24ab: Darma-aDarma-Atmakam karma suKa-duHKa-Adi-lakzaNam
   1.24cd: īśvarecchāvaśād asya bhogecchā saṃprajāyate	1.24cd: ISvara-icCA-vaSAt asya Boga-icCA saMprajAyate
   1.25ab: bhogasādhanasaṃsiddhyai bhogecchor asya mantrarāṭ	1.25ab: Boga-sADana-saMsidDyE Boga-icCoH asya mantra-rAj-
   1.25cd: jagad utpādayām āsa māyām āviśya śaktibhiḥ	1.25cd: jagat utpAdayAm Asa mAyAm AviSya SaktiBiH
