   Apohasiddhiḥ /	Apoha sidDiH /
   namaḥ śrīlokanāthāya //	namaH SrI lokanATAya //
   apohaḥ śabdārtho nirucyate /	apohaH Sabda arTaH nirucyate /
   nanu ko 'yaṃ apoho nāma? kimidaṃ anyasmādapohyate; asmādvā anyadapohyate;	nanu kaH ayam apohaH nAma? kim idam anyasmAt apohyate; asmAt vA anyat apohyate;
   asmin vānyadapohyata iti vyutpattyā vijātivyāvṛttaṃ vāhya meva vivakṣitaṃ;	asmin vA anyat apohyate iti vyutpattyA vijAti vyAvRttam vAhya mA iva vivakzitaM;
   buddhyākāro vā; yadi vā apohanaṃ apoha ityanya vyāvṛttimātraṃ iti trayaḥ	budDi AkAraH vA; yadi vA apohanam apohaH iti anya vyAvRtti mAtram iti trayaH
   pakṣāḥ / na tāvadādimau pakṣau, apohanāmnā vidhereva vivakṣitatvāt; antimo	pakzAH / na tAvat AdimO pakzO, apoha nAmnA viDeH eva vivakzita tvAt; antimaH 
   'pyasaṅgataḥ prati tivādhitatvāt; tathāhi parvvatoddeśe vanhirastīti	api asaFgataH prati tivADita tvAt; taTA hi parvvata uddeSe vanhiH asti iti
   śābdau pratītirvvidhirūpamevollikhantī lakṣyate; nānagnirnabhavatīti	SAbdO pratItirvviDi rUpam eva ulliKantI lakzyate; na anagniH naBavati iti
   nivṛttimātramāmukhayantī / yacca pratyakṣavādhitaṃ na tatra	nivRtti mAtram AmuKayantI / yat ca pratyakza vADitam na tatra
   sādhanāntarāvakāśa ityatiprasiddham /	sADana antara avakASaH iti atiprasidDam /
   atha yadyapi nivṛttimahaṃ pratyemīti na vikalpaḥ / tathāpi	aTa yadi api nivRttim aham pratyemi iti na vikalpaH / taTA api
   nivṛttapadārthollekha eva nivṛttyullekhaḥ / na	nivRtta padArTa ulleKaH eva nivRtti ulleKaH / na
   hyanantarbhāvitaviśeṣaṇapratīti vviśiṣṭapratītiḥ / tato yathā sāmānyamahaṃ	hi anantar BAvita viSezaNa prati iti vviSizwa pratItiH / tatas yaTA sAmAnyam aham
   pratyemīti vikalpābhāve 'pi sādhāraṇākāraparisphuraṇāt vikalpabuddhiḥ	pratyemi iti vikalpa aBAve api sADAraNa AkAra parisPuraNAt vikalpa budDiH
   sāmānyabuddhiḥ pareṣām; tathā nivṛttapratyayā kṣiptā	sAmAnya budDiH parezAm; taTA nivRtta pratyayA kziptA
   nivṛttibuddhirapohapratītivyavahāramātanotīti cet? nanu	nivRtti budDiH apoha pratIti vyavahAram Atanoti iti cet? nanu
   sādhāraṇākāraparisphuraṇe vidhirūpatayā yadi sāmānyabodhavyavasthā; tat	sADAraNa AkAra parisPuraNe viDi rUpa tayA yadi sAmAnya boDa vyavasTA; tat 
   kimāyātamasphu radabhāvākāre cetasi nivṛttipratītivyavasthāyāḥ / tato	kim AyAtam asPu rada BAva AkAre cetasi nivRtti pratIti vyavasTAyAH / tatas 
   nivṛttimahaṃ pratyemītyevamākārābhāve 'pi nivṛttyākārasphuraṇaṃ yadi syāt,	nivRttim aham pratyemi iti evam AkAra aBAve api nivRtti AkAra sPuraNam yadi syAt ,
   ko nāma nivṛttipratītisthitimapalapet / anyathāsati pratibhāse	kaH nAma nivRtti pratIti sTitim apalapet / anyaTA asati pratiBAse
   tatpratītivyavahṛtiriti gavākārepi cetasi turagabodha ityastu /	tad pratIti vyavahRtiH iti gavA AkArepi cetasi turaga boDaH iti astu /
   atha viśeṣaṇatayā antarbhūtā nivṛttipratītirityuktaṃ, tathāpi	aTa viSezaNa tayA antarBUtA nivRtti pratItiH iti uktan, taTA api
   yadyagavāpoḍha itīdṛśā kārovikalpastadā viśeṣaṇatayā tadanupraveśo	yadi agava apoXaH iti IdRSA kArovikalpaH tadA viSezaNa tayA tad anupraveSaH 
   bhavatu, kintu gauriti pratītiḥ / tadā ca satopi nivṛttilakṣaṇasya	Bavatu, kintu gOH iti pratItiH / tadA ca satopi nivRtti lakzaNasya
   viśeṣaṇasya tatrānutkalanāt; kathaṃ tat pratītivyavasthā / athaivaṃ matiḥ	viSezaNasya tatra anud kalanAt; kaTam tat pratIti vyavasTA / aTa evam matiH
   / yadvidhirūpaṃ sphuritaṃ tasya parāpoho 'pyastīti tatpratītirucyate /	/ yat viDi rUpam sPuritam tasya para apohaH api asti iti tad pratItiH ucyate /
   tathāpi sambandhamātramapohasya vidhireva sākṣānnirbhāsī / api	taTA api sambanDa mAtram apohasya viDiH eva sAkzAt nirBAsI / api
   caivamadhyakṣasyā pyapohaviṣayatvamanivāryam / viśeṣato	ca evam aDyakzasyA pyapoha vizaya tvam anivAryam / viSezataH 
   vikalpādekavyāvṛttollekhino 'khilānyavyāvṛttamīkṣamāṇasya /	vikalpAt eka vyAvRtta ulleKinaH aKilAni avyAvRttam IkzamANasya /
   tasmādvidhyākārāvagrahādadhyakṣavadvikalpasyāpi vidhiviṣayatvameva	tasmAt viDi AkAra avagrahAt aDyakzavat vikalpasya api viDi vizaya tvam eva
   nānyāpohaviṣayatvamiti kathamapohaḥ śabdārtho ghuṣyate // atrābhidhīyate	na anya apoha vizaya tvam iti kaTam apohaH Sabda arTaH Guzyate // atra aBiDIyate
   nāsmābhirapohaśabdena vidhireva kevalo 'bhipretaḥ /	na asmABiH apoha Sabdena viDiH eva kevalaH aBipretaH /
   nāpyanyavyāvṛttimātraṃ, kintvanyāpohaviśiṣṭo vidhiḥ śabdānāmarthaḥ /	na api anya vyAvRtti mAtraM, kintu anyA apoha viSizwaH viDiH SabdAnAm arTaH /
   tataśca na pratyekapakṣopanipātidoṣāvakāśaḥ / yattu goḥ pratītau na	tatas ca na pratyeka pakza upanipAti doza avakASaH / yat tu goH pratItO na
   tadātmāparātmeti sāmarthyādapohaḥ paścānniścīyata iti vidhivādināṃ matam;	tad AtmA apara AtmA iti sAmarTyAt apohaH paScAt niScIyate iti viDivAdinAm matam;
   anyāpohapratītau vā sāmarthyāt anyāpoḍhovadhāryyate iti pratiṣedhavādināṃ	anya apoha pratItO vA sAmarTyAt anya apoXovaDAryyate iti pratizeDa vAdinAm
   matam / tadasundaram / prāthamikasyāpi pratipattikramādarśanāt / na hi	matam / tat asundaram / prATamikasya api pratipatti krama adarSanAt / na hi
   vidhiṃ pratīpadya kaścidarthāpattitaḥ paścādapohamavagacchati; apohaṃ vā	viDim pratIpadya kaScid arTApattitaH paScAt apoham avagacCati; apoham vA
   pratipadyānyāpodam; tasmād goḥ pratipattiriti anyāpoḍhapratipattirucyate /	pratipadyAni Apodam; tasmAt goH pratipattiH iti anya apoXa pratipattiH ucyate /
   yadyapi cānyāpoḍhaśabdānullekha uktaḥ / tathāpi nāpratipattireva,	yadi api ca anya apoXa Sabda anulleKaH uktaH / taTA api na apratipattiH eva,
   viśeṣaṇabhūtasyānyāpohasya agavāpoḍha eva gośabdasya niveśitatvāt / yathā	viSezaNa BUtasya anya apohasya agavApa UXaH eva go Sabdasya niveSita tvAt / yaTA
   nīlotpale niveśitādindīvaraśabdānnīlotpala pratītau tatkāla eva	nIlotpale niveSitAt indIvara SabdAt nIlotpala pratItO tad kAle eva
   nīlimasphuraṇamanivāryyam; tathā gośabdādapyagavāpoḍhe niveśitāt	nIlim a sPuraNam anivAryyam; taTA go SabdAt api agavApoXe niveSitAt 
   gopratītau tulyakālameva viśeṣaṇatvāt ago[']pohasphuraṇamanivāryyam /	go pratItO tulya kAlam eva viSezaNa tvAt ago[ a]poha sPuraNam anivAryyam /
   yathā pratyakṣasya prasahya rūpābhāvagrahaṇamabhāvavikalpotpādana	yaTA pratyakzasya prasahya rUpa aBAva grahaNam aBAva vikalpa utpAdana
   śaktireva / tathā vidhivikalpānāmapi	SaktiH eva / taTA viDi vikalpAnAm api
   tadanurūpānuṣṭhānadānaśaktirevābhāvagrahaṇamabhidhīyate /	tad anurUpa anuzWAna dAna SaktiH eva aBAva grahaNam aBiDIyate /
   paryyudāsarūpābhāvagrahaṇantu niyata svarūpasambedanamubhayoraviśiṣṭaṃ;	paryyudAsa rUpa aBAva grahaNantu niyata svarUpa sambedanam uBayoH aviSizwaM;
   anyathā yadi śabdādarthapratipattikāle kalito na parāpohaḥ;	anyaTA yadi SabdAt arTa pratipatti kAle kalitaH na parApohaH;
   kathamanyaparihāreṇa pravṛttiḥ / tato gāṃ vadhāneti codito 'śvādīnapi	kaTam anya parihAreNa pravRttiH / tatas gAm vaDAnA iti coditaH aSva AdIn api
   vadhnīyāt /	vaDnIyAt /
   yadapyavocadvācaspatiḥ; jātimatyo vyaktavyaḥ; vikalpānāṃ śabdānāñca	yat api avocat vAcaspatiH; jAtimatyaH vyaktavyaH; vikalpAnAm SabdAnAQca
   gocaraḥ; tāsāñca tadvatīnāṃ	gocaraH; tAsAQca tad vatInAm
   rūpamatajjātīyaparāvṛttamityarthatastadavagaterna gāmbadhāneti co dito	rUpam atad jAtIya parAvRttam iti arTataH tad avagateH na gAmbaDAna iti caH ditaH 
   'śvādīn badhnāti / tadapyanenaiva nirastaṃ yato jāteradhikāyāḥ prakṣepe	aSva AdIn baDnAti / tat api anena eva nirastam yatas jAteH aDikAyAH prakzepe
   'pi vyaktīnāṃ rūpamatajjātīyavyāvṛttameva cet, tadā tenaiva rūpeṇa	api vyaktInAm rUpam atad jAtIya vyAvRttam eva cet, tadA tena eva rUpeNa
   śabdavikalpayorviṣayībhavantīnāṃ kathamatadyāvṛttiparihāraḥ?	Sabda vikalpayoH vizayI BavantInAm kaTam atadya AvRtti parihAraH?
   atha na vijātīyavyāvṛttaṃ vyaktirūpaṃ, tathāpratītaṃ, vā tadā jātiprasāda	aTa na vijAtIya vyAvRttam vyakti rUpaM, taTA apratItaM, vA tadA jAti prasAda
   eṣa iti kathamarthatopi tadavagatirityuktaprāyam /	ezaH iti kaTam arTatopi tat avagatiH iti ukta prAyam /
   atha jātivalādevānyato vyāvṛttam / bhavatu jātivalāt	aTa jAti valA t eva anyatas vyAvRttam / Bavatu jAti valAt 
   svahetuparamparāvalādvānyavyāvṛttam / ubhayathāpi vyāvṛttapratipattau	sva hetu paramparA AvalAt vA anya vyAvRttam / uBayaTA api vyAvRtta pratipattO
   vyāvṛttipratipattirastyeva / nacāgo[']poḍhe	vyAvRtti pratipattiH asti eva / nacAgo[ a]poXe
   gośabdasaṅketavidhāvanyonyāśrayadoṣaḥ / sāmānye tadvati vā saṅkete 'pi	go Sabda saFketa viDO= anyonya ASraya dozaH / sAmAnye tadvati vA saFkete api
   taddoṣāvakāśāt / na hi sāmānyaṃ nāma sāmānyamātramabhipretam turagepi	tad doza avakASAt / na hi sAmAnyam nAma sAmAnya mAtram aBipretam turagepi
   gośabdasaṅketaprasaṅgāt / kintu gotvam / tāvatā ca sa eva doṣaḥ /	go Sabda saFketa prasaFgAt / kintu go tvam / tAvatA ca saH eva dozaH /
   gavāparijñāne gotvasāmānyāparijñānāt / gotvasāmānyāparijñane	gavA parijQAne go tva sAmAnya aparijQAnAt / go tva sAmAnya aparijQane
   gośabdavācyāparijñānāt / tasmāt ekapiṇḍadarśanapūrvvako yaḥ	go Sabda vAcya aparijQAnAt / tasmAt eka piNxa darSana pUrvvakaH yaH
   sarvvavyaktisādhāraṇa iva bahiradhya sto vikalpabudhyākāraḥ, tatrāyaṃ	sarvu avyakti sADAraNaH iva bahis aDye staH vikalpa buDya AkAraH, tatra ayam
   gauriti saṅketakaraṇe netaretarāśrayadoṣaḥ / abhimate ca	gOH iti saFketakaraNe na itaretara ASraya dozaH / aBimate ca
   gośabdapravṛttāvagośabdena śeṣasyāpyabhidhāna mucitam / na cānyāpoḍhā	go Sabda pravRtta avago Sabdena Sezasya api aBiDAna mucitam / na ca anya apoXA
   nyāpohayorvvirodhoviśeṣyaviśeṣaṇakṣatirvvā; parasparavyavacchedābhāvāt,	nyApohayoH u viroDaH viSezya viSezaNa kzatiH vvA; paraspara vyavacCeda aBAvAt,
   sāmānādhikaraṇyasadbhāvāt, bhūtalaghaṭābhāvavat / svābhāvena hi virodho na	sAmAnADikaraNya sadBAva at, BU tala Gawa aBAva vat / svABAvena hi viroDaH na
   parābhāvenetyābālaprasiddhaṃ / eṣa panthāḥ śrughnamupatiṣṭhata	parABAvena iti AbAla prasidDam / eza panTAH SruGnam upatizWata
   ityatrāpyapoho gamyata eva; aprakṛta pathāntarāpekṣayā eṣa eva /	iti atra api apohaH gamyate eva; aprakRta paTA antara apekzayA ezaH eva /
   śrughnapratyanīkāniṣṭasthānāpekṣayā śrughnameva /	SruGna pratyanIka anizwa sTAna apekzayA SruGnam eva /
   araṇyamārgavadvicchedābhāvādupatiṣṭhata eva / sārthadūtādivyavacchedena	araNya mArgavat vicCeda aBAvAt upatizWate eva / sArTa dUta Adi vyavacCedena
   panthāeveti pratipadaṃ vyavacchedasya sulabhatvāt tasmādapohadharmmaṇo	panTa aeva iti pratipadam vyavacCedasya sulaBa tvAt tasmAt apoha DarmmaNaH 
   vidhirūpasya śabdādavagatiḥ; puṇḍarīkaśabdādiva śvetimaviśiṣṭasya padmasya	viDi rUpasya SabdAt avagatiH; puNxarIka SabdAt iva Svetim aviSizwasya padmasya
   / yadyevaṃ vidhireva śabdārthovaktumucitaḥ / kathamapoho gīyata iti cet?	/ yadi evam viDiH eva Sabda arTaH vaktum ucitaH / kaTam apohaH gIyate iti ced ?
   uktamatrāpohaśabdenānyāpohaviśiṣṭo vidhirucyate; tatra vidhau pratīyamāne	uktam atra apoha Sabdena anya apoha viSizwaH viDiH ucyate; tatra viDO pratIyamAne
   viśeṣaṇatayā tulyakālamanyāpohapratītiriti / na caivaṃ	viSezaNa tayA tulya kAlam anya apoha pratItiH iti / na ca evam
   pratyakṣasyāpyapohaviṣayatvavyavasthā karttumucitā; tasya	pratyakzasya api apoha vizaya tva vyavasTA karttum ucitA; tasya
   śābdapratyayasyeva vastuviṣayatve vivādābhāvāt / vidhiśabdena ca	SAbda pratyayasya iva vastu vizaya tve vivAda aBAvAt / viDi Sabdena ca
   yathādhyavasāyamatadrūpa parāvṛtto bāhyorthobhimataḥ / yathāpratibhāsaṃ	yaTA aDyavasA ayam atad rUpa parAvRttaH bAhyorToBimataH / yaTA pratiBAsam
   buḍdhyākāraśca; tatra vāhyorthodhyavasāyādeva śabdavācyo vyavasthāpyate /	buxDi AkAraH ca; tatra vAhya UrToDi avasAyAt eva Sabda vAcyaH vyavasTApyate /
   na svalakṣaṇaparisphūrttyā pratyakṣavaddeśakālāvasthāniyatapravyakta	na sva lakzaNa parisPUrttyA pratyakza vat deSa kAla avasTA niyata pravyakta
   svalakṣaṇāsphuraṇāt / yacchāstraṃ //	sva lakzaNa asPuraNAt / yat SAstram //
   śabdenāvyāpṛtākhyasya buddhvāvapratibhāsanāt /	Sabdena avyApRta AKyasya budDvOvapratiBAsanAt /
   arthasya dṛṣṭāviveti, indriyaśabdasvabhāvopāyabhedāt ekasyaiva pratibhāsa	arTasya dRzwa aviveti, indriya Sabda svaBAva upAya BedAt ekasya eva pratiBAsa
   bheda iti cet? atrāpyuktam /	BedaH iti cet? atra api uktam /
   jāto nāmāśrayonyānyaḥ cetasāntasya vastunaḥ /	jAtaH nAma ASrayonyAnyaH cetasA antasya vastunaH /
   ekasyaiva kuto rūpaṃ bhinnākārāvabhāsi tat //	ekasya eva kutas rUpam Binna AkAra avaBAsi tat //
   na hi spaṣṭāspaṣṭe dve rūpe parasparaviruḍdhe ekasya vastunaḥ staḥ; yata	na hi spazwAspazwe dve rUpe paraspara viruxDe ekasya vastunaH staH; yata
   ekenendriyabuḍdhau pratibhāsetānyena vikalpe, tathā sati vastuna eva	ekena indriya buxDO pratiBAseta anyena vikalpe, taTA sati vastunaH eva
