   śrīHarṣadeva-viracitā |	SrIHarza-deva--viracitAH |
   || Priyadarśikā ||	|| Priya-darSikA ||
   [p. 1]	[p. 1]
   dhūma-vyākula-dṛṣṭir indu-kiraṇair āhlāditākṣī punaḥ	DUma--vyAkula--dRzwiH indu-kiraNEH AhlAdita-akzI punar-
   paśyantī varam utsukānata-mukhī bhūyo hriyā brahmaṇaḥ /	paSyantI varam utsukAnata-muKI BUyas hriyAH brahmaNaH /
   serṣyā pāda-nakhendu-darpaṇa-gate Gaṅgāṃ dadhāne hare	sa-IrzyA pAda-naKa-indu-darpaNa--gate GaFgAm daDAne hare
   sparśād-utpulakā kara-graha-vidhau Gaurī śivāyāstu vaḥ // HPri_1.1 //	sparSAt--utpulakA kara-graha--viDO GOrI SivAya-aH-tu vaH // HPri_1.1 //
   api ca |	api ca |
   Kailāsādrāv udaste paricalati gaṇeṣūllasat-kautukeṣu	KElA-sAdrO udaH-te paricalati gaNezu-ullasat--kOtukezu
   kroḍaṃ mātuḥ Kumāre viśati viṣa-muci prekṣamāṇe sa-roṣam /	kroxam mAtuH KumAre viSati viza--muci prekzamANe sa--rozam /
   [p. 2]	[p. 2]
   pādāvaṣṭambha-sīdad-vapuṣi Daśamukhe yāti pātāla-mūlaṃ	pAda-avazwamBa--sIdat--vapuzi DaSamuKe yAti pAtAla--mUlam
   kruddho 'py āśliṣṭa-mūrtir bhaya-ghanam Umayā pātu tuṣṭaḥ Śivo naḥ //	krudDaH api ASlizwa--mUrtiH Baya-Ganam UmayA pAtu tuzwaH ŚivaH naH //
   HPri_1.2 //	HPri_1.2 //
   (nāndy-ante sūtradhāraḥ parikramya) | adyāhaṃ vasantotsave sa-bahu-mānam	(nAndy-ante sUtraDAraH parikramya) | adya-aham vasanta-utsave sa-bahu-mAnam
   āhūya	AhUya
   nānā-dig-deśād āgatena rājñaḥ śrī-Harṣadevasya pāda-padmopajīvinā	nAnA-diS--da-ISAt Agatena rAjQaH SrI-Harza-devasya pAda--padma-upajIvinA
   rāja-samūhenoktaḥ yathāsmat-svāminā	rAja--samUhena-uktaH yaTA-asmat--svAminA
   śrīHarṣadevenāpūrva-vastu-racanālaṃkṛtā Priyadarśikā nāma [p. 3] nāṭikā	SrIHarza-devena-apUrva--vastu--racanA-alaMkRtA PriyadarSikA nAma [p. 3] nAwikA
   kṛtety asmābhiḥ śrotra-paraṃparayā śrutam | na tu prayogato dṛṣṭā |	kRtA-iti asmABiH Srotra-paraMparayA Srutam | na tu prayogataH dRzwAH |
   tat tasyaiva rājñaḥ sarva-jana-hṛdayāhlādino bahu-mānād asmāsu	tat tasya-eva rAjQaH sarva--jana--hRdaya-AhlAdinaH bahu-mAnAt asmAsu
   cānugraha-buddhyā	ca-anugraha-budDyA
   yathāvat prayogena tvayā nāṭayitavyeti | tad yāvan nepathya-racanāṃ kṛtvā	yaTAvat prayogena tvayA nAwayitavyA-iti | tat yAvat nepaTya--racanAm kRtvA
   yathābhilaṣitaṃ saṃpādayāmi | parito 'valokya | āvarjitāni	yaTA-aBilazitam saMpAdayAmi | paritas avalokya | AvarjitAni
   sāmājika-manāṃsīti me niścayaḥ | kutaḥ |	sAmAjika-manAMsi-iti me niScayaH | kutas |
   śrī-Harṣo nipuṇaḥ kaviḥ pariṣad apy eṣā guṇa-grāhiṇī	SrI-HarzaH nipuNaH kaviH parizad api ezA guNa-grAhiNI
   loke hāri ca Vatsarāja-caritaṃ nāṭye ca dakṣā vayam /	loke hAri ca Vatsa-rAja--caritam nAwye ca dakzAH vayam /
   vastv ekaikam apīha vāñchita-phala-prāpteḥ padaṃ kiṃ punar	vastu ekEkam api-iha vAQCita--Pala--prApteH padam kim punar-
   mad-bhāgyopacayād ayaṃ samuditaḥ sarvo guṇānāṃ gaṇaḥ // HPri_1.3 //	mad-BAgya-upacayAt ayam samuditaH sarvaH guNAnAm gaNaH // HPri_1.3 //
   (nepathyābhimukham avalokya) | aye | kathaṃ prastāvanābhyudyate mayi	(nepaTya-aBimuKam avalokya) | aye | kaTam prastAvana-aByudyate mayi
   viditāsmad-abhiprāyo 'ṅgādhipater Dṛḍhavarmaṇaḥ kañcukino bhūmikāṃ	vidita-asmad--aBiprAyaH aFga-aDipateH DRXavarmaNaH kaQcukinaH BUmikAm
   kṛtvāsmad-bhrāteta evābhivartate | tad yāvad aham apy anantara-bhūmikāṃ	kRtvA-asmad--BrAteta eva-aBivartate | tat yAvat aham api anantara--BUmikAm
   saṃpādayāmi |	saMpAdayAmi |
   (iti niṣkrāntaḥ) |	(iti nizkrAntaH) |
   (iti prastāvanā) |	(iti prastAvanA) |
   [p. 4]	[p. 4]
   prathamo 'ṅkaḥ |	praTamaH aFkaH |
   (tataḥ praviśati kañcukī |)	(tatas praviSati kaQcukI |)
   kañcukī - (sa-śoka-śramaṃ nāṭayan | niḥśvasya) | kaṣṭaṃ bhoḥ kaṣṭam |	kaQcukI  (sa-Soka-Sramam nAwayan | niHSvasya) | kazwam BoH kazwam |
