   Ārya Maitreyavyākaraṇaṃ	Ārya MEtreya-vyAkaraNam
   namaḥ āryamaitreyāya /	namaH Aryam-EtreyAya /
   śāriputro mahāprajñaḥ dharmasenāpatibibhuḥ /	SAriputraH mahA-prajQaH Darma-senApati-biBuH /
   lokānāmanukampāya śāstāraṃ paryapṛcchata // Mvyā_1 //	lokAnAm-anukampAya SAstAram paryapRcCata // MvyAH-_1 //
   sūtrāntare purā 'khyātaṃ yaṃ lokanāyakasya ca /	sUtra-antare purA aKyAtam yam loka-nAyakasya ca /
   buddhasyānāgatasya hi maitreyanāma śāsanaṃ // Mvyā_2 //	budDasya-anAgatasya hi mEtreya-nAma SAsanam // MvyAH-_2 //
   vyākhyāhi tadvalaṃ cāpi ṛddhiṃ sarvārthavardhanaṃ /	vyAKyAhi tad-valam ca-api RdDim sarva-arTa-varDanam /
   śrotumicchāma eva ca nāyakasya narottama // Mvyā_3 //	Srotum-icCAmaH eva ca nAyakasya nara-uttamaH // MvyAH-_3 //
   tacchrutvā bhagavānāha śṛṇu naravarasya tvaṃ /	tat-SrutvA BagavAn-Aha SRNu nara-varasya tvam /
   tasya maitreyabuddhasya vibhavaṃ vyākṛtaṃ mayā // Mvyā_4 //	tasya mEtreya-budDasya viBavam vyAkRtam mayA // MvyAH-_4 //
   śukṣyanti ca tadārnavāḥ samantāt bahuyojanāḥ /	Sukzyanti ca tadA-arnavAH samantAt bahu-yojanAH /
   pratipādyā bhaviṣyanti mārgāśca cakravartinaḥ // Mvyā_5 //	pratipAdyAH Bavizyanti mArgAH-ca cakravartinaH // MvyAH-_5 //
   jambudvīpaṃ samantataḥ āyatanaṃ tadāhi ca /	jambudvIpam samantataH Ayatanam tadA-hi ca /
   āvāsaṃ sarvabhūtānāṃ daśasahasrayojanam // Mvyā_6 //	AvAsam sarva-BUtAnAm daSa-sahasra-yojanam // MvyAH-_6 //
   narāstaddeśikāśca hi bhaviṣyanti śubhaṅkarāḥ /	narAH-tad-deSikAH-ca hi Bavizyanti SuBaFkarAH /
   ahiṃsakāśca nirdaṇḍyāḥ susamṛddhāśca subhagāḥ // Mvyā_7 //	ahiMsakAH-ca nirdaNxyAH su-samRdDAH-ca suBagAH // MvyAH-_7 //
   niṣkaṇṭakaśca bhūsthalaṃ samatalaṃ hi śyāmalaṃ /	nizkaNwakaH-ca BUsTalam sama-talam hi SyAmalam /
   unnamāvanamaśritaṃ mṛdutūla 'picopamaṃ // Mvyā_8 //	unnama-avanam-aSritam mRdu-tUla apica-upamam // MvyAH-_8 //
   gandhaśāli janiṣyate kṛṣṭimṛte ca madhuraṃ /	ganDa-SAli janizyate kRzwim-Rte ca maDuram /
   nānāvarṇābhilaṅkṛtā bhaviṣyanti cailadrumāḥ // Mvyā_9 //	nAnA-varNa-aBilaFkRtAH Bavizyanti cEla-drumAH // MvyAH-_9 //
   drumāśca krośavistṛtā patrapuṣpaphalānatāḥ /	drumAH-ca kroSa-vistRtA patra-puzpa-Pala-AnatAH /
   sahasrāśītimātraśca āyustadā bhaviṣyati // Mvyā_10 //	sahasra-aSIti-mAtraH-ca AyuH-tadA Bavizyati // MvyAH-_10 //
   varṇavantaḥ bhaviṣyanti balavanto mahākāyāḥ /	varNavantaH Bavizyanti balavantaH mahA-kAyAH /
   sattvāḥ dakṣāśca niṣkleśā nirdoṣā dirghajīvinaḥ // Mvyā_11 //	sattvAH dakzAH-ca nizkleSAH nirdozAH dirGa-jIvinaH // MvyAH-_11 //
   rogatrayaṃ bhaviṣyati kāmojarā 'gnimāndyañca /	roga-trayam Bavizyati kAmojarAH agnimAndyaQca /
   pañcaśatatame varṣe pariṇītā ca dārikā // Mvyā_12 //	paQcaSatatame varze pariNItA ca dArikA // MvyAH-_12 //
   tadā ketumatī nāma purī tatra bhaviṣyati /	tadA ketumatI nAma purI tatra Bavizyati /
   sattvānāñca nivāsanaṃ prāṇināṃ hitakāriṇāṃ // Mvyā_13 //	sattva-anAQca nivAsanam prANinAm hita-kAriNAm // MvyAH-_13 //
   dīrghā dvādaśayaujana sapta vistāraśo hyasau /	dIrGA dvAdaSa-yOjana sapta vistAraSas hi-asO /
   nagaraṃ puṇyavacca tat viśuddhañca manoramaṃ // Mvyā_14 //	nagaram puNya-vat-ca tat viSudDaQca manoramam // MvyAH-_14 //
   saptaratnamayāḥ prāṃśuprākārāḥ krośavistṛtāḥ /	sapta-ratna-mayAH prAMSu-prAkArAH kroSa-vistRtAH /
   nānāratnavibhūṣitagopuratoraṇānyapi // Mvyā_15 //	nAnA-ratna-viBUzita-gopura-toraNAni-api // MvyAH-_15 //
   iṣṭakairnimitāśca te ratnamayairbhaviṣyanti /	izwakEH-nimitAH-ca te ratna-mayEH-Bavizyanti /
   padmotpalasamācchanāḥ parikhā haṃsaśobhitā // Mvyā_16 //	padma-utpala-samAt-CanAH pariKA haMsa-SoBitAH // MvyAH-_16 //
   mālairhi pariveṣṭitaṃ saptatālaismamantataḥ /	mAlEH-hi parivezwitam sapta-tAlA-esmam-antatas /
   catūratnamayāstālāḥ kiṅkinījālaśobhitāḥ // Mvyā_17 //	catU-ratna-mayAH-tAlAH kiFkinI-jAla-SoBitAH // MvyAH-_17 //
   tattālebhyonilājjātaḥ śabdaścaiva manoramaḥ /	tad-tAleByaH-nilAt-jAtaH SabdaH-ca-eva manoramaH /
   sumadhuro yathā tūryaṃ tacca pañcāṅgasaṃyutaṃ // Mvyā_18 //	su-maDuraH yaTA tUryam tat-ca paQcAFga-saMyutam // MvyAH-_18 //
   nagare 'smin narāśca ye viśrāmasukhakāminaḥ /	nagare asmin narAH-ca ye viSrAma-suKa-kAminaH /
   prahṛṣṭābhirabhiṣyante tālaśabdaiśca te tadā // Mvyā_19 //	prahRzwABiH-aBizyante tAla-SabdEH-ca te tadA // MvyAH-_19 //
   nagaramapi tatkṛtamutpalakumudākīrṇaṃ /	nagaram-api tat-kRtam-utpala-kumuda-AkIrNam /
   taḍāgopavanodyānaṃ trayametadbhaviṣyati // Mvyā_20 //	taxAga-upavana-udyAnam trayam-etat-Bavizyati // MvyAH-_20 //
   śaṅkhonāma nṛpastatra mahātejā bhaviṣyati /	SaFKaH-nAma nRpaH-tatra mahA-tejAH Bavizyati /
   caturdvīrpādhipeśvaraścakravarttī mahābalaḥ // Mvyā_21 //	catur-dvIrpa-aDipa-ISvaraH-cakravarttI mahA-balaH // MvyAH-_21 //
   saptaratnasamanvitaścaturaṅgabalādhipaḥ /	sapta-ratna-samanvitaH-caturaFga-bala-aDipaH /
   sahasraṃ hi janiṣyante putrāstadāsya bhūpateḥ // Mvyā_22 //	sahasram hi janizyante putrAH-tadA-asya BUpateH // MvyAH-_22 //
   pṛthivīṃ sāgarāntāñca sa paripālayiṣyati /	pRTivIm sAgara-antAQca sa paripAlayizyati /
   yathādharmadaṇḍeṇa narādhipo hi tadyathā // Mvyā_23 //	yaTA-aDarma-daNxeNa narADipaH hi tat-yaTA // MvyAH-_23 //
   caturmahānidhistadā śaṅkhākhyasya ca bhūpateḥ /	caturmahA-niDiH-tadA SaFKa-AKyasya ca BUpateH /
   ratnānāṃ śatakoṭīnāṃ rājñastadā hi lokyate // Mvyā_24 //	ratnAnAm Sata-kowInAm rAjQaH-tadA hi lokyate // MvyAH-_24 //
   piṅgalaśca kaliṅgeṣu mithilāyām ca pāṇḍukaḥ /	piFgalaH-ca kaliFgezu miTilAyAm ca pANxukaH /
   elapatraśca gāndhāre śaṃkho vārāṇasīpure // Mvyā_25 //	elapatraH-ca gAnDAre SaMKaH vArANasI-pure // MvyAH-_25 //
   caturbhirebhinidhibhissa rājā susamanvitaḥ /	caturBiH-eBi-niDiBiH-sa rAjA su-samanvitaH /
   bhaviṣyati mahāvīraḥ śatapuṇyabaloditaḥ // Mvyā_26 //	Bavizyati mahA-vIraH Sata-puNya-bala-uditaH // MvyAH-_26 //
   brāhmaṇastasya rājñāśca subrahmaṇaḥ purohitaḥ /	brAhmaNaH-tasya rAjQAH-ca subrahmaNaH purohitaH /
   bahuśrutaścaturvedastasyopādhyāyo bhaviṣyati // Mvyā_27 //	bahu-SrutaH-catur-vedaH-tasya-upADyAyaH Bavizyati // MvyAH-_27 //
   adhyāpako mantradharaḥ smṛtimān vedapāragaḥ /	aDyApakaH mantra-DaraH smRtimAn vedapAragaH /
   kaiṭabhe sanighaṇṭe ca padavyākaraṇe tathā // Mvyā_28 //	kEwaBe saniGaNwe ca pada-vyAkaraNe taTA // MvyAH-_28 //
   tadā brahmāvatī nāma tasya bhāryā bhaviṣyati /	tadA brahmAvatI nAma tasya BAryA Bavizyati /
   darśanīyā prāsādikā abhirūpā yaśasvinī // Mvyā_29 //	darSanIyA prAsAdikA aBirUpA yaSasvinI // MvyAH-_29 //
   tuṣitebhyaścayavitvā tu maitreyo hyagrapugdalaḥ /	tuziteByaH-cayavitvA tu mEtreyaH hi-agra-pugdalaH /
   tasyāḥ kukṣau sa niyataṃ pratisandhiṃ grahīṣyati // Mvyā_30 //	tasyAH kukzO sa niyatam pratisanDim grahIzyati // MvyAH-_30 //
   daśamāsāṃśca nikhilāṃ dhārayitvā mahādyūtiṃ /	daSa-mAsAn=-ca niKilAm DArayitvA mahA-dyUtim /
   supuṣpitesminnudyāne maitreyajananī tataḥ // Mvyā_31 //	su-puzpitesmin=-udyAne mEtreya-jananI tatas // MvyAH-_31 //
   na niṣaṇṇā nipannā vā sthitā sā dharmacāriṇī /	na nizaNNA nipannA vA sTitA sA Darma-cAriNI /
   drumasya śākhāmālamvya maitreyaṃ janayiṣyati // Mvyā_32 //	drumasya SAKAm-Alamvya mEtreyam janayizyati // MvyAH-_32 //
   niṣkramiṣyati pārśvena dakṣiṇena narottamaḥ /	nizkramizyati pArSvena dakziNena nara-uttamaH /
   abhrakūṭādyathā sūryo nirgataśca prabhāvyate // Mvyā_32* //	aBra-kUwAt-yaTA sUryaH nirgataH-ca praBAvyate // MvyAH-_32* //
   alipto garbhapaṅkena kuśeśayamivāmvunā /	aliptaH garBa-paFkena kuSeSayam-iva-amvunA /
   traidhātukamidaṃ sarvaṃ prabhayā pūrayiṣyati // Mvyā_33 //	trEDAtukam-idam sarvam praBayA pUrayizyati // MvyAH-_33 //
   prīto 'tha taṃ sahasrākṣo devarājā śacīpatiḥ /	prItaH aTa tam sahasrAkzaH devarAjA SacIpatiH /
   jāyamānaṃ grahītā ca maitreyaṃ dvipadottamam // Mvyā_34 //	jAyamAnam grahItA ca mEtreyam dvipada-uttamam // MvyAH-_34 //
   padāni jātamātraśca saptāsau prakamiṣyati /	padAni jAta-mAtraH-ca sapta-asO prakamizyati /
   pade pade nidhānañca padmaṃ padmaṃ bhaviṣyati // Mvyā_35 //	pade pade niDAnaQca padmam padmam Bavizyati // MvyAH-_35 //
   diśaścatasraścodvīkṣya vācaṃ pravyāhariṣyati /	diSaH-catasraH-ca-udvIkzya vAcam pravyAharizyati /
