   PADA MARKERS	PADAH MARKERS
   For a four-pada verse:	FoH a fouH--pada verse:
   For a six-pada verse:	FoH a six-pada verse:
   siddhiḥ śrīnāmato yeṣāṃ $ bhavetsarvepsitaṃ śriyām &	sidDiH SrI-nAmataH yezAm $ Bavet-sarva-Ipsitam SriyAm &
   natvā tānarhataḥ kurve % kaṅkālādhyāyavārttikam // Rsdhy_1 //	natvA tAn-arhataH kurve % kaFkAla-aDyAya-vArttikam // RsDi-_1 //
   gurubhyaḥ kiṃcidākarṇya $ tajjñaiḥ saṃsṛjya kiṃcana &	guruByaH kiMcid-AkarNya $ tad-jQEH saMsRjya kiMcana &
   kiṃcidapyanubhūyāsau % grantho vivrīyate mayā // Rsdhy_2 //	kiMcid-api-anuBUya-asO % granTaH vivrIyate mayA // RsDi-_2 //
   prokto'pi guruṇā sākṣād $ dhātuvādo na sidhyati &	proktaH-api guruNA sAkzAt $ DAtuvAdaH na siDyati &
   yāvan na dṛśyate dvistrir % gurupārśve kriyāvidhiḥ // Rsdhy_3 //	yAvat na dRSyate dvis-tris % guru-pArSve kriyA-viDiH // RsDi-_3 //
   yasmāttasmādapi śrutvā $ yatra kutrāpi vīkṣya ca &	yasmAt-tasmAt-api SrutvA $ yatra kutra-api vIkzya ca &
   dravyavyayaṃ prakurvanto % mudhā tāmyanti bāliśāḥ // Rsdhy_4 //	dravya-vyayam prakurvantaH % muDA tAmyanti bAliSAH // RsDi-_4 //
   prasannībhūya cetsarvaṃ $ darśayetkarma sadguruḥ &	prasannIBUya ced-sarvam $ darSayet-karma sat-guruH &
   līlayāpi tadā sarve % yogāḥ sidhyantyasaṃśayam // Rsdhy_5 //	lIlayA-api tadA sarve % yogAH siDyanti-asaMSayam // RsDi-_5 //
   tato'tra vyaktam ukte'pi $ granthārthe mukhyaniścayāt &	tatas-atra vyaktam ukte-api $ granTa-arTe muKya-niScayAt &
   gurūnupekṣya no kāryo % dhātuvāde pariśramaḥ // Rsdhy_6 //	gurUn-upekzya no kAryaH % DAtuvAde pariSramaH // RsDi-_6 //
   vakti yo na sa jānāti $ yo jānāti na vakti saḥ &	vakti yaH na sa jAnAti $ yaH jAnAti na vakti saH &
   tato yatrāpi tatrāpi % prasāryaṃ na mukhaṃ budhaiḥ // Rsdhy_7 //	tatas yatra-api tatra-api % prasAryam na muKam buDEH // RsDi-_7 //
   rasaguṭyañjanābhijñaḥ $ śrīkaṅkālayayogyabhūt &	rasa-guwI-aQjana-aBijQaH $ SrI-kaFkAlaya-yogI-aBUt &
   tena svaśiṣyaśikṣārthaṃ % rasatattvaṃ niveditam // Rsdhy_8 //	tena sva-Sizya-SikzA-arTam % rasa-tattvam niveditam // RsDi-_8 //
   śrīkaṅkālayaśiṣyo'pi $ svānyopakṛtaye kṛtī &	SrI-kaFkAlaya-SizyaH-api $ sva-anya-upakRtaye kRtI &
   ekaviṃśatyadhīkāraṃ % rasādhyāyaṃ nibaddhavān // Rsdhy_9 //	ekaviMSati-aDIkAram % rasa-aDyAyam nibadDavAn // RsDi-_9 //
   * tatrādāv eva nirvighnaṃ prārabdhakāryasiddhyartham	* tatra-AdO eva nirviGnam prArabDa-kArya-sidDi-arTam
   abhīṣṭadevatānamaskāram āha || 1]	aBIzwa-devatA-namaskAram Aha || 1]
   śrībhairavaṃ praṇamyādau $ sarvajñaṃ trijagatprabhum &	SrI-BEravam praNamya-AdO $ sarvajQam trijagat-praBum &
   śrībhāratīṃ ca vighneśaṃ % vande pratyūhaśāntaye // Rsdhy_10 //	SrI-BAratIm ca viGneSam % vande pratyUha-SAntaye // RsDi-_10 //
   brahmacaryaṃ tapaḥ kāryaṃ $ haviṣyānnasya bhojanam &	brahmacaryam tapaH kAryam $ havizya-annasya Bojanam &
   kriyābhraṣṭe na sidhyanti % taponaṣṭe phalanti na // Rsdhy_11 //	kriyA-Brazwe na siDyanti % tapaH-nazwe Palanti na // RsDi-_11 //
   * iha rasakarmāṇi caturaśītiḥ guṭikābhedāścaturaśītiḥ añjanāni caturaśītiḥ	* iha rasakarmANi caturaSItiH guwikA-BedAH-caturaSItiH aQjanAni caturaSItiH
   * evaṃ te dvipañcāśadadhike dve śate bhedāḥ || 2	* evam te dvipaQcASat-aDike dve Sate BedAH || 2
   * tata eteṣāṃ bhedānāṃ madhyād yadaikā kācit kriyā prārabhyate tadā	* tatas etezAm BedAnAm maDyAt yadA-ekA kAcid kriyA prAraByate tadA
   prārambhātpūrvaṃ māsamekaṃ brahmacaryarūpaṃ tapaḥ kartavyam || 3	prAramBAt-pUrvam mAsam-ekam brahmacarya-rUpam tapaH kartavyam || 3
   * brahmacaryasyaiva sarvatapomūlatvāt || 4	* brahmacaryasya-eva sarva-tapaH-mUla-tvAt || 4
   * tadrahitasyāparatapasaḥ sarvasyāpi niṣphalatvāt || 5	* tad-rahitasya-apara-tapasaH sarvasya-api nizPala-tvAt || 5
   * yadvā brahmacaryaṃ dhāryam || 6	* yat-vA brahmacaryam DAryam || 6
   * tathācāryādinā yathāyuktyā tapaḥ kāryam || 7	* taTA-AcArya-AdinA yaTA-yuktyA tapaH kAryam || 7
   * dvayorapi sarvakarmaphalānām ādimūlatvāt || 8	* dvayoH-api sarva-karma-PalAnAm Adi-mUla-tvAt || 8
   * tathā haviṣyānnaṃ ghṛtaśarkarāmiśraṃ pāyasaṃ kṣīrabhojanaṃ kāryam || 9	* taTA havizya-annam GRtaSarkarA-miSram pAyasam kzIra-Bojanam kAryam || 9
   * aparair āhārair dehaśuddherabhāvāt || 10	* aparEH AhArEH deha-SudDeH-aBAvAt || 10
   * prāṇāyāmasādhanābhāvāc ca || 11	* prANAyAma-sADana-aBAvAt ca || 11
   * tata evaṃ karma pālayatā tatkarmaphalaṃ yāvan netavyam || 12	* tatas evam karma pAlayatA tad-karma-Palam yAvat netavyam || 12
   * yato rasādikā kriyāḥ sādhake bhraṣṭe yathoktabhojanam akurvati na	* yatas rasa-AdikA kriyAH sADake Brazwe yaTA-ukta-Bojanam akurvati na
   sidhyanti || 13	siDyanti || 13
   * taponaṣṭe na ca phalanti || 14	* tapaH-nazwe na ca Palanti || 14
   * etac ca granthānte svayaṃ spaṣṭayiṣyati || 15]	* etat ca granTa-ante svayam spazwayizyati || 15]
   athādhyāyaṃ samāyātaṃ $ śrīkaṅkālayayoginaḥ &	aTa-aDyAyam samAyAtam $ SrI-kaFkAlaya-yoginaH &
   vadāmi vyañjito yatra % yuktibhiḥ śṛṅkhalārasaḥ // Rsdhy_12 //	vadAmi vyaQjitaH yatra % yuktiBiH SRFKalA-rasaH // RsDi-_12 //
   * śrīkaṅkālayayogisamīpāt samāyātam adhyāyaṃ vadāmīti śiṣyavacanam || 1	* SrI-kaFkAlaya-yogi-samIpAt samAyAtam aDyAyam vadAmi-iti Sizya-vacanam || 1
   * yatrādhyāye śṛṅkhalāraso yuktibhir auṣadhabhāvanāgnipuṭādividhibhiḥ	* yatra-aDyAye SRFKalA-rasaH yuktiBiH OzaDa-BAvanA-agni-puwa-Adi-viDiBiH
   prakaṭīkṛto 'sti || 2	prakawIkRtaH asti || 2
   * yathā kila śṛṅkhalā pūrvapūrvatarāvayavair anyonyānupraveśāt sambaddhā	* yaTA kila SRFKalA pUrva-pUrvatara-avayavEH anyonya-anupraveSAt sambadDA
   bhavati tathā atrāpi || 3	Bavati taTA atra-api || 3
   * pūrvaṃ rasasya śodhanam || 4	* pUrvam rasasya SoDanam || 4
   * tataḥ śodhitarasasya mūrchitotthāpanam || 5	* tatas SoDita-rasasya mUrCita-utTApanam || 5
   * mūrchitotthāpitasya pātanam || 6	* mUrCita-utTApitasya pAtanam || 6
   * pātitasya ca punarutthāpanam || 7	* pAtitasya ca punar-utTApanam || 7
   * pātitotthāpitasya svedanam || 8	* pAtita-utTApitasya svedanam || 8
   * svedena sveditasya ca niyāmitvam || 9	* svedena sveditasya ca niyAmi-tvam || 9
