   PADA MARKERS	PADAH MARKERS
   For a four-pada verse:	FoH a fouH--pada verse:
   For a six-pada verse:	FoH a six-pada verse:
   atha bhāratīyabhāṣāyāṃ citralakṣaṇam |	aTa BAratIya-BAzAyAm citra-lakzaNam |
   prathamaḥ parivarttaḥ	praTamaH parivarttaH
   brahmāṇaṃ ca mahādevaṃ $ nārāyaṇaṃ sarasvatīm &	brahmANam ca mahAdevam $ nArAyaNam sarasvatIm &
   varadāṃ ca mayā natvā % kriyate jayamaṃgalam // NCit_1.1 //	varadAm ca mayA natvA % kriyate jaya-maMgalam // NCit-_1.1 //
   prajāpatestathā śambhoḥ $ padmāsyāyāstathā giram &	prajApateH-taTA SamBoH $ padma-AsyAyAH-taTA giram &
   pārvatyā anusṛtyaiva % jāyatāṃ kila paṇḍitāḥ // NCit_1.2 //	pArvatyAH anusRtya-eva % jAyatAm kila paNxitAH // NCit-_1.2 //
   tadanantaraṃ citralakṣaṇamucyate |	tad-anantaram citra-lakzaNam-ucyate |
   maṃgalamastu |	maMgalam-astu |
   mahādevāya devāya $ sarvavidyavijānate &	mahAdevAya devAya $ sarva-vidya-vijAnate &
   namo namo mayā samyag % ucyate citralakṣaṇam // NCit_1.3 //	namaH namaH mayA samyak % ucyate citra-lakzaNam // NCit-_1.3 //
   ādau candramasaṃ vande $ haraṃ ca candraśekharaṃ &	AdO candramasam vande $ haram ca candraSeKaram &
   viṣṇvindrau sūryamagniṃ ca % varuṇaṃ marutaṃ tathā // NCit_1.4 //	vizNu-indrO sUryam-agnim ca % varuNam marutam taTA // NCit-_1.4 //
   namaskaromyahaṃ caiva $ viśvakarmaprajāpatī &	namaskaromi-aham ca-eva $ viSvakarma-prajApatI &
   nagnajitaṃ namaskṛtya % tvācāryāṃśca punaḥ punaḥ // NCit_1.5 //	nagnajitam namaskRtya % tu-AcAryAn=-ca punar punar // NCit-_1.5 //
   varṇaṃ ca citrakarmātha $ śāstrānusāratastathā &	varNam ca citrakarmA-aTa $ SAstra-anusArataH-taTA &
   yathājñānaṃ yathāśakti % saṃkṣepeṇa mayocyate // NCit_1.6 //	yaTAjQAnam yaTASakti % saMkzepeNa mayA-ucyate // NCit-_1.6 //
   viśvakṛnnagnajiddeva- $ prahlādasāramujjvalam &	viSvakRt-nagnajit-deva $ prahlAda-sAram-ujjvalam &
   lakṣaṇamanusṛtyaica % viduṣāṃ sudhiyāṃ punaḥ // NCit_1.7 //	lakzaNam-anusRtya-eca % viduzAm suDiyAm punar // NCit-_1.7 //
   saṃgṛhya mativṛddhaye $ nānāśāstrasamuddhṛtam &	saMgRhya mati-vRdDaye $ nAnA-SAstra-samudDRtam &
   ucyate citralakṣaṇaṃ % śṛṇvantu tadvidā janāḥ // NCit_1.8 //	ucyate citra-lakzaNam % SRNvantu tad-vidA janAH // NCit-_1.8 //
   puredaṃ lakṣaṇaṃ śrutvā $ nararājo mahodharaḥ &	purA-idam lakzaNam SrutvA $ nara-rAjaH mahoDaraH &
   dharmajñaḥ satyaniṣṭhaśca % buddhimāṃśca yaśo'nvitaḥ \	Darma-jQaH satya-nizWaH-ca % budDimAn=-ca yaSaH-anvitaH \
   viśruto bhayajinnāmnā # tathābhūt dharaṇītale // NCit_1.9 //	viSrutaH Baya-jit-nAmnA # taTA-aBUt DaraNI-tale // NCit-_1.9 //
   guṇottamasya bhūpasya $ dhārmikasya praśāsane &	guNa-uttamasya BUpasya $ DArmikasya praSAsane &
   śatasahasravarṣāṇi % cāyuḥ prajāḥ prapedire // NCit_1.10 //	Sata-sahasra-varzANi % ca-AyuH prajAH prapedire // NCit-_1.10 //
   nīrogā na ca hantāro $ manorogavivarjitāḥ &	nIrogAH na ca hantAraH $ manaH-roga-vivarjitAH &
   akālamṛtyuhīnāstāḥ % kutaḥ krodhāḥ kuto malāḥ // NCit_1.11 //	akAla-mRtyu-hInAH-tAH % kutas kroDAH kutas malAH // NCit-_1.11 //
   vāyuḥ supravahaścaiva $ śakraḥ suvarṣakastathā &	vAyuH su-pravahaH-ca-eva $ SakraH suvarzakaH-taTA &
   varṇarasasametāni % vījamūlaphalāni ca // NCit_1.12 //	varNa-rasa-sametAni % vIja-mUla-PalAni ca // NCit-_1.12 //
   varṇāśramā hi catvāro $ na cyutā dharmatatparāḥ &	varNa-ASramAH hi catvAraH $ na cyutAH Darma-tatparAH &
   ṛddhiguṇasamāyuktaṃ % śrīmad vikasitaṃ jagat // NCit_1.13 //	RdDi-guNa-samAyuktam % SrImat vikasitam jagat // NCit-_1.13 //
   evambhūte sthite rāṣṭre $ sukhaśāntisamanvite &	evamBUte sTite rAzwre $ suKa-SAnti-samanvite &
   bhayajito manaḥ śuddhaṃ % pravṛttaṃ tapasi drutam // NCit_1.14 //	Baya-jitaH manaH SudDam % pravRttam tapasi drutam // NCit-_1.14 //
   suduṣkaraṃ tapaḥ kṛtvā $ rājñātiśuddhacetasā &	su-duzkaram tapaH kRtvA $ rAjQA-ati-SudDa-cetasA &
   varā bahuvidhā prāptā % devāllokapitāmahāt // NCit_1.15 //	varAH bahuviDA prAptA % devAn-loka-pitAmahAt // NCit-_1.15 //
   viṣayastasya śatrubhir $ devāstrairapi durjayaḥ &	vizayaH-tasya SatruBiH $ devAstrEH-api durjayaH &
   uttamāpratirodhyā ca % sarvaśāstre matistvatha // NCit_1.16 //	uttama-apratiroDyA ca % sarva-SAstre matiH-tu-aTa // NCit-_1.16 //
   sarvaguṇairupetasya $ parākrāntasya dhīmataḥ &	sarva-guNEH-upetasya $ parAkrAntasya DImataH &
   mahābhāgasya devānāṃ % prabhāvaiḥ prāptaviśruteḥ // NCit_1.17 //	mahABAgasya devAnAm % praBAvEH prApta-viSruteH // NCit-_1.17 //
   sarvavidyāśrayasyāsya $ mūrttadharmasya bodhinaḥ &	sarva-vidyA-ASrayasya-asya $ mUrtta-Darmasya boDinaH &
   maṇiputrasamākhyaspa % etādṛśasya bhūpateḥ // NCit_1.18 //	maNi-putra-samAKyaspa % etAdRSasya BUpateH // NCit-_1.18 //
   savidhe tvāgataḥ kaścid $ rudan vipro 'tiduḥkhitaḥ &	saviDe tu-AgataH kaScid $ rudan vipraH ati-duHKitaH &
   kathaṃ rodiṣi bho vipra % cetyapṛcchad dvijaṃ nṛpaḥ // NCit_1.19 //	kaTam rodizi Bo vipra % ca-iti-apRcCat dvijam nRpaH // NCit-_1.19 //
   kruddhena tena vipreṇa $ kathito nṛpatistadā &	krudDena tena vipreNa $ kaTitaH nRpatiH-tadA &
   tava śāsanakāle 'smin % deśe 'kālamṛtiyataḥ // NCit_1.20 //	tava SAsana-kAle asmin % deSe akAla-mRtiyataH // NCit-_1.20 //
   tato 'dharmeṇa rājyaṃ taṃ $ śāssīdaṃ nṛpa niścitam &	tatas aDarmeNa rAjyam tam $ SAssi-idam nRpa niScitam &
   viṣmayo ya itaḥ pūrvaṃ % na jāto 'sau pravartate // NCit_1.21 //	vizmayaH yaH itas pUrvam % na jAtaH asO pravartate // NCit-_1.21 //
   madīyavaṃśarakṣākṛt $ lakṣaṇākṛtisundaraḥ &	madIya-vaMSa-rakzA-kRt $ lakzaNa-AkRti-sundaraH &
   akālamṛtyunā kasmāt % kroṛato 'pahṛtaḥ sutaḥ // NCit_1.22 //	akAla-mRtyunA kasmAt % kroRataH apahRtaH sutaH // NCit-_1.22 //
   bramha priyau hi rājan tvaṃ $ sarva jānāsi bhūtale &	bramha priyO hi rAjan tvam $ sarva jAnAsi BU-tale &
   prāṇatulyaṃ sutaṃ mahyaṃ % dehi svāmin kṛpānvitaḥ // NCit_1.23 //	prANa-tulyam sutam mahyam % dehi svAmin kRpA-anvitaH // NCit-_1.23 //
   dayāṃ yadi na kuryāstvaṃ $ śaktiman guṇavan nṛpa &	dayAm yadi na kuryAH-tvam $ Saktiman guNavat nRpa &
