   Upāyahṛdayam /	UpAya hRdayam /
   atha prathamaṃ prakaraṇam /	aTa praTamam prakaraNam /
   etādvādāvabodhena vādadharmāvabodhanam /	etAdvAda avaboDena vAda Darma avaboDanam /
   vistareṇa ca gambhīro 'yamartho 'trābhidhīyate //	vistareNa ca gamBIraH ayam arTaH atra aBiDIyate //
   vādo na kartavyaḥ / kasmāt? prāyeṇa hi vādakārakāṇāṃ	vAdaH na kartavyaH / kasmAt? prAyeNa hi vAda kArakANAm
   sañjātavipulakrodhamadamattānāṃ svayaṃ vibhrāntacittānāṃ manaso	saQjAta vipula kroDa mada mattAnAm svayam viBrAnta cittAnAm manasaH 
   'natimṛdutā parapāpaprakāśakatvaṃ svapāṇḍityānumodakatvañcetyādayo doṣā	anatimRdu tA para pApa prakASaka tvam sva pANxitya anumodaka tvaQca ityAdayaH dozA
   budhirnirbhatsitāḥ / tasmādāryajanā	buDiH nirBatsitAH / tasmAt Arya janA
   asaṃkhyeyopāyairvivādachedakāstatparihāraprītāśca viṣabhājanaparityāgādiva	asaMKyeya upAyEH vivAda CedakAH tad parihAra prItAH ca viza BAjana parityAgAt iva
   / vādakārakāṇāñcāntaraṃ vastuto mṛdvapi paraṃ bahirbahudoṣaṃ dṛśyate /	/ vAda kAra kANAQca antaram vastutas mRdu api param bahis bahu dozam dRSyate /
   tasmātsvahitaparahitābhilāṣiṇaite vivādadharmāḥ praheyāḥ /	tasmAt sva hita para hita aBilAziNA ete vivAda DarmAH praheyAH /
   atrocyate / maivaṃ, naiṣa vādaprārambhaḥ paribhavalābhakhyātyartho 'pi tu	atra ucyate / mA evaM, na eza vAda prAramBaH pariBava lABa KyAti arTaH api tu
   sulakṣaṇadurlakṣaṇopadeśecchayaiva vādasya prārambhaḥ /	su lakzaNa durlakzaNa upadeSa icCayA eva vAdasya prAramBaH /
   yadīha loke vādo na bhavet, mugdhānāṃ bāhulyaṃ syāt / tataśca	yadi iha loke vAdaH na Bavet, mugDAnAm bAhulyam syAt / tatas ca
