   Govind Kaul: Pradeśasaṃgraha	Govind KOl: PradeSa-saMgraha
   1. Kaśmīrā Maṇḍalam	1. KaSmIrAH MaNxalam
   oṃ śrī gaṇeśāya namaḥ |	om SrI gaNeSAya namaH |
   paṇḍitakalhaṇakṛtarājataraṅgiṇyāṃ prathame taraṅge ślokasaṃ 27 kaśmīrā |	paNxita-kalhaNa-kRta-rAja-taraFgiNyAm praTame taraFge Slokasam 27 kaSmIrAH |
   asyāḥ satīsara iti dvitīyaṃ nāma |	asyAH satI-saraH iti dvitIyam nAma |
   asya niruktiḥ |	asya niruktiH |
   kaṃ jalaṃ śmīrati calaty asmād iti śmīra smīra calane iti dhātor auṇādikaṃ	kam jalam SmIrati calati asmAt iti SmIra smIra calane iti DAtoH ONa-Adikam
   rūpam |	rUpam |
   tathā ca nīlamate	taTA ca nIla-mate
        kaṃ vāri halinā yasmād deśād asmād apākṛtam |	kam vAri halinA yasmAt deSAt asmAt apAkRtam |
   ataḥ sarvajagatkhyātaṃ kaśmīrākhyaṃ bhaviṣyati |	atas sarva-jagat-KyAtam kaSmIra-AKyam Bavizyati |
   anyac ca calanaṃ sampādanam ity api tanmatenaivāvagamyate |	anyat ca calanam sampAdanam iti api tad-matena-eva-avagamyate |
   tathā ca kaśyapena sampāditasyāpi maṇḍalasya kaśmīrā iti nāma |	taTA ca kaSyapena sampAditasya-api maNxalasya kaSmIrAH iti nAma |
   etad api nīlamatād evāvabudhyate |	etat api nIla-matAt eva-avabuDyate |
   tathā hi	taTA hi
        kaḥ prajāpatir uddiṣṭaḥ kaśyapaś ca prajāpatiḥ |	kaH prajApatiH uddizwaH kaSyapaH ca prajApatiH |
        atas tadākhyayā tīrthaṃ kāśmīrākhyaṃ bhaviṣyati || iti |	atas tad-AKyayA tIrTam kASmIra-AKyam Bavizyati || iti |
   asya kaśmīrāpadasya kaśīra iti kāśmīrikabhāṣāyāṃ nāma vartate |	asya kaSmIra-Apadasya kaSIraH iti kASmIrikaBAzAyAm nAma vartate |
   ata eva kaśmīrotpannasya puṃsaḥ kaśur iti nāmāsti |	atas eva kaSmIra-utpannasya puMsaH kaSuH iti nAma-asti |
   punaś cānyamatena kaśmīrāpadaniruktau bahavo vibhedāḥ santi |	punar ca-anya-matena kaSmIra-Apada-niruktO bahavaH viBedAH santi |
   tathā ca pārisekānuvādavidaḥ kecana kaśyapamar iti kathayanti |	taTA ca pAriseka-anuvAda-vidaH kecana kaSya-pam-ar iti kaTayanti |
   tanmatena kaśmīrabhāṣāyāṃ marpadasya gṛham ity arthaḥ |	tad-matena kaSmIra-BAzAyAm marpadasya gRham iti arTaH |
   tathā ca kaśyapasya gṛham iti yāvat |	taTA ca kaSyapasya gRham iti yAvat |
