   Rāṣṭrapālaparipṛcchā	RAzwrapAla-paripRcCA
   namaḥ sarvabuddhabodhisattvāryaśrāvakapratyekabuddhebhyaḥ //	namaH sarva-budDa-boDisattva-Arya-SrAvaka-pratyekabudDeByaH //
   nidānaparivartaḥ prathamaḥ /	nidAna-parivartaH praTamaH /
   evaṃ mayā śrutam / ekasmin samaye bhagavān rājagṛhe viharati sma	evam mayA Srutam / ekasmin samaye BagavAn rAjagRhe viharati sma
   gṛdhrakūṭe parvate mahatābhikṣusaṃghena	gRDrakUwe parvate mahatA-aBikzu-saMGena
   sārdhamardhatrayodaśabhirbhikṣuśataiḥ pañcabhiśca bodhisattvasahasraiḥ,	sArDam-arDa-trayodaSaBiH-Bikzu-SatEH paQcaBiH-ca boDisattva-sahasrEH,
   sarvairasaṅgapratibhānaiḥ kṣāntipratilabdhairnihatamārapratyarthikaiḥ	sarvEH-asaFga-pratiBAnEH kzAnti-pratilabDEH-nihata-mAra-pratyarTikEH
   sarvabuddhadharmātyāsannībhūtairekahātipratibaddhairdharaṇīpratilabdhaiḥ	sarva-budDa-Darma-atyAsannIBUtEH-eka-hA-ati-pratibadDEH-DaraNI-pratilabDEH
   samādhipratilabdhairanantapratibhānapratilabdhairasaṅgavaiśāradyapratirṛddhivaśitāparamapāramiprāptairyāvatsarvaguṇavarṇaparyādattaiḥ	samADi-pratilabDEH-ananta-pratiBAna-pratilabDEH-asaFga-vESAradya-pratirRdDi-vaSitA-parama-pArami-prAptEH-yAvat-sarva-guNa-varNa-paryAdattEH
   / tadyathā - samantabhadreṇa ca nāma bodhisattvena mahāsattvena,	/ tat-yaTA  samantaBadreNa ca nAma boDisattvena mahAsattvena,
   samantanetreṇa ca bodhisattvena mahāsattvena, samantāvalokitena ca	samantanetreNa ca boDisattvena mahAsattvena, samantA-avalokitena ca
   samantaraśminā ca samantaprabheṇa ca uttaramatinā ca vardhamānamatinā ca	samantaraSminA ca samanta-praBeNa ca uttara-matinA ca varDamAna-matinA ca
   anantamatinā ca vipulamatinā ca akṣayamatinā ca dharaṇīdhareṇa ca	ananta-matinA ca vipula-matinA ca akzaya-matinA ca DaraNIDareNa ca
   jagatīṃdhareṇa ca jayamatinā ca viśeṣamatinā ca dhāraṇīśvararājena ca	jagati-iMDareNa ca jaya-matinA ca viSeza-matinA ca DAraNISvara-rAjena ca
   bodhisattvena mahāsattvena / mañjuśrīpramukhaiśca ṣaṣṭibhiranupamacittaiḥ	boDisattvena mahAsattvena / maQju-SrI-pramuKEH-ca zazwiBiH-anupama-cittEH
   bhadrapālapūrvaṃgamaiśca ṣoḍaśabhiḥsatpuruṣaiḥ bramhaṇā ca sahāṃpatinā	BadrapAla-pUrvaMgamEH-ca zoxaSaBiH-sat-puruzEH bramhaNA ca sahAMpatinA
   śakreṇa ca devānāmindreṇa caturbhiśca lokapālaiḥ susīmena ca devaputreṇa	SakreNa ca devAnAm-indreNa caturBiH-ca lokapAlEH su-sImena ca deva-putreNa
   susthitamatinā ca devaputreṇa sarvaiśca devendrairnāgendaiḥ	su-sTita-matinA ca deva-putreNa sarvEH-ca deva-indrEH-nAga-indEH
   kinnarendrairgandharvendrairyakṣendrairasurendrairgaruḍendraiḥ	kinnara-indrEH-ganDarva-indrEH-yakza-indrEH-asura-indrEH-garuxa-indrEH
   sarvairanekajātiśatasahasraparivāraistatraiva parṣadi saṃnipatitaiḥ	sarvEH-aneka-jAti-Sata-sahasra-parivArEH-tatra-eva parzadi saMnipatitEH
   saṃniṣaṇṇaiḥ //	saMnizaNNEH //
   atha khalu bhagavān śrīgarbhasiṃhāsane saṃniṣaṇṇo merurivābhyudgataḥ	aTa Kalu BagavAn SrI-garBa-siMhAsane saMnizaNNaH meruH-iva-aByudgataH
