   jaiminīyagṛhyasūtram	jEminIya-gRhya-sUtram
   JaimGS 1.1:	JEmGS 1.1:
   athāto 'gniṃ praṇoṣyanprāgudakpravaṇamabhyukṣya sthaṇiḍalaṃ lakṣaṇaṃ	aTa-atas agnim praNozyan-prAc-udak-pravaNam-aByukzya sTaNixalam lakzaNam
   kuryānmadhye prācīṃ rekhāmullikhyodīcīṃ ca saṃhitāṃ paścāttisro madhye	kuryAt-maDye prAcIm reKAm-ulliKya-udIcIm ca saMhitAm paScAt-tisraH maDye
   prācyo 'bhyukṣyāgniṃ pratiṣṭhāpayedbhūrbhuvaḥ svariti lakṣaṇāvṛdeṣā	prAcyaH aByukzya-agnim pratizWApayet-BUH-BuvaH svar-iti lakzaNa-AvRdezA
   sarvatrāthātaḥ pākayajñānvyākhyāsyāmo huto 'hutaḥ prahutaḥ prāśita iti	sarvatra-aTa-atas pAkayajQAn-vyAKyAsyAmaH hutaH ahutaH prahutaH prASitaH iti
   teṣāmekāgnau homo nitye yajñopavītodakācamane darśapūrṇamāsatantrāḥ	tezAm-ekAgnO homaH nitye yajQopavIta-udaka-Acamane darSa-pUrNamAsa-tantrAH
   snatantrā vā dakṣiṇato 'gneḥ pūrṇapātramupanidadhāti sruvaṃ cāpāṃ	snatantrAH vA dakziNatas agneH pUrNa-pAtram-upanidaDAti sruvam ca-apAm
   pūrṇamuttarato 'gneridhmābahirdevasya tvā savituḥ prasave 'śvinorbāhubhyāṃ	pUrNam-uttaratas agneH-iDmA-bahis-devasya tvA savituH prasave aSvinoH-bAhuByAm
   pūṣṇo hastābhyāṃ prokṣāmiti prokṣitamupakḷptaṃ bhavati	pUzNaH hastAByAm prokzAm-iti prokzitam-upak?ptam Bavati
   sakṛdyajuṣādvistūṣaṇiṃ khādiraḥ pālāśo vedhmastadalābhe	sakRt-yajuzAt-vistUzaNim KAdiraH pAlASaH veDmaH-tad-alABe
   vibhītakatilvakabādhakanimbarājavṛjñaśalmalyaraludadhitthakovidāraśrleṣmātakavarjaṃ	viBItaka-tilvaka-bADaka-nimba-rAja-vRjQa-SalmalI-araluda-DitTa-kovidAra-SrlezmAtaka-varjam
   sarvavanaspatīnāmidhmaḥ kuśālābhe	sarva-vanaspatInAm-iDmaH kuSa-alABe
   śūkatṛṇaśaraśīryabalbajamutavanalaśuṇṭhavarjaṃ sarvatṛṇāniśuklāḥ	SUka-tRNa-Sara-SIrya-balba-jam-utavanala-SuNWa-varjam sarva-tRNA-niSuklAH
   sumanasastāsāmalābhe japārupakākutthābhaṇḍīkuraṇḍakavarjaṃ gandhavatyo vā	sumanasaH-tAsAm-alABe japArupaka-AkutTA-BaNxI-kuraNxaka-varjam ganDavatyaH vA
   sarvavarṇāścatasr ājyaprakṛtayo bhavantyūdhanyaṃ vā vāhyaṃ vā payo vā	sarva-varNAH-catasH Ajya-prakRtayaH Bavanti-UDanyam vA vAhyam vA payaH vA
   paścādagnerācamanaṃ trirācāmeddviḥ parimṛjetsapṛdupaspṛśetpādāvabhyukṣya	paScAt-agneH-Acamanam tris-AcAmet-dvis parimRjet-sapRt-upaspRSet-pAdO=-aByukzya
   śiraśca śīṣaṇyānprāṇānupaspṛśedarpaupaspṛśya	SiraH-ca SIzaNyAn-prANAn-upaspRSet-arpa-OpaspRSya
   paścādagnerupasamāhitasyopaviśya dakṣiṇena pāṇinābhūmimārabhya japatīdaṃ	paScAt-agneH-upasamAhitasya-upaviSya dakziNena pANinABUmim-AraBya japati-idam
   bhūmerbhajāmaha idaṃ bhadraṃ sumaṅgalaṃ parā sapantānbādhasvānyeṣāṃ vinda	BUmeH-BajAmahe idam Badram su-maFgalam parA sapantAn-bADasva-ani-ezAm vinda
   te dhanamiti vasvantaṃ rātriścedimaṃstomyena tṛcenāgniṃ parisamūhedādyayā	te Danam-iti vasu-antam rAtriH-cedi-maM=-tomyena tRcena-agnim parisamUhet-AdyayA
   vā triḥ prastaramupasaṃgṛhya pratidiśaṃ paristṛṇāti	vA tris prastaram-upasaMgRhya pratidiSam paristRNAti
   dakṣiṇapurastādupakramyāgrairmūlāni	dakziNa-purastAt-upakramya-agrEH-mUlAni
   chādayanpaścādvopastīryolaparājibhyāmupahareddakṣiṇottaraḥ sandhiḥ //	CAdayan-paScAt-vopaH-tIrya-ulaparAjiByAm-upaharet-dakziNa-uttaraH sanDiH //
   JaimGS_1.1 //	JEmGS_1.1 //
   JaimGS 1.2:	JEmGS 1.2:
   prastarātpavitre gṛhṇāti prādeśamātre same apraśīrṇāgre anantargarbhe	prastarAt-pavitre gRhNAti prAdeSa-mAtre same apraSIrNa-agre anantargarBe
   aṅguṣṭhenopakāniṣṭhikayā ca dhārayannanakhena chinatti pavitre stho	aFguzWena-upakAnizWikayA ca DArayan=-anaKena Cinatti pavitre sTaH-
   vaiṣṇavyāviti trirurdhavamadbhiranumārjayedviṣaṇormanasā pūte stha iti	vEzNavyO=-iti tris-urDavam-adBiH-anumArjayet-vizaNoH-manasA pUte sTaH iti
   sakṛdyajuṣā dvistūṣṇīṃ pātrasyopariṣṭātpavitre	sakRt-yajuzA dvis-tUzNIm pAtrasya-uparizwAt-pavitre
   dhārayannājyamāsicyottareṇāgnimaṅgārātriruhya teṣvadhiśrityāvadyotya	DArayan=-Ajya-mAsicya-uttareNa-agnim-aFgArAtriruhya tezu-aDiSritya-avadyotya
   darbhataruṇābhyāṃ pratyasya triḥparyagni kṛtvodagudvāsya	darBa-taruNAByAm pratyasya tris-paryagni kRtvA-udak-udvAsya
   pratyūhyāṅgārānudagagrābhyāṃ pavitrābhyāṃ trirutpunātyājyaṃ ca haviśca	pratyUhya-aFgArAn-udak-agrAByAm pavitrAByAm tris-utpunAti-Ajyam ca haviH-ca
   praṇītāśca sruvaṃ ca devastvā savitotpunātvacchidreṇa pavitreṇa vasoḥ	praNItAH-ca sruvam ca devaH-tvA savitA-utpunAtva=-CidreNa pavitreNa vasoH
   sūryasya raśmibhiriti devo va iti praṇītāḥ punarāhāramājyasya sakṛdyajuṣā	sUryasya raSmiBiH-iti devaH vaH iti praNItAH punar-AhAram-Ajyasya sakRt-yajuzA
   dvistūṣṇīmuttarato 'gneḥ praṇītāḥ praṇīya darbhaiḥ pracchādya dakṣiṇato	dvis-tUzNIm-uttaratas agneH praNItAH praNIya darBEH pracCAdya dakziNatas-
   'gneḥ prastaraṃ nidhāya prastarasyopariṣṭātpavitre nidhāya virupākṣaṃ	agneH prastaram niDAya prastarasya-uparizwAt-pavitre niDAya virupAkzam
   japatyoṃ tapaśca satyaṃ cātmā ca dhṛtiśca dharmaśca sattavaṃ ca tyāgaśca	japatyom tapaH-ca satyam ca-AtmA ca DRtiH-ca DarmaH-ca sattavam ca tyAgaH-ca
   brahma ca brahma ca tāni prapadye tāni māmavantu bhūrbhuvaḥ svaroṃ	brahma ca brahma ca tAni prapadye tAni mAmavantu BUH-BuvaH svar-om
   mahāntamātmānamadhyārohāmi virupākṣo 'si dantājjistasya te śayyā parṇe	mahAntam-AtmAnam-aDyArohAmi virupAkzaH asi dantAt-jiH-tasya te SayyA parNe
