   PADA MARKERS	PADAH MARKERS
   For a four-pada verse:	FoH a fouH--pada verse:
   For a six-pada verse:	FoH a six-pada verse:
   adhyāya 1	aDyAya 1
   athāto yamadharmasya $ prāyaścittaṃ vyākhyāsyāmaḥ &	aTa-atas yama-Darmasya $ prAyaScittam vyAKyAsyAmaH &
   caturṇām api varṇānāṃ % prāyaścittaṃ prakalpayet // YS182v_1.1 //	caturNAm api varNAnAm % prAyaScittam prakalpayet // YS182u-_1.1 //
   brāhmaṇas tu śunā daṣṭo $ jambūkena vṛkeṇa vā &	brAhmaNaH tu SunA dazwaH $ jambUkena vRkeNa vA &
   udite grahanakṣatre % dṛṣṭvā sadyaḥ śucir bhavet // YS182v_1.2 //	udite graha-nakzatre % dRzwvA sadyas SuciH Bavet // YS182u-_1.2 //
   jalāgnibandhanabhraṣṭāḥ $ pravrajyānāśakacyutāḥ &	jala-agni-banDana-BrazwAH $ pravrajyA-anASaka-cyutAH &
   viṣaprapannagātrāś ca % śastrāghātahatāś ca ye // YS182v_1.3 //	viza-prapanna-gAtrAH ca % Sastra-AGAta-hatAH ca ye // YS182u-_1.3 //
   navaite pratyavasitāḥ $ sarvadharmabahiṣkṛtāḥ &	navA-ete pratyavasitAH $ sarva-Darma-bahizkRtAH &
   cāndrāyaṇena śudhyanti % taptakṛcchradvayena ca // YS182v_1.4 //	cAndrAyaNena SuDyanti % taptakRcCra-dvayena ca // YS182u-_1.4 //
   ubhayāvasitāḥ pāpā $ ye śāmaśabalācyutāḥ &	uBaya-a=-asitAH pApAH $ ye SAmaSa-bala-acyutAH &
   indudvayena śudhyanti % dattvā dhenuṃ tathā vṛṣam // YS182v_1.5 //	indu-dvayena SuDyanti % dattvA Denum taTA vRzam // YS182u-_1.5 //
   gobrāhmaṇahataṃ dagdhaṃ $ mṛtam udbandhanena tu &	go-brAhmaNa-hatam dagDam $ mRtam udbanDanena tu &
   pāśaṃ chittvā tatas tasya % taptakṛcchradvayaṃ caret // YS182v_1.6 //	pASam CittvA tatas tasya % taptakRcCra-dvayam caret // YS182u-_1.6 //
   kṛmibhir brahmasaṃyuktaṃ $ makṣikaiś copaghātitam &	kRmiBiH brahma-saMyuktam $ makzikEH ca-upaGAtitam &
   kṛcchrārdhaṃ saṃprakurvīta % śaktyā dadyāt tu dakṣiṇām // YS182v_1.7 //	kRcCra-arDam saMprakurvIta % SaktyA dadyAt tu dakziNAm // YS182u-_1.7 //
   cāṇḍālabhāṇḍasaṃspṛṣṭaṃ $ pītvā bhūmigataṃ jalam &	cANxAla-BANxa-saMspRzwam $ pItvA BUmi-gatam jalam &
   gomūtrayāvakāhāraḥ % ṣaḍrātreṇa viśudhyati // YS182v_1.8 //	go-mUtra-yAvaka-AhAraH % zaz-rAtreNa viSuDyati // YS182u-_1.8 //
   cāṇḍālaghaṭabhāṇḍasthaṃ $ yas toyaṃ pibati dvijaḥ &	cANxAla-Gawa-BANxa-sTam $ yaH toyam pibati dvijaH &
   tatkṣanāt kṣipate yas tu % prājāpatyena śudhyati // YS182v_1.9 //	tad-kzanAt kzipate yaH tu % prAjApatyena SuDyati // YS182u-_1.9 //
   yadi na kṣipate toyaṃ $ śarīre yasya jīryati &	yadi na kzipate toyam $ SarIre yasya jIryati &
   prājāpatyaṃ na dātavyaṃ % kṛcchraṃ sāṃtapanādikam // YS182v_1.10 //	prAjApatyam na dAtavyam % kRcCram sAMtapana-Adikam // YS182u-_1.10 //
   caret sāṃtapanaṃ vipraḥ $ prājāpatyaṃ tu kṣattriyaḥ &	caret sAMtapanam vipraH $ prAjApatyam tu kzattriyaH &
   tadardhaṃ tu cared vaiśyaḥ % pādaṃ śūdrasya dāpayet // YS182v_1.11 //	tad-arDam tu caret vESyaH % pAdam SUdrasya dApayet // YS182u-_1.11 //
   cāṇḍālānnaṃ bhakṣayitvā $ tadvat salilam eva ca &	cANxAla-annam BakzayitvA $ tadvat salilam eva ca &
   māsaṃ kṛcchraṃ cared vipraś % cāndrāyaṇam athāpi vā // YS182v_1.12 //	mAsam kRcCram caret vipraH % cAndrAyaNam aTa-api vA // YS182u-_1.12 //
   gomūtraṃ gomayaṃ kṣīraṃ $ dadhi sarpiḥ kuśodakam &	go-mUtram gomayam kzIram $ daDi sarpiH kuSa-udakam &
   ekarātropavāsaś ca % kṛcchraṃ sāṃtapanaṃ smṛtam // YS182v_1.13 //	eka-rAtra-upavAsaH ca % kRcCram sAMtapanam smRtam // YS182u-_1.13 //
   cāṇḍālamūrtikā ye ca $ ye ca saṃkīrṇayonayaḥ &	cANxAla-mUrtikAH ye ca $ ye ca saMkIrNa-yonayaH &
   teṣāṃ dattvā ca bhuktvā ca % taptakṛcchraṃ samācaret // YS182v_1.14 //	tezAm dattvA ca BuktvA ca % taptakRcCram samAcaret // YS182u-_1.14 //
   cāṇḍālikāsu nārīṣu $ dvijo maithunakārakaḥ &	cANxAlikAsu nArIzu $ dvijaH mETuna-kArakaH &
   kṛtvā 'ghamarṣaṇaṃ pakṣaṃ % śudhyate ca payovratāt // YS182v_1.15 //	kRtvA aGamarzaNam pakzam % SuDyate ca payaH-vratAt // YS182u-_1.15 //
   iti śrīyāmye dharmaśāstre prathamo dhyāyaḥ ||	iti SrIyAmye Darma-SAstre praTamaH DyAyaH ||
   adhyāya 2	aDyAya 2
   naṭāṃ [ṭīṃ] śailūṣikāṃ caiva $ rajakīṃ veṇujīvinīm &	nawAm [wIM] SElUzikAm ca-eva $ rajakIm veNu-jIvinIm &
   gatvā cāndrāyaṇaṃ kuryāt % tathā carmopajīvinīm // YS182v_2.1 //	gatvA cAndrAyaNam kuryAt % taTA carma-upajIvinIm // YS182u-_2.1 //
   kāpālikānnabhoktṝṇāṃ $ tanayāgāmināṃ tathā &	kApAlika-anna-BoktLNAm $ tanaya-AgAminAm taTA &
   ajñānāt kṛcchram uddiṣṭaṃ % jñātvā caiva vratadvayam // YS182v_2.2 //	ajQAnAt kRcCram uddizwam % jQAtvA ca-eva vrata-dvayam // YS182u-_2.2 //
   surāyāḥ saṃprapānena $ gomāṃsabhakṣaṇe kṛte &	surAyAH saMprapAnena $ go-mAMsa-BakzaNe kRte &
   taptakṛcchraṃ cared vipro % mauñjīhomena śudhyati // YS182v_2.3 //	taptakRcCram caret vipraH % mOQjIhomena SuDyati // YS182u-_2.3 //
   gokṣattriyaṃ tathā vaiśyaṃ $ śūdraṃ cāpy anulomajam &	gokzattriyam taTA vESyam $ SUdram ca-api anuloma-jam &
   jñātvā viśeṣeṇa tataś % carec cāndrāyaṇaṃ vratam // YS182v_2.4 //	jQAtvA viSezeNa tatas % caret cAndrAyaNam vratam // YS182u-_2.4 //
   kukkuṭāṇḍakamātraṃ tu $ grāsaṃ ca parikalpayet &	kukkuwa-aNxaka-mAtram tu $ grAsam ca parikalpayet &
   anyathābhāvadoṣeṇa % navame 'ti ca śudhyahni // YS182v_2.5 //	anyaTA-BAva-dozeNa % navame ati ca SuDi-ahni // YS182u-_2.5 //
   ekaikaṃ vardhayed grāsaṃ $ śukle kṛṣṇe ca hrāsayet &	ekEkam varDayet grAsam $ Sukle kRzNe ca hrAsayet &
   amāyāṃ tu na bhuñjīta % eṣa cāndrāyaṇo vidhiḥ // YS182v_2.6 //	amAyAm tu na BuQjIta % eza cAndrAyaNaH viDiH // YS182u-_2.6 //
   prāyaścittam upakramya $ kartā yadi vipadyate &	prAyaScittam upakramya $ kartA yadi vipadyate &
   pūtas tad ahared vāpi % iha loke paratra ca // YS182v_2.7 //	pUtaH tat aharet vA-api % iha loke paratra ca // YS182u-_2.7 //
   yāvad ekaḥ pṛthag bhāvyaḥ $ prāyaścittaṃ na sevate &	yAvat ekaH pRTak BAvyaH $ prAyaScittam na sevate &
   apraśastā na te spṛśyās % te sarve 'pi vigarhitāḥ // YS182v_2.8 //	apraSastAH na te spRSyAH % te sarve api vigarhitAH // YS182u-_2.8 //
